SAMPLE_ID	Acidimicrobiia	Acidithiobacillia	Acidobacteriia	Actinobacteria	Alphaproteobacteria	Anaerolineae	Aquificae	Ardenticatenia	Bacilli	Bacteroidia	Betaproteobacteria	Blastocatellia	Caldilineae	Candidatus Brocadiae	Candidatus Saccharimonia	Chitinophagia	Chlamydiia	Chlorobia	Chloroflexia	Chthonomonadetes	Clostridia	Coprothermobacteria	Coriobacteriia	Cytophagia	Deferribacteres	Dehalococcoidia	Deinococci	Deltaproteobacteria	Dictyoglomia	Elusimicrobia	Epsilonproteobacteria	Erysipelotrichia	Fibrobacteria	Fimbriimonadia	Flavobacteriia	Fusobacteriia	Gammaproteobacteria	Gemmatimonadetes	Gloeobacteria	Ignavibacteria	Kiritimatiellae	Ktedonobacteria	Methanobacteria	Methanomicrobia	Methylacidiphilae	Mollicutes	Negativicutes	Nitriliruptoria	Nitrospira	Oligoflexia	Opitutae	Planctomycetia	Rubrobacteria	Saprospiria	Spartobacteria	Sphingobacteriia	Spirochaetia	Synergistia	Tepidiformia	Thermodesulfobacteria	Thermoleophilia	Thermomicrobia	Thermoplasmata	Thermotogae	Tissierellia	Verrucomicrobiae	Vicinamibacteria	Zetaproteobacteria
SRR31418681	0.0	0.35353444308156545	0.0	1.688122206482782	1.1325846444042105	0.0	0.0	0.0	2.111314709152446	4.8727889523188415	3.636629960003225	0.35353444308156545	0.0	0.0	0.7801775629430775	1.2978748089380623	0.0	0.0	0.0	0.0	4.429851539719664	0.0	2.2510030130098055	2.388919455050878	0.0	0.6786135095294928	0.0	3.024547074129489	0.0	0.0	0.7801775629430775	1.6991748086895337	0.0	0.0	1.206398920821177	0.0	2.4393789119748672	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1710581166550857	3.9907549968517695	0.0	0.0	0.0	0.35353444308156545	0.5458054618777929	0.0	0.0	0.0	1.9041307430309116	0.0	0.35353444308156545	0.0	0.0	0.35353444308156545	0.35353444308156545	0.0	0.35353444308156545	0.5458054618777929	0.5458054618777929	0.0	0.0
SRR31418682	0.0	0.0	0.2835162018041708	2.5947515133459067	1.7052762795574485	0.6705985734968065	0.4536089825777445	0.0	3.06943503342397	4.848476941634915	3.3410113975771885	0.0	0.2835162018041708	0.0	1.4425984090153516	0.922601170123532	0.0	0.0	0.0	0.2835162018041708	4.492755650206819	0.0	1.9041838642715148	2.4654131870692284	0.2835162018041708	0.0	0.0	2.3623254391858666	0.0	0.0	0.8719611965734768	2.088368178513152	0.4536089825777445	0.2835162018041708	1.5562557354893958	2.116787128689153	3.5826072532817763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3636648997387126	3.872350492736146	0.0	0.0	0.2835162018041708	1.308350160550904	1.2215748996581328	0.4536089825777445	0.0	0.0	1.308350160550904	0.2835162018041708	0.4536089825777445	0.0	0.0	0.922601170123532	0.4536089825777445	0.0	0.575517122082833	1.308350160550904	0.0	0.0	0.0
SRR31418683	0.0	0.0	0.0	2.689358905704124	1.6327158261381756	0.3170210302499566	0.8721611678463375	0.0	3.50078397070642	4.816522693099228	3.732889727829809	0.0	0.0	0.0	0.6258310290850904	0.3170210302499566	0.0	0.3170210302499566	0.0	0.0	4.5286746199941605	0.49831441289266176	1.9755522802428847	2.8695893541021253	0.3170210302499566	0.3170210302499566	0.0	2.544538748654419	0.0	0.0	0.8044849562283203	1.8822454278912117	0.9306993784628715	0.0	1.0283730080723503	2.3472380386902105	3.272195482452376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3521879208460468	3.769475293833008	0.0	0.0	0.0	0.724280456832658	0.0	0.3170210302499566	0.0	0.0	0.6258310290850904	0.3170210302499566	1.0283730080723503	0.0	0.0	0.724280456832658	0.6258310290850904	0.0	0.0	1.2336359040275917	1.3085697897470225	0.3170210302499566	0.0
SRR31418684	0.0	0.4987938125578841	0.724850248997226	2.4048971185821975	1.7874477124786938	0.6263671268723688	0.0	0.0	3.5149797115362658	4.786739272350866	3.232673730808078	0.0	0.8050770777127852	0.0	1.5224782250171978	1.3315956650715945	0.0	0.31738496108769054	0.0	0.0	4.667207092515127	0.31738496108769054	2.715999343181847	2.174908338452415	0.0	0.931319262636048	0.31738496108769054	2.8942051645845708	0.0	0.0	1.143671761688955	2.6624716803249613	0.0	0.0	1.3092375040525948	0.0	2.306109461714168	0.0	0.0	0.0	0.0	0.0	0.9829053999599409	0.0	0.0	1.2607403724181516	2.8948013719273087	0.4987938125578841	0.0	0.31738496108769054	0.0	0.8050770777127852	0.931319262636048	0.0	0.0	0.6263671268723688	0.0	1.8829384194360028	0.31738496108769054	0.0	0.0	0.9829053999599409	0.0	1.0706855163854945	1.575298952691762	3.2130814846753193	0.0	0.0
SRR31418685	0.0	0.0	1.4511121106892133	4.0084833475964	2.508248878745924	0.7749294054527283	0.633848937233091	0.0	3.3793792181471036	4.616234074872801	3.2524498342220203	0.0	0.9665838827221704	0.0	0.633848937233091	0.2614870284662284	0.0	0.2614870284662284	0.0	0.5413079289239285	4.705501307259247	0.42355459210793484	2.952463744469205	2.6857436509196466	0.2614870284662284	0.42355459210793484	0.42355459210793484	3.0977092300703406	0.0	0.2614870284662284	0.5413079289239285	3.155550388480577	0.633848937233091	0.2614870284662284	0.7749294054527283	0.633848937233091	2.9929382617099445	0.2614870284662284	0.0	0.2614870284662284	0.2614870284662284	0.42355459210793484	2.59016484095846	0.0	0.0	1.7443883290123512	3.728739800582745	0.0	0.0	0.0	1.200493721326181	1.1267524609224044	0.42355459210793484	0.42355459210793484	0.0	0.8812441125033297	0.7100929029379307	0.5413079289239285	0.0	0.2614870284662284	0.2614870284662284	0.9665838827221704	0.0	1.0378767565633977	1.222531843939973	0.2614870284662284	0.0	0.0
SRR31418686	0.0	0.0	0.4197240693380718	2.4135221923771217	2.498750543802824	0.4197240693380718	0.9981409615690202	0.0	2.6795905266555065	4.844459418418198	3.509161415643572	0.0	0.0	0.0	0.4197240693380718	0.0	0.0	0.25870878601314246	0.0	0.25870878601314246	4.530661718950117	0.25870878601314246	2.0576186306547766	2.6568167044384197	0.4197240693380718	1.3911938746546757	0.25870878601314246	2.1314880458016052	0.0	0.4197240693380718	0.8260806884144198	1.9160846074981484	1.376583584661116	0.0	0.0	1.7572943473992133	3.081991664142762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1947189905627122	3.8689283158957024	0.0	0.0	0.0	0.5369239113978016	0.0	0.25870878601314246	0.0	0.0	2.025488273585166	0.7051358671670527	0.25870878601314246	0.0	0.0	0.5369239113978016	0.4197240693380718	0.0	0.920576602368208	1.2767964976084398	0.0	0.25870878601314246	0.0
SRR31418687	0.0	0.0	0.36360452175121116	3.6162249354129967	1.2232239082205478	1.059929882211252	0.36360452175121116	0.0	3.4755287504149246	4.730664009232993	3.3822561105651423	0.0	0.7951735458512208	0.36360452175121116	0.36360452175121116	0.6928364354847947	0.0	0.0	0.0	0.0	4.578317703456801	0.0	3.50549497619489	1.670696724477757	0.0	0.6928364354847947	0.6928364354847947	3.3712653443418996	0.0	0.0	0.7951735458512208	2.846231171521939	0.0	0.0	0.36360452175121116	0.36360452175121116	1.8636072488422515	0.36360452175121116	0.0	0.0	0.0	0.0	0.6928364354847947	0.0	0.0	0.9474220548064374	4.0048058720610085	0.0	0.0	0.0	0.0	0.5586990521097288	0.8779355421034064	0.5586990521097288	0.0	0.5586990521097288	0.0	0.6928364354847947	0.0	0.0	0.36360452175121116	0.7951735458512208	0.36360452175121116	0.0	1.2232239082205478	0.0	0.36360452175121116	0.0
SRR31418688	0.0	0.2359172973522276	0.0	2.6612984289181583	1.6319443521963866	0.0	0.0	0.0	2.988718742098757	4.835249573301562	3.5287280454793684	0.0	0.0	0.0	0.2359172973522276	0.781811719938272	0.0	0.2359172973522276	0.2359172973522276	0.0	4.446043462450959	0.0	1.4191942383342868	2.2300413271193995	0.0	0.0	0.3879379411901672	3.339328627207915	0.0	0.0	0.5003218611505736	2.904906566117886	0.2359172973522276	0.2359172973522276	1.2796331337804303	2.3029081110381364	2.8926429754769973	0.0	0.0	0.0	0.0	0.0	0.5003218611505736	0.0	0.0	0.9511892222680284	4.090936468204817	0.0	0.0	0.0	0.6634845301741511	0.2359172973522276	0.0	0.0	0.0	0.984909168473577	0.2359172973522276	1.2796331337804303	0.0	0.0	0.0	0.0	0.0	0.0	1.045384399865398	0.0	0.2359172973522276	0.0
SRR31418689	0.0	0.0	0.0	2.1514913697843023	2.874467853125629	0.0	0.8648300238168908	0.4118459569492505	2.9331318157267456	4.911311015818017	3.6275066819909085	0.0	0.25301609522926133	0.0	0.4118459569492505	0.6948999875603509	0.0	0.5278897102139206	0.0	0.0	4.422915058949224	0.25301609522926133	1.632514257573991	2.620848107519892	0.0	0.6193739513011915	0.6193739513011915	2.936324395025319	0.0	1.245614234981748	0.4118459569492505	2.7614768138804693	0.5278897102139206	0.0	1.1351566867661305	1.2646948048373374	2.8280611265622526	0.25301609522926133	0.0	0.0	0.0	0.25301609522926133	0.0	0.0	0.25301609522926133	1.7059692776729523	3.024213873968063	0.0	0.25301609522926133	0.25301609522926133	0.25301609522926133	0.0	0.4118459569492505	0.0	0.0	1.0816860775772361	0.4118459569492505	0.8648300238168908	0.0	0.0	0.5278897102139206	0.25301609522926133	0.0	0.5278897102139206	0.8152260208958861	0.0	0.0	0.0
SRR31418690	0.0	0.0	0.6935303645868166	2.419726705738799	1.3157357635476004	0.4725929662164819	0.0	0.0	2.8401548261901355	4.80838891228257	3.8088349359995446	0.0	0.4725929662164819	0.0	0.4725929662164819	1.5374538501329662	0.0	0.0	0.0	0.0	4.510134963384981	0.0	1.5615769338267396	1.9709855887691121	0.0	1.2240422324388591	0.0	3.6142637511214972	0.0	0.0	0.8392672349580165	2.136253915802365	0.0	0.0	1.7491849964654274	1.3157357635476004	1.8445447506590458	0.4725929662164819	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7175950960803417	3.8964434120611964	0.0	0.0	0.0	2.7691755658602166	0.4725929662164819	0.6935303645868166	0.0	0.0	0.4725929662164819	0.0	2.154605074664894	0.0	0.0	0.6935303645868166	0.4725929662164819	0.0	0.0	1.0352059692869247	2.607048259634468	0.4725929662164819	0.0
