SAMPLE_ID	Acidobacteria	Actinobacteria	Aquificae	Armatimonadetes	Bacteroidetes	Candidatus Cloacimonetes	Candidatus Omnitrophica	Candidatus Saccharibacteria	Chlamydiae	Chlorobi	Chloroflexi	Coprothermobacterota	Cyanobacteria	Deferribacteres	Deinococcus-Thermus	Dictyoglomi	Elusimicrobia	Euryarchaeota	Fibrobacteres	Firmicutes	Fusobacteria	Gemmatimonadetes	Ignavibacteriae	Kiritimatiellaeota	Nitrospirae	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Thermodesulfobacteria	Thermotogae	Verrucomicrobia
SRR31418681	0.3545444260459828	2.3631099579349772	0.0	0.0	4.87719052856019	0.3545444260459828	0.0	0.863997558459637	0.0	0.0	0.7816893127268972	0.0	0.3545444260459828	0.0	0.0	0.0	0.0	0.0	0.0	4.569895164905549	0.0	0.0	0.0	0.0	0.0	0.5471024304993617	3.75684685397836	0.0	0.3545444260459828	1.2407865304153265	0.0	0.3545444260459828	0.680046175008698
SRR31418682	0.2831701139111666	2.6829180704598965	0.45314104864974264	0.45314104864974264	4.850157629262983	0.2831701139111666	0.0	1.6270986374142653	0.0	0.0	0.9673037996536283	0.0	0.45314104864974264	0.2831701139111666	0.0	0.0	0.0	0.0	0.45314104864974264	4.608868497070178	2.116070457663939	0.0	0.0	0.0	0.0	1.220896097906051	3.8000969715762762	0.2831701139111666	0.45314104864974264	1.3629739899793736	0.0	0.5749869720936297	1.3076635001616455
SRR31418683	0.31539407568429495	2.76779073703712	0.8694388818667937	0.0	4.8186022352790285	0.0	0.0	0.6234317955558519	0.0	0.31539407568429495	0.8018340579996616	0.49616969224077107	0.8018340579996616	0.31539407568429495	0.0	0.0	0.0	0.0	0.9279237010392917	4.644543496857388	2.3441063591685376	0.0	0.0	0.0	0.0	0.0	3.8826919250589165	0.31539407568429495	1.0255227967593217	1.3888045403406402	0.0	0.0	1.3888045403406402
SRR31418684	0.7259013546297792	2.896094511960214	0.0	0.0	4.789993399414117	0.0	0.0	1.6123476001866885	0.0	0.31805676321445064	1.4471458265876345	0.31805676321445064	0.6273561849286259	0.0	0.31805676321445064	0.0	0.0	0.9840656900757883	0.0	4.711236292988143	0.0	0.0	0.0	0.0	0.0	0.8061692948423826	3.444849971388747	0.0	1.8842162780780949	1.2868933499520585	0.0	1.071870423140559	3.2143754803895876
SRR31418685	1.4494543247778842	4.044282947228269	0.6325301696685195	0.6325301696685195	4.619966542236284	0.0	0.0	0.8797516966465795	0.0	0.26071042522051907	1.4096017778092536	0.422484778330388	1.1251623346810558	0.26071042522051907	0.422484778330388	0.0	0.26071042522051907	2.588450536821869	0.6325301696685195	4.783806111013743	0.6325301696685195	0.26071042522051907	0.26071042522051907	0.26071042522051907	0.0	1.1251623346810558	3.637471142018059	0.7087097618767251	0.5400840933134535	1.9574737636369055	0.26071042522051907	1.036315829158799	1.2209162683586576
SRR31418686	0.5355439824697124	2.5774412003583227	0.9963907274701889	0.2578364236583682	4.8466023892365255	0.0	0.0	0.4185193726138749	0.0	0.2578364236583682	1.5024954455319945	0.2578364236583682	0.4185193726138749	0.4185193726138749	0.2578364236583682	0.0	0.4185193726138749	0.0	1.3747194564827698	4.631555751876578	1.7553823822617192	0.0	0.0	0.0	0.0	0.0	3.689747571636936	0.7035742149457864	0.2578364236583682	1.4171460157116373	0.0	0.9188646519000452	0.5355439824697124
SRR31418687	0.5599233727338558	3.868666669222363	0.36456412589306086	0.0	4.732862120099042	0.0	0.0	0.5599233727338558	0.0	0.0	1.4147449470859157	0.0	0.36456412589306086	0.0	0.6941847369921323	0.0	0.0	0.7965937561994261	0.0	4.716827827360516	0.36456412589306086	0.36456412589306086	0.0	0.0	0.0	0.6941847369921323	3.68794338487745	0.0	0.6941847369921323	1.3684019973790695	0.0	0.0	0.0
SRR31418688	0.23645533580377476	2.687159430864174	0.0	0.23645533580377476	4.8379813784186085	0.0	0.0	0.23645533580377476	0.0	0.23645533580377476	0.23645533580377476	0.0	0.7828826236324092	0.0	0.38869601696752937	0.0	0.0	0.5011995894763158	0.23645533580377476	4.628265760158258	2.3041843530571446	0.0	0.0	0.0	0.0	0.23645533580377476	3.807191913231113	0.23645533580377476	1.2808484763786936	0.9860591652177855	0.0	0.0	0.6644891060574094
SRR31418689	0.0	2.2723448280025944	0.8640619621020845	0.0	4.913380643138487	0.0	0.0	0.41130119273297305	0.0	0.5272641105785462	0.9085648093170536	0.25262351144047795	0.25262351144047795	0.0	0.6186982168775167	0.0	1.2447752065330266	0.0	0.5272641105785462	4.473117097651271	1.2638536022698943	0.25262351144047795	0.0	0.0	0.25262351144047795	0.0	3.815884896019177	0.41130119273297305	0.8640619621020845	1.7118027796441546	0.0	0.5272641105785462	0.41130119273297305
SRR31418690	0.8387733620648872	2.488180337911981	0.0	0.0	4.810012390819785	0.8387733620648872	0.0	0.6930698492211048	0.0	0.0	1.3546638676421356	0.0	0.47221004208238787	0.0	0.0	0.0	0.0	0.0	0.0	4.615292572279004	1.3151861552651651	0.47221004208238787	0.0	0.0	0.0	0.47221004208238787	4.026880281515016	0.0	2.154031581304714	1.7170286276485107	0.0	0.0	3.173602688335203
