SAMPLE_ID	Acidobacteria	Actinobacteria	Aquificae	Armatimonadetes	Bacteroidetes	Balneolaeota	Calditrichaeota	Candidatus Cloacimonetes	Candidatus Omnitrophica	Candidatus Saccharibacteria	Chlamydiae	Chlorobi	Chloroflexi	Coprothermobacterota	Cyanobacteria	Deferribacteres	Deinococcus-Thermus	Elusimicrobia	Euryarchaeota	Fibrobacteres	Firmicutes	Fusobacteria	Gemmatimonadetes	Ignavibacteriae	Kiritimatiellaeota	Nitrospirae	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Thermodesulfobacteria	Thermotogae	Verrucomicrobia
SRR5865065	0.8738797367361532	2.858591046839592	0.2845797216651721	1.722938051669973	4.981207751059768	0.2845797216651721	0.0	0.0	0.0	1.5115151495950543	0.5771448570228208	0.7503774304114659	1.4148536240983367	0.4550461121466369	1.9879730750301106	0.0	0.8738797367361532	0.2845797216651721	2.27411954800157	1.0830697572719004	4.856616011532747	3.8236080798527516	0.2845797216651721	1.722938051669973	0.4550461121466369	0.0	0.8738797367361532	4.310216286762825	0.8165039845833202	2.6020162065428964	1.5800854398621977	0.2845797216651721	0.2845797216651721	3.0320614344190795
SRR5865066	0.995760616512896	3.244243295865649	0.32487019402556583	1.6888900800270226	4.747496930063135	0.0	0.0	0.0	0.0	1.8519307910339389	1.2477980784612797	0.8171875723384392	1.0838097548274452	2.20146746822586	1.6134492754029592	0.508625976231461	1.9597159442760248	0.8171875723384392	3.6926371973152965	1.6581478429429946	5.045917624376987	2.776331793215562	0.0	1.8653156387861616	0.508625976231461	0.0	1.1894102033914353	4.312362891880798	0.995760616512896	1.8015410183867662	1.8015410183867662	0.8171875723384392	0.6373468396255998	3.27016867459694
SRR5865067	1.0075661338026896	3.7250681144147926	0.30524966604907877	0.0	5.008151034364139	0.30524966604907877	0.0	0.30524966604907877	0.0	0.9617160332753414	0.482738419939713	1.0868862577826643	0.6083742212264284	0.0	0.482738419939713	0.9617160332753414	0.30524966604907877	0.482738419939713	1.0868862577826643	1.183935104327124	4.947788084451835	1.423052041244718	0.30524966604907877	2.6832422906849835	0.30524966604907877	0.482738419939713	0.6083742212264284	2.9372966286949356	1.423052041244718	0.7057019366372621	1.6102507263942947	0.482738419939713	0.482738419939713	1.7864113301722362
SRR5865068	1.0142781295807677	3.6799690403826606	0.0	1.496046995716562	4.624782633304099	0.33581457163330625	0.0	0.0	0.0	1.5701942185125024	0.5229079556767942	0.9622486156378529	1.4065802726326837	0.33581457163330625	1.836787086517517	0.6532449696501336	2.466414847149235	1.7817964134935709	2.9355489459544497	1.3862416191448217	5.106560688045556	2.8798063599466035	0.0	2.079222626862777	0.753362031626974	0.0	0.9031264996805441	4.112384149536644	0.753362031626974	1.2672112014453438	2.7453767354932137	0.33581457163330625	0.33581457163330625	3.837682761020508
SRR5865069	0.8560419390856555	4.040239293535128	0.0	0.3753032736939767	4.40499802020109	0.22699023989547815	0.0	0.4856568976400612	0.0	2.1321218340203334	0.8560419390856555	0.7091928277256829	1.2908336085969985	0.0	1.4845866679344972	0.7091928277256829	0.9967172391881572	0.7091928277256829	1.2424510556988058	1.1682116644494966	5.158704871071641	3.118468732204433	0.8560419390856555	1.564651702735352	0.6466561529913606	0.0	1.5036978313203482	3.8414208793301556	0.6466561529913606	0.6466561529913606	1.8514084452764228	0.6466561529913606	1.2752973739732942	3.91873345926971
SRR5865070	0.6577971012632116	3.2703460837847036	0.3389711948012471	1.2727412466307553	4.9665045706822415	0.5270070457518273	0.0	0.3389711948012471	0.0	0.6577971012632116	0.6577971012632116	0.8396618903686249	0.3389711948012471	1.0195599647277607	1.2727412466307553	0.6577971012632116	2.085018156571784	1.2727412466307553	2.7512102031924095	1.3704967636612118	4.866656635433378	1.6732128451399442	0.5270070457518273	2.0721613721468786	0.6577971012632116	0.0	1.0195599647277607	4.447559610547142	1.146389668410476	0.8396618903686249	2.542427077582198	0.0	0.3389711948012471	1.9804888347393597
SRR5865071	0.5478098631198374	4.196615031419691	0.26562631937179854	0.8891575904145608	3.4960288387883534	0.0	0.0	0.26562631937179854	0.0	1.2310907750408098	0.0	0.4292445829706034	0.6408504176404483	0.4292445829706034	0.8891575904145608	0.0	0.5478098631198374	0.26562631937179854	1.046149429490219	0.4292445829706034	5.239924364286554	1.9720970076167539	0.0	1.1612139496153397	0.0	0.0	0.4292445829706034	3.6564417873338053	0.0	0.7825135832306722	1.4469984758325216	0.4292445829706034	0.9340365068898409	2.072751838602331
SRR5865072	0.5572522779944097	3.9078433372058856	0.0	1.6172327937479458	4.318909841818704	0.5572522779944097	0.0	0.0	0.0	1.92661102669838	0.6912426566129597	0.6912426566129597	0.945648018465455	0.0	1.5741510300230728	0.8762007470653599	0.793494462261809	0.793494462261809	1.2540942225299396	1.3397108051358022	5.215137897897625	1.8843907022368565	0.0	1.8989250003846088	0.0	0.0	1.0055059240334128	3.5894401685670476	1.7564037221556745	0.5572522779944097	1.4111965726696771	0.0	1.1473487967542104	1.6564239192213894
SRR5865073	0.9120018658722654	2.380825485482031	0.0	0.0	5.030842084114989	0.0	0.0	0.0	0.0	0.9822273741431697	0.3861727671730965	0.8281884271672686	0.0	0.0	0.8281884271672686	0.3861727671730965	0.5873004378055533	0.0	0.5873004378055533	0.9822273741431697	4.885209330672508	2.3885260462572298	0.5873004378055533	2.041080882910403	0.5873004378055533	0.0	0.7242361485253486	4.101948865168919	0.9120018658722654	0.3861727671730965	1.2244006914586942	0.3861727671730965	0.0	1.142969363617021
SRR5865074	1.139650661767155	3.4868135821416835	0.0	2.0569146347705733	4.820091973805494	0.49583893720687255	0.0	0.2331758801504559	0.0	1.3755292859443908	0.7763346990678511	0.8690187329790289	1.3201426147119506	0.8690187329790289	2.503363619011131	0.3840693990405703	2.6184066338518632	0.49583893720687255	2.8726351657071705	1.5952561988276581	4.89483491707987	4.246902344308362	0.5846513874911654	1.8986038545788282	0.6583491443225488	0.5846513874911654	1.2392064385267978	4.443172152312019	1.1614713681147042	1.9323430969764037	3.307815263164273	0.5846513874911654	0.3840693990405703	2.678677084841088
SRR5865075	0.7221196200767361	3.4531303077404822	0.0	1.3496418120281835	4.752402999614984	0.2682854262062414	0.0	0.0	0.0	1.0171273781874817	0.6453240795520208	0.8440576764058239	0.9798897572879846	0.2682854262062414	1.3151146470460724	0.9391572788743349	1.0171273781874817	3.0387674528135538	2.7441976067124054	1.7654320739693363	4.968009499011357	2.565479261545449	0.0	2.2726201840615685	0.7221196200767361	0.0	0.7221196200767361	3.5841019876491975	0.7873542747863209	2.2132587969815063	3.88580029897476	0.4328892189462342	0.0	4.493205026566472
SRR5865076	0.7756673082695704	3.1455195127795483	0.0	0.0	4.986375437411307	0.0	0.4241071088506447	0.0	0.0	1.1535735040707826	0.634529733144051	0.9673748652545973	0.0	0.0	0.8820143187584679	0.0	0.634529733144051	0.0	0.634529733144051	1.2013245464709508	4.958372232341719	2.0798276627800076	0.0	2.22148213917539	0.7756673082695704	0.0	0.0	3.8887969189752556	0.7756673082695704	0.634529733144051	1.6271764108429665	0.0	0.0	2.194776426889386
SRR5865077	0.6874630678444656	3.7995513796745675	0.0	1.9542087613316457	4.311884119063046	0.29387396702440816	1.2416550383604454	0.0	0.0	1.7018535043369667	0.6874630678444656	0.8327573942340921	1.028292730504159	1.2650933048347026	1.2416550383604454	0.7661581779948616	2.4921187966842098	1.7987071102597558	3.415002775565255	1.6293541100000468	5.108419448468268	1.4911763639582407	2.170355383447652	2.569937489303438	0.29387396702440816	0.29387396702440816	0.7661581779948616	4.55799856085263	1.100638741313582	1.9588519883726492	3.350500419098617	0.0	0.46755343836637	1.4911763639582407
SRR5865078	0.6358386187118842	3.192433784080381	0.0	0.9939980439311555	5.081553878294539	0.0	0.0	0.0	0.0	1.505416261957928	0.32383842558568204	0.32383842558568204	0.6358386187118842	0.0	1.082010775903139	0.0	0.0	0.5072738521197451	0.6358386187118842	0.5072738521197451	4.801964924226301	2.19030448749332	0.0	1.1201223542319942	0.8834946582199144	0.0	0.5072738521197451	4.061131809423021	0.5072738521197451	1.8361878047386029	1.2459481519904205	0.0	0.8834946582199144	1.343389533300048
SRR5865079	1.4200847773953236	2.933045289226662	0.0	0.5009553035752696	5.130678272928769	0.23630554879244042	0.388485011321014	0.0	0.0	1.5064029855066863	0.388485011321014	0.23630554879244042	0.5009553035752696	0.23630554879244042	1.1684541133144277	0.388485011321014	0.23630554879244042	2.9275145994859173	2.845233749134816	0.5902087276889365	4.5098183479316845	1.6401010899063657	0.0	2.0561443471814975	0.388485011321014	0.0	1.2462732452817535	3.4863868010511223	0.8315270263776204	1.0735792945602898	1.2462732452817535	0.23630554879244042	0.664209545903569	4.384728724492576
