SAMPLE_ID	Acidimicrobiia	Acidithiobacillia	Acidobacteriia	Actinobacteria	Alphaproteobacteria	Anaerolineae	Aquificae	Ardenticatenia	Bacilli	Bacteroidia	Betaproteobacteria	Blastocatellia	Caldilineae	Calditrichae	Candidatus Babeliae	Candidatus Brocadiae	Candidatus Saccharimonia	Chitinophagia	Chlamydiia	Chlorobia	Chloroflexia	Chthonomonadetes	Clostridia	Coprothermobacteria	Coriobacteriia	Cytophagia	Deferribacteres	Dehalococcoidia	Deinococci	Deltaproteobacteria	Elusimicrobia	Endomicrobia	Epsilonproteobacteria	Erysipelotrichia	Fibrobacteria	Fimbriimonadia	Flavobacteriia	Fusobacteriia	Gammaproteobacteria	Gemmatimonadetes	Gloeobacteria	Hydrogenophilalia	Ignavibacteria	Kiritimatiellae	Ktedonobacteria	Limnochordia	Methanobacteria	Methylacidiphilae	Mollicutes	Negativicutes	Nitriliruptoria	Nitrospira	Oligoflexia	Opitutae	Phycisphaerae	Planctomycetia	Rubrobacteria	Saprospiria	Spartobacteria	Sphingobacteriia	Spirochaetia	Synergistia	Tepidiformia	Thermodesulfobacteria	Thermomicrobia	Thermoplasmata	Thermotogae	Tissierellia	Verrucomicrobiae	Vicinamibacteria	Zetaproteobacteria
SRR5865065	0.28389815284934505	0.4541252535962651	0.7492108237816218	2.1527897613279268	3.0138952793745957	0.5761019479601317	0.28389815284934505	0.0	3.6229565943698447	4.977465263354276	2.9972821650634804	0.4541252535962651	0.28389815284934505	0.0	0.0	0.0	1.346758483945719	2.022256804370909	0.5761019479601317	0.7492108237816218	0.28389815284934505	0.9686588324572207	4.739075532568899	0.4541252535962651	2.7581828861259248	1.5993471118955749	0.0	0.0	0.8726506532215124	2.8804767307851056	0.0	0.28389815284934505	1.7717812170361626	2.4451601539335157	1.0817680573772652	1.6470318451853834	1.8631204314184195	3.8221892150756798	4.237549186747565	0.28389815284934505	0.28389815284934505	0.0	1.72154587429473	0.4541252535962651	1.0817680573772652	1.1714225433866972	2.2727080311016112	0.0	1.4975812398655985	4.087644422141691	0.28389815284934505	0.0	0.9686588324572207	0.671224989820072	0.0	0.8726506532215124	0.5761019479601317	0.671224989820072	0.28389815284934505	1.328340810294189	0.815301728595758	2.600600682249876	0.5761019479601317	0.28389815284934505	0.28389815284934505	0.0	0.28389815284934505	1.197618286028546	3.0283974831078457	0.0	0.0
SRR5865066	0.7353924137419671	0.0	0.8840088020669443	2.215042334399855	2.9376661892660993	0.507681455215637	0.32414937607016253	0.0	2.8084241500485096	4.731133073341104	3.0254830828666046	0.507681455215637	0.0	0.0	0.0	0.0	1.7162560196908843	2.1939853615224156	1.246506042893199	0.8160269309468113	0.32414937607016253	1.4412941895159441	4.977492499634636	2.200106535693106	3.196716012688368	1.6672987755167328	0.507681455215637	0.0	1.958361436246829	3.485963544284513	0.0	0.8160269309468113	1.8077592322895435	2.992945326557481	1.6568084218990295	1.3439541670946387	3.151227345370107	2.774964530788056	4.1847256058705256	0.0	0.0	0.0	1.8639647848240124	0.507681455215637	0.507681455215637	1.1881293221562945	3.6912679174695526	0.0	1.7602492628243804	4.142566805489913	0.507681455215637	0.0	0.7353924137419671	1.120668969983438	0.0	1.1881293221562945	0.507681455215637	0.0	0.32414937607016253	1.6775417002393775	0.9945295537709026	1.800193122918381	0.507681455215637	0.8160269309468113	0.0	0.0	0.6362933348899702	1.404932496656193	3.26567523388117	0.0	0.0
SRR5865067	0.6073425903687114	0.0	1.006331451714718	2.3979360440788664	1.6403355516642408	0.0	0.3045588581905755	0.0	2.3835769412186703	5.003330690698139	1.5253318766897859	0.0	0.0	0.0	0.0	0.0	0.6073425903687114	2.3853980077004127	0.4818200614369225	1.0856290807406168	0.0	0.0	4.901954170762523	0.0	3.700403020616908	1.8761667660264507	0.960496355171298	0.0	0.3045588581905755	1.650323459291989	0.3045588581905755	0.3045588581905755	1.006331451714718	1.6600868194187786	1.1826554455467932	0.0	2.063872965195865	1.4217343665200144	2.856438833522322	0.3045588581905755	0.0	0.0	2.6818756812625155	0.3045588581905755	0.0	0.0	1.0856290807406168	0.0	1.4981659919264039	3.9034443736028708	0.0	0.4818200614369225	0.4818200614369225	0.7840168580492044	0.0	0.6073425903687114	0.4818200614369225	0.7046025024608236	0.0	1.2107132522266253	1.4217343665200144	0.7046025024608236	0.3045588581905755	0.4818200614369225	0.3045588581905755	0.0	0.4818200614369225	0.8511300779222364	1.7472651768100578	0.0	0.0
SRR5865068	0.3355196788576166	0.0	0.7529109504056101	2.5754524684412523	3.5740076195088495	0.3355196788576166	0.0	0.0	3.8507625499841955	4.61849853104117	2.7556235780135596	0.7529109504056101	0.7529109504056101	0.0	0.0	0.3355196788576166	1.2666930336917983	2.380008774154804	0.5225245619614001	0.9617606101890367	0.0	1.2081457393276502	5.0497054372755725	0.3355196788576166	3.638365851702376	1.805681821142625	0.6528189589181487	0.7529109504056101	2.4658689267031337	3.2072183561459457	0.3355196788576166	1.7728012170179994	1.5961038500297056	2.847375651557153	1.3857163495629583	1.2081457393276502	1.7463965610477301	2.8792592896815816	3.834994337182863	0.0	0.0	0.0	2.078679401052513	0.7529109504056101	0.5225245619614001	1.4619093935858853	2.9350017886104984	0.0	2.6015551925871705	3.8470358205614112	0.5225245619614001	0.0	0.0	1.0137833742542817	0.0	0.8342006367819966	1.5267090945487645	0.3355196788576166	0.0	0.8342006367819966	0.7529109504056101	1.2666930336917983	0.3355196788576166	0.3355196788576166	0.7529109504056101	0.0	0.3355196788576166	2.2392133196304007	3.836545559883632	0.0	0.0
SRR5865069	0.3744667772947976	0.22640190708901473	0.3744667772947976	3.676716842403787	1.9638012908933808	1.0516725754128404	0.0	0.0	2.9711184684134286	4.381739382221982	2.006817185554417	0.7626503446557751	0.22640190708901473	0.0	0.0	0.3744667772947976	1.9196419767683672	2.7139901881999102	0.8547970173334669	0.7080290786741613	0.0	0.22640190708901473	5.113674492529874	0.0	3.7908652130819203	1.8784142703564164	0.7080290786741613	0.22640190708901473	0.9954164841968378	2.0617040072950963	0.7080290786741613	0.0	2.08185331137386	2.8427213445377317	1.1668632868830915	0.22640190708901473	2.3071716537603324	3.117023089564958	3.8093677341182652	0.8547970173334669	0.0	0.0	1.5632444430266828	0.6455362178520752	0.3744667772947976	1.6892754461579922	1.2410872230064358	0.0	1.7129287543003981	4.075289653462095	0.22640190708901473	0.0	0.4846835452151398	1.0516725754128404	0.4846835452151398	1.4528482959261781	0.4846835452151398	0.22640190708901473	0.0	1.1243795095271336	0.6455362178520752	0.6455362178520752	0.0	0.6455362178520752	0.3744667772947976	0.0	1.2739275022453076	1.7186461347655535	3.916747300772192	0.0	0.3744667772947976
SRR5865070	0.6568002412427958	1.588064384291825	0.6568002412427958	2.97995772809964	2.791587789135592	0.0	0.33827906664988555	0.0	3.0252404653464176	4.963152093642976	3.1404254810826573	0.0	0.0	0.0	0.0	0.0	0.0	1.9571872826709733	0.6568002412427958	0.8385687743766839	0.33827906664988555	1.1452027851249686	4.765771815557589	1.0184040666707235	2.9522809422464364	1.5464708180054973	0.6568002412427958	0.0	2.083750424674922	2.204607722776132	0.33827906664988555	1.2432249755934501	1.2981050316534368	3.3785895814352447	1.3692730487791767	0.75712551675694	1.9157087438694542	1.6719617542901783	4.408710771063383	0.5261090307938667	0.0	0.0	2.070893956493067	0.6568002412427958	0.0	2.1083750048244285	2.7499342161108853	0.0	2.293875420979909	4.038204922443389	0.5261090307938667	0.0	0.6568002412427958	0.33827906664988555	0.33827906664988555	0.9663185575457325	0.0	0.0	0.0	0.9071241035950501	1.1452027851249686	0.8385687743766839	0.0	0.0	0.0	0.0	0.33827906664988555	2.4568888674630864	1.9738187352315797	0.0	0.0
SRR5865071	0.26446669936403655	0.26446669936403655	0.4276525813383548	4.184634435645611	1.6808495320414159	0.0	0.26446669936403655	0.0	4.398675107264419	3.441258773203059	1.6731888172504852	0.26446669936403655	0.0	0.0	0.0	0.0	0.6388936018124758	2.2117424358404563	0.0	0.4276525813383548	0.0	0.26446669936403655	5.161533780277245	0.4276525813383548	2.523602958694786	0.8869475547400814	0.0	0.0	0.5459919112178617	1.78200239484314	0.26446669936403655	0.0	1.8589797054579582	3.205948943405294	0.4276525813383548	0.8369308701995776	1.9243453796362497	1.9695856237343505	3.6286198915516117	0.0	0.0	0.26446669936403655	1.1588510281015976	0.0	0.0	1.4034101195822726	1.0438397672504844	0.0	1.3579603204933552	2.9801069379911813	0.0	0.0	0.26446669936403655	1.2287017586751146	0.0	0.4276525813383548	0.0	0.0	0.0	0.7153819315718821	0.0	0.7803949347836245	0.0	0.4276525813383548	0.0	0.0	0.9317942312626166	1.4574417531526382	2.0069858450971894	0.0	0.0
SRR5865072	0.0	0.0	0.3617412674990689	3.660481300662807	2.057309199265883	0.5563196631421208	0.0	0.0	3.471857995241042	4.308641525354842	2.277632852016163	0.3617412674990689	0.0	0.0	0.0	0.0	1.7024538280755817	2.2203932524978622	0.690214993627952	0.690214993627952	0.0	1.587734114109131	5.055998839018314	0.0	3.542550425285723	1.8445005989038716	0.8750818581601154	0.5563196631421208	0.7924116199345448	3.125016765313923	0.3617412674990689	0.690214993627952	1.7649463394676923	3.36530577343253	1.3384791666898932	0.5563196631421208	1.7242991843599464	1.8831168106562917	3.3329669121938674	0.0	0.0	0.0	1.8976505536073798	0.0	0.3617412674990689	0.9445037349701526	1.2528754665739141	0.0	1.3636347143207548	4.6437024107923195	0.0	0.0	0.0	0.9445037349701526	0.0	1.0043427841653458	0.0	0.0	0.0	0.3617412674990689	1.7551356118846317	0.5563196631421208	0.0	0.0	0.0	0.0	1.14615010146417	1.655161672200621	1.5728947299478324	0.0	0.0
SRR5865073	1.1839233956702206	0.0	0.9104367314413929	2.228967249143304	1.581035673376205	0.0	0.0	0.0	2.7907017654274062	5.025927794616495	3.4118809314255127	0.0	0.0	0.0	0.0	0.3851228543057854	0.3851228543057854	2.4348663595876894	0.3851228543057854	0.8266698677219089	0.0	0.0	4.764116127990316	0.0	1.707190064459267	1.5292740452568798	0.3851228543057854	0.0	0.5859785594113456	1.4025028491084468	0.0	0.0	1.0940647037883307	3.0791556131097324	0.980629569391099	0.0	1.6948515423183137	2.3867493544776512	3.9950406603796456	0.5859785594113456	0.0	0.0	2.0393131467231025	0.5859785594113456	0.0	0.0	0.5859785594113456	0.0	1.0940647037883307	4.217535962429017	0.0	0.0	0.3851228543057854	0.3851228543057854	0.0	0.5859785594113456	0.3851228543057854	0.0	0.0	0.980629569391099	0.9104367314413929	0.3851228543057854	0.0	0.3851228543057854	0.0	0.0	0.0	0.7227893452549227	1.0940647037883307	0.0	0.0
SRR5865074	1.243438359757613	0.7249765467984736	1.0965446124918565	2.6023418497306756	2.50394746504963	0.3867104286455058	0.0	0.0	3.587720488576822	4.819356240880962	2.844914635663147	0.3867104286455058	0.23504665814147555	0.0	0.23504665814147555	0.0	0.780076021978553	2.294553027714969	0.780076021978553	0.8729039348054022	0.23504665814147555	1.1864437799185932	4.827871091958529	0.8729039348054022	3.3601608992999257	1.8123134382962727	0.3867104286455058	0.0	2.622885359814608	2.4521094014281246	0.0	0.49890008783408957	1.918358542380594	2.7089000544570547	1.5996322416101763	2.003524815690008	2.0448070858832157	4.2513915708634125	4.417262873487212	0.587977053004213	0.0	0.0	1.903036921308483	0.6618566612698502	1.0708279106453418	2.0640642258148048	2.877118656680852	0.0	2.1993776324426157	3.858190813531668	0.9128026551048982	0.587977053004213	1.3244183386532506	0.587977053004213	0.0	1.243438359757613	2.5824126605849997	0.780076021978553	0.0	1.0708279106453418	1.1656527872532383	1.9367803806151598	0.3867104286455058	0.587977053004213	0.49890008783408957	0.0	0.3867104286455058	1.9069182991697802	2.680562040879431	0.0	0.23504665814147555
