Actinomycetales	Aeromonadales	Anaeroplasmatales	Bacillales	Bacteroidales	Betaproteobacteriales	Bifidobacteriales	Campylobacterales	Chloroplast	Clostridiales	Coriobacteriales	Corynebacteriales	Desulfovibrionales	DTU014	Enterobacteriales	Erysipelotrichales	Fusobacteriales	Gastranaerophilales	Izimaplasmatales	Lactobacillales	Micrococcales	Mollicutes_RF39	Pasteurellales	Pseudomonadales	Rhodospirillales	Saccharimonadales	Selenomonadales	Verrucomicrobiales	others	Alias	Assay.Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center.Name	Consent	DATASTORE.filetype	DATASTORE.provider	DATASTORE.region	ENA_CHECKLIST	ENA.FIRST.PUBLIC..run.	ENA.LAST.UPDATE..run.	Experiment	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	Instrument	Library.Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	sample_description	Sample.Name	sample_name	SRA_accession	SRA.Study	title	time	ID	prepost
ERR1624556	1.6342186742368	0	0	1.04645648550872	3.31850611657831	1.1987652602713	1.84239452261965	0	0	3.91525804358178	2.64157889084212	0	1.83750285519524	0	2.90119492254416	2.66194783436599	0	0	0	3.66035664270783	0.753960289623711	0	0	0	1.93413390980953	0	2.01639979702279	0.98094369171473	1.6929136914804	0355f060-1cde-11e6-9a08-68b599768938	WGS	500	13225000	PRJEB14082	SAMEA4008113	8204220	THE WELLCOME TRUST SANGER INSTITUTE	public	sra,cram,contigs	s3,ena,gs,ncbi	gs.US,s3.us-east-1,ncbi.public,ena	ERC000011	9/12/16	11/16/18	ERX1694921	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:24Z	public	Illumina MiSeq	16634291	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008113	ERS1179223	ERS1179223	ERP015690	P3_Post	Post	P3	1
ERR1624559	1.71069621671386	0	0	1.46547677665123	3.59436346848022	1.25828432074327	0.905881055633445	0	0	3.77785072131285	2.52037457483625	0	1.89524220688862	0	3.54886557802128	3.05970926756986	0	0	0	3.17462009282084	1.08210477635213	0	1.3252563314594	0	0	0	2.52822365686116	0	1.65633024813322	036bc250-1cde-11e6-9a08-68b599768938	WGS	500	10149000	PRJEB14082	SAMEA4008116	6407488	THE WELLCOME TRUST SANGER INSTITUTE	public	contigs,sra,cram	ena,s3,gs,ncbi	ncbi.public,ena,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694924	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:25Z	public	Illumina MiSeq	16634294	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008116	ERS1179226	ERS1179226	ERP015690	P16_Post	Post	P16	1
ERR1624560	1.91974925520956	0	0	1.25792028962969	3.04208237631481	2.03432015981177	2.74189538622811	0	0	3.58037068418196	3.21185139697916	0	2.53985806499857	0	3.4042713973617	2.53842652820306	0.745284633199581	0	0	3.63921003936516	1.19944615727594	0	0	0	0	0	3.31336754059432	1.88888126595238	0	03731550-1cde-11e6-9a08-68b599768938	WGS	500	8820000	PRJEB14082	SAMEA4008117	5515838	THE WELLCOME TRUST SANGER INSTITUTE	public	sra,contigs,cram	gs,ncbi,s3,ena	ena,ncbi.public,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694925	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:25Z	public	Illumina MiSeq	16634295	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008117	ERS1179227	ERS1179227	ERP015690	P17_Post	Post	P17	1
ERR1624562	1.11121073095556	0	0	1.51564285017362	2.99442825574345	1.76794125083348	2.35688733915976	0	0	3.64412898055153	2.95846322349213	0	1.37737390773768	0	3.16198828711179	3.32296624080468	0	0	0	3.8194035819003	1.25247642457044	0	0	0	0	0	2.31719938450238	0	0	03831ae0-1cde-11e6-9a08-68b599768938	WGS	500	10102500	PRJEB14082	SAMEA4008119	6134509	THE WELLCOME TRUST SANGER INSTITUTE	public	contigs,cram,sra	ena,gs,ncbi,s3	ncbi.public,s3.us-east-1,gs.US,ena	ERC000011	9/12/16	11/16/18	ERX1694927	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:26Z	public	Illumina MiSeq	16634297	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008119	ERS1179229	ERS1179229	ERP015690	P19_Post	Post	P19	1
ERR1624564	1.29248780925157	0	0	0	3.47248655423437	1.34317045927664	3.02703294438406	0	0.418019568378	3.82349434808875	3.04986643214061	0	1.75458823113791	0	2.95578527366884	3.24112090638253	1.74204199686372	0	0	3.29865285207437	0.918153810586054	0	0	0	0	0	2.44614520670746	1.98443620480339	1.70899275870442	03940ad0-1cde-11e6-9a08-68b599768938	WGS	500	12322500	PRJEB14082	SAMEA4008121	7643566	THE WELLCOME TRUST SANGER INSTITUTE	public	contigs,cram,sra	ena,gs,ncbi,s3	gs.US,s3.us-east-1,ncbi.public,ena	ERC000011	9/12/16	11/16/18	ERX1694929	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:27Z	public	Illumina MiSeq	16634299	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008121	ERS1179231	ERS1179231	ERP015690	P24_Post	Post	P24	1
ERR1624565	1.2290671267264	0	0	0	3.47737404467984	1.46639162006709	2.60167973743681	0	0	3.85504658468964	2.9064820366724	0	1.98205024901792	0	3.3602430064183	2.90570049528548	0	0	0	3.31756271173931	0	1.58760477439457	0	0	2.03160336049349	0	2.06807778584659	1.71380345311201	1.57939164569263	039c9650-1cde-11e6-9a08-68b599768938	WGS	500	12360500	PRJEB14082	SAMEA4008122	7740507	THE WELLCOME TRUST SANGER INSTITUTE	public	sra,contigs,cram	ena,s3,gs,ncbi	ena,ncbi.public,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694930	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:28Z	public	Illumina MiSeq	16634300	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008122	ERS1179232	ERS1179232	ERP015690	P25_Post	Post	P25	1
ERR1624567	1.00580467093156	0	0	0.645958224515035	3.31332224506515	0.826664050576489	2.60644825204626	0	1.05216947284583	3.9376031213035	2.88099062214376	0	0.953891813074436	0	2.46562659915996	3.3399647443371	1.1673714570213	0	0	3.4011784489252	0.894920331940946	0	0.645958224515035	0	0	0	1.89566402023139	0.645958224515035	0.953891813074436	03abffa0-1cde-11e6-9a08-68b599768938	WGS	500	8877500	PRJEB14082	SAMEA4008124	5496869	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,contigs,sra	s3,ena,gs,ncbi	ncbi.public,ena,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694932	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:28Z	public	Illumina MiSeq	16634302	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008124	ERS1179234	ERS1179234	ERP015690	P28_Post	Post	P28	1
ERR1624570	1.17311550770243	0	0	0	3.32097137180485	1.03053093981101	3.30571822380286	0	0	3.84500048373177	2.83905020190014	0	0	0	2.23185270292998	2.3239804946682	0	0	0	3.65089185790356	0	2.2491963285194	0	0	0	0	2.19106812659722	0.97027914619382	0.900300818645505	03c37f40-1cde-11e6-9a08-68b599768938	WGS	500	7211500	PRJEB14082	SAMEA4008127	4497951	THE WELLCOME TRUST SANGER INSTITUTE	public	contigs,sra,cram	s3,ena,gs,ncbi	ncbi.public,ena,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694935	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:30Z	public	Illumina MiSeq	16634305	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008127	ERS1179237	ERS1179237	ERP015690	P35_Post	Post	P35	1
ERR1624536	0	0	0	0	3.5378463306378	1.07590921276708	3.0581168058462	0	0	3.90967283045387	2.90533096391282	0	1.04417526702427	0	1.30754276016993	2.92439580232892	0	0	0	2.49464515408872	0	0	0	0	0	0	3.36150102318149	0	1.32513393683805	029ab6b0-1cde-11e6-9a08-68b599768938	WGS	500	12263500	PRJEB14082	SAMEA4002728	7685807	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,contigs,sra	s3,ncbi,ena,gs	ncbi.public,gs.US,s3.us-east-1,ena	ERC000011	9/12/16	11/16/18	ERX1694901	SC	2016-09-12T16:42:14Z	2016-05-23T13:49:47Z	public	Illumina MiSeq	16634271	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4002728	ERS1173838	ERS1173838	ERP015690	P2_Pre	Pre	P2	0
ERR1624537	0.987280967110799	0	0	0.675177679602992	3.6190997939827	1.87171587984434	3.22138128267273	0	0	3.86575287240912	2.67682889797007	0	1.8929731092391	0	2.34001657181602	2.85375216793914	0	0	0	3.20517566224095	0	0	1.47163060887476	0	0	0	2.79291847244964	0	1.6366124418327	02aedaf0-1cde-11e6-9a08-68b599768938	WGS	500	8142500	PRJEB14082	SAMEA4008094	5106033	THE WELLCOME TRUST SANGER INSTITUTE	public	sra,cram,contigs	s3,ena,gs,ncbi	gs.US,s3.us-east-1,ncbi.public,ena	ERC000011	9/12/16	11/16/18	ERX1694902	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:15Z	public	Illumina MiSeq	16634272	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008094	ERS1179204	ERS1179204	ERP015690	P3_Pre	Pre	P3	0
