reads.in	reads.out
SRR13357647	39134	17026
SRR13357655	35999	25632
SRR13357656	25358	18470
SRR13357660	51868	47280
SRR13357661	58586	43003
SRR13357662	68273	48082
SRR13357663	45823	36798
SRR13357664	61911	51301
SRR13357668	66774	45145
SRR13357669	55342	47481
SRR13357670	58158	47655
SRR13357671	37531	8774
SRR13357672	64389	59643
SRR13357676	58375	44043
SRR13357677	67823	57893
SRR13357678	46115	30935
SRR13357679	52993	46675
SRR13357681	62449	52176
SRR13357682	32991	14362
SRR13357683	57969	52632
SRR13357684	64230	44319
SRR13357685	64484	52014
SRR13357689	47020	33865
SRR13357690	70271	63730
SRR13357691	77934	72596
SRR13357692	56434	51050
SRR13357693	48886	42950
SRR13357697	51824	40062
SRR13357698	68910	60282
SRR13357699	78104	70201
SRR13357700	45713	42171
SRR13357705	48011	33805
SRR13357706	42452	32639
SRR13357710	74352	60120
SRR13357711	66375	59011
SRR13357712	69295	64315
SRR13357713	53254	37991
SRR13357718	72507	66853
SRR13357719	53893	47557
SRR13357720	72869	51252
SRR13357721	54455	42969
SRR13357740	55206	47285
SRR13357742	50829	42555
SRR13357743	58241	50910
SRR13357744	62729	47751
SRR13357754	57107	49734
SRR13357755	69778	42649
SRR13357761	56450	47225
SRR13357772	46831	41373
SRR13357773	65984	53591
SRR13357774	39264	13911
SRR13357784	62693	57141
SRR13357829	58498	51617
SRR13357840	33976	28055
SRR13357851	63589	54946
SRR13357862	51303	44495
SRR13357892	52439	41788
SRR13357893	49829	44415
SRR13357899	78808	71275
SRR13357910	74717	67234
SRR13357921	44808	40609
SRR13357925	55682	49359
SRR13357929	73987	57354
SRR13357930	61235	49083
SRR13357931	45710	35226
SRR13357932	46650	42474
SRR13357933	27251	22092
SRR13357936	70054	35090
SRR13357938	50217	39738
SRR13357939	44367	26745
SRR13357940	36703	30443
SRR13357941	73698	41655
SRR13357943	43436	39767
SRR13357944	31936	27866
SRR13357945	52559	41486
SRR13357946	25171	14098
SRR13357947	29720	26112
SRR13357950	73330	57802
SRR13357955	22493	9059
SRR13357956	56624	49394
SRR13357957	58913	44305
SRR13357958	55580	21420
SRR13357959	43559	33442
SRR13357960	60323	40398
SRR13357961	67225	48900
SRR13357962	68388	55972
SRR13357966	53718	42778
SRR13357967	63388	52424
SRR13357969	52865	44761
SRR13357970	60708	50424
SRR13357971	52700	46226
SRR13357972	60270	51630
SRR13357975	61915	53860
SRR13357977	64982	52235
SRR13357978	45438	39891
SRR13357979	46660	36468
SRR13357983	66697	60755
SRR13357984	49593	33426
SRR13357986	58681	50143
SRR13357987	88049	59915
SRR13357991	28531	23775
SRR13357992	890	28
SRR13357996	51270	41770
SRR13357997	46211	41447
SRR13357998	55223	43204
SRR13357999	63795	55012
SRR13358000	51941	45137
SRR13358004	28285	17872
SRR13358005	58671	41640
SRR13358006	50625	34448
SRR13358007	42245	30230
SRR13358009	55889	46092
SRR13358010	66637	56616
SRR13358013	46230	38858
SRR13358014	58570	51386
SRR13358015	55824	36560
SRR13358016	46635	38314
SRR13358020	49407	40469
SRR13358021	43603	39037
SRR13358022	58981	40504
SRR13358023	60912	44635
SRR13358024	51348	43954
SRR13358028	24635	17557
SRR13358029	28824	21889
SRR13358030	51682	40932
SRR13358031	34300	14056
SRR13358036	97582	25902
SRR13358037	41916	18068
SRR13358038	58422	43816
SRR13358039	47124	37006
SRR13358042	58358	51413
SRR13358044	67146	62308
SRR13358045	73609	41168
SRR13358046	39384	26757
SRR13358050	40759	35926
SRR13358051	56820	25257
SRR13358052	47011	42508
SRR13358053	53773	43021
SRR13358058	35644	24560
SRR13358059	58024	49320
SRR13358060	53049	42505
SRR13358061	60961	50843
SRR13358065	61385	51371
SRR13358066	49234	43386
SRR13358067	60281	43185
SRR13358068	44786	38764
SRR13358069	51828	45394
SRR13358073	60576	44826
SRR13358076	37144	32111
SRR13358078	33045	23199
SRR13358079	39273	19206
SRR13358080	74975	57107
SRR13358081	34235	23613
SRR13358083	61954	35076
SRR13358084	51348	45051
SRR13358085	55395	37093
SRR13358086	67777	59053
SRR13358087	52921	45893
SRR13358091	64672	56790
SRR13358092	72361	59485
SRR13358093	81511	71043
SRR13358094	85430	73852
SRR13358098	61354	53727
SRR13358099	61184	51327
SRR13358100	55711	48043
SRR13358101	55025	49004
SRR13358102	33093	16265
SRR13358106	46713	42799
SRR13358107	88202	78796
SRR13358108	65444	51411
SRR13358110	52180	35800
SRR13358114	67223	56903
SRR13358115	54651	47342
SRR13358116	62725	56909
SRR13358117	58502	50939
SRR13358121	55915	47218
SRR13358123	63009	40387
SRR13358124	66074	57617
SRR13358125	45516	33619
SRR13358126	3952	643
SRR13358130	27415	21305
SRR13358131	76316	28216
SRR13358133	58252	51008
SRR13358134	64538	55705
SRR13358141	48220	16458
SRR13358142	69313	62275
SRR13358143	49664	40794
SRR13358144	37488	29239
SRR13358145	72106	43794
