bugName	pval	p6M	p12M	s6M	s12M	Adjustedpval	Adjustedp6M	Adjustedp12M
others	5.55111512312578e-16	0.998961903352947	1.31715002968074e-15	0.000214636315746823	-4.16345995825704	6.66133814775094e-15	0.998961903352947	1.58058003561689e-14
Firmicutes	1.24158232583937e-08	0.014008152679653	3.84536703230026e-07	-0.109896101180802	0.312963801260525	7.44949395503625e-08	0.0840489160779178	1.5381468129201e-06
Bacteroidetes	2.95226852964348e-08	0.111173755548139	1.62380357825136e-08	0.0477094544525183	0.273881032974073	1.18090741185739e-07	0.266817013315533	9.74282146950815e-08
Elusimicrobia	0.000382029736229139	0.000391394042716442	1	0.751040738565343	-4.96506830649455e-17	0.00114608920868742	0.0046967285125973	1
Verrucomicrobia	0.0026941118918401	0.898002811184836	0.00269600139400662	-0.0489035713982639	1.3075763806788	0.00646586854041624	0.979639430383457	0.00808800418201985
Fusobacteria	0.0190927096033179	0.0443796343758742	0.376008015449483	0.605921349691665	-0.254467172549908	0.0380323631566589	0.177518537503497	0.564012023174224
Proteobacteria	0.0221855451747177	0.0883866056180154	0.00669358340053362	0.18244218724799	0.310225720372973	0.0380323631566589	0.265159816854046	0.0160646001612807
Synergistetes	0.214523248333065	0.786814363226751	0.105157386725148	0.091119723607429	0.566351165839491	0.321784872499598	0.965913577250453	0.210314773450297
Actinobacteria	0.363902353140365	0.188687040092389	0.271008389012396	-0.473162894320931	-0.393292269948487	0.485203137520486	0.377374080184777	0.464585809735537
Cyanobacteria	0.457983901060599	0.418301358038334	0.673834919066512	-0.221995779056969	0.11465808165118	0.549580681272719	0.65496094680121	0.85847717092923
Patescibacteria	0.504950488210954	0.436640631200807	0.715397642441025	-0.132024529239146	0.0614688448429676	0.550855078048314	0.65496094680121	0.85847717092923
Lentisphaerae	0.968324711734462	0.804927981042044	0.874122703055047	-0.0840307743678696	-0.0538747932725968	0.968324711734462	0.965913577250453	0.953588403332778
