Acidobacteria	Actinobacteria	Armatimonadetes	Asgardaeota	Atribacteria	Bacteroidetes	BHI80-139	BRC1	Caldiserica	Calditrichaeota	Chlamydiae	Chloroflexi	Cloacimonetes	Crenarchaeota	Cyanobacteria	Dadabacteria	Deferribacteres	Deinococcus-Thermus	Dependentiae	Elusimicrobia	Entotheonellaeota	Epsilonbacteraeota	Euglenozoa	Euryarchaeota	FBP	FCPU426	Fibrobacteres	Firmicutes	Fusobacteria	Gemmatimonadetes	GN01	Halanaerobiaeota	Hydrogenedentes	Incertae_Sedis	Kiritimatiellaeota	Latescibacteria	LCP-89	Lentisphaerae	Margulisbacteria	Marinimicrobia_(SAR406_clade)	Modulibacteria	Nanoarchaeaeota	Nitrospinae	Nitrospirae	Omnitrophicaeota	Parabasalia	Patescibacteria	PAUC34f	Planctomycetes	Proteobacteria	Rokubacteria	Spirochaetes	Synergistetes	TA06	Tenericutes	Thaumarchaeota	Thermotogae	Verrucomicrobia	Vertebrata	WOR-1	WPS-2	WS1	WS2	WS4	Zixibacteria	others	BioProject	sample_alias	env_material	time	ID	prepost
SRR39238454	0.859161185519583	3.07363492802114	0	0	0	4.56536371299362	0	0	0	0	0	0.543093190659691	0	0	0	0	0	0	0	0	0	2.23480176118235	0	0	0	0	0	4.40508540259949	1.81819924691374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.36220015916132	0	0	0	0	0	0	0	1.3460260655201	0	0	0	0	0	0	0	0.859161185519583	PRJNA1480144	ILPr10	fecal	Pre	10	0
SRR39238455	0	3.20844727561263	0	0	0	4.60837549108798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3559788165577	0	0	0	0	0	4.07647121949998	3.43726880158979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55064342657681	0	0	0	2.90734291315341	0	0	0	0	3.89699088602613	0	0	0	0	0	0	0	0	0	0	2.16596652094655	PRJNA1480144	ILPo10	fecal	Post	10	1
SRR39238519	0	1.90817542063725	0	0	0	4.04607440417614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.23649380812393	0	0	0	0	0	3.53017447396214	3.32443199762633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.69163839863752	0	0	0	0	0	0	0	1.73807638139722	0	0	0	0	0	0	0	0	PRJNA1480144	ILPr11	fecal	Pre	11	0
SRR39238552	0	3.92691296833944	0	0	0	3.84631329841622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.07786584513746	0	0	0	0	0	4.68121896023073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.36611968962563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.36892542933918	PRJNA1480144	ILPr12	fecal	Pre	12	0
SRR39238541	0	2.242461561777	0	0	0	4.55618190550905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.03142010035529	0	0.639809983046393	0	0	0	4.28356980744352	3.69377015467669	0	0	0	0	0.510835233849282	0	0	0	0	0	0	0	0	0	0	0	0	0.998636940833185	0	0	3.73635371933402	0	0	1.15995786463974	0	0.73912372172715	0	0	0	0	0	0	0	0	0	0	1.46280325654477	PRJNA1480144	ILPr13	fecal	Pre	13	0
SRR39238540	2.59930425116714	3.15365338705687	0.76168326065103	0	0	4.03495884931234	0	0	0	0	0	2.15566448553145	0	0	1.97927847489354	0	0	0.843290865390452	0	0	0	1.06995203974309	0	0	0	0	0	3.60001655623671	2.48673039140811	2.2888262764141	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6191177556973	0	0	1.58000960292831	0	0.76168326065103	4.68274168625214	1.06995203974309	0	0	0	0	2.0934259072928	0	2.10984151190484	0	0	0	0	0	0	0	1.41627287686268	PRJNA1480144	ILPr14	fecal	Pre	14	0
SRR39238539	0	2.9592172341917	0	0	0	4.27787543238189	0	0	0	0	0	0.516894765520076	0	0	0	0	0	0	0	0	0	2.11479825475149	0	0	0	0	0	4.59441171559542	1.7562490199607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.646558529096033	0	0	0	0	0	3.81560738848541	0	0	0	0	0	0	0	1.16809415560532	0	0	0	0	0	0	0	1.16809415560532	PRJNA1480144	ILPr15	fecal	Pre	15	0
SRR39238538	0.858477829058108	2.78943535786478	0	0	0	4.47997619976908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6309994119276	0	0	0	0	0	4.25887320873274	4.15749794046023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.84741746904445	0	0	0	0	0	0	0	3.26251712540093	0	0	0	0	0	0	0	1.27343208265974	PRJNA1480144	ILPr16	fecal	Pre	16	0
SRR39238537	2.06794632355513	2.86513346810431	0	0	0	4.23933886504945	0	0	0	0	0	1.45642201784659	0	0	1.64406175977138	0	0	0	0	0	0.506274289600107	1.65481066174011	0	0	0	0	0	4.13773942697477	3.50600959202711	1.43932542240779	0	0	0	0	0	0.634723312029787	0	0	0	0	0	0	0	0.992693982817673	0	0	0	0	0	3.75768417712525	0	0	0	0	0	0.940966104216606	0	4.39551650704767	0.940966104216606	0	0	0	0	0	0	1.61012025243286	PRJNA1480144	ILPr17	fecal	Pre	17	0
SRR39238453	0	2.45092136833781	0	0	0	3.77855621593743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.77387852400385	0.812939719441556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.32035042212351	0	0	0	0	0.452317830925841	0	0	1.21970110754281	0	0	0	0	0	0	0	0	PRJNA1480144	ILPo17	fecal	Post	17	1
SRR39238536	0	3.2074489194926	0	0	0	3.27240286524712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.79206743683801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.62195211830812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.88333347250988	PRJNA1480144	ILPr18	fecal	Pre	18	0
SRR39238535	0	3.25332994413499	0	0	0	3.51818850262874	0	0	0	0	0	0.684032083573405	0	0	1.02437737756901	0	0	0	0	0	0	1.47322539063007	0	0	0	0	0	4.7631092679413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.44959976265925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.45900552916081	PRJNA1480144	ILPr19	fecal	Pre	19	0
SRR39238534	0	3.55237414404888	0	0	0	3.6085921190336	0	0	0	0	0	0	0	0	2.47971376282004	0	0	0	0	0	0	1.65419289314214	0	0	0	0	0	4.7457253680276	1.16345219665132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.35068808293417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.32949204843199	PRJNA1480144	ILPr20	fecal	Pre	20	0
SRR39238533	0.533611833952603	3.05617119129635	0	0	0	4.5872388461884	0	0	0	0	0	0.533611833952603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.2842199878129	3.29273970438835	0.533611833952603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.69070738352235	0	0	0	0	0	0	0	1.25326952583118	0	0	0	0	0	0	0	0.765927598361255	PRJNA1480144	ILPr21	fecal	Pre	21	0
