SAMPLE_ID	Acholeplasmatales	Acidaminococcales	Acidimicrobiales	Acidithiobacillales	Acidobacteriales	Actinomycetales	Aeromonadales	Alteromonadales	Anaerolineales	Aquificales	Bacillales	Bacteriovoracales	Bacteroidales	Bacteroidetes Order II. Incertae sedis	Bdellovibrionales	Bifidobacteriales	Burkholderiales	Campylobacterales	Candidatus Nanosynbacterales	Cardiobacteriales	Cellvibrionales	Chitinophagales	Chlamydiales	Chromatiales	Chroococcales	Chrysiogenales	Clostridiales	Coriobacteriales	Corynebacteriales	Cytophagales	Deferribacterales	Dehalococcoidales	Deinococcales	Desulfobacterales	Desulfovibrionales	Desulfurellales	Desulfuromonadales	Eggerthellales	Endomicrobiales	Enterobacterales	Entomoplasmatales	Erysipelotrichales	Flavobacteriales	Fusobacteriales	Gemmatimonadales	Halanaerobiales	Holosporales	Hydrogenophilales	Kiritimatiellales	Lactobacillales	Legionellales	Leptospirales	Limnochordales	Magnetococcales	Marinilabiliales	Mariprofundales	Mesoaciditogales	Micrococcales	Micromonosporales	Myxococcales	Neisseriales	Nitrosomonadales	Nostocales	Oceanospirillales	Orbales	Oscillatoriales	Parachlamydiales	Pasteurellales	Pleurocapsales	Propionibacteriales	Pseudomonadales	Puniceicoccales	Rhizobiales	Rhodobacterales	Rhodocyclales	Rhodospirillales	Rickettsiales	Rubrobacterales	Selenomonadales	Solirubrobacterales	Sphingobacteriales	Sphingomonadales	Spirochaetales	Streptomycetales	Synechococcales	Synergistales	Syntrophobacterales	Thermales	Thermoanaerobacterales	Thermodesulfobacteriales	Thermosediminibacterales	Thermotogales	Thiotrichales	Tissierellales	Veillonellales	Verrucomicrobiales	Vibrionales	Xanthomonadales
ERR1624536	0.0	2.2121806743652432	0.2586509964339918	0.0	0.0	1.171403867633653	0.0	0.2586509964339918	0.0	0.2586509964339918	0.4196442927905858	0.0	3.52694437169588	0.0	0.0	3.048713889477429	1.1209310646851705	0.6290249993555429	0.0	0.0	0.9204632966098149	0.0	0.0	0.0	0.0	0.0	3.8952825560191005	2.866452556976288	0.0	0.0	0.0	0.2586509964339918	0.0	0.0	1.1209310646851705	0.0	0.0	1.7115672589585407	0.0	1.3125449280006414	0.0	2.909449610005438	0.0	0.2586509964339918	0.0	0.9609734126737105	0.0	0.0	0.0	2.5893812595276415	0.2586509964339918	0.0	0.0	0.0	0.0	0.0	0.0	0.5368325479568865	0.0	0.0	0.0	1.8848368503087567	1.361341455587369	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2166168155919874	0.0	0.2586509964339918	0.0	0.2586509964339918	0.0	0.0	0.0	0.0	0.2586509964339918	0.0	0.0	0.0	0.0	0.0	0.2586509964339918	0.0	0.2586509964339918	3.3180846936012753	0.7696980308155595	0.0	0.0
ERR1624537	0.0	1.2796570309921298	0.0	0.0	0.0	1.1884124300549819	0.0	0.0	0.0	0.0	0.9146512414735876	0.0	3.6105690814656803	0.0	0.0	3.214895530363981	1.8642633772482953	1.1531748259034462	0.0	0.0	1.072754843351855	0.0	0.6635042783917849	0.0	0.3429430670115592	0.0	3.8538358153888113	2.625233398848718	0.0	0.3429430670115592	0.0	0.0	0.0	0.3429430670115592	1.7862677851926028	0.0	0.8459155100211799	1.6343998689350623	0.0	2.3325788445618643	0.0	2.800981415237419	1.2796570309921298	0.0	0.0	0.3429430670115592	0.0	0.0	0.0	3.2062114837730773	0.0	0.0	0.0	0.0	0.5321522394008409	0.0	0.0	0.6635042783917849	0.0	0.0	0.0	1.8783122783375834	0.0	0.3429430670115592	0.0	0.0	0.6635042783917849	1.457286292511668	0.0	0.5321522394008409	0.0	0.0	0.0	0.0	0.0	0.0	1.026169561177326	0.0	0.9739800754557477	0.0	0.3429430670115592	0.0	0.0	0.5321522394008409	0.0	0.3429430670115592	0.3429430670115592	0.3429430670115592	0.5321522394008409	0.0	0.0	0.3429430670115592	0.3429430670115592	1.5246715128643347	2.767513487701843	0.7642173005487992	0.0	0.0
ERR1624538	1.2614052231680977	0.0	0.0	0.0	0.0	0.9319403393156983	0.0	0.0	0.0	0.0	0.9319403393156983	0.0	3.730739829620168	0.0	0.0	1.6117706715241868	1.7564987613948353	2.278152748914838	0.0	0.0	1.0713291958066415	0.0	0.0	0.0	0.0	0.0	3.8579813665249834	2.420079978800711	0.0	0.0	0.0	0.0	0.0	0.0	1.6655524319920898	0.0	0.31774980711661566	1.6755533882418123	0.0	1.2863325402665033	0.0	2.953947869092339	1.9074593104412119	0.0	0.0	0.0	0.0	0.0	0.0	3.232829044825846	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8733783662926033	0.0	0.0	0.0	1.803135635523565	1.1093587567555236	0.7254212031741735	0.0	0.0	0.0	0.0	0.0	0.7254212031741735	0.49927428993356415	0.0	0.0	0.0	0.0	0.0	0.31774980711661566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31774980711661566	0.31774980711661566	0.0	0.0	1.0296471339337436	0.0	0.0	0.0	0.0	0.8056703762315991	2.8348591186558463	0.31774980711661566	0.0	0.0
ERR1624539	1.0467668265361159	1.6778809067046807	0.0	0.0	0.0	1.4528563283655558	0.0	0.0	0.0	0.0	1.1516166125603464	0.0	2.9149215346858224	0.0	0.0	3.0409317849042683	0.3039939995829066	1.2360115286984104	0.3039939995829066	0.0	1.1193996555611654	0.0	0.0	0.0	0.3039939995829066	0.0	4.057098519079348	3.120180702167981	1.2360115286984104	0.0	0.0	1.1516166125603464	0.3039939995829066	0.0	1.2608543034402007	0.0	1.5498082732517717	2.5657983756243974	0.0	1.8446719561260883	0.6064984457057766	2.8602057507915144	0.3039939995829066	0.3039939995829066	0.0	0.0	0.0	0.0	0.0	2.4107185299239955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48106878160447186	0.0	0.0	0.0	2.2730479247336195	0.0	0.7037027490563794	0.0	0.0	0.8501668725485594	0.0	0.0	0.48106878160447186	0.0	0.0	0.0	0.0	0.0	1.0845998937047212	1.0467668265361159	0.0	0.0	0.0	0.0	0.0	2.3423406078708373	0.0	0.48106878160447186	0.0	0.0	0.3039939995829066	1.3480637914863112	0.0	0.0	0.0	0.3039939995829066	0.9082637936519817	1.385874592410201	0.0	0.0	0.0
ERR1624540	0.7391801260033378	0.0	0.0	0.0	0.0	3.332983494899001	0.3265941140322982	0.0	0.0	0.0	0.7391801260033378	0.0	2.542316070578579	0.0	0.0	2.918874974496358	1.2226554693730314	0.5108829400544743	0.3265941140322982	0.0	0.7391801260033378	0.0	0.3265941140322982	0.0	0.3265941140322982	0.0	3.8771336363534563	3.252437968794328	0.0	0.0	0.0	0.0	0.0	0.0	1.6166371985110282	0.0	0.0	2.9217999535475343	0.0	0.6398631557384263	0.3265941140322982	3.1284867381818615	0.8880427339086779	0.0	0.0	0.0	0.0	0.0	0.0	3.2040977875093546	0.3265941140322982	0.3265941140322982	0.6398631557384263	0.0	0.0	0.0	0.0	0.5108829400544743	0.0	0.0	0.0	1.6920906450827964	0.3265941140322982	0.0	0.0	0.0	0.0	0.9468857155795946	0.5108829400544743	0.5108829400544743	0.0	0.0	0.0	0.0	0.0	0.0	0.3265941140322982	0.0	2.0223346392895234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3265941140322982	0.0	0.0	0.0	0.0	0.0	1.9003030573838278	0.0	0.0	0.3265941140322982
ERR1624541	0.2961988618970097	2.4390246722565627	0.0	0.0	0.0	2.8111562176151916	0.0	0.0	0.0	0.0	0.8367828939868466	0.0	2.933294182808453	0.0	0.0	3.1614311621595874	1.4377922080549688	0.0	0.0	0.0	1.662590259486773	0.0	0.0	0.0	1.3331524787550124	0.0	3.994003323394181	3.1238295187409766	0.0	0.0	0.0	0.0	0.0	0.0	0.8367828939868466	0.0	0.0	2.051066661864489	0.0	1.7308246949381598	0.2961988618970097	2.3125494686293635	0.0	0.0	0.0	0.2961988618970097	0.2961988618970097	0.0	0.0	1.775774274521194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47066772610319674	0.0	0.0	0.0	0.0	0.0	0.2961988618970097	0.0	0.0	0.0	0.47066772610319674	0.0	0.2961988618970097	0.2961988618970097	0.0	0.0	0.0	0.0	0.0	0.2961988618970097	0.0	3.0241181690447565	0.0	0.0	0.0	0.0	0.0	0.0	0.2961988618970097	0.0	0.0	0.2961988618970097	0.0	0.0	0.0	0.0	0.2961988618970097	2.8762225027490227	0.0	0.0	0.0
ERR1624542	0.6510688764528556	1.1383687541694396	0.0	0.0	0.0	0.43757959657369255	0.0	0.19855826657259604	0.0	0.0	0.8678236025977384	0.19855826657259604	2.9842403370698016	0.0	0.0	2.6298743763503345	0.5209499484530369	1.432709976208807	0.0	0.0	0.9006776495091384	0.0	0.0	0.0	0.19855826657259604	0.0	3.78109835819559	2.7968740216025436	0.0	0.0	0.0	1.7396243042611454	0.0	0.0	0.8678236025977384	0.0	0.0	1.9929050878971775	0.0	2.458399743347977	0.0	3.061296542449188	1.0117500607589751	0.0	0.0	0.0	0.0	0.0	0.0	3.835545605134202	0.19855826657259604	0.0	0.0	0.0	0.0	0.0	0.0	1.339790374032271	0.0	0.0	0.0	2.1446803095614975	0.590864409043443	0.33430917297642326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19855826657259604	0.19855826657259604	1.3730220428606206	0.0	0.0	0.0	0.0	0.0	0.19855826657259604	0.5209499484530369	0.19855826657259604	0.43757959657369255	0.0	0.0	0.8322792660581464	0.0	0.0	0.0	0.0	0.33430917297642326	0.33430917297642326	0.5209499484530369	0.0	0.0
ERR1624543	0.0	0.7543893079891268	0.0	0.0	0.0	0.5237813057611148	0.2504417932900784	0.7543893079891268	0.0	0.0	1.199253062597059	0.0	3.612822978451388	0.0	0.0	2.2107958693681335	1.679476582903499	1.240096637668587	0.0	0.0	1.6187240689892526	0.4082702680981002	0.0	0.0	0.2504417932900784	0.0	3.982588686788575	2.7544438484705434	0.4082702680981002	0.0	0.0	0.0	0.0	0.0	2.01691551906954	0.0	0.9814100452203752	1.7069371450116193	0.0	1.961375338924448	0.2504417932900784	2.775965773550994	1.129735930019759	0.2504417932900784	0.0	0.0	0.0	0.0	0.0	2.7832812621962435	0.0	0.0	1.0154046823358671	0.0	0.0	0.0	0.0	1.4272092699344814	0.0	0.4082702680981002	0.0	2.1155932934863975	0.4082702680981002	0.4082702680981002	0.0	0.0	1.046930453824997	0.9814100452203752	1.0154046823358671	0.2504417932900784	0.0	0.0	0.0	0.0	0.0	0.4082702680981002	0.7543893079891268	0.0	2.6957939015457306	0.5237813057611148	0.8597814247669899	0.0	0.2504417932900784	0.2504417932900784	0.0	0.6902356587552203	0.0	0.2504417932900784	0.9042178948156991	0.0	0.0	0.0	0.2504417932900784	0.2504417932900784	1.0154046823358671	0.0	0.0	0.0
ERR1624544	0.9072964650046614	1.159805900972958	0.0	0.0	0.0	0.9437738448870311	0.0	0.38302008250233144	0.0	0.2324335166391086	1.3184393264600247	0.38302008250233144	3.514676899389055	0.0	0.0	2.5858305034413944	1.5348628338883252	1.5775479308540126	0.2324335166391086	0.0	1.1805767255807063	0.38302008250233144	0.0	0.0	0.8674719895232226	0.0	3.8050803980923114	2.1851851875008457	0.38302008250233144	0.38302008250233144	0.49462187696871807	1.8340370787772635	0.0	0.0	2.12037799127146	0.0	2.0631883512938254	1.8109094085266637	0.0	2.1646388739734856	0.5833285965868857	2.959282502845666	0.49462187696871807	0.2324335166391086	0.0	0.0	0.0	0.0	0.0	3.6312562518634484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8674719895232226	0.0	0.7198876889674068	0.2324335166391086	1.791477440715447	0.9774233899725304	0.0	0.0	0.2324335166391086	0.0	1.159805900972958	0.38302008250233144	0.2324335166391086	0.38302008250233144	0.0	0.49462187696871807	0.2324335166391086	0.0	0.2324335166391086	1.0650862877222673	0.0	0.2324335166391086	0.0	0.0	0.2324335166391086	1.5437420866334437	0.2324335166391086	0.38302008250233144	0.38302008250233144	0.0	1.0377852492431099	1.3606194296675347	0.0	0.0	0.0	0.0	0.0	2.708086008625433	1.3990630834415616	0.0	0.0
ERR1624545	0.3329049977827027	0.0	0.0	0.0	0.0	0.5191217539666825	0.0	0.0	0.0	0.0	0.3329049977827027	0.0	1.6937010687470655	0.0	0.0	1.1710746799935934	1.0557909357995867	0.0	0.0	0.0	0.3329049977827027	0.3329049977827027	0.0	0.5191217539666825	0.0	0.0	2.056624620610104	0.8983886475192732	0.0	0.0	0.0	0.0	0.0	0.0	0.3329049977827027	0.0	0.3329049977827027	0.8300465412730772	0.0	4.164170317915797	0.0	0.8983886475192732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2899360867390244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3329049977827027	0.0	0.0	0.0	0.3329049977827027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3329049977827027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9574241478950168	0.0	0.0	0.0
