SAMPLE_ID	Acetobacteraceae	Acholeplasmataceae	Acidaminococcaceae	Acidithiobacillaceae	Acidobacteriaceae	Actinomycetaceae	Aerococcaceae	Aeromonadaceae	Akkermansiaceae	Alcaligenaceae	Alicyclobacillaceae	Alteromonadaceae	Amoebophilaceae	Anaerolineaceae	Anaplasmataceae	Aphanothecaceae	Archangiaceae	Atopobiaceae	Bacillaceae	Bacteriovoracaceae	Bacteroidaceae	Barnesiellaceae	Bartonellaceae	Bdellovibrionaceae	Bifidobacteriaceae	Blattabacteriaceae	Bogoriellaceae	Borreliaceae	Bradyrhizobiaceae	Budviciaceae	Burkholderiaceae	Caedimonadaceae	Calotrichaceae	Campylobacteraceae	Candidatus Nanosynbacteraceae	Cardiobacteriaceae	Carnobacteriaceae	Cellulomonadaceae	Cellvibrionaceae	Chitinophagaceae	Chlamydiaceae	Christensenellaceae	Chromatiaceae	Chromobacteriaceae	Chroococcaceae	Chrysiogenaceae	Clostridiaceae	Clostridiales Family XIII. Incertae Sedis	Clostridiales Family XVI. Incertae Sedis	Comamonadaceae	Conexibacteraceae	Coriobacteriaceae	Corynebacteriaceae	Coxiellaceae	Cyanothecaceae	Cyclobacteriaceae	Cytophagaceae	Deferribacteraceae	Dehalococcoidaceae	Deinococcaceae	Dermocarpellaceae	Desulfobacteraceae	Desulfomicrobiaceae	Desulfovibrionaceae	Desulfurellaceae	Desulfuromonadaceae	Dysgonomonadaceae	Eggerthellaceae	Endomicrobiaceae	Enterobacteriaceae	Enterococcaceae	Erwiniaceae	Erysipelotrichaceae	Erythrobacteraceae	Eubacteriaceae	Fervidobacteriaceae	Flavobacteriaceae	Francisellaceae	Fulvivirgaceae	Fusobacteriaceae	Gemmatimonadaceae	Geobacteraceae	Gomontiellaceae	Hafniaceae	Halanaerobiaceae	Halobacteriovoraceae	Halobacteroidaceae	Halomonadaceae	Heliobacteriaceae	Hungateiclostridiaceae	Hydrogenophilaceae	Hydrogenothermaceae	Hyphomicrobiaceae	Ilumatobacteraceae	Kiritimatiellaceae	Kofleriaceae	Lachnospiraceae	Lactobacillaceae	Legionellaceae	Leptolyngbyaceae	Leptospiraceae	Leuconostocaceae	Limnochordaceae	Listeriaceae	Magnetococcaceae	Marinilabiliaceae	Mariprofundaceae	Merismopediaceae	Mesoaciditogaceae	Methylobacteriaceae	Methylophilaceae	Microbacteriaceae	Microbulbiferaceae	Micrococcaceae	Microcoleaceae	Micromonosporaceae	Moraxellaceae	Morganellaceae	Muribaculaceae	Neisseriaceae	Nitrosomonadaceae	Nocardiaceae	Nocardioidaceae	Oceanospirillaceae	Odoribacteraceae	Orbaceae	Oscillatoriaceae	Oscillospiraceae	Oxalobacteraceae	Paenibacillaceae	Paludibacteraceae	Parachlamydiaceae	Pasteurellaceae	Pectobacteriaceae	Peptococcaceae	Peptoniphilaceae	Peptostreptococcaceae	Piscirickettsiaceae	Planococcaceae	Polyangiaceae	Porphyromonadaceae	Prevotellaceae	Promicromonosporaceae	Propionibacteriaceae	Pseudanabaenaceae	Pseudoalteromonadaceae	Pseudomonadaceae	Puniceicoccaceae	Rhizobiaceae	Rhodanobacteraceae	Rhodobacteraceae	Rhodospirillaceae	Rhodothermaceae	Rickettsiaceae	Rikenellaceae	Rubrobacteraceae	Ruminococcaceae	Sanguibacteraceae	Selenomonadaceae	Shewanellaceae	Sphingobacteriaceae	Sphingomonadaceae	Spirochaetaceae	Spiroplasmataceae	Sporomusaceae	Staphylococcaceae	Streptococcaceae	Streptomycetaceae	Succinivibrionaceae	Sulfurovaceae	Sutterellaceae	Synechococcaceae	Synergistaceae	Syntrophobacteraceae	Syntrophomonadaceae	Tannerellaceae	Tenuifilaceae	Tepidanaerobacteraceae	Thermaceae	Thermoactinomycetaceae	Thermoanaerobacteraceae	Thermoanaerobacterales Family III. Incertae Sedis	Thermoanaerobacterales Family IV. Incertae Sedis	Thermodesulfobacteriaceae	Thiovulaceae	Tissierellaceae	Vallitaleaceae	Veillonellaceae	Vibrionaceae	Vulgatibacteraceae	Xanthomonadaceae	Yersiniaceae	Zoogloeaceae
ERR1624536	0.0	0.0	2.1920018017284635	0.0	0.0	1.152496166370039	0.0	0.0	0.7529102142526323	0.0	0.0	0.2496557515889265	0.0	0.0	0.0	0.0	0.0	0.6135756246665377	0.0	0.0	2.753247172539264	0.0	0.0	0.0	3.0284260784387866	0.0	0.0	0.0	0.0	0.0	0.2496557515889265	0.0	1.341938778521168	0.40717681349099927	0.0	0.0	1.045296182364743	0.0	0.9026464304825856	0.0	0.0	0.6135756246665377	0.0	0.0	0.0	0.0	0.6888069525814243	1.3716079266322936	0.0	0.0	0.0	2.8442469915070605	0.0	0.0	0.0	0.0	0.0	0.0	0.2496557515889265	0.0	0.0	0.0	0.0	1.102195427754705	0.0	0.0	0.0	1.6916645633401883	0.0	1.074676973713622	0.5225239363215393	0.0	2.8891688238041815	0.0	0.2496557515889265	0.2496557515889265	0.0	0.0	0.0	0.2496557515889265	0.0	0.0	0.0	0.0	0.0	0.0	0.942935407797902	0.0	0.5225239363215393	2.1697581840561644	0.0	0.2496557515889265	0.0	0.2496557515889265	0.0	0.0	3.68149774945248	0.8087572302099821	0.2496557515889265	0.0	0.0	0.5225239363215393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40717681349099927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8648013844353046	0.0	0.0	0.0	1.5061641711678893	0.0	0.0	1.5918061647041788	0.0	0.0	0.0	0.0	0.0	0.0	0.40717681349099927	0.2496557515889265	1.0137825667856115	0.0	0.0	0.0	0.0	2.991850673114031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1975710249792426	1.5463241953713533	0.0	3.3499351241648787	0.2496557515889265	0.2496557515889265	0.0	0.2496557515889265	0.0	0.0	0.0	0.0	0.0	2.5360529584246465	0.0	0.0	0.40717681349099927	1.0137825667856115	0.0	0.2496557515889265	0.0	0.5225239363215393	2.85048016093222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0311306053326947	3.297788294058166	0.0	0.0	0.0	0.0	0.0
ERR1624537	0.0	0.0	1.2825585029729973	0.0	0.0	1.1912764215891385	1.1176511080009197	0.0	0.76675365294792	0.0	0.34461745140897365	0.0	0.34461745140897365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.981826130992661	0.8485420032315781	0.0	0.0	3.2179554159020687	0.0	0.0	0.0	0.0	0.0	0.34461745140897365	0.0	0.0	1.1176511080009197	0.0	0.0	0.34461745140897365	0.5343171031657092	1.075558473963791	0.0	0.6659034016394157	0.0	0.0	0.0	0.0	0.0	1.4221640258708899	1.2825585029729973	0.34461745140897365	1.1176511080009197	0.0	2.628287913339064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34461745140897365	0.34461745140897365	1.7806496538278904	0.0	0.0	0.0	1.6373908078564483	0.0	2.1432355234119522	0.5343171031657092	0.0	2.8040383363238917	0.0	0.6659034016394157	0.34461745140897365	0.9173414744671355	0.34461745140897365	0.0	0.0	0.0	0.8485420032315781	0.0	0.0	0.0	0.0	0.34461745140897365	0.0	1.1912764215891385	1.511747040743909	0.0	0.0	0.0	0.0	0.0	0.0	3.5839578301837443	0.6659034016394157	0.0	0.0	0.0	0.5343171031657092	0.0	0.0	0.0	0.5343171031657092	0.0	0.0	0.0	0.0	0.0	0.34461745140897365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.881333645802147	0.0	0.0	0.34461745140897365	1.4780974335537507	0.0	0.0	2.3728427227182682	0.5343171031657092	0.0	0.0	0.6659034016394157	1.460241573376356	0.0	0.34461745140897365	1.527642096671656	2.608015296254023	0.0	0.0	0.0	0.34461745140897365	3.0315242521806813	0.0	0.5343171031657092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.02894395549802	2.582643975385795	0.0	3.3311270457569844	0.0	0.8485420032315781	0.0	0.34461745140897365	0.0	0.0	0.0	0.5343171031657092	0.34461745140897365	3.200741492943387	0.5343171031657092	0.0	0.34461745140897365	1.7443053254170118	0.0	0.34461745140897365	0.34461745140897365	0.0	2.2702253561872507	0.0	0.0	0.34461745140897365	0.0	0.0	0.5343171031657092	0.0	0.0	0.0	0.0	2.1544364537929153	2.7705700222890504	0.0	0.0	0.0	0.0	0.0
ERR1624538	0.0	1.2697600276859002	0.0	0.0	0.0	0.9397503651122566	0.0	0.0	0.32235609045187036	0.0	0.8131343129293636	0.0	0.0	0.0	0.32235609045187036	0.0	0.0	0.32235609045187036	0.5053295138647292	0.0	3.376691959542296	1.03766366677501	0.0	0.0	1.6203909130680254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1175124865934436	2.2794702582330952	0.0	0.0	0.5053295138647292	0.0	1.0794206102846757	0.0	0.0	0.8131343129293636	0.0	0.0	0.0	0.0	2.6790520055388534	1.1175124865934436	0.32235609045187036	0.0	0.0	2.4270965949396155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6741975861807017	0.0	0.0	0.0	1.6842028442531276	0.0	0.8131343129293636	0.0	0.9914605562636059	2.962772227015461	0.0	0.0	0.0	1.8334043967970761	0.0	0.0	0.0	0.0	0.32235609045187036	0.0	0.0	0.0	0.0	0.0	0.0	1.487390990557216	1.7398287076862171	0.0	0.0	0.0	0.0	0.0	0.0	3.441484697813338	3.228301828314937	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6336688625345446	0.0	0.0	0.0	0.0	0.32235609045187036	0.0	0.0	0.0	1.804396452444937	0.0	0.732606534547671	0.732606534547671	1.487390990557216	0.0	0.0	2.5157367628824425	0.5053295138647292	0.0	0.0	0.0	0.0	0.0	1.2697600276859002	0.8131343129293636	2.634838535415449	0.0	0.0	0.0	0.0	2.6144191929209435	0.0	0.0	0.0	0.0	0.32235609045187036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8175615989123597	0.0	3.358443404135391	0.32235609045187036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6741975861807017	0.0	0.0	0.6336688625345446	1.7484444836415813	0.32235609045187036	0.32235609045187036	0.0	0.5053295138647292	2.8254920509127652	0.0	0.0	0.0	0.0	0.32235609045187036	0.9914605562636059	0.0	0.0	0.0	0.0	2.2535976667112854	2.843680408928907	0.0	0.0	0.0	0.0	0.0
ERR1624539	1.058842548330256	1.0212260398577357	1.650347222774116	0.0	0.0	1.42573629773496	0.2900543952498683	0.0	0.0	0.0	0.8261093500959971	0.0	0.0	0.0	0.2900543952498683	0.2900543952498683	0.0	0.2900543952498683	0.0	0.0	2.308284585112842	0.0	0.0	0.0	3.012814541959308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2095531160406574	0.2900543952498683	0.0	0.0	0.0	1.0934590185179145	0.0	0.0	0.6812733857348877	0.0	0.0	0.0	0.0	3.0913909274684577	1.8756800043676325	0.0	0.0	0.0	3.0917251151925025	1.2095531160406574	0.0	0.0	0.0	0.0	0.0	1.125518832088365	0.2900543952498683	0.0	0.0	0.0	1.2343023647245583	0.0	0.0	0.0	2.537733684692575	0.0	1.580394201984648	0.0	0.2900543952498683	2.8321021628725873	0.0	0.2900543952498683	0.0	0.2900543952498683	0.2900543952498683	0.0	0.2900543952498683	0.0	1.5224836221587468	0.0	0.0	0.0	0.0	0.0	0.0	0.9800397276673555	1.5224836221587468	0.0	0.0	0.0	0.0	0.0	0.0	3.7124082554945375	0.2900543952498683	0.0	0.2900543952498683	0.0	0.2900543952498683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2900543952498683	0.0	0.0	0.0	0.0	0.0	0.0	2.2379609396231124	0.0	0.0	0.6812733857348877	0.8261093500959971	0.0	0.0	2.3507728786990256	0.0	0.0	0.0	0.8261093500959971	0.0	0.0	1.8531295683984732	0.8836967351847616	2.969456476843478	0.0	0.0	0.0	0.2900543952498683	1.741585388548161	0.0	0.4624246036074656	0.2900543952498683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9800397276673555	2.1422733071959468	0.0	3.0132149785443456	0.2900543952498683	0.0	0.0	0.0	0.0	2.3143290720797025	0.5854907903842486	0.0	0.0	2.3470775592205437	0.0	0.0	0.0	0.2900543952498683	0.0	0.0	0.0	0.0	1.932260147286925	0.0	0.0	0.2900543952498683	0.0	0.0	1.3212226971148062	0.0	0.0	0.0	0.0	3.1813552652250237	1.3589250353857416	0.0	0.0	0.0	0.0	0.0
ERR1624540	0.0	0.7050760136379317	0.0	0.0	0.0	3.29091648649335	0.0	0.30485629994601054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30485629994601054	0.0	2.62355095528076	0.0	0.0	1.7709169458115441	0.0	0.0	0.0	2.876840704727235	0.0	0.0	0.0	0.0	0.0	0.7050760136379317	0.0	0.30485629994601054	0.30485629994601054	0.30485629994601054	0.0	1.0861705855858996	0.0	0.7050760136379317	0.0	0.30485629994601054	0.0	0.0	0.0	0.0	0.0	1.6202187958586816	1.4697566717980266	0.0	0.30485629994601054	0.0	3.080597551709901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4822155388672558	0.0	0.0	1.5756167393455682	0.0	0.0	0.0	2.879765326245573	0.0	0.30485629994601054	0.4822155388672558	0.0	3.0864320753783994	0.0	0.4822155388672558	0.0	0.7845098231373007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7845098231373007	2.2089688117063004	0.0	0.0	0.0	0.0	0.0	0.0	3.721024262532712	1.3294786827005765	0.30485629994601054	0.0	0.30485629994601054	0.0	0.6077868798423179	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4822155388672558	0.0	0.0	0.0	0.0	0.0	0.0	1.6306886174070874	0.0	0.0	0.0	0.0	0.0	0.0	1.2376236063445611	0.7845098231373007	0.0	0.0	0.0	0.9097640576531516	0.0	0.7050760136379317	0.0	2.128135901194919	0.0	0.0	0.0	0.0	2.121504441905627	0.0	0.4822155388672558	0.0	0.0	0.0	0.0	0.0	0.30485629994601054	0.0	0.0	0.0	0.30485629994601054	1.006863259449824	0.0	3.00804572374259	0.0	1.538875912159921	0.0	0.0	0.0	0.0	0.30485629994601054	1.792825193383171	0.30485629994601054	3.1515648859914474	0.0	0.0	0.30485629994601054	0.7050760136379317	0.0	0.0	0.0	0.0	1.6202187958586816	0.0	0.0	0.0	0.30485629994601054	0.0	0.30485629994601054	0.0	0.0	0.0	0.0	0.9610216951576296	1.858771150517688	0.0	0.0	0.0	0.0	0.0
ERR1624541	0.0	0.2797229209649602	2.4051562726922766	0.0	0.0	2.7772137745972176	0.2797229209649602	0.0	0.0	0.2797229209649602	0.0	0.0	0.0	0.0	0.0	1.300794412457766	0.0	0.0	0.0	0.0	2.500485743051224	0.0	0.0	0.0	3.1274584813200117	0.0	0.0	0.0	0.0	0.0	0.2797229209649602	0.2797229209649602	0.0	0.0	0.0	0.0	0.2797229209649602	0.0	1.6293615750042785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.19208206508499	1.5372784805547646	0.2797229209649602	0.0	0.0	3.089539616370869	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8079050727782868	0.0	0.0	0.0	2.017383884322732	0.0	1.3200091055200744	0.0	0.0	2.278724556923836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2797229209649602	0.0	0.8079050727782868	1.929903147270571	0.0	0.0	0.0	0.0	0.0	0.0	3.732559236810995	0.6643581533413032	0.0	0.0	0.0	0.2797229209649602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2797229209649602	0.0	0.2797229209649602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2797229209649602	0.44847301343149193	0.0	0.0	0.9156089324142643	0.0	0.44847301343149193	0.0	0.0	0.44847301343149193	0.0	0.960861078458308	0.2797229209649602	2.5627815056406065	0.0	0.0	0.0	0.0	0.2797229209649602	0.0	0.2797229209649602	0.0	0.0	0.2797229209649602	0.0	0.0	0.0	0.0	0.0	0.0	0.2797229209649602	1.8811127541874952	0.0	3.451984076123214	0.0	2.9901545555896396	0.0	0.0	0.0	0.0	0.2797229209649602	0.0	0.0	1.6895309013384545	0.0	0.0	0.0	1.3384095710358175	0.0	0.2797229209649602	0.0	0.0	2.1149680657499363	0.0	0.0	0.0	0.0	0.0	0.2797229209649602	0.0	0.0	0.0	0.0	0.0	2.842272460170818	0.0	0.0	0.0	0.2797229209649602	0.0
ERR1624542	0.18745768604212065	0.6272284765566649	1.1097500344851736	0.0	0.0	0.4181901322033692	0.0	0.0	0.4995641961977678	0.0	0.4181901322033692	0.0	0.0	0.0	0.0	0.18745768604212065	0.0	0.31796999172187734	0.18745768604212065	0.0	2.834940063231908	0.18745768604212065	0.0	0.0	2.599004809482483	0.0	0.0	0.0	0.0	0.0	0.18745768604212065	0.0	0.5680705332556097	0.0	0.0	0.0	0.4995641961977678	0.0	0.8737458482197145	0.0	0.0	0.5680705332556097	0.0	0.0	0.0	0.0	1.384001773427226	1.6659675161465541	0.0	0.0	0.0	2.7643702382521034	0.0	0.0	0.0	0.0	0.0	0.0	1.709263294938826	0.0	0.0	0.0	0.0	0.8412055913341308	0.0	0.0	0.0	1.9622862166053867	0.0	1.9107668232380077	0.18745768604212065	0.4995641961977678	3.0303796228402247	0.0	0.4995641961977678	0.0	0.9839158977248149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18745768604212065	0.0	0.0	0.9588813630515219	0.8060282810279041	0.0	0.0	0.0	0.0	0.0	0.0	3.5698562255323556	0.9588813630515219	0.18745768604212065	0.18745768604212065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.310309899126166	0.0	0.0	0.0	0.0	0.0	0.0	0.31796999172187734	0.0	2.1085219069205174	0.0	0.0	0.31796999172187734	0.4995641961977678	0.0	0.0	1.9871307352665672	0.0	0.6272284765566649	0.0	0.0	0.0	0.31796999172187734	0.6792857256930356	0.18745768604212065	1.5235720607689671	0.0	0.0	0.0	0.31796999172187734	1.0911499421063175	0.0	0.0	0.0	0.18745768604212065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3326708331406754	1.6178726398184247	0.0	2.8484405821956904	0.0	0.0	0.0	0.0	0.0	0.18745768604212065	0.0	0.0	0.0	3.8035012718846897	0.4995641961977678	0.0	1.4029478388557552	0.18745768604212065	0.0	0.4181901322033692	0.0	0.18745768604212065	1.3641913357606572	0.0	0.0	0.0	0.0	0.0	0.8060282810279041	0.0	0.0	0.0	0.18745768604212065	2.8276806391367324	0.31796999172187734	0.0	0.0	0.0	0.4181901322033692	0.18745768604212065
ERR1624543	0.41554177760928135	0.0	0.7641922610412337	0.0	0.0	0.5321308765597079	0.0	0.2556831122344745	0.0	0.0	0.8203274853041492	0.0	0.0	0.0	0.0	0.2556831122344745	0.0	1.165212997946087	0.5321308765597079	0.0	2.9644268169393	0.9920552698986863	0.0	0.0	2.222592781505289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41554177760928135	1.1407355657556835	0.0	0.0	0.2556831122344745	0.0	1.6303112681150436	0.41554177760928135	0.0	0.8203274853041492	0.0	0.0	0.0	0.0	2.762097535367216	1.4978235939208913	0.2556831122344745	0.0	0.5321308765597079	2.756033966131824	0.41554177760928135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.026142164070856	0.0	0.0	2.0286718729837347	0.0	0.0	0.0	1.7185761540195448	0.0	1.8497149572743337	0.7641922610412337	0.41554177760928135	2.7878151393835027	0.0	0.2556831122344745	0.0	0.9920552698986863	0.2556831122344745	0.0	0.2556831122344745	0.0	0.9920552698986863	0.0	0.0	0.0	0.0	0.0	0.0	1.1147957180102113	1.9840888049227625	0.0	0.0	0.0	0.0	0.0	0.0	3.647150340029954	2.5836658756924646	0.0	0.0	0.0	0.0	1.026142164070856	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4257702815375932	0.0	0.2556831122344745	0.0	0.0	0.0	0.0	1.1407355657556835	0.0	2.119511666561189	0.0	0.0	0.41554177760928135	1.7050556091194577	0.0	0.0	2.6083760665500004	0.41554177760928135	0.0	0.0	1.0577472575127262	0.9920552698986863	0.0	1.2313179834235413	0.2556831122344745	2.692356595900213	0.0	0.0	0.41554177760928135	0.2556831122344745	2.707639290994088	0.0	0.2556831122344745	0.0	0.6239529508381558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7641922610412337	2.51705908713345	0.0	3.5056656684937137	0.0	0.0	0.0	0.8700303820363122	0.0	0.2556831122344745	0.2556831122344745	2.707639290994088	0.41554177760928135	2.3405692590127143	0.2556831122344745	0.0	0.6997088178885007	1.654115337572865	0.0	0.6997088178885007	0.0	0.5321308765597079	2.7474001771191148	0.0	0.0	0.2556831122344745	0.0	0.0	0.9146246780612525	0.0	0.0	0.0	0.0	2.33416473767805	1.026142164070856	0.0	0.0	0.0	0.0	0.0
ERR1624544	0.23780964472572647	0.9185850877231077	1.1717881070171448	0.0	0.0	0.9551892828954558	0.0	0.0	1.4114173794624527	0.0	1.1499284953066382	0.3906024905816219	0.0	0.0	0.0	0.8786093911071329	0.0	0.5034059091831944	0.0	0.0	2.6227107229717896	0.730325944898725	0.0	0.0	2.5986577626693754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9889467046054181	1.5098676829890376	0.23780964472572647	0.0	0.5928685585476703	0.0	1.1925999717435811	0.3906024905816219	0.0	0.23780964472572647	0.0	0.0	0.0	0.0	2.5765648895184836	1.5734856428647186	0.5034059091831944	0.3906024905816219	0.0	2.1918989566982066	0.3906024905816219	0.0	0.0	0.0	0.3906024905816219	0.5034059091831944	1.8467114921895011	0.0	0.3906024905816219	0.0	0.5034059091831944	2.126094428041606	0.0	0.0	0.23780964472572647	1.8235736606653032	0.0	2.056920246762278	0.9185850877231077	0.3906024905816219	2.9721287312343607	0.0	0.23780964472572647	0.0	0.0	0.0	0.0	0.23780964472572647	0.0	2.0759389253906635	0.0	0.0	0.0	0.3906024905816219	0.0	0.0	0.9185850877231077	1.7785399494764076	0.0	0.0	0.0	0.0	0.0	0.0	3.5357252404131034	1.8813447528197356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23780964472572647	0.0	0.83457752035351	0.0	0.0	0.3906024905816219	0.0	0.0	0.23780964472572647	1.794075862474503	0.0	0.0	0.0	1.5900727628013742	0.0	0.23780964472572647	2.4429703973152836	1.02026837603068	0.0	0.0	0.0	1.1717881070171448	0.23780964472572647	1.3452304112251503	0.0	2.3345989091525396	0.0	0.5928685585476703	0.730325944898725	0.23780964472572647	2.386991702350544	0.0	0.23780964472572647	0.0	0.0	0.0	0.0	0.5034059091831944	0.0	0.23780964472572647	0.0	0.0	1.0768542606183649	2.6884295802056735	0.0	3.220577415992773	0.0	0.0	0.0	0.0	0.23780964472572647	1.5562397634011538	0.5928685585476703	0.23780964472572647	0.0	3.6331261052786488	0.23780964472572647	0.0	0.8786093911071329	1.2314513231662745	0.0	0.3906024905816219	0.0	0.0	2.3316582331116833	0.0	0.0	1.0494822660079168	0.0	0.23780964472572647	1.3592993939268365	0.0	0.0	0.0	0.0	2.353242765806903	2.7209213368479515	0.0	0.0	0.0	0.23780964472572647	0.0
ERR1624545	0.0	0.5589307675096684	0.0	0.0	0.0	0.7954423845821921	0.5589307675096684	0.0	0.0	0.5589307675096684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5589307675096684	0.0	1.6586932628471118	0.0	0.0	0.0	1.5113783609408595	0.0	0.0	0.0	0.0	0.0	1.1495043235410598	0.0	0.0	0.0	0.0	0.0	1.4348645970453646	0.0	0.5589307675096684	0.5589307675096684	0.0	0.0	0.7954423845821921	0.0	0.0	0.0	0.9477060604711778	0.7954423845821921	0.0	0.5589307675096684	0.0	1.2235248944687551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5589307675096684	0.0	0.0	0.0	1.1495043235410598	0.0	3.9597356851600147	3.0022393162955536	2.4575517825671906	1.2235248944687551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5589307675096684	0.0	0.5589307675096684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1377854484098067	2.075486248747909	0.0	0.0	0.0	2.27219338685148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1495043235410598	0.0	0.0	0.5589307675096684	0.0	0.0	0.0	0.0	0.0	0.0	1.1495043235410598	0.0	0.0	0.0	0.0	0.0	2.5811171420409345	0.0	0.0	0.7954423845821921	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5589307675096684	0.0	1.9152807151828704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5589307675096684	0.0	3.4337086292830787	0.0	0.0	0.0	0.7954423845821921	0.0	0.0	0.0	0.0	1.2235248944687551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5589307675096684	1.286747577536868	0.0	0.0	0.0	2.8223830143698203	0.0
