SAMPLE_ID	Acidimicrobiia	Acidithiobacillia	Acidobacteriia	Actinobacteria	Alphaproteobacteria	Anaerolineae	Aquificae	Bacilli	Bacteroidia	Betaproteobacteria	Candidatus Saccharimonia	Chitinophagia	Chlamydiia	Chrysiogenetes	Clostridia	Coriobacteriia	Cytophagia	Deferribacteres	Dehalococcoidia	Deinococci	Deltaproteobacteria	Endomicrobia	Epsilonproteobacteria	Erysipelotrichia	Flavobacteriia	Fusobacteriia	Gammaproteobacteria	Gemmatimonadetes	Hydrogenophilalia	Kiritimatiellae	Limnochordia	Mollicutes	Negativicutes	Oligoflexia	Opitutae	Rubrobacteria	Sphingobacteriia	Spirochaetia	Synergistia	Thermodesulfobacteria	Thermoleophilia	Thermotogae	Tissierellia	Verrucomicrobiae	Zetaproteobacteria
ERR1624536	0.25846406395829674	0.0	0.0	3.0878410403222496	1.2162254571186824	0.0	0.25846406395829674	2.590781921289682	3.526527822317734	1.9485786111428811	0.0	0.0	0.0	0.0	3.8954953984025202	2.8948689209432215	0.0	0.0	0.25846406395829674	0.0	1.1465133338976055	0.0	0.6287062593003391	2.9090334502468225	0.0	0.25846406395829674	1.5038521046805133	0.0	0.0	0.0	0.0	0.0	3.3503960865969415	0.0	0.0	0.0	0.25846406395829674	0.0	0.25846406395829674	0.0	0.0	0.25846406395829674	0.25846406395829674	0.769352196235212	0.0
ERR1624537	0.0	0.0	0.0	3.2415181040317678	1.0714457640667028	0.0	0.0	3.2076961636672454	3.609395215723564	2.1680240607541	0.0	0.0	0.9133953511564057	0.0	3.8528443380360446	2.665105362775217	0.342162750238451	0.0	0.0	0.342162750238451	1.922773051455926	0.0	1.1518452706922182	2.799553456753344	1.278302042972746	0.0	2.4168307494178993	0.0	0.0	0.0	0.0	0.0	2.785280922723444	0.0	0.0	0.0	0.342162750238451	0.0	0.342162750238451	0.0	0.0	0.342162750238451	1.5232840873118623	0.7630335550559669	0.0
ERR1624538	0.0	0.0	0.0	1.774072824000776	0.3185239175876094	0.0	0.0	3.236232708921664	3.7322301992856355	2.079336037692169	0.0	0.0	0.0	0.0	3.860250586231035	2.492077301982861	0.0	0.0	0.0	0.0	1.6770126228044908	0.0	2.2796355522322447	2.955436860822035	1.9089315414055272	0.0	1.6670109347838045	0.0	0.0	0.0	0.0	1.26281434929635	2.837032137745791	0.0	0.0	0.0	0.0	0.0	0.3185239175876094	0.0	0.0	0.0	0.8069281728992833	0.3185239175876094	0.0
ERR1624539	0.0	0.0	0.0	3.0729922877948845	1.3484374321672483	0.0	0.0	2.4327869395957205	2.9153122438522563	2.275778421932956	0.30419096636903925	0.0	0.8505028436064437	0.0	4.0584150966349615	3.2271875894786084	0.0	0.0	1.1519802180317427	0.48133079029010817	1.7543754412525172	0.0	1.2363800051073157	2.860596396096501	0.30419096636903925	0.30419096636903925	1.9604721197337431	0.0	0.0	0.0	0.0	1.1519802180317427	1.8513077938555593	0.0	0.0	0.0	0.0	2.342730015011053	0.0	0.0	0.0	0.0	0.9086066784872435	0.0	0.0
ERR1624540	0.0	0.0	0.0	3.4765202735221	0.32736672233014563	0.0	0.0	3.207076542837824	2.543772391547994	1.8137622208745197	0.32736672233014563	0.0	0.32736672233014563	0.0	3.8787877591308866	3.4201768180324703	0.0	0.0	0.0	0.0	1.6180624526927374	0.0	0.7403747253485502	3.1299461572277276	0.8893145148558921	0.0	1.3273729525846467	0.0	0.0	0.0	0.6409894054585207	0.8211983726398022	2.2657166639814266	0.0	0.0	0.0	0.0	0.32736672233014563	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR1624541	0.0	0.0	0.0	3.324043053627415	0.471941719649862	0.0	0.0	1.8183994917390975	2.9352159059435463	1.4396461084083354	0.0	0.0	0.0	0.0	3.996013199897511	3.1607101648384073	0.0	0.0	0.0	0.0	0.8384272204446621	0.0	0.29715114706366286	2.3144640828035685	0.0	0.0	2.0297059763290832	0.0	0.0	0.0	0.0	0.471941719649862	3.3203867015928874	0.0	0.0	0.0	0.0	0.0	0.29715114706366286	0.0	0.0	0.0	0.29715114706366286	0.0	0.0
ERR1624542	0.0	0.0	0.0	2.7274902655449798	1.3828457083846464	0.0	0.0	3.8352811061769545	2.9834988586879563	2.152871417263816	0.0	0.0	0.0	0.0	3.7808560090387866	2.8592320469099124	0.0	0.0	1.738895585287322	0.0	0.9000287684140169	0.0	1.431995155668415	3.060554938826982	1.0110801113964976	0.0	2.4781927386855087	0.0	0.0	0.0	0.0	0.6504924981075344	1.1728251899860016	0.19828604975066286	0.0	0.0	0.0	0.19828604975066286	0.4371084952633855	0.0	0.0	0.0	0.33391083005549754	0.5204314990646877	0.0
ERR1624543	0.0	0.0	0.0	2.2902051935468157	0.905423612958708	0.0	0.0	2.7951312068572824	3.6142824403921385	2.2519852761963692	0.0	0.40911004505060244	1.048184201249483	0.0	3.984459150121092	2.7923990225336954	0.0	0.0	0.0	0.2510458536282561	2.0587000667101094	0.0	1.2413947062580466	2.7773406514937653	1.1310111070700928	0.2510458536282561	2.1994698305310174	0.0	0.0	0.0	1.0166491349626132	0.2510458536282561	2.7099469956828144	0.0	0.0	0.0	0.8609686660409608	0.2510458536282561	0.6913321625984821	0.0	0.5247466481310838	0.0	0.2510458536282561	0.0	0.0
ERR1624544	0.0	0.0	0.0	2.6047481072507557	1.2376926946029991	0.0	0.2325091780989306	3.633517430948537	3.5148593813319673	1.981742662429757	0.2325091780989306	0.38312706247592665	0.0	0.0	3.8076638127691442	2.336390810151176	0.38312706247592665	0.494745980285588	1.8342169421181649	1.0379510574199493	2.399593408468858	0.0	1.5777256411617304	2.959464840144689	0.494745980285588	0.2325091780989306	2.363851134329174	0.0	0.0	0.0	0.0	1.0379510574199493	2.7201444335214964	0.38312706247592665	0.0	0.0	0.0	1.5439194061555874	0.38312706247592665	0.0	0.0	0.0	0.0	1.3992383399949908	0.0
ERR1624545	0.0	0.0	0.0	1.314972627222996	0.0	0.0	0.0	3.291591213485426	1.6950720107941788	1.09899980566734	0.0	0.33365467900667095	0.0	0.0	2.0623823161544843	1.1372377168279546	0.0	0.0	0.0	0.0	0.5200980387809582	0.0	0.0	0.899611313005371	0.0	0.0	4.165706589106864	0.0	0.0	0.0	0.0	0.33365467900667095	1.0106490846001872	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
