reads.in	reads.out
ERR1624536	24527	20877
ERR1624537	16285	14225
ERR1624538	18228	15985
ERR1624539	21187	17482
ERR1624540	18254	15430
ERR1624541	20235	17304
ERR1624542	33384	29309
ERR1624543	26179	22636
ERR1624544	28242	24631
ERR1624545	17185	14563
ERR1624546	24114	20239
ERR1624547	18363	15937
ERR1624548	20006	17097
ERR1624549	15930	13333
ERR1624550	23316	19614
ERR1624551	22242	19089
ERR1624552	19980	16854
ERR1624553	20279	17089
ERR1624554	14540	12259
ERR1624555	16288	13552
ERR1624556	26450	22543
ERR1624557	21848	19204
ERR1624558	19310	16956
ERR1624559	20298	17205
ERR1624560	17640	15228
ERR1624561	14543	13163
ERR1624562	20205	17704
ERR1624563	15291	13855
ERR1624564	24645	21342
ERR1624565	24721	24721
ERR1624566	24330	21106
ERR1624567	17755	15381
ERR1624568	15696	13576
ERR1624569	20002	17392
ERR1624570	14423	12538
ERR1624571	17046	14579
ERR1624572	17336	14712
ERR1624573	17838	16138
ERR1624574	20817	18111
ERR1624575	16858	14422
ERR1624576	15190	12398
ERR1624577	20468	17472
ERR1624578	20357	17567
ERR1624579	18649	15952
ERR1624580	23157	18925
ERR1624581	14594	12174
ERR1624582	23748	20798
ERR1624583	21479	17862
ERR1624584	24841	21171
ERR1624585	17255	13955
