run_accession	sample_accession	sample_alias	sample_title	library_name	library_strategy	library_layout	instrument_model	read_count	base_count	scientific_name
SRR9305216	SAMN12060338	GSM3891822	16		RNA-Seq	SINGLE	Illumina HiSeq 2500	18557042	2319630250	Homo sapiens
SRR9305219	SAMN12060338	GSM3891822	16		RNA-Seq	SINGLE	Illumina HiSeq 2500	7245431	905678875	Homo sapiens
SRR9305225	SAMN12060337	GSM3891823	17		RNA-Seq	SINGLE	Illumina HiSeq 2500	1125699	140712375	Homo sapiens
SRR9305230	SAMN12060336	GSM3891824	18		RNA-Seq	SINGLE	Illumina HiSeq 2500	1002045	125255625	Homo sapiens
SRR9305231	SAMN12060335	GSM3891825	19		RNA-Seq	SINGLE	Illumina HiSeq 2500	4841993	605249125	Homo sapiens
SRR9305238	SAMN12060334	GSM3891826	20		RNA-Seq	SINGLE	Illumina HiSeq 2500	6842685	855335625	Homo sapiens
SRR9305248	SAMN12060332	GSM3891828	22		RNA-Seq	SINGLE	Illumina HiSeq 2500	6388664	798583000	Homo sapiens
SRR9305259	SAMN12060330	GSM3891830	24		RNA-Seq	SINGLE	Illumina HiSeq 2500	28137132	3517141500	Homo sapiens
SRR9305261	SAMN12060329	GSM3891831	25		RNA-Seq	SINGLE	Illumina HiSeq 2500	17076266	2134533250	Homo sapiens
SRR9305262	SAMN12060329	GSM3891831	25		RNA-Seq	SINGLE	Illumina HiSeq 2500	5657307	707163375	Homo sapiens
SRR9305264	SAMN12060329	GSM3891831	25		RNA-Seq	SINGLE	Illumina HiSeq 2500	7195244	899405500	Homo sapiens
SRR9305265	SAMN12060329	GSM3891831	25		RNA-Seq	SINGLE	Illumina HiSeq 2500	1253341	156667625	Homo sapiens
SRR9305268	SAMN12060328	GSM3891832	26		RNA-Seq	SINGLE	Illumina HiSeq 2500	6890917	861364625	Homo sapiens
SRR9305283	SAMN12060325	GSM3891835	29		RNA-Seq	SINGLE	Illumina HiSeq 2500	6927771	865971375	Homo sapiens
SRR9305285	SAMN12060325	GSM3891835	29		RNA-Seq	SINGLE	Illumina HiSeq 2500	1238606	154825750	Homo sapiens
SRR9305286	SAMN12060324	GSM3891836	30		RNA-Seq	SINGLE	Illumina HiSeq 2500	4897032	612129000	Homo sapiens
