run_accession	sample_accession	sample_alias	sample_title	library_name	library_strategy	library_layout	instrument_model	read_count	base_count	scientific_name
ERR9031582	SAMEA13249501	AJ-S001-12MO	Gut microbiom from before and after bariatric surgery		AMPLICON	PAIRED	Illumina MiSeq	68330	20521884	gut metagenome
ERR9031587	SAMEA13249506	CH-S001-12MO	Gut microbiom from before and after bariatric surgery		AMPLICON	PAIRED	Illumina MiSeq	112322	33706236	gut metagenome
ERR9031593	SAMEA13249512	CH-S002-1MO	Gut microbiom from before and after bariatric surgery		AMPLICON	PAIRED	Illumina MiSeq	103262	30925009	gut metagenome
ERR9031597	SAMEA13249516	EM-S001-12MO	Gut microbiom from before and after bariatric surgery		AMPLICON	PAIRED	Illumina MiSeq	96994	29114928	gut metagenome
ERR9031612	SAMEA13249531	EM-S008-1MO	Gut microbiom from before and after bariatric surgery		AMPLICON	PAIRED	Illumina MiSeq	46278	13887702	gut metagenome
ERR9031615	SAMEA13249534	EM-S009-6MO	Gut microbiom from before and after bariatric surgery		AMPLICON	PAIRED	Illumina MiSeq	110462	33178198	gut metagenome
ERR9031616	SAMEA13249535	EM-S009-PREOP	Gut microbiom from before and after bariatric surgery		AMPLICON	PAIRED	Illumina MiSeq	114988	34531920	gut metagenome
ERR9031619	SAMEA13249538	EM-S010-PREOP	Gut microbiom from before and after bariatric surgery		AMPLICON	PAIRED	Illumina MiSeq	106860	31866772	gut metagenome
ERR9031632	SAMEA13249551	IH-S001-3MO	Gut microbiom from before and after bariatric surgery		AMPLICON	PAIRED	Illumina MiSeq	196592	57269502	gut metagenome
ERR9031643	SAMEA13249562	IH-S004-PREOP	Gut microbiom from before and after bariatric surgery		AMPLICON	PAIRED	Illumina MiSeq	124190	37106195	gut metagenome
ERR9031644	SAMEA13249563	IH-S005-12MO	Gut microbiom from before and after bariatric surgery		AMPLICON	PAIRED	Illumina MiSeq	97906	29398995	gut metagenome
ERR9031653	SAMEA13249572	IH-S006-PREOP	Gut microbiom from before and after bariatric surgery		AMPLICON	PAIRED	Illumina MiSeq	100968	30300969	gut metagenome
ERR9031657	SAMEA13249576	IH-S008-PREOP	Gut microbiom from before and after bariatric surgery		AMPLICON	PAIRED	Illumina MiSeq	99824	29917403	gut metagenome
ERR9031661	SAMEA13249580	IH-S009-6MO	Gut microbiom from before and after bariatric surgery		AMPLICON	PAIRED	Illumina MiSeq	78708	23642642	gut metagenome
ERR9031662	SAMEA13249581	IH-S009-PREOP	Gut microbiom from before and after bariatric surgery		AMPLICON	PAIRED	Illumina MiSeq	98004	28545903	gut metagenome
ERR9031671	SAMEA13249590	KU-S001-6MO	Gut microbiom from before and after bariatric surgery		AMPLICON	PAIRED	Illumina MiSeq	94820	28467606	gut metagenome
ERR9031680	SAMEA13249599	SB-S017-PREOP	Gut microbiom from before and after bariatric surgery		AMPLICON	PAIRED	Illumina MiSeq	307508	92055851	gut metagenome
ERR9031681	SAMEA13249600	SB-S022-3MO	Gut microbiom from before and after bariatric surgery		AMPLICON	PAIRED	Illumina MiSeq	84770	25462899	gut metagenome
ERR9031687	SAMEA13249606	SB-S025-3MO	Gut microbiom from before and after bariatric surgery		AMPLICON	PAIRED	Illumina MiSeq	87244	26196146	gut metagenome
ERR9031714	SAMEA13249633	SC-S009-PREOP	Gut microbiom from before and after bariatric surgery		AMPLICON	PAIRED	Illumina MiSeq	137998	41357572	gut metagenome
ERR9031725	SAMEA13249644	SC-S012-12MO	Gut microbiom from before and after bariatric surgery		AMPLICON	PAIRED	Illumina MiSeq	150462	45202434	gut metagenome
ERR9031729	SAMEA13249648	SC-S012-PREOP	Gut microbiom from before and after bariatric surgery		AMPLICON	PAIRED	Illumina MiSeq	104694	31447507	gut metagenome
ERR9031733	SAMEA13249652	SC-S013-6MO	Gut microbiom from before and after bariatric surgery		AMPLICON	PAIRED	Illumina MiSeq	143506	43122347	gut metagenome
ERR9031735	SAMEA13249654	SC-S013-PREOP	Gut microbiom from before and after bariatric surgery		AMPLICON	PAIRED	Illumina MiSeq	1612	483755	gut metagenome
ERR9031742	SAMEA13249661	SC-S015-1MO	Gut microbiom from before and after bariatric surgery		AMPLICON	PAIRED	Illumina MiSeq	158378	47529871	gut metagenome
ERR9031743	SAMEA13249662	SC-S015-3MO	Gut microbiom from before and after bariatric surgery		AMPLICON	PAIRED	Illumina MiSeq	147342	44233098	gut metagenome
ERR9031588	SAMEA13249507	CH-S001-1MO	Gut microbiom from before and after bariatric surgery		AMPLICON	PAIRED	Illumina MiSeq	111632	33522943	gut metagenome
ERR9031589	SAMEA13249508	CH-S001-3MO	Gut microbiom from before and after bariatric surgery		AMPLICON	PAIRED	Illumina MiSeq	120120	36066654	gut metagenome
ERR9031613	SAMEA13249532	EM-S008-6MO	Gut microbiom from before and after bariatric surgery		AMPLICON	PAIRED	Illumina MiSeq	99930	29963756	gut metagenome
ERR9031618	SAMEA13249537	EM-S010-6MO	Gut microbiom from before and after bariatric surgery		AMPLICON	PAIRED	Illumina MiSeq	95048	28532889	gut metagenome
ERR9031621	SAMEA13249540	HY-S001-1MO	Gut microbiom from before and after bariatric surgery		AMPLICON	PAIRED	Illumina MiSeq	106896	32071720	gut metagenome
ERR9031624	SAMEA13249543	HY-S001-PREOP	Gut microbiom from before and after bariatric surgery		AMPLICON	PAIRED	Illumina MiSeq	133434	40053544	gut metagenome
ERR9031626	SAMEA13249545	HY-S002-1MO	Gut microbiom from before and after bariatric surgery		AMPLICON	PAIRED	Illumina MiSeq	99230	29776989	gut metagenome
ERR9031629	SAMEA13249548	HY-S002-PREOP	Gut microbiom from before and after bariatric surgery		AMPLICON	PAIRED	Illumina MiSeq	122702	36829760	gut metagenome
ERR9031637	SAMEA13249556	IH-S003-6MO	Gut microbiom from before and after bariatric surgery		AMPLICON	PAIRED	Illumina MiSeq	109226	32434033	gut metagenome
ERR9031646	SAMEA13249565	IH-S005-3MO	Gut microbiom from before and after bariatric surgery		AMPLICON	PAIRED	Illumina MiSeq	92066	27654073	gut metagenome
ERR9031647	SAMEA13249566	IH-S005-6MO	Gut microbiom from before and after bariatric surgery		AMPLICON	PAIRED	Illumina MiSeq	96548	28999275	gut metagenome
ERR9031648	SAMEA13249567	IH-S005-PREOP	Gut microbiom from before and after bariatric surgery		AMPLICON	PAIRED	Illumina MiSeq	107854	32350079	gut metagenome
ERR9031656	SAMEA13249575	IH-S008-6MO	Gut microbiom from before and after bariatric surgery		AMPLICON	PAIRED	Illumina MiSeq	107674	32330910	gut metagenome
ERR9031665	SAMEA13249584	IH-S010-3MO	Gut microbiom from before and after bariatric surgery		AMPLICON	PAIRED	Illumina MiSeq	105444	31682184	gut metagenome
ERR9031667	SAMEA13249586	IH-S010-PREOP	Gut microbiom from before and after bariatric surgery		AMPLICON	PAIRED	Illumina MiSeq	90554	27184716	gut metagenome
ERR9031669	SAMEA13249588	KU-S001-1MO	Gut microbiom from before and after bariatric surgery		AMPLICON	PAIRED	Illumina MiSeq	193598	31639324	gut metagenome
ERR9031675	SAMEA13249594	SB-S012-3MO	Gut microbiom from before and after bariatric surgery		AMPLICON	PAIRED	Illumina MiSeq	110386	33156191	gut metagenome
ERR9031677	SAMEA13249596	SB-S013-3MO	Gut microbiom from before and after bariatric surgery		AMPLICON	PAIRED	Illumina MiSeq	121304	36420140	gut metagenome
ERR9031688	SAMEA13249607	SB-S026-3MO	Gut microbiom from before and after bariatric surgery		AMPLICON	PAIRED	Illumina MiSeq	106566	31932926	gut metagenome
