run_accession	sample_accession	sample_alias	sample_title	library_name	library_strategy	library_layout	instrument_model	read_count	base_count	scientific_name
SRR39004835	SAMN60627263			SDT5B	WGS	PAIRED	Illumina NovaSeq 6000	40828286	12078975670	
SRR39004837	SAMN60627261			SDT4C	WGS	PAIRED	Illumina NovaSeq 6000	38405867	11286663713	
SRR39004903	SAMN60627308			SDT21C	WGS	PAIRED	Illumina NovaSeq 6000	31861138	9418065757	
SRR39004845	SAMN60627254			SDT1C	WGS	PAIRED	Illumina NovaSeq 6000	40703875	11973804310	
SRR39004846	SAMN60627253			SDT1B	WGS	PAIRED	Illumina NovaSeq 6000	35893885	10648207484	
SRR39004909	SAMN60627303			SDT20A	WGS	PAIRED	Illumina NovaSeq 6000	33781600	9994129888	
SRR39004847	SAMN60627252			SDT1A	WGS	PAIRED	Illumina NovaSeq 6000	39461423	11640919284	
SRR39004913	SAMN60627299			SDT17C	WGS	PAIRED	Illumina NovaSeq 6000	39570206	11717727804	
SRR39004848	SAMN60627251			IL22C	WGS	PAIRED	Illumina NovaSeq 6000	34829773	10255492055	
SRR39004849	SAMN60627250			IL22B	WGS	PAIRED	Illumina NovaSeq 6000	32703661	9651449224	
SRR39004857	SAMN60627243			IL18C	WGS	PAIRED	Illumina NovaSeq 6000	33985659	10015276187	
SRR39004863	SAMN60627202			IL3A	WGS	PAIRED	Illumina NovaSeq 6000	34111909	10005872066	
SRR39004872	SAMN60627229			IL12A	WGS	PAIRED	Illumina NovaSeq 6000	41012796	12165441602	
SRR39004879	SAMN60627223			IL10A	WGS	PAIRED	Illumina NovaSeq 6000	38897315	11517474356	
SRR39004881	SAMN60627221			IL9B	WGS	PAIRED	Illumina NovaSeq 6000	37866408	11134086711	
SRR39004887	SAMN60627216			IL7C	WGS	PAIRED	Illumina NovaSeq 6000	39130882	11526990343	
SRR39004902	SAMN60627309			SDT22A	WGS	PAIRED	Illumina NovaSeq 6000	34833320	10314664095	
SRR39004912	SAMN60627300			SDT19A	WGS	PAIRED	Illumina NovaSeq 6000	34657862	10255647411	
SRR39004914	SAMN60627298			SDT17B	WGS	PAIRED	Illumina NovaSeq 6000	36629530	10837630248	
SRR39004806	SAMN60627289			SDT14A	WGS	PAIRED	Illumina NovaSeq 6000	38314636	11310715455	
SRR39004811	SAMN60627285			SDT12C	WGS	PAIRED	Illumina NovaSeq 6000	37865513	11206533768	
SRR39004812	SAMN60627284			SDT12B	WGS	PAIRED	Illumina NovaSeq 6000	36322793	10734830276	
SRR39004815	SAMN60627281			SDT11B	WGS	PAIRED	Illumina NovaSeq 6000	39658087	11684061684	
SRR39004816	SAMN60627280			SDT11A	WGS	PAIRED	Illumina NovaSeq 6000	34500883	9963713210	
SRR39004821	SAMN60627276			SDT9C	WGS	PAIRED	Illumina NovaSeq 6000	38843018	11515695103	
SRR39004854	SAMN60627246			IL20A	WGS	PAIRED	Illumina NovaSeq 6000	32636324	9652133250	
SRR39004864	SAMN60627237			IL14C	WGS	PAIRED	Illumina NovaSeq 6000	39451298	11661901869	
SRR39004866	SAMN60627235			IL14A	WGS	PAIRED	Illumina NovaSeq 6000	37810771	11188914826	
SRR39004868	SAMN60627233			IL13B	WGS	PAIRED	Illumina NovaSeq 6000	39413884	11637266056	
SRR39004871	SAMN60627230			IL12B	WGS	PAIRED	Illumina NovaSeq 6000	40493906	11975491178	
SRR39004873	SAMN60627228			IL11C	WGS	PAIRED	Illumina NovaSeq 6000	39462742	11655873335	
SRR39004874	SAMN60627201			IL2C	WGS	PAIRED	Illumina NovaSeq 6000	38394098	11142450049	
SRR39004884	SAMN60627218			IL8B	WGS	PAIRED	Illumina NovaSeq 6000	40679123	12041777566	
SRR39004890	SAMN60627213			IL6C	WGS	PAIRED	Illumina NovaSeq 6000	38879166	11507541599	
SRR39004891	SAMN60627212			IL6B	WGS	PAIRED	Illumina NovaSeq 6000	39056739	11527085863	
SRR39004892	SAMN60627211			IL6A	WGS	PAIRED	Illumina NovaSeq 6000	38241794	11296423924	
SRR39004894	SAMN60627317			SDT24C	WGS	PAIRED	Illumina NovaSeq 6000	34654259	10227106555	
SRR39004897	SAMN60627314			SDT23C	WGS	PAIRED	Illumina NovaSeq 6000	36740750	10888494298	
SRR39004898	SAMN60627313			SDT23B	WGS	PAIRED	Illumina NovaSeq 6000	34603312	10190297281	
SRR39004900	SAMN60627311			SDT22C	WGS	PAIRED	Illumina NovaSeq 6000	38891970	11527855584	
SRR39004901	SAMN60627310			SDT22B	WGS	PAIRED	Illumina NovaSeq 6000	35446316	10502356749	
SRR39004907	SAMN60627305			SDT20C	WGS	PAIRED	Illumina NovaSeq 6000	35002299	10340380016	
