run_accession	sample_accession	sample_alias	sample_title	library_name	library_strategy	library_layout	instrument_model	read_count	base_count	scientific_name
DRR165719	SAMD00158938	SAMD00158938	T98 cells transfected with scramble siRNA, replicate3 (for RNA-seq)	Illumina HiSeq 2000 paired end sequencing of SAMD00158938	RNA-Seq	PAIRED	Illumina HiSeq 2000	41615091	8406248382	Homo sapiens
DRR165726	SAMD00158945	SAMD00158945	U87-MGMT cells transfected with siRFP, replicate1 (for RNA-seq)	Illumina MiSeq paired end sequencing of SAMD00158945	RNA-Seq	PAIRED	Illumina MiSeq	7878924	1174607277	Homo sapiens
DRR165715	SAMD00158934	SAMD00158934	U87-MGMT cells transfected with siRFP, replicate1 (for ChIP-seq)	Illumina MiSeq paired end sequencing of SAMD00158934	ChIP-Seq	PAIRED	Illumina MiSeq	11192349	1667691208	Homo sapiens
DRR165716	SAMD00158935	SAMD00158935	U87-MGMT cells transfected with siRFP, replicate2 (for ChIP-seq)	Illumina MiSeq paired end sequencing of SAMD00158935	ChIP-Seq	PAIRED	Illumina MiSeq	13115772	1954208864	Homo sapiens
DRR165732	SAMD00158933	SAMD00158933	U87-MGMT cells transfected with scramble siRNA, replicate2 (for ChIP-seq)	Illumina MiSeq paired end sequencing of SAMD00158933	ChIP-Seq	PAIRED	Illumina MiSeq	11655786	1737109359	Homo sapiens
DRR165734	SAMD00158935	SAMD00158935	U87-MGMT cells transfected with siRFP, replicate2 (for ChIP-seq)	Illumina MiSeq paired end sequencing of SAMD00158935	ChIP-Seq	PAIRED	Illumina MiSeq	13476353	2008396277	Homo sapiens
DRR165714	SAMD00158933	SAMD00158933	U87-MGMT cells transfected with scramble siRNA, replicate2 (for ChIP-seq)	Illumina MiSeq paired end sequencing of SAMD00158933	ChIP-Seq	PAIRED	Illumina MiSeq	13286325	1979584290	Homo sapiens
DRR165717	SAMD00158936	SAMD00158936	T98 cells transfected with scramble siRNA, replicate1 (for RNA-seq)	Illumina HiSeq 2000 paired end sequencing of SAMD00158936	RNA-Seq	PAIRED	Illumina HiSeq 2000	49361735	9971070470	Homo sapiens
DRR165721	SAMD00158940	SAMD00158940	T98 cells transfected with siRFP, replicate2 (for RNA-seq)	Illumina HiSeq 2000 paired end sequencing of SAMD00158940	RNA-Seq	PAIRED	Illumina HiSeq 2000	67191841	13572751882	Homo sapiens
DRR165723	SAMD00158942	SAMD00158942	U87-MGMT cells transfected with scramble siRNA, replicate1 (for RNA-seq)	Illumina MiSeq paired end sequencing of SAMD00158942	RNA-Seq	PAIRED	Illumina MiSeq	8439227	1258132110	Homo sapiens
DRR165725	SAMD00158944	SAMD00158944	U87-MGMT cells transfected with scramble siRNA, replicate3 (for RNA-seq)	Illumina MiSeq paired end sequencing of SAMD00158944	RNA-Seq	PAIRED	Illumina MiSeq	8078608	1204393613	Homo sapiens
DRR165728	SAMD00158947	SAMD00158947	U87-MGMT cells transfected with siRFP, replicate3 (for RNA-seq)	Illumina MiSeq paired end sequencing of SAMD00158947	RNA-Seq	PAIRED	Illumina MiSeq	9223167	1375054991	Homo sapiens
DRR165729	SAMD00158930	SAMD00158930	T98 cells transfected with scramble siRNA (for ChIP-seq)	Illumina HiSeq 2000 paired end sequencing of SAMD00158930	ChIP-Seq	PAIRED	Illumina HiSeq 2000	28931982	8737458564	Homo sapiens
DRR165712	SAMD00158931	SAMD00158931	T98 cells transfected with siRFP (for ChIP-seq)	Illumina HiSeq 2000 paired end sequencing of SAMD00158931	ChIP-Seq	PAIRED	Illumina HiSeq 2000	22280298	6728649996	Homo sapiens
