run_accession	sample_accession	sample_alias	sample_title	library_name	library_strategy	library_layout	instrument_model	read_count	base_count	scientific_name
SRR8076566	SAMN10257964	GSM3437989	Pre_D701rna_D502rna		RNA-Seq	SINGLE	Illumina HiSeq 4000	51524137	2576206850	Homo sapiens
SRR8077495	SAMN10258295	GSM3438071	merged_D703_D502		RNA-Seq	SINGLE	Illumina HiSeq 4000	15982438	799121900	Mus musculus
SRR8077496	SAMN10258294	GSM3438072	merged_D707_D502		RNA-Seq	SINGLE	Illumina HiSeq 4000	20448696	1022434800	Mus musculus
SRR8077497	SAMN10258292	GSM3438073	merged_D709_D502		RNA-Seq	SINGLE	Illumina HiSeq 4000	22520959	1126047950	Mus musculus
SRR8077501	SAMN10258285	GSM3438077	merged_D706_D501		RNA-Seq	SINGLE	Illumina HiSeq 4000	20060498	1003024900	Mus musculus
SRR8077509	SAMN10258337	GSM3438085	merged_D707_D503		RNA-Seq	SINGLE	Illumina HiSeq 4000	25122002	1256100100	Mus musculus
SRR8077514	SAMN10258320	GSM3438090	merged_D704_D503		RNA-Seq	SINGLE	Illumina HiSeq 4000	20821310	1041065500	Mus musculus
SRR8077517	SAMN10258317	GSM3438093	merged_D712_D503		RNA-Seq	SINGLE	Illumina HiSeq 4000	18994074	949703700	Mus musculus
SRR8077522	SAMN10258312	GSM3438098	merged_D703_D504		RNA-Seq	SINGLE	Illumina HiSeq 4000	22224171	1111208550	Mus musculus
SRR8077528	SAMN10258352	GSM3438104	merged_D704_D504		RNA-Seq	SINGLE	Illumina HiSeq 4000	19246299	962314950	Mus musculus
SRR8076573	SAMN10257955	GSM3437995	Pre_D702rna_D502rna		RNA-Seq	SINGLE	Illumina HiSeq 4000	66235455	3311772750	Homo sapiens
SRR8077484	SAMN10258310	GSM3438060	merged_D709_D501		RNA-Seq	SINGLE	Illumina HiSeq 4000	19294541	964727050	Mus musculus
SRR8077491	SAMN10258302	GSM3438067	merged_D706_D502		RNA-Seq	SINGLE	Illumina HiSeq 4000	17965515	898275750	Mus musculus
SRR8077493	SAMN10258299	GSM3438069	merged_D710_D502		RNA-Seq	SINGLE	Illumina HiSeq 4000	20268363	1013418150	Mus musculus
SRR8077508	SAMN10258338	GSM3438084	merged_D706_D503		RNA-Seq	SINGLE	Illumina HiSeq 4000	23817196	1190859800	Mus musculus
SRR8077513	SAMN10258279	GSM3438089	merged_D703_D503		RNA-Seq	SINGLE	Illumina HiSeq 4000	16869466	843473300	Mus musculus
SRR8077516	SAMN10258318	GSM3438092	merged_D702_D501		RNA-Seq	SINGLE	Illumina HiSeq 4000	23393805	1169690250	Mus musculus
SRR8077520	SAMN10258314	GSM3438096	merged_D706_D504		RNA-Seq	SINGLE	Illumina HiSeq 4000	20572220	1028611000	Mus musculus
SRR8077521	SAMN10258313	GSM3438097	merged_D710_D503		RNA-Seq	SINGLE	Illumina HiSeq 4000	27440105	1372005250	Mus musculus
SRR8077526	SAMN10258354	GSM3438102	merged_D709_D503		RNA-Seq	SINGLE	Illumina HiSeq 4000	18386193	919309650	Mus musculus
SRR8076569	SAMN10257960	GSM3437992	Post_D707rna_D502rna		RNA-Seq	SINGLE	Illumina HiSeq 4000	36787975	1839398750	Homo sapiens
SRR8077531	SAMN10258349	GSM3438107	merged_D712_D504		RNA-Seq	SINGLE	Illumina HiSeq 4000	21459360	1072968000	Mus musculus
SRR8077485	SAMN10258309	GSM3438061	merged_D711_D501		RNA-Seq	SINGLE	Illumina HiSeq 4000	20762294	1038114700	Mus musculus
SRR8077486	SAMN10258308	GSM3438062	merged_D712_D501		RNA-Seq	SINGLE	Illumina HiSeq 4000	37038100	1851905000	Mus musculus
SRR8077487	SAMN10258307	GSM3438063	merged_D704_D502		RNA-Seq	SINGLE	Illumina HiSeq 4000	15685006	784250300	Mus musculus
SRR8077488	SAMN10258306	GSM3438064	merged_D705_D502		RNA-Seq	SINGLE	Illumina HiSeq 4000	16301327	815066350	Mus musculus
SRR8077489	SAMN10258305	GSM3438065	merged_D710_D501		RNA-Seq	SINGLE	Illumina HiSeq 4000	29054032	1452701600	Mus musculus
SRR8077506	SAMN10258280	GSM3438082	merged_D707_D501		RNA-Seq	SINGLE	Illumina HiSeq 4000	19097311	954865550	Mus musculus
SRR8077507	SAMN10258339	GSM3438083	merged_D701_D503		RNA-Seq	SINGLE	Illumina HiSeq 4000	22820073	1141003650	Mus musculus
SRR8077515	SAMN10258319	GSM3438091	merged_D708_D503		RNA-Seq	SINGLE	Illumina HiSeq 4000	21067543	1053377150	Mus musculus
SRR8077519	SAMN10258315	GSM3438095	merged_D705_D504		RNA-Seq	SINGLE	Illumina HiSeq 4000	19251227	962561350	Mus musculus
SRR8077523	SAMN10258311	GSM3438099	merged_D707_D504		RNA-Seq	SINGLE	Illumina HiSeq 4000	21531951	1076597550	Mus musculus
SRR8077525	SAMN10258355	GSM3438101	merged_D711_D504		RNA-Seq	SINGLE	Illumina HiSeq 4000	16269159	813457950	Mus musculus
SRR8077529	SAMN10258351	GSM3438105	merged_D708_D504		RNA-Seq	SINGLE	Illumina HiSeq 4000	23385026	1169251300	Mus musculus
SRR8076568	SAMN10257961	GSM3437991	Pre_D703rna_D502rna		RNA-Seq	SINGLE	Illumina HiSeq 4000	28983988	1449199400	Homo sapiens
SRR8076570	SAMN10257958	GSM3437993	Post_D704rna_D502rna		RNA-Seq	SINGLE	Illumina HiSeq 4000	33630908	1681545400	Homo sapiens
SRR8077490	SAMN10258303	GSM3438066	merged_D701_D502		RNA-Seq	SINGLE	Illumina HiSeq 4000	12465470	623273500	Mus musculus
SRR8077492	SAMN10258300	GSM3438068	merged_D708_D502		RNA-Seq	SINGLE	Illumina HiSeq 4000	20678812	1033940600	Mus musculus
SRR8077499	SAMN10258289	GSM3438075	merged_D712_D502		RNA-Seq	SINGLE	Illumina HiSeq 4000	21558544	1077927200	Mus musculus
SRR8077511	SAMN10258335	GSM3438087	merged_D704_D501		RNA-Seq	SINGLE	Illumina HiSeq 4000	20574068	1028703400	Mus musculus
SRR8077527	SAMN10258353	GSM3438103	merged_D711_D503		RNA-Seq	SINGLE	Illumina HiSeq 4000	19665129	983256450	Mus musculus
SRR8076567	SAMN10257963	GSM3437990	Post_D705rna_D502rna		RNA-Seq	SINGLE	Illumina HiSeq 4000	28912873	1445643650	Homo sapiens
SRR8076571	SAMN10257956	GSM3437994	Post_D708rna_D502rna		RNA-Seq	SINGLE	Illumina HiSeq 4000	41482187	2074109350	Homo sapiens
SRR8077494	SAMN10258297	GSM3438070	merged_D702_D502		RNA-Seq	SINGLE	Illumina HiSeq 4000	18141081	907054050	Mus musculus
SRR8077498	SAMN10258290	GSM3438074	merged_D711_D502		RNA-Seq	SINGLE	Illumina HiSeq 4000	23595265	1179763250	Mus musculus
SRR8077500	SAMN10258287	GSM3438076	merged_D701_D501		RNA-Seq	SINGLE	Illumina HiSeq 4000	18853319	942665950	Mus musculus
SRR8077502	SAMN10258284	GSM3438078	merged_D702_D503		RNA-Seq	SINGLE	Illumina HiSeq 4000	15051517	752575850	Mus musculus
SRR8077503	SAMN10258283	GSM3438079	merged_D705_D503		RNA-Seq	SINGLE	Illumina HiSeq 4000	19748125	987406250	Mus musculus
SRR8077504	SAMN10258282	GSM3438080	merged_D701_D504		RNA-Seq	SINGLE	Illumina HiSeq 4000	20326112	1016305600	Mus musculus
SRR8077505	SAMN10258281	GSM3438081	merged_D705_D501		RNA-Seq	SINGLE	Illumina HiSeq 4000	19362867	968143350	Mus musculus
SRR8077510	SAMN10258336	GSM3438086	merged_D703_D501		RNA-Seq	SINGLE	Illumina HiSeq 4000	18941658	947082900	Mus musculus
SRR8077512	SAMN10258334	GSM3438088	merged_D708_D501		RNA-Seq	SINGLE	Illumina HiSeq 4000	31733765	1586688250	Mus musculus
SRR8077518	SAMN10258316	GSM3438094	merged_D702_D504		RNA-Seq	SINGLE	Illumina HiSeq 4000	19199514	959975700	Mus musculus
SRR8077524	SAMN10258356	GSM3438100	merged_D710_D504		RNA-Seq	SINGLE	Illumina HiSeq 4000	20322610	1016130500	Mus musculus
SRR8077530	SAMN10258350	GSM3438106	merged_D709_D504		RNA-Seq	SINGLE	Illumina HiSeq 4000	20559454	1027972700	Mus musculus
