run_accession	sample_accession	sample_alias	sample_title	library_name	library_strategy	library_layout	instrument_model	read_count	base_count	scientific_name
ERR10286706	SAMEA110359313	NGP	NGP sample	NGP	RNA-Seq	SINGLE	Illumina NovaSeq 6000	173291966	25993794900	Homo sapiens
ERR10286707	SAMEA110359315	SHSY5Y	SHSY5Y sample	SHSY5Y	RNA-Seq	SINGLE	Illumina NovaSeq 6000	160129736	24019460400	Homo sapiens
ERR10286710	SAMEA110359320	SKNAS	SKNAS sample	SKNAS	RNA-Seq	SINGLE	Illumina NovaSeq 6000	179336626	26900493900	Homo sapiens
ERR10286713	SAMEA110359316	SJNB10	SJNB10 sample	SJNB10	RNA-Seq	SINGLE	Illumina NovaSeq 6000	123225962	18483894300	Homo sapiens
ERR10286715	SAMEA110359311	NB1643	NB1643 sample	NB1643	RNA-Seq	SINGLE	Illumina NovaSeq 6000	183713248	27556987200	Homo sapiens
ERR10286719	SAMEA110644102	SJNB1	SJNB1 sample	SJNB1	RNA-Seq	SINGLE	Illumina NovaSeq 6000	110438400	16565760000	Homo sapiens
ERR10286722	SAMEA110359323	TR14	TR14 sample	TR14	RNA-Seq	SINGLE	Illumina NovaSeq 6000	138183982	20727597300	Homo sapiens
ERR10286723	SAMEA110359321	SKNSH	SKNSH sample	SKNSH	RNA-Seq	SINGLE	Illumina NovaSeq 6000	135268856	20290328400	Homo sapiens
ERR10286712	SAMEA110359302	CHLA90	CHLA90 sample	CHLA90	RNA-Seq	SINGLE	Illumina NovaSeq 6000	150212234	22531835100	Homo sapiens
ERR10286714	SAMEA110359309	LAN5	LAN5 sample	LAN5	RNA-Seq	SINGLE	Illumina NovaSeq 6000	170649268	25597390200	Homo sapiens
ERR10286705	SAMEA110359305	IMR32	IMR32 sample	IMR32	RNA-Seq	SINGLE	Illumina NovaSeq 6000	169017956	25352693400	Homo sapiens
ERR10286708	SAMEA110359318	SJNB6	SJNB6 sample	SJNB6	RNA-Seq	SINGLE	Illumina NovaSeq 6000	180135666	27020349900	Homo sapiens
ERR10286709	SAMEA110359319	SJNB8	SJNB8 sample	SJNB8	RNA-Seq	SINGLE	Illumina NovaSeq 6000	180783892	27117583800	Homo sapiens
ERR10286711	SAMEA110359306	KCNR	KCNR sample	KCNR	RNA-Seq	SINGLE	Illumina NovaSeq 6000	207927316	31189097400	Homo sapiens
ERR10286717	SAMEA110359303	CHP134	CHP134 sample	CHP134	RNA-Seq	SINGLE	Illumina NovaSeq 6000	116035332	17405299800	Homo sapiens
ERR10286716	SAMEA110359314	NMB	NMB sample	NMB	RNA-Seq	SINGLE	Illumina NovaSeq 6000	121832926	18274938900	Homo sapiens
ERR10286718	SAMEA110359317	SJNB12	SJNB12 sample	SJNB12	RNA-Seq	SINGLE	Illumina NovaSeq 6000	147152880	22072932000	Homo sapiens
ERR10286720	SAMEA110359304	GIMEN	GIMEN sample	GIMEN	RNA-Seq	SINGLE	Illumina NovaSeq 6000	143558504	21533775600	Homo sapiens
ERR10286721	SAMEA110643079	SKNMM	SKNMM sample	SKNMM	RNA-Seq	SINGLE	Illumina NovaSeq 6000	119005586	17850837900	Homo sapiens
ERR10287589	SAMEA110359308	KPNYN	KPNYN sample	KPNYN	RNA-Seq	SINGLE	Illumina NovaSeq 6000	173366912	26005036800	Homo sapiens
