run_accession	sample_accession	sample_alias	sample_title	library_name	library_strategy	library_layout	instrument_model	read_count	base_count	scientific_name
ERR15679832	SAMEA115806672	17ce68ee-3add-11ef-8e67-024224dd57f4	DD2210b	SQPP-50381-F:F1	WXS	PAIRED	Illumina NovaSeq 6000	168087752	16976862952	Canis lupus familiaris
ERR15679833	SAMEA115806609	16f7066a-3add-11ef-8e67-024224dd57f4	DD2179a	SQPP-50381-F:G1	WXS	PAIRED	Illumina NovaSeq 6000	183277874	18511065274	Canis lupus familiaris
ERR15679840	SAMEA115806618	17234004-3add-11ef-8e67-024224dd57f4	DD2183b	SQPP-50381-F:G2	WXS	PAIRED	Illumina NovaSeq 6000	91775464	9269321864	Canis lupus familiaris
ERR15679851	SAMEA115806630	1748daee-3add-11ef-8e67-024224dd57f4	DD2189b	SQPP-50381-F:B4	WXS	PAIRED	Illumina NovaSeq 6000	167754764	16943231164	Canis lupus familiaris
ERR15679853	SAMEA115806632	174e1338-3add-11ef-8e67-024224dd57f4	DD2190b	SQPP-50381-F:D4	WXS	PAIRED	Illumina NovaSeq 6000	154911142	15646025342	Canis lupus familiaris
ERR15679870	SAMEA115806649	178a1054-3add-11ef-8e67-024224dd57f4	DD2199a	SQPP-50381-F:E6	WXS	PAIRED	Illumina NovaSeq 6000	196730056	19869735656	Canis lupus familiaris
ERR15679872	SAMEA115806652	178f89d0-3add-11ef-8e67-024224dd57f4	DD2200a	SQPP-50381-F:G6	WXS	PAIRED	Illumina NovaSeq 6000	127981220	12926103220	Canis lupus familiaris
ERR15679879	SAMEA115806660	17a8e0ec-3add-11ef-8e67-024224dd57f4	DD2204a	SQPP-50381-F:G7	WXS	PAIRED	Illumina NovaSeq 6000	142512382	14393750582	Canis lupus familiaris
ERR15679880	SAMEA115806661	17ae4c62-3add-11ef-8e67-024224dd57f4	DD2205a	SQPP-50381-F:H7	WXS	PAIRED	Illumina NovaSeq 6000	116088066	11724894666	Canis lupus familiaris
ERR15679881	SAMEA115806664	17b67c70-3add-11ef-8e67-024224dd57f4	DD2206b	SQPP-50381-F:B8	WXS	PAIRED	Illumina NovaSeq 6000	69151322	6984283522	Canis lupus familiaris
ERR15679904	SAMEA115791024	e86c26d8-37bf-11ef-9351-024293460e78	DD2158a	SQPP-50185-D:B3	WXS	PAIRED	Illumina NovaSeq 6000	77552738	7832826538	Canis lupus familiaris
ERR15679908	SAMEA115791028	e8865f3a-37bf-11ef-9351-024293460e78	DD2160a	SQPP-50185-D:F3	WXS	PAIRED	Illumina NovaSeq 6000	87165764	8803742164	Canis lupus familiaris
ERR15679912	SAMEA115791032	e8a055e8-37bf-11ef-9351-024293460e78	DD2162a	SQPP-50185-D:B4	WXS	PAIRED	Illumina NovaSeq 6000	83305098	8413814898	Canis lupus familiaris
ERR15679913	SAMEA115791033	e8a4d668-37bf-11ef-9351-024293460e78	DD2162b	SQPP-50185-D:C4	WXS	PAIRED	Illumina NovaSeq 6000	69876330	7057509330	Canis lupus familiaris
ERR15679925	SAMEA115791050	e8defe92-37bf-11ef-9351-024293460e78	DD2171a	SQPP-50185-D:G5	WXS	PAIRED	Illumina NovaSeq 6000	55408998	5596308798	Canis lupus familiaris
ERR16029553	SAMEA115791012	e8310d28-37bf-11ef-9351-024293460e78	DD2152a	SQPP-63247-R:D10	WXS	PAIRED	Illumina NovaSeq 6000	190421464	19232567864	Canis lupus familiaris
ERR16029557	SAMEA115791054	e8e98a9c-37bf-11ef-9351-024293460e78	DD2172b	SQPP-63247-R:H10	WXS	PAIRED	Illumina NovaSeq 6000	119284250	12047709250	Canis lupus familiaris
ERR16029566	SAMEA115881951	98894644-4e69-11ef-aed4-024224dd57f4	DD2260b	SQPP-7293-V:D1	WXS	PAIRED	Illumina NovaSeq 6000	147816458	14929462258	Canis lupus familiaris
ERR16029576	SAMEA115951578	2f8bbb5a-614b-11ef-a703-024224dd57f4	DD2327a	SQPP-7293-V:B7	WXS	PAIRED	Illumina NovaSeq 6000	116513568	11767870368	Canis lupus familiaris
ERR16029579	SAMEA115951581	2f938a24-614b-11ef-a703-024224dd57f4	DD2328b	SQPP-7293-V:E7	WXS	PAIRED	Illumina NovaSeq 6000	142849752	14427824952	Canis lupus familiaris
ERR16029580	SAMEA115951584	2f9a4c06-614b-11ef-a703-024224dd57f4	DD2330a	SQPP-7293-V:F7	WXS	PAIRED	Illumina NovaSeq 6000	84155154	8499670554	Canis lupus familiaris
ERR16029585	SAMEA115951597	2fafda26-614b-11ef-a703-024224dd57f4	DD2335a	SQPP-7293-V:E8	WXS	PAIRED	Illumina NovaSeq 6000	136665406	13803206006	Canis lupus familiaris
ERR16029590	SAMEA115951599	2fbafb2c-614b-11ef-a703-024224dd57f4	DD2337b	SQPP-7293-V:B9	WXS	PAIRED	Illumina NovaSeq 6000	119309052	12050214252	Canis lupus familiaris
ERR16029596	SAMEA115881955	98965b18-4e69-11ef-aed4-024224dd57f4	DD2262b	SQPP-7293-V:H9	WXS	PAIRED	Illumina NovaSeq 6000	98668980	9965566980	Canis lupus familiaris
ERR16029598	SAMEA115881957	989cf626-4e69-11ef-aed4-024224dd57f4	DD2263b	SQPP-7293-V:B10	WXS	PAIRED	Illumina NovaSeq 6000	136681740	13804855740	Canis lupus familiaris
ERR16029604	SAMEA115975393	6096fa54-6a04-11ef-a75e-024224dd57f4	DD2341b	SQPP-63123-G:B1	WXS	PAIRED	Illumina NovaSeq 6000	48755976	4924353576	Canis lupus familiaris
ERR16029617	SAMEA115964318	06ac8414-65e5-11ef-97bd-024293460e78	DD2295b	SQPP-63123-G:C3	WXS	PAIRED	Illumina NovaSeq 6000	117164098	11833573898	Canis lupus familiaris
ERR16029622	SAMEA115964324	06c80a54-65e5-11ef-97bd-024293460e78	DD2299a	SQPP-63123-G:B4	WXS	PAIRED	Illumina NovaSeq 6000	88305684	8918874084	Canis lupus familiaris
ERR16029627	SAMEA115964333	06e65e6e-65e5-11ef-97bd-024293460e78	DD2303a	SQPP-63123-G:H4	WXS	PAIRED	Illumina NovaSeq 6000	93167198	9409886998	Canis lupus familiaris
ERR16029629	SAMEA115964336	06f10e86-65e5-11ef-97bd-024293460e78	DD2304b	SQPP-63123-G:B5	WXS	PAIRED	Illumina NovaSeq 6000	124870492	12611919692	Canis lupus familiaris
ERR16029634	SAMEA115975394	609a3264-6a04-11ef-a75e-024224dd57f4	DD2342a	SQPP-63123-G:A6	WXS	PAIRED	Illumina NovaSeq 6000	123696536	12493350136	Canis lupus familiaris
ERR16029637	SAMEA115975396	60a51a44-6a04-11ef-a75e-024224dd57f4	DD2343b	SQPP-63123-G:D6	WXS	PAIRED	Illumina NovaSeq 6000	95985928	9694578728	Canis lupus familiaris
ERR16029640	SAMEA115975403	60b623e8-6a04-11ef-a75e-024224dd57f4	DD2346a	SQPP-63123-G:A7	WXS	PAIRED	Illumina NovaSeq 6000	102434096	10345843696	Canis lupus familiaris
ERR16029643	SAMEA115975407	60beae64-6a04-11ef-a75e-024224dd57f4	DD2347b	SQPP-63123-G:D7	WXS	PAIRED	Illumina NovaSeq 6000	138367190	13975086190	Canis lupus familiaris
