run_accession	sample_accession	sample_alias	sample_title	library_name	library_strategy	library_layout	instrument_model	read_count	base_count	scientific_name
ERR14103462	SAMEA117565172	E-MTAB-14737:CHP-126	CHP-126	CHP-126_p	ssRNA-seq	PAIRED	Illumina NovaSeq 6000	63766972	9628812772	Homo sapiens
ERR14103463	SAMEA117565173	E-MTAB-14737:CHP-134	CHP-134	CHP-134_p	ssRNA-seq	PAIRED	Illumina NovaSeq 6000	78372572	11834258372	Homo sapiens
ERR14103465	SAMEA117565175	E-MTAB-14737:IMR-32	IMR-32	IMR-32_p	ssRNA-seq	PAIRED	Illumina NovaSeq 6000	76985844	11624862444	Homo sapiens
ERR14103468	SAMEA117565178	E-MTAB-14737:LAN-2	LAN-2	LAN-2_p	ssRNA-seq	PAIRED	Illumina NovaSeq 6000	81373970	12287469470	Homo sapiens
ERR14103471	SAMEA117565181	E-MTAB-14737:LS	LS	LS_p	ssRNA-seq	PAIRED	Illumina NovaSeq 6000	80574916	12166812316	Homo sapiens
ERR14103475	SAMEA117565185	E-MTAB-14737:NMB	NMB	NMB_p	ssRNA-seq	PAIRED	Illumina NovaSeq 6000	82584494	12470258594	Homo sapiens
ERR14103478	SAMEA117565188	E-MTAB-14737:SK-N-BE-2	SK-N-BE-2	SK-N-BE-2_p	ssRNA-seq	PAIRED	Illumina NovaSeq 6000	94743096	14306207496	Homo sapiens
ERR14103476	SAMEA117565186	E-MTAB-14737:SH-SY5Y	SH-SY5Y	SH-SY5Y_p	ssRNA-seq	PAIRED	Illumina NovaSeq 6000	70705114	10676472214	Homo sapiens
ERR14103469	SAMEA117565179	E-MTAB-14737:LAN-5	LAN-5	LAN-5_p	ssRNA-seq	PAIRED	Illumina NovaSeq 6000	69972730	10565882230	Homo sapiens
ERR14103477	SAMEA117565187	E-MTAB-14737:SIMA	SIMA	SIMA_p	ssRNA-seq	PAIRED	Illumina NovaSeq 6000	69956460	10563425460	Homo sapiens
ERR14103461	SAMEA117565171	E-MTAB-14737:CCLF_PEDS_0051_T	CCLF_PEDS_0051_T	CCLF_PEDS_0051_T_p	ssRNA-seq	PAIRED	Illumina NovaSeq 6000	67226156	10016427509	Homo sapiens
ERR14103467	SAMEA117565177	E-MTAB-14737:LAN-1	LAN-1	LAN-1_p	ssRNA-seq	PAIRED	Illumina NovaSeq 6000	82917254	12520505354	Homo sapiens
ERR14103473	SAMEA117565183	E-MTAB-14737:NBL-S	NBL-S	NBL-S_p	ssRNA-seq	PAIRED	Illumina NovaSeq 6000	79588970	12017934470	Homo sapiens
ERR14103464	SAMEA117565174	E-MTAB-14737:GI-ME-N	GI-ME-N	GI-ME-N_p	ssRNA-seq	PAIRED	Illumina NovaSeq 6000	98957800	14942627800	Homo sapiens
ERR14103466	SAMEA117565176	E-MTAB-14737:KELLY	KELLY	KELLY_p	ssRNA-seq	PAIRED	Illumina NovaSeq 6000	90566640	13675562640	Homo sapiens
ERR14103470	SAMEA117565180	E-MTAB-14737:LAN-6	LAN-6	LAN-6_p	ssRNA-seq	PAIRED	Illumina NovaSeq 6000	78838460	11904607460	Homo sapiens
ERR14103472	SAMEA117565182	E-MTAB-14737:MHH-NB-11	MHH-NB-11	MHH-NB-11_p	ssRNA-seq	PAIRED	Illumina NovaSeq 6000	86389794	13044858894	Homo sapiens
ERR14103474	SAMEA117565184	E-MTAB-14737:NGP	NGP	NGP_p	ssRNA-seq	PAIRED	Illumina NovaSeq 6000	73816588	11146304788	Homo sapiens
