run_accession	sample_accession	sample_alias	sample_title	library_name	library_strategy	library_layout	instrument_model	read_count	base_count	scientific_name
ERR15860449	SAMEA120534190	E-MTAB-16109:Sample 1	Sample 1	Sample 1_p	RNA-Seq	PAIRED	BGISEQ-500	69511124	6951112400	Homo sapiens
ERR15860452	SAMEA120534193	E-MTAB-16109:Sample 12	Sample 12	Sample 12_p	RNA-Seq	PAIRED	BGISEQ-500	66362668	6636266800	Homo sapiens
ERR15860472	SAMEA120534213	E-MTAB-16109:Sample 30	Sample 30	Sample 30_p	RNA-Seq	PAIRED	BGISEQ-500	68354544	6835454400	Homo sapiens
ERR15860478	SAMEA120534219	E-MTAB-16109:Sample 36	Sample 36	Sample 36_p	RNA-Seq	PAIRED	BGISEQ-500	61391764	6139176400	Homo sapiens
ERR15860482	SAMEA120534223	E-MTAB-16109:Sample 4	Sample 4	Sample 4_p	RNA-Seq	PAIRED	BGISEQ-500	64261908	6426190800	Homo sapiens
ERR15860485	SAMEA120534226	E-MTAB-16109:Sample 42	Sample 42	Sample 42_p	RNA-Seq	PAIRED	BGISEQ-500	67048864	6704886400	Homo sapiens
ERR15860486	SAMEA120534227	E-MTAB-16109:Sample 43	Sample 43	Sample 43_p	RNA-Seq	PAIRED	BGISEQ-500	68458628	6845862800	Homo sapiens
ERR15860494	SAMEA120534235	E-MTAB-16109:Sample 50	Sample 50	Sample 50_p	RNA-Seq	PAIRED	BGISEQ-500	68556580	6855658000	Homo sapiens
ERR15860505	SAMEA120534246	E-MTAB-16109:Sample 60	Sample 60	Sample 60_p	RNA-Seq	PAIRED	BGISEQ-500	66009490	6600949000	Homo sapiens
ERR15860509	SAMEA120534250	E-MTAB-16109:Sample 64	Sample 64	Sample 64_p	RNA-Seq	PAIRED	BGISEQ-500	70533438	7053343800	Homo sapiens
ERR15860512	SAMEA120534253	E-MTAB-16109:Sample 67	Sample 67	Sample 67_p	RNA-Seq	PAIRED	BGISEQ-500	65388350	6538835000	Homo sapiens
ERR15860516	SAMEA120534257	E-MTAB-16109:Sample 70	Sample 70	Sample 70_p	RNA-Seq	PAIRED	BGISEQ-500	69394150	6939415000	Homo sapiens
