run_accession	sample_accession	sample_alias	sample_title	library_name	library_strategy	library_layout	instrument_model	read_count	base_count	scientific_name
ERR2356661	SAMEA104655461	IMR5/75_full3	IMR5/75_full3	unspecified	RNA-Seq	PAIRED	Illumina HiSeq 2000	13868069	3467017250	Homo sapiens
ERR2356663	SAMEA104655463	IMR5/75_lowCys2	IMR5/75_lowCys2	unspecified	RNA-Seq	PAIRED	Illumina HiSeq 2000	16045937	4011484250	Homo sapiens
ERR2356664	SAMEA104655464	IMR5/75_lowCys3	IMR5/75_lowCys3	unspecified	RNA-Seq	PAIRED	Illumina HiSeq 2000	10433885	2608471250	Homo sapiens
ERR2356666	SAMEA104655466	IMR5/75_noCys2	IMR5/75_noCys2	unspecified	RNA-Seq	PAIRED	Illumina HiSeq 2000	13477268	3369317000	Homo sapiens
ERR2356672	SAMEA104655472	IMR5/75_lowGln2	IMR5/75_lowGln2	unspecified	RNA-Seq	PAIRED	Illumina HiSeq 2000	13785154	3446288500	Homo sapiens
ERR2356677	SAMEA104655477	IMR5/75_highGlu1	IMR5/75_highGlu1	unspecified	RNA-Seq	PAIRED	Illumina HiSeq 2000	10232706	2558176500	Homo sapiens
ERR2356660	SAMEA104655460	IMR5/75_full2	IMR5/75_full2	unspecified	RNA-Seq	PAIRED	Illumina HiSeq 2000	11909609	2977402250	Homo sapiens
ERR2356671	SAMEA104655471	IMR5/75_lowGln1	IMR5/75_lowGln1	unspecified	RNA-Seq	PAIRED	Illumina HiSeq 2000	10234321	2558580250	Homo sapiens
ERR2356679	SAMEA104655479	IMR5/75_highGlu3	IMR5/75_highGlu3	unspecified	RNA-Seq	PAIRED	Illumina HiSeq 2000	15597600	3899400000	Homo sapiens
ERR2356659	SAMEA104655459	IMR5/75_full1	IMR5/75_full1	unspecified	RNA-Seq	PAIRED	Illumina HiSeq 2000	11265567	2816391750	Homo sapiens
ERR2356668	SAMEA104655468	IMR5/75_noGln/noCys1	IMR5/75_noGln/noCys1	unspecified	RNA-Seq	PAIRED	Illumina HiSeq 2000	12107324	3026831000	Homo sapiens
ERR2356674	SAMEA104655474	IMR5/75_noGln1	IMR5/75_noGln1	unspecified	RNA-Seq	PAIRED	Illumina HiSeq 2000	11810592	2952648000	Homo sapiens
ERR2356675	SAMEA104655475	IMR5/75_noGln2	IMR5/75_noGln2	unspecified	RNA-Seq	PAIRED	Illumina HiSeq 2000	11943302	2985825500	Homo sapiens
ERR2356669	SAMEA104655469	IMR5/75_noGln/noCys2	IMR5/75_noGln/noCys2	unspecified	RNA-Seq	PAIRED	Illumina HiSeq 2000	14026886	3506721500	Homo sapiens
ERR2356662	SAMEA104655462	IMR5/75_lowCys1	IMR5/75_lowCys1	unspecified	RNA-Seq	PAIRED	Illumina HiSeq 2000	13807435	3451858750	Homo sapiens
ERR2356665	SAMEA104655465	IMR5/75_noCys1	IMR5/75_noCys1	unspecified	RNA-Seq	PAIRED	Illumina HiSeq 2000	12087748	3021937000	Homo sapiens
ERR2356667	SAMEA104655467	IMR5/75_noCys3	IMR5/75_noCys3	unspecified	RNA-Seq	PAIRED	Illumina HiSeq 2000	12070300	3017575000	Homo sapiens
ERR2356670	SAMEA104655470	IMR5/75_noGln/noCys3	IMR5/75_noGln/noCys3	unspecified	RNA-Seq	PAIRED	Illumina HiSeq 2000	10179498	2544874500	Homo sapiens
ERR2356673	SAMEA104655473	IMR5/75_lowGln3	IMR5/75_lowGln3	unspecified	RNA-Seq	PAIRED	Illumina HiSeq 2000	12117958	3029489500	Homo sapiens
ERR2356676	SAMEA104655476	IMR5/75_noGln3	IMR5/75_noGln3	unspecified	RNA-Seq	PAIRED	Illumina HiSeq 2000	11366448	2841612000	Homo sapiens
ERR2356678	SAMEA104655478	IMR5/75_highGlu2	IMR5/75_highGlu2	unspecified	RNA-Seq	PAIRED	Illumina HiSeq 2000	11389726	2847431500	Homo sapiens
