run_accession	sample_accession	sample_alias	sample_title	library_name	library_strategy	library_layout	instrument_model	read_count	base_count	scientific_name
ERR1146960	SAMEA3678984	rat_gastrectomy5	Bariatric surgery is known to improve metabolic health, reducing insulin resistance and modulating the gut microbiota upon weight loss. We performed a novel vertical sleeve gastroectomy (GG) procedure in obese rats on a high fat diet enabling us to dissect diabetes from body weight. Together with improved insulin sensitivity, modified gut hormones, blood lipid profiles and a redistribution of fat storage in animals post GG compared to a sham operated (SO) group of obese rats, we observed significant differences within both the diversity and architecture of the intestinal microbiome. The GG animals had higher alpha and beta diversity compared to the SO group, and significant differences in relative abundance of different gut bacteria at the Class and Genus level, many previously linked to metabolic health both in rodent models and in humans.	unspecified	AMPLICON	SINGLE	454 GS FLX Titanium	41754	27682452	metagenome
ERR1146961	SAMEA3678985	rat_gastrectomy6	Bariatric surgery is known to improve metabolic health, reducing insulin resistance and modulating the gut microbiota upon weight loss. We performed a novel vertical sleeve gastroectomy (GG) procedure in obese rats on a high fat diet enabling us to dissect diabetes from body weight. Together with improved insulin sensitivity, modified gut hormones, blood lipid profiles and a redistribution of fat storage in animals post GG compared to a sham operated (SO) group of obese rats, we observed significant differences within both the diversity and architecture of the intestinal microbiome. The GG animals had higher alpha and beta diversity compared to the SO group, and significant differences in relative abundance of different gut bacteria at the Class and Genus level, many previously linked to metabolic health both in rodent models and in humans.	unspecified	AMPLICON	SINGLE	454 GS FLX Titanium	26818	17828394	metagenome
ERR1146964	SAMEA3678988	rat_gastrectomy9	Bariatric surgery is known to improve metabolic health, reducing insulin resistance and modulating the gut microbiota upon weight loss. We performed a novel vertical sleeve gastroectomy (GG) procedure in obese rats on a high fat diet enabling us to dissect diabetes from body weight. Together with improved insulin sensitivity, modified gut hormones, blood lipid profiles and a redistribution of fat storage in animals post GG compared to a sham operated (SO) group of obese rats, we observed significant differences within both the diversity and architecture of the intestinal microbiome. The GG animals had higher alpha and beta diversity compared to the SO group, and significant differences in relative abundance of different gut bacteria at the Class and Genus level, many previously linked to metabolic health both in rodent models and in humans.	unspecified	AMPLICON	SINGLE	454 GS FLX Titanium	23065	15588745	metagenome
ERR1146965	SAMEA3678989	rat_gastrectomy10	Bariatric surgery is known to improve metabolic health, reducing insulin resistance and modulating the gut microbiota upon weight loss. We performed a novel vertical sleeve gastroectomy (GG) procedure in obese rats on a high fat diet enabling us to dissect diabetes from body weight. Together with improved insulin sensitivity, modified gut hormones, blood lipid profiles and a redistribution of fat storage in animals post GG compared to a sham operated (SO) group of obese rats, we observed significant differences within both the diversity and architecture of the intestinal microbiome. The GG animals had higher alpha and beta diversity compared to the SO group, and significant differences in relative abundance of different gut bacteria at the Class and Genus level, many previously linked to metabolic health both in rodent models and in humans.	unspecified	AMPLICON	SINGLE	454 GS FLX Titanium	39665	26632259	metagenome
ERR1146969	SAMEA3678993	rat_gastrectomy14	Bariatric surgery is known to improve metabolic health, reducing insulin resistance and modulating the gut microbiota upon weight loss. We performed a novel vertical sleeve gastroectomy (GG) procedure in obese rats on a high fat diet enabling us to dissect diabetes from body weight. Together with improved insulin sensitivity, modified gut hormones, blood lipid profiles and a redistribution of fat storage in animals post GG compared to a sham operated (SO) group of obese rats, we observed significant differences within both the diversity and architecture of the intestinal microbiome. The GG animals had higher alpha and beta diversity compared to the SO group, and significant differences in relative abundance of different gut bacteria at the Class and Genus level, many previously linked to metabolic health both in rodent models and in humans.	unspecified	AMPLICON	SINGLE	454 GS FLX Titanium	16337	11022710	metagenome
ERR1146985	SAMEA3679009	rat_gastrectomy30	Bariatric surgery is known to improve metabolic health, reducing insulin resistance and modulating the gut microbiota upon weight loss. We performed a novel vertical sleeve gastroectomy (GG) procedure in obese rats on a high fat diet enabling us to dissect diabetes from body weight. Together with improved insulin sensitivity, modified gut hormones, blood lipid profiles and a redistribution of fat storage in animals post GG compared to a sham operated (SO) group of obese rats, we observed significant differences within both the diversity and architecture of the intestinal microbiome. The GG animals had higher alpha and beta diversity compared to the SO group, and significant differences in relative abundance of different gut bacteria at the Class and Genus level, many previously linked to metabolic health both in rodent models and in humans.	unspecified	AMPLICON	SINGLE	454 GS FLX Titanium	25290	16937883	metagenome
ERR1146959	SAMEA3678983	rat_gastrectomy4	Bariatric surgery is known to improve metabolic health, reducing insulin resistance and modulating the gut microbiota upon weight loss. We performed a novel vertical sleeve gastroectomy (GG) procedure in obese rats on a high fat diet enabling us to dissect diabetes from body weight. Together with improved insulin sensitivity, modified gut hormones, blood lipid profiles and a redistribution of fat storage in animals post GG compared to a sham operated (SO) group of obese rats, we observed significant differences within both the diversity and architecture of the intestinal microbiome. The GG animals had higher alpha and beta diversity compared to the SO group, and significant differences in relative abundance of different gut bacteria at the Class and Genus level, many previously linked to metabolic health both in rodent models and in humans.	unspecified	AMPLICON	SINGLE	454 GS FLX Titanium	34149	22594274	metagenome
ERR1146962	SAMEA3678986	rat_gastrectomy7	Bariatric surgery is known to improve metabolic health, reducing insulin resistance and modulating the gut microbiota upon weight loss. We performed a novel vertical sleeve gastroectomy (GG) procedure in obese rats on a high fat diet enabling us to dissect diabetes from body weight. Together with improved insulin sensitivity, modified gut hormones, blood lipid profiles and a redistribution of fat storage in animals post GG compared to a sham operated (SO) group of obese rats, we observed significant differences within both the diversity and architecture of the intestinal microbiome. The GG animals had higher alpha and beta diversity compared to the SO group, and significant differences in relative abundance of different gut bacteria at the Class and Genus level, many previously linked to metabolic health both in rodent models and in humans.	unspecified	AMPLICON	SINGLE	454 GS FLX Titanium	35923	24022029	metagenome
ERR1146971	SAMEA3678995	rat_gastrectomy16	Bariatric surgery is known to improve metabolic health, reducing insulin resistance and modulating the gut microbiota upon weight loss. We performed a novel vertical sleeve gastroectomy (GG) procedure in obese rats on a high fat diet enabling us to dissect diabetes from body weight. Together with improved insulin sensitivity, modified gut hormones, blood lipid profiles and a redistribution of fat storage in animals post GG compared to a sham operated (SO) group of obese rats, we observed significant differences within both the diversity and architecture of the intestinal microbiome. The GG animals had higher alpha and beta diversity compared to the SO group, and significant differences in relative abundance of different gut bacteria at the Class and Genus level, many previously linked to metabolic health both in rodent models and in humans.	unspecified	AMPLICON	SINGLE	454 GS FLX Titanium	45290	30313032	metagenome
ERR1146974	SAMEA3678998	rat_gastrectomy19	Bariatric surgery is known to improve metabolic health, reducing insulin resistance and modulating the gut microbiota upon weight loss. We performed a novel vertical sleeve gastroectomy (GG) procedure in obese rats on a high fat diet enabling us to dissect diabetes from body weight. Together with improved insulin sensitivity, modified gut hormones, blood lipid profiles and a redistribution of fat storage in animals post GG compared to a sham operated (SO) group of obese rats, we observed significant differences within both the diversity and architecture of the intestinal microbiome. The GG animals had higher alpha and beta diversity compared to the SO group, and significant differences in relative abundance of different gut bacteria at the Class and Genus level, many previously linked to metabolic health both in rodent models and in humans.	unspecified	AMPLICON	SINGLE	454 GS FLX Titanium	23388	15830107	metagenome
