run_accession	sample_accession	sample_alias	sample_title	library_name	library_strategy	library_layout	instrument_model	read_count	base_count	scientific_name
DRR817212	SAMD01746439	SAMD01746439	Bf_5 (SAMC5597622)	missing	WGS	PAIRED	BGISEQ-500	130397903	39119370900	Branchiostoma floridae
DRR817214	SAMD01746441	SAMD01746441	Bf_7 (SAMC5597624)	missing	WGS	PAIRED	BGISEQ-500	122172872	36651861600	Branchiostoma floridae
DRR817215	SAMD01746442	SAMD01746442	Bf_8 (SAMC5597625)	missing	WGS	PAIRED	BGISEQ-500	111340814	33402244200	Branchiostoma floridae
DRR817219	SAMD01746446	SAMD01746446	Bf_12 (SAMC5597629)	missing	WGS	PAIRED	BGISEQ-500	96905431	29071629300	Branchiostoma floridae
DRR817224	SAMD01746451	SAMD01746451	Bf_17 (SAMC5597634)	missing	WGS	PAIRED	BGISEQ-500	133733252	40119975600	Branchiostoma floridae
DRR817228	SAMD01746455	SAMD01746455	Bf_21 (SAMC5597638)	missing	WGS	PAIRED	BGISEQ-500	119095313	35728593900	Branchiostoma floridae
DRR817229	SAMD01746456	SAMD01746456	Bf_22 (SAMC5597639)	missing	WGS	PAIRED	BGISEQ-500	111534512	33460353600	Branchiostoma floridae
DRR817231	SAMD01746458	SAMD01746458	Bf_24 (SAMC5597641)	missing	WGS	PAIRED	BGISEQ-500	93939295	28181788500	Branchiostoma floridae
DRR817240	SAMD01746467	SAMD01746467	Bf_33 (SAMC5597650)	missing	WGS	PAIRED	BGISEQ-500	113734383	34120314900	Branchiostoma floridae
DRR817241	SAMD01746468	SAMD01746468	Bf_36 (SAMC5597651)	missing	WGS	PAIRED	BGISEQ-500	109220711	32766213300	Branchiostoma floridae
DRR817246	SAMD01746473	SAMD01746473	Bf_41 (SAMC5597656)	missing	WGS	PAIRED	BGISEQ-500	121277269	36383180700	Branchiostoma floridae
DRR817250	SAMD01746477	SAMD01746477	Bf_45 (SAMC5597660)	missing	WGS	PAIRED	BGISEQ-500	146899908	44069972400	Branchiostoma floridae
DRR817253	SAMD01746480	SAMD01746480	Bf_48 (SAMC5597663)	missing	WGS	PAIRED	BGISEQ-500	136147957	40844387100	Branchiostoma floridae
DRR817260	SAMD01746487	SAMD01746487	Bf_55 (SAMC5597670)	missing	WGS	PAIRED	BGISEQ-500	151561004	45468301200	Branchiostoma floridae
DRR817269	SAMD01746496	SAMD01746496	Bf_64 (SAMC5597679)	missing	WGS	PAIRED	BGISEQ-500	165559454	49667836200	Branchiostoma floridae
DRR817271	SAMD01746498	SAMD01746498	Bf_66 (SAMC5597681)	missing	WGS	PAIRED	BGISEQ-500	127926279	38377883700	Branchiostoma floridae
DRR817278	SAMD01746505	SAMD01746505	Bf_73 (SAMC5597688)	missing	WGS	PAIRED	BGISEQ-500	143730065	43119019500	Branchiostoma floridae
DRR817300	SAMD01746527	SAMD01746527	Bf_95 (SAMC5597710)	missing	WGS	PAIRED	BGISEQ-500	159724384	47917315200	Branchiostoma floridae
DRR817301	SAMD01746528	SAMD01746528	Bf_96 (SAMC5597711)	missing	WGS	PAIRED	BGISEQ-500	137596070	41278821000	Branchiostoma floridae
DRR817306	SAMD01746533	SAMD01746533	Bf_101 (SAMC5597716)	missing	WGS	PAIRED	BGISEQ-500	148365146	44509543800	Branchiostoma floridae
DRR817309	SAMD01746536	SAMD01746536	Bf_104 (SAMC5597719)	missing	WGS	PAIRED	BGISEQ-500	173659996	52097998800	Branchiostoma floridae
DRR817208	SAMD01746435	SAMD01746435	Bf_1 (SAMC5597618)	missing	WGS	PAIRED	BGISEQ-500	145035528	43510658400	Branchiostoma floridae
DRR817209	SAMD01746436	SAMD01746436	Bf_2 (SAMC5597619)	missing	WGS	PAIRED	BGISEQ-500	84003629	25201088700	Branchiostoma floridae
DRR817211	SAMD01746438	SAMD01746438	Bf_4 (SAMC5597621)	missing	WGS	PAIRED	BGISEQ-500	103183059	30954917700	Branchiostoma floridae
DRR817218	SAMD01746445	SAMD01746445	Bf_11 (SAMC5597628)	missing	WGS	PAIRED	BGISEQ-500	122498534	36749560200	Branchiostoma floridae
DRR817221	SAMD01746448	SAMD01746448	Bf_14 (SAMC5597631)	missing	WGS	PAIRED	BGISEQ-500	111532409	33459722700	Branchiostoma floridae
DRR817225	SAMD01746452	SAMD01746452	Bf_18 (SAMC5597635)	missing	WGS	PAIRED	BGISEQ-500	96684221	29005266300	Branchiostoma floridae
DRR817239	SAMD01746466	SAMD01746466	Bf_32 (SAMC5597649)	missing	WGS	PAIRED	BGISEQ-500	95144530	28543359000	Branchiostoma floridae
DRR817244	SAMD01746471	SAMD01746471	Bf_39 (SAMC5597654)	missing	WGS	PAIRED	BGISEQ-500	194006148	58201844400	Branchiostoma floridae
DRR817249	SAMD01746476	SAMD01746476	Bf_44 (SAMC5597659)	missing	WGS	PAIRED	BGISEQ-500	129519660	38855898000	Branchiostoma floridae
DRR817252	SAMD01746479	SAMD01746479	Bf_47 (SAMC5597662)	missing	WGS	PAIRED	BGISEQ-500	141270609	42381182700	Branchiostoma floridae
DRR817255	SAMD01746482	SAMD01746482	Bf_50 (SAMC5597665)	missing	WGS	PAIRED	BGISEQ-500	115334761	34600428300	Branchiostoma floridae
DRR817259	SAMD01746486	SAMD01746486	Bf_54 (SAMC5597669)	missing	WGS	PAIRED	BGISEQ-500	140144349	42043304700	Branchiostoma floridae
DRR817265	SAMD01746492	SAMD01746492	Bf_60 (SAMC5597675)	missing	WGS	PAIRED	BGISEQ-500	153667664	46100299200	Branchiostoma floridae
DRR817267	SAMD01746494	SAMD01746494	Bf_62 (SAMC5597677)	missing	WGS	PAIRED	BGISEQ-500	171845478	51553643400	Branchiostoma floridae
DRR817268	SAMD01746495	SAMD01746495	Bf_63 (SAMC5597678)	missing	WGS	PAIRED	BGISEQ-500	151348420	45404526000	Branchiostoma floridae
DRR817282	SAMD01746509	SAMD01746509	Bf_77 (SAMC5597692)	missing	WGS	PAIRED	BGISEQ-500	146721096	44016328800	Branchiostoma floridae
DRR817293	SAMD01746520	SAMD01746520	Bf_88 (SAMC5597703)	missing	WGS	PAIRED	BGISEQ-500	121898676	36569602800	Branchiostoma floridae
DRR817295	SAMD01746522	SAMD01746522	Bf_90 (SAMC5597705)	missing	WGS	PAIRED	BGISEQ-500	83582832	25074849600	Branchiostoma floridae
DRR817297	SAMD01746524	SAMD01746524	Bf_92 (SAMC5597707)	missing	WGS	PAIRED	BGISEQ-500	191794805	57538441500	Branchiostoma floridae
DRR817299	SAMD01746526	SAMD01746526	Bf_94 (SAMC5597709)	missing	WGS	PAIRED	BGISEQ-500	154090056	46227016800	Branchiostoma floridae
DRR817303	SAMD01746530	SAMD01746530	Bf_98 (SAMC5597713)	missing	WGS	PAIRED	BGISEQ-500	128205237	38461571100	Branchiostoma floridae
DRR817304	SAMD01746531	SAMD01746531	Bf_99 (SAMC5597714)	missing	WGS	PAIRED	BGISEQ-500	142411803	42723540900	Branchiostoma floridae
