run_accession	sample_accession	sample_alias	sample_title	library_name	library_strategy	library_layout	instrument_model	read_count	base_count	scientific_name
ERR5767269	SAMEA8616393	SKNBE-DMSO+IFNg_rep1	SKNBE-DMSO+IFNg_rep1	SKNBE-DMSO+IFNg_rep1	RNA-Seq	SINGLE	Illumina HiSeq 2500	8842891	450987441	Homo sapiens
ERR5767271	SAMEA8616395	SKNBE-EPZ+IFNg_rep1	SKNBE-EPZ+IFNg_rep1	SKNBE-EPZ+IFNg_rep1	RNA-Seq	SINGLE	Illumina HiSeq 2500	7997112	407852712	Homo sapiens
ERR5767273	SAMEA8616397	SKNBE-DMSO_rep2	SKNBE-DMSO_rep2	SKNBE-DMSO_rep2	RNA-Seq	SINGLE	Illumina HiSeq 2500	8839832	450831432	Homo sapiens
ERR5767281	SAMEA8616405	SKNBE-DMSO_rep3	SKNBE-DMSO_rep3	SKNBE-DMSO_rep3	RNA-Seq	SINGLE	Illumina HiSeq 2500	8288757	422726607	Homo sapiens
ERR5767282	SAMEA8616406	SKNBE-UNC_rep3	SKNBE-UNC_rep3	SKNBE-UNC_rep3	RNA-Seq	SINGLE	Illumina HiSeq 2500	9117937	465014787	Homo sapiens
ERR5767286	SAMEA8616410	SKNBE-UNC+IFNg_rep3	SKNBE-UNC+IFNg_rep3	SKNBE-UNC+IFNg_rep3	RNA-Seq	SINGLE	Illumina HiSeq 2500	9498805	484439055	Homo sapiens
ERR5767289	SAMEA8616413	IMR-32-DMSO_rep1	IMR-32-DMSO_rep1	IMR-32-DMSO_rep1	RNA-Seq	SINGLE	Illumina HiSeq 2500	8060029	411061479	Homo sapiens
ERR5767293	SAMEA8616417	IMR-32-DMSO+IFNg_rep1	IMR-32-DMSO+IFNg_rep1	IMR-32-DMSO+IFNg_rep1	RNA-Seq	SINGLE	Illumina HiSeq 2500	8821345	449888595	Homo sapiens
ERR5767296	SAMEA8616421	IMR-32-UNC+EPZ+IFNg_rep1	IMR-32-UNC+EPZ+IFNg_rep1	IMR-32-UNC+EPZ+IFNg_rep1	RNA-Seq	SINGLE	Illumina HiSeq 2500	7401445	377473695	Homo sapiens
ERR5767297	SAMEA8616422	IMR-32-DMSO_rep2	IMR-32-DMSO_rep2	IMR-32-DMSO_rep2	RNA-Seq	SINGLE	Illumina HiSeq 2500	8886449	453208899	Homo sapiens
ERR5767298	SAMEA8616423	IMR-32-UNC_rep2	IMR-32-UNC_rep2	IMR-32-UNC_rep2	RNA-Seq	SINGLE	Illumina HiSeq 2500	8509817	434000667	Homo sapiens
ERR5767304	SAMEA8616429	IMR-32-UNC+EPZ+IFNg_rep2	IMR-32-UNC+EPZ+IFNg_rep2	IMR-32-UNC+EPZ+IFNg_rep2	RNA-Seq	SINGLE	Illumina HiSeq 2500	8546431	435867981	Homo sapiens
ERR5767306	SAMEA8616431	IMR-32-UNC_rep3	IMR-32-UNC_rep3	IMR-32-UNC_rep3	RNA-Seq	SINGLE	Illumina HiSeq 2500	7695171	392453721	Homo sapiens
