run_accession	sample_accession	sample_alias	sample_title	library_name	library_strategy	library_layout	instrument_model	read_count	base_count	scientific_name
ERR6636093	SAMEA7520149	5fa2a2e17b78180001144bb9	f25e6567-6500-4c22-9763-cec4afc2c640-dtol	DN600697P-H1	WGS	SINGLE	Sequel II	990992	9773994951	Melanostoma mellinum
ERR6688426	SAMEA7520149	5fa2a2e17b78180001144bb9	f25e6567-6500-4c22-9763-cec4afc2c640-dtol		WGS	PAIRED	HiSeq X Ten	162383590	24519922090	Melanostoma mellinum
ERR6688425	SAMEA7520149	5fa2a2e17b78180001144bb9	f25e6567-6500-4c22-9763-cec4afc2c640-dtol		WGS	PAIRED	HiSeq X Ten	124441776	18790708176	Melanostoma mellinum
ERR6636092	SAMEA7520149	5fa2a2e17b78180001144bb9	f25e6567-6500-4c22-9763-cec4afc2c640-dtol	DN600697P-H1	WGS	SINGLE	Sequel II	721350	10303433754	Melanostoma mellinum
ERR6688428	SAMEA7520149	5fa2a2e17b78180001144bb9	f25e6567-6500-4c22-9763-cec4afc2c640-dtol		WGS	PAIRED	HiSeq X Ten	152723802	23061294102	Melanostoma mellinum
ERR6688429	SAMEA7520150	5fa2a2e17b78180001144bba	8becf113-3450-4d29-ab77-4da2ee62fd46-dtol		Hi-C	PAIRED	Illumina NovaSeq 6000	928337470	140178957970	Melanostoma mellinum
ERR10123652	SAMEA7520148	5fa2a2e17b78180001144bb8	ed9aa1fc-cecc-4e2e-92b6-72f38f2613e7-dtol		RNA-Seq	PAIRED	Illumina NovaSeq 6000	44877678	6776529378	Melanostoma mellinum
ERR6688427	SAMEA7520149	5fa2a2e17b78180001144bb9	f25e6567-6500-4c22-9763-cec4afc2c640-dtol		WGS	PAIRED	HiSeq X Ten	61865218	9341647918	Melanostoma mellinum
