run_accession	sample_accession	sample_alias	sample_title	library_name	library_strategy	library_layout	instrument_model	read_count	base_count	scientific_name
ERR6823328	SAMEA10181902	E-MTAB-10977:GBM-DC2	GBM-DC2	GBM-DC2_p	RNA-Seq	PAIRED	Illumina HiSeq 2500	62514966	3125748300	Homo sapiens
ERR6823332	SAMEA10181906	E-MTAB-10977:ic-GSC7	ic-GSC7	ic-GSC7_p	RNA-Seq	PAIRED	Illumina HiSeq 2500	69504168	3475208400	Homo sapiens
ERR6823327	SAMEA10181901	E-MTAB-10977:GBM-DC1	GBM-DC1	GBM-DC1_p	RNA-Seq	PAIRED	Illumina HiSeq 2500	68774394	3438719700	Homo sapiens
ERR6823329	SAMEA10181903	E-MTAB-10977:GBM-DC3	GBM-DC3	GBM-DC3_p	RNA-Seq	PAIRED	Illumina HiSeq 2500	66542780	3327139000	Homo sapiens
ERR6823330	SAMEA10181904	E-MTAB-10977:ic-GSC1	ic-GSC1	ic-GSC1_p	RNA-Seq	PAIRED	Illumina HiSeq 2500	68168264	3408413200	Homo sapiens
ERR6823331	SAMEA10181905	E-MTAB-10977:ic-GSC2	ic-GSC2	ic-GSC2_p	RNA-Seq	PAIRED	Illumina HiSeq 2500	67400158	3370007900	Homo sapiens
