run_accession	sample_accession	sample_alias	sample_title	library_name	library_strategy	library_layout	instrument_model	read_count	base_count	scientific_name
ERR4336587	SAMEA7059147	E-MTAB-9338:SH-EP_C11 DOX 48h	SH-EP_C11 DOX 48h	SH-EP_C11 DOX 48h_s	ssRNA-seq	SINGLE	NextSeq 500	6679488	504450381	Homo sapiens
ERR4336599	SAMEA7059150	E-MTAB-9338:SH-EP_C11 UT 48h	SH-EP_C11 UT 48h	SH-EP_C11 UT 48h_s	ssRNA-seq	SINGLE	NextSeq 500	6581815	497112298	Homo sapiens
ERR4336600	SAMEA7059151	E-MTAB-9338:SH-EP_F6 UT 48h	SH-EP_F6 UT 48h	SH-EP_F6 UT 48h_s	ssRNA-seq	SINGLE	NextSeq 500	6418256	484724263	Homo sapiens
ERR4336603	SAMEA7059151	E-MTAB-9338:SH-EP_F6 UT 48h	SH-EP_F6 UT 48h	SH-EP_F6 UT 48h_s	ssRNA-seq	SINGLE	NextSeq 500	6405126	483731644	Homo sapiens
ERR4336584	SAMEA7059147	E-MTAB-9338:SH-EP_C11 DOX 48h	SH-EP_C11 DOX 48h	SH-EP_C11 DOX 48h_s	ssRNA-seq	SINGLE	NextSeq 500	6665487	503394213	Homo sapiens
ERR4336591	SAMEA7059148	E-MTAB-9338:SH-EP_F6 DOX 48h	SH-EP_F6 DOX 48h	SH-EP_F6 DOX 48h_s	ssRNA-seq	SINGLE	NextSeq 500	6361180	480383408	Homo sapiens
ERR4336592	SAMEA7059149	E-MTAB-9338:SH-EP_G2 DOX 48h	SH-EP_G2 DOX 48h	SH-EP_G2 DOX 48h_s	ssRNA-seq	SINGLE	NextSeq 500	7359957	555823471	Homo sapiens
ERR4336595	SAMEA7059149	E-MTAB-9338:SH-EP_G2 DOX 48h	SH-EP_G2 DOX 48h	SH-EP_G2 DOX 48h_s	ssRNA-seq	SINGLE	NextSeq 500	7378072	557182530	Homo sapiens
ERR4336596	SAMEA7059150	E-MTAB-9338:SH-EP_C11 UT 48h	SH-EP_C11 UT 48h	SH-EP_C11 UT 48h_s	ssRNA-seq	SINGLE	NextSeq 500	6597425	498294562	Homo sapiens
ERR4336601	SAMEA7059151	E-MTAB-9338:SH-EP_F6 UT 48h	SH-EP_F6 UT 48h	SH-EP_F6 UT 48h_s	ssRNA-seq	SINGLE	NextSeq 500	6427794	485437675	Homo sapiens
ERR4336604	SAMEA7059152	E-MTAB-9338:SH-EP_G2 UT 48h	SH-EP_G2 UT 48h	SH-EP_G2 UT 48h_s	ssRNA-seq	SINGLE	NextSeq 500	6740195	509054798	Homo sapiens
ERR4336607	SAMEA7059152	E-MTAB-9338:SH-EP_G2 UT 48h	SH-EP_G2 UT 48h	SH-EP_G2 UT 48h_s	ssRNA-seq	SINGLE	NextSeq 500	6726717	508029552	Homo sapiens
ERR4336585	SAMEA7059147	E-MTAB-9338:SH-EP_C11 DOX 48h	SH-EP_C11 DOX 48h	SH-EP_C11 DOX 48h_s	ssRNA-seq	SINGLE	NextSeq 500	6695515	505665243	Homo sapiens
ERR4336586	SAMEA7059147	E-MTAB-9338:SH-EP_C11 DOX 48h	SH-EP_C11 DOX 48h	SH-EP_C11 DOX 48h_s	ssRNA-seq	SINGLE	NextSeq 500	6795878	513246384	Homo sapiens
ERR4336588	SAMEA7059148	E-MTAB-9338:SH-EP_F6 DOX 48h	SH-EP_F6 DOX 48h	SH-EP_F6 DOX 48h_s	ssRNA-seq	SINGLE	NextSeq 500	6355506	479963954	Homo sapiens
ERR4336593	SAMEA7059149	E-MTAB-9338:SH-EP_G2 DOX 48h	SH-EP_G2 DOX 48h	SH-EP_G2 DOX 48h_s	ssRNA-seq	SINGLE	NextSeq 500	7401845	558981085	Homo sapiens
ERR4336605	SAMEA7059152	E-MTAB-9338:SH-EP_G2 UT 48h	SH-EP_G2 UT 48h	SH-EP_G2 UT 48h_s	ssRNA-seq	SINGLE	NextSeq 500	6744199	509354895	Homo sapiens
ERR4336590	SAMEA7059148	E-MTAB-9338:SH-EP_F6 DOX 48h	SH-EP_F6 DOX 48h	SH-EP_F6 DOX 48h_s	ssRNA-seq	SINGLE	NextSeq 500	6470929	488685662	Homo sapiens
ERR4336597	SAMEA7059150	E-MTAB-9338:SH-EP_C11 UT 48h	SH-EP_C11 UT 48h	SH-EP_C11 UT 48h_s	ssRNA-seq	SINGLE	NextSeq 500	6610663	499295363	Homo sapiens
ERR4336598	SAMEA7059150	E-MTAB-9338:SH-EP_C11 UT 48h	SH-EP_C11 UT 48h	SH-EP_C11 UT 48h_s	ssRNA-seq	SINGLE	NextSeq 500	6715156	507191135	Homo sapiens
ERR4336602	SAMEA7059151	E-MTAB-9338:SH-EP_F6 UT 48h	SH-EP_F6 UT 48h	SH-EP_F6 UT 48h_s	ssRNA-seq	SINGLE	NextSeq 500	6544854	494287165	Homo sapiens
ERR4336589	SAMEA7059148	E-MTAB-9338:SH-EP_F6 DOX 48h	SH-EP_F6 DOX 48h	SH-EP_F6 DOX 48h_s	ssRNA-seq	SINGLE	NextSeq 500	6376835	481566976	Homo sapiens
ERR4336594	SAMEA7059149	E-MTAB-9338:SH-EP_G2 DOX 48h	SH-EP_G2 DOX 48h	SH-EP_G2 DOX 48h_s	ssRNA-seq	SINGLE	NextSeq 500	7498889	566309584	Homo sapiens
ERR4336606	SAMEA7059152	E-MTAB-9338:SH-EP_G2 UT 48h	SH-EP_G2 UT 48h	SH-EP_G2 UT 48h_s	ssRNA-seq	SINGLE	NextSeq 500	6859969	518104224	Homo sapiens
