run_accession	sample_accession	sample_alias	sample_title	library_name	library_strategy	library_layout	instrument_model	read_count	base_count	scientific_name
SRR8634290	SAMN11023913	M145	Metagenome or environmental sample from feces metagenome	M145	WGS	PAIRED	NextSeq 500	3307503	984056063	feces metagenome
SRR8634301	SAMN11024036	M292	Metagenome or environmental sample from feces metagenome	M292	WGS	PAIRED	NextSeq 500	3487539	1040430739	feces metagenome
SRR8634307	SAMN11024032	M284	Metagenome or environmental sample from feces metagenome	M284	WGS	PAIRED	NextSeq 500	3535071	1056495337	feces metagenome
SRR8634312	SAMN11024088	M85	Metagenome or environmental sample from feces metagenome	M85	WGS	PAIRED	NextSeq 500	3837323	1149803161	feces metagenome
SRR8634315	SAMN11023938	M170	Metagenome or environmental sample from feces metagenome	M170	WGS	PAIRED	NextSeq 500	3580677	1069668008	feces metagenome
SRR8634317	SAMN11023940	M172	Metagenome or environmental sample from feces metagenome	M172	WGS	PAIRED	NextSeq 500	3627161	1081054015	feces metagenome
SRR8634322	SAMN11023947	M181	Metagenome or environmental sample from feces metagenome	M181	WGS	PAIRED	NextSeq 500	3146625	940080054	feces metagenome
SRR8634324	SAMN11023912	M144	Metagenome or environmental sample from feces metagenome	M144	WGS	PAIRED	NextSeq 500	3390429	1005203967	feces metagenome
SRR8634327	SAMN11024043	M301	Metagenome or environmental sample from feces metagenome	M301	WGS	PAIRED	NextSeq 500	3199597	953690257	feces metagenome
SRR8634328	SAMN11024042	M300	Metagenome or environmental sample from feces metagenome	M300	WGS	PAIRED	NextSeq 500	3495292	1045462820	feces metagenome
SRR8634335	SAMN11023910	M140	Metagenome or environmental sample from feces metagenome	M140	WGS	PAIRED	NextSeq 500	3372689	1009012559	feces metagenome
SRR8634342	SAMN11023932	M165	Metagenome or environmental sample from feces metagenome	M165	WGS	PAIRED	NextSeq 500	3615380	1079954557	feces metagenome
SRR8634349	SAMN11024009	M254	Metagenome or environmental sample from feces metagenome	M254	WGS	PAIRED	NextSeq 500	3503478	1048496275	feces metagenome
SRR8634350	SAMN11024014	M25	Metagenome or environmental sample from feces metagenome	M25	WGS	PAIRED	NextSeq 500	3660627	1093784798	feces metagenome
SRR8634360	SAMN11023995	M237	Metagenome or environmental sample from feces metagenome	M237	WGS	PAIRED	NextSeq 500	2937681	866386413	feces metagenome
SRR8634361	SAMN11023988	M229	Metagenome or environmental sample from feces metagenome	M229	WGS	PAIRED	NextSeq 500	2664244	777074748	feces metagenome
SRR8634364	SAMN11023991	M232	Metagenome or environmental sample from feces metagenome	M232	WGS	PAIRED	NextSeq 500	3329112	995167552	feces metagenome
SRR8634370	SAMN11023885	M115	Metagenome or environmental sample from feces metagenome	M115	WGS	PAIRED	NextSeq 500	5185458	1552455644	feces metagenome
SRR8634371	SAMN11023884	M113	Metagenome or environmental sample from feces metagenome	M113	WGS	PAIRED	NextSeq 500	3136417	932354821	feces metagenome
SRR8634380	SAMN11024019	M266	Metagenome or environmental sample from feces metagenome	M266	WGS	PAIRED	NextSeq 500	2086004	624048705	feces metagenome
SRR8634383	SAMN11024020	M268	Metagenome or environmental sample from feces metagenome	M268	WGS	PAIRED	NextSeq 500	3582306	1071109167	feces metagenome
SRR8634386	SAMN11024025	M277	Metagenome or environmental sample from feces metagenome	M277	WGS	PAIRED	NextSeq 500	3080052	919574433	feces metagenome
