run_accession	sample_accession	sample_alias	sample_title	library_name	library_strategy	library_layout	instrument_model	read_count	base_count	scientific_name
ERR6594976	SAMEA9563030	001_1_TL	WaikatoESS-2021	JMC2020	ssRNA-seq	PAIRED	Illumina MiSeq	197020	49255000	uncultured bacterium
ERR6594986	SAMEA9563040	002_1_SL	WaikatoESS-2021	JMC2020	ssRNA-seq	PAIRED	Illumina MiSeq	350712	87678000	uncultured bacterium
ERR6594989	SAMEA9563043	002_3_SR	WaikatoESS-2021	JMC2020	ssRNA-seq	PAIRED	Illumina MiSeq	296444	74111000	uncultured bacterium
ERR6594990	SAMEA9563044	002_3_SL	WaikatoESS-2021	JMC2020	ssRNA-seq	PAIRED	Illumina MiSeq	227104	56776000	uncultured bacterium
ERR6594999	SAMEA9563053	004_1_TR	WaikatoESS-2021	JMC2020	ssRNA-seq	PAIRED	Illumina MiSeq	284390	71097500	uncultured bacterium
ERR6595003	SAMEA9563057	004_2_SR	WaikatoESS-2021	JMC2020	ssRNA-seq	PAIRED	Illumina MiSeq	148210	37052500	uncultured bacterium
ERR6595006	SAMEA9563060	004_3_SL	WaikatoESS-2021	JMC2020	ssRNA-seq	PAIRED	Illumina MiSeq	198258	49564500	uncultured bacterium
ERR6595014	SAMEA9563068	005_3_SL	WaikatoESS-2021	JMC2020	ssRNA-seq	PAIRED	Illumina MiSeq	171902	42975500	uncultured bacterium
ERR6595015	SAMEA9563069	006_1_TR	WaikatoESS-2021	JMC2020	ssRNA-seq	PAIRED	Illumina MiSeq	266800	66700000	uncultured bacterium
ERR6595020	SAMEA9563074	006_3_SL	WaikatoESS-2021	JMC2020	ssRNA-seq	PAIRED	Illumina MiSeq	389680	97420000	uncultured bacterium
ERR6595021	SAMEA9563075	007_1_TR	WaikatoESS-2021	JMC2020	ssRNA-seq	PAIRED	Illumina MiSeq	385772	96443000	uncultured bacterium
ERR6595028	SAMEA9563082	007_3_SL	WaikatoESS-2021	JMC2020	ssRNA-seq	PAIRED	Illumina MiSeq	173316	43329000	uncultured bacterium
