run_accession	sample_accession	sample_alias	sample_title	library_name	library_strategy	library_layout	instrument_model	read_count	base_count	scientific_name
SRR3493776	SAMN04966186	GSM2147874	EC3		RNA-Seq	SINGLE	Illumina HiSeq 2500	56107466	2805373300	Homo sapiens
SRR3493788	SAMN04966198	GSM2147886	EC15		RNA-Seq	SINGLE	Illumina HiSeq 2500	42765681	2138284050	Homo sapiens
SRR3493789	SAMN04966199	GSM2147887	EC16		RNA-Seq	SINGLE	Illumina HiSeq 2500	46221377	2311068850	Homo sapiens
SRR3493798	SAMN04966208	GSM2147896	NH19		RNA-Seq	PAIRED	Illumina HiSeq 2500	37877198	5681579700	Homo sapiens
SRR3493808	SAMN04966218	GSM2147906	NH29		RNA-Seq	PAIRED	Illumina HiSeq 2500	39631831	5944774650	Homo sapiens
SRR3493818	SAMN04966228	GSM2147916	NH3		RNA-Seq	PAIRED	Illumina HiSeq 2500	47890990	7183648500	Homo sapiens
SRR3493828	SAMN04966238	GSM2147926	NH4		RNA-Seq	PAIRED	Illumina HiSeq 2500	46275400	6941310000	Homo sapiens
SRR3493829	SAMN04966239	GSM2147927	NH50		RNA-Seq	PAIRED	Illumina HiSeq 2500	42687038	6403055700	Homo sapiens
SRR3493836	SAMN04966168	GSM2147934	NH60		RNA-Seq	PAIRED	Illumina HiSeq 2500	50154129	7523119350	Homo sapiens
SRR3493841	SAMN04966174	GSM2147939	NH9		RNA-Seq	PAIRED	Illumina HiSeq 2500	54590329	8188549350	Homo sapiens
SRR3493843	SAMN04966176	GSM2147941	NH63		RNA-Seq	PAIRED	Illumina HiSeq 2500	44090189	6613528350	Homo sapiens
SRR3493850	SAMN04966183	GSM2147948	NH65		RNA-Seq	PAIRED	Illumina HiSeq 2500	34751282	5212692300	Homo sapiens
SRR3493774	SAMN04966184	GSM2147872	EC1		RNA-Seq	SINGLE	Illumina HiSeq 2500	42299905	2114995250	Homo sapiens
SRR3493782	SAMN04966192	GSM2147880	EC9		RNA-Seq	SINGLE	Illumina HiSeq 2500	48109536	2405476800	Homo sapiens
SRR3493790	SAMN04966200	GSM2147888	NH10		RNA-Seq	PAIRED	Illumina HiSeq 2500	44514513	6677176950	Homo sapiens
SRR3493800	SAMN04966210	GSM2147898	NH20		RNA-Seq	PAIRED	Illumina HiSeq 2500	38748830	5812324500	Homo sapiens
SRR3493801	SAMN04966211	GSM2147899	NH21		RNA-Seq	PAIRED	Illumina HiSeq 2500	36958681	5543802150	Homo sapiens
SRR3493805	SAMN04966215	GSM2147903	NH26		RNA-Seq	PAIRED	Illumina HiSeq 2500	42167068	6325060200	Homo sapiens
SRR3493811	SAMN04966221	GSM2147909	NH32		RNA-Seq	PAIRED	Illumina HiSeq 2500	47969950	7195492500	Homo sapiens
SRR3493819	SAMN04966229	GSM2147917	NH40		RNA-Seq	PAIRED	Illumina HiSeq 2500	50731604	7609740600	Homo sapiens
SRR3493821	SAMN04966231	GSM2147919	NH42		RNA-Seq	PAIRED	Illumina HiSeq 2500	41165470	6174820500	Homo sapiens
SRR3493822	SAMN04966232	GSM2147920	NH43		RNA-Seq	PAIRED	Illumina HiSeq 2500	49847954	7477193100	Homo sapiens
SRR3493823	SAMN04966233	GSM2147921	NH44		RNA-Seq	PAIRED	Illumina HiSeq 2500	52992458	7948868700	Homo sapiens
SRR3493832	SAMN04966165	GSM2147930	NH53		RNA-Seq	PAIRED	Illumina HiSeq 2500	48022144	7203321600	Homo sapiens
SRR3493837	SAMN04966169	GSM2147935	NH61		RNA-Seq	PAIRED	Illumina HiSeq 2500	48831261	7324689150	Homo sapiens
SRR3493839	SAMN04966172	GSM2147937	NH7		RNA-Seq	PAIRED	Illumina HiSeq 2500	45634197	6845129550	Homo sapiens
SRR3493840	SAMN04966173	GSM2147938	NH8		RNA-Seq	PAIRED	Illumina HiSeq 2500	39433551	5915032650	Homo sapiens
SRR3493844	SAMN04966177	GSM2147942	NH54		RNA-Seq	PAIRED	Illumina HiSeq 2500	35491677	5323751550	Homo sapiens
SRR3493847	SAMN04966180	GSM2147945	EC13b		RNA-Seq	PAIRED	Illumina HiSeq 2500	41692602	6253890300	Homo sapiens
SRR3493777	SAMN04966187	GSM2147875	EC4		RNA-Seq	SINGLE	Illumina HiSeq 2500	46143360	2307168000	Homo sapiens
SRR3493779	SAMN04966189	GSM2147877	EC6		RNA-Seq	SINGLE	Illumina HiSeq 2500	43309721	2165486050	Homo sapiens
SRR3493781	SAMN04966191	GSM2147879	EC8		RNA-Seq	SINGLE	Illumina HiSeq 2500	43855047	2192752350	Homo sapiens
SRR3493797	SAMN04966207	GSM2147895	NH18		RNA-Seq	PAIRED	Illumina HiSeq 2500	44700231	6705034650	Homo sapiens
SRR3493802	SAMN04966212	GSM2147900	NH22		RNA-Seq	PAIRED	Illumina HiSeq 2500	43667913	6550186950	Homo sapiens
SRR3493804	SAMN04966214	GSM2147902	NH24		RNA-Seq	PAIRED	Illumina HiSeq 2500	40154182	6023127300	Homo sapiens
SRR3493809	SAMN04966219	GSM2147907	NH2		RNA-Seq	PAIRED	Illumina HiSeq 2500	45406301	6810945150	Homo sapiens
SRR3493810	SAMN04966220	GSM2147908	NH30		RNA-Seq	PAIRED	Illumina HiSeq 2500	47892220	7183833000	Homo sapiens
SRR3493815	SAMN04966225	GSM2147913	NH37		RNA-Seq	PAIRED	Illumina HiSeq 2500	40391034	6058655100	Homo sapiens
SRR3493817	SAMN04966227	GSM2147915	NH39		RNA-Seq	PAIRED	Illumina HiSeq 2500	50623800	7593570000	Homo sapiens
SRR3493824	SAMN04966234	GSM2147922	NH45		RNA-Seq	PAIRED	Illumina HiSeq 2500	47948724	7192308600	Homo sapiens
SRR3493825	SAMN04966235	GSM2147923	NH47		RNA-Seq	PAIRED	Illumina HiSeq 2500	48833670	7325050500	Homo sapiens
SRR3493826	SAMN04966236	GSM2147924	NH48		RNA-Seq	PAIRED	Illumina HiSeq 2500	45456083	6818412450	Homo sapiens
SRR3493830	SAMN04966240	GSM2147928	NH51		RNA-Seq	PAIRED	Illumina HiSeq 2500	53145659	7971848850	Homo sapiens
