run_accession	sample_accession	sample_alias	sample_title	library_name	library_strategy	library_layout	instrument_model	read_count	base_count	scientific_name
SRR36026515	SAMN53214566	C_6	Metagenome or environmental sample from human feces metagenome	C6	AMPLICON	PAIRED	Illumina NovaSeq 6000	133615	60258583	human feces metagenome
SRR36026523	SAMN53214578	C_18	Metagenome or environmental sample from human feces metagenome	C18	AMPLICON	PAIRED	Illumina NovaSeq 6000	135760	60684193	human feces metagenome
SRR36026525	SAMN53214576	C_16	Metagenome or environmental sample from human feces metagenome	C16	AMPLICON	PAIRED	Illumina NovaSeq 6000	133915	59859542	human feces metagenome
SRR36026539	SAMN53214525	A_5	Metagenome or environmental sample from human feces metagenome	A5	AMPLICON	PAIRED	Illumina NovaSeq 6000	139551	62936486	human feces metagenome
SRR36026542	SAMN53214558	B_18	Metagenome or environmental sample from human feces metagenome	B18	AMPLICON	PAIRED	Illumina NovaSeq 6000	131242	59189258	human feces metagenome
SRR36026543	SAMN53214580	C_20	Metagenome or environmental sample from human feces metagenome	C20	AMPLICON	PAIRED	Illumina NovaSeq 6000	94578	42276136	human feces metagenome
SRR36026546	SAMN53214555	B_15	Metagenome or environmental sample from human feces metagenome	B15	AMPLICON	PAIRED	Illumina NovaSeq 6000	144892	65345410	human feces metagenome
SRR36026547	SAMN53214554	B_14	Metagenome or environmental sample from human feces metagenome	B14	AMPLICON	PAIRED	Illumina NovaSeq 6000	132618	59809871	human feces metagenome
SRR36026550	SAMN53214620	E_20	Metagenome or environmental sample from human feces metagenome	E20	AMPLICON	PAIRED	Illumina NovaSeq 6000	132557	59242404	human feces metagenome
SRR36026556	SAMN53214614	E_14	Metagenome or environmental sample from human feces metagenome	E14	AMPLICON	PAIRED	Illumina NovaSeq 6000	146605	65531635	human feces metagenome
SRR36026560	SAMN53214530	A_10	Metagenome or environmental sample from human feces metagenome	A10	AMPLICON	PAIRED	Illumina NovaSeq 6000	125906	56782591	human feces metagenome
SRR36026567	SAMN53214604	E_4	Metagenome or environmental sample from human feces metagenome	E4	AMPLICON	PAIRED	Illumina NovaSeq 6000	90334	40378892	human feces metagenome
SRR36026577	SAMN53214595	D_15	Metagenome or environmental sample from human feces metagenome	D15	AMPLICON	PAIRED	Illumina NovaSeq 6000	88204	39426966	human feces metagenome
SRR36026579	SAMN53214593	D_13	Metagenome or environmental sample from human feces metagenome	D13	AMPLICON	PAIRED	Illumina NovaSeq 6000	98002	43806566	human feces metagenome
SRR36026580	SAMN53214592	D_12	Metagenome or environmental sample from human feces metagenome	D12	AMPLICON	PAIRED	Illumina NovaSeq 6000	67967	30381090	human feces metagenome
SRR36026584	SAMN53214590	D_10	Metagenome or environmental sample from human feces metagenome	D10	AMPLICON	PAIRED	Illumina NovaSeq 6000	163437	73054806	human feces metagenome
SRR36026585	SAMN53214568	C_8	Metagenome or environmental sample from human feces metagenome	C8	AMPLICON	PAIRED	Illumina NovaSeq 6000	134403	60613645	human feces metagenome
SRR36026586	SAMN53214551	B_11	Metagenome or environmental sample from human feces metagenome	B11	AMPLICON	PAIRED	Illumina NovaSeq 6000	147675	66600371	human feces metagenome
