bugName	pval	p3M	p1Y	p2Y	s3M	s1Y	s2Y	Adjustedpval	Adjustedp3M	Adjustedp1Y	Adjustedp2Y
Family_XI	1.98351470515057e-05	1.65552410418184e-06	0.111008537293368	0.00896465380601779	0.938111069918172	0.304473375736127	0.631068805518059	0.00130911970539938	0.000109264590876002	0.281790902360089	0.0657407945774638
Neisseriaceae	4.36983172971139e-05	1.99617017825925e-05	0.013493269523099	0.000209003940802763	0.815548271443033	0.49046062919185	0.956514058007478	0.00144204447080476	0.000439157439217035	0.111319473565567	0.00689713004649117
Streptococcaceae	0.000112769293036941	1.82254176417686e-05	0.00328846295194261	0.00395581555873295	0.814812155502964	0.589040582612372	0.710577707726036	0.00248092444681269	0.000439157439217035	0.0912089553842973	0.0459585716182908
Pasteurellaceae	0.000151180495805758	0.00021310466439264	0.00967367708621335	0.000136375939708899	0.751411119106349	0.570488327040302	1.10121598571607	0.00249447818079501	0.00281298156998285	0.0912089553842973	0.00689713004649117
Enterobacteriaceae	0.000536830811237121	6.91723789408712e-05	0.0443184433122028	0.00765859959969098	0.729610672397657	0.37964620639236	0.626808972010429	0.00708616670833	0.00114134425252438	0.146250862930269	0.0631834466974506
Fusobacteriaceae	0.00190762677276668	0.000584166205089931	0.00914543711713344	0.00735238638741318	0.928565789526555	0.768655765420666	0.979426170897621	0.0209838945004335	0.00642582825598924	0.0912089553842973	0.0631834466974506
Elusimicrobiaceae	0.0026753780531521	0.930156984855924	0.000525528951820453	0.272143890071609	0.0182659800698287	0.880378772312695	0.319520668295476	0.0227075280580287	0.959224390632672	0.0346849108201499	0.619361956714697
Leptotrichiaceae	0.00298044662678321	0.00140148835522415	0.01766120464564	0.00417805196529916	0.592040902083739	0.481710268772197	0.731053846262462	0.0227075280580287	0.0115622789305992	0.116910886298119	0.0459585716182908
Carnobacteriaceae	0.0030964810988221	0.00729240274369189	0.911876485648296	0.00397353146284503	0.646567782585145	-0.0283036464141911	0.946677060693468	0.0227075280580287	0.0370229677756665	0.970707226657863	0.0459585716182908
Saccharimonadaceae	0.00362851348219118	0.000899600602483807	0.743312085934132	0.849292779006378	0.552816155541786	0.0573474773165324	-0.0411315755330164	0.0239481889824618	0.00848194853770447	0.845837890890564	0.937998659686649
Succinivibrionaceae	0.00714768447994751	0.0222733687877097	0.511007520018378	0.00192960010626418	-0.606993140805874	-0.19352455601675	-1.20545061561068	0.0428861068796851	0.0816690188882687	0.711184725406299	0.0424512023378119
Prevotellaceae	0.0117399943991612	0.636614277302281	0.0360538368834773	0.0142504910374069	-0.0860678847837992	0.446736129374801	0.6550893929304	0.0607755619973398	0.792764949093407	0.145577472844944	0.0940532408468855
Akkermansiaceae	0.0119709440297791	0.00253095907433485	0.0177137706512301	0.061420631857561	0.866265919832692	0.751503405584795	0.722704916032522	0.0607755619973398	0.01670432989061	0.116910886298119	0.290265700535267
Peptostreptococcaceae	0.0130273601360769	0.819599601158317	0.00461980109719895	0.0474733744468286	-0.0494441177526843	-0.733924710405178	-0.619131267121391	0.0614146977843623	0.901559561274149	0.0912089553842973	0.284840246680972
Micrococcaceae	0.0157025988689132	0.00214284282678924	0.177523858868198	0.0562706583879896	0.562269366913009	0.261300281059599	0.455561623776108	0.0690914350232182	0.0157141807297878	0.384259020312782	0.290265700535267
Marinifilaceae	0.0204615415020428	0.00518021894709936	0.0262201790145779	0.663291516509552	0.436076312053676	0.386911794474858	0.0911257162245821	0.0844038586959266	0.0284912042090465	0.144210984580178	0.825985662068499
Actinomycetaceae	0.0297207242801427	0.00397812011986971	0.434205291709813	0.149831419678957	0.608031186725443	0.174628274432457	0.395077337622178	0.115386341322907	0.0238687207192183	0.682322601258277	0.429951030383093
vadinBE97	0.0329222948304148	0.0209804035467619	0.00826359663336824	0.282144438517246	0.501056381737773	0.660337778134017	0.321237698147005	0.120715081044854	0.0814533314168405	0.0912089553842973	0.620717764737941
Clostridiaceae_1	0.0391540507824655	0.527741536942303	0.00681251225165945	0.96778496851319	-0.151358939884517	-0.769597110275705	-0.0135578572400275	0.136008807981196	0.735052674335326	0.0912089553842973	0.96778496851319
Family_XIII	0.0520207820607876	0.026190432125979	0.0290154134629431	0.860180676608881	0.31749873282735	0.356871298861043	0.0346807591992159	0.171668580800599	0.0909772905428746	0.145577472844944	0.937998659686649
Victivallaceae	0.0680293872206643	0.0180222190846349	0.0590623279727807	0.0932683423462906	0.659556827130706	0.588889735172188	0.645358058394319	0.213806645550659	0.0743416537241188	0.177186983918342	0.362100623226775
Mitochondria	0.0724700211382873	0.678323782077651	0.0919034837483609	0.0697995819503812	-0.0456549893288865	0.210062398085559	0.275804012319334	0.217410063414862	0.813988538493181	0.242625197095673	0.290265700535267
Atopobiaceae	0.101537707419349	0.0141431329239093	0.22613964821447	0.362656154870762	0.601433229635708	0.321357699173926	0.294055878366004	0.291369073464218	0.0666747694984294	0.43897696418103	0.646348799211964
Porphyromonadaceae	0.112339490309473	0.0622774422353382	0.947027143367624	0.427674476652559	0.331138483330944	-0.0128368969821266	-0.187241235645179	0.296140823129425	0.164412447501293	0.992123674004178	0.65643059207137
Campylobacteraceae	0.116100704955075	0.0178043130341002	0.193229449662409	0.29410641466615	0.442044179110675	0.263719722756635	0.258471880304566	0.296140823129425	0.0743416537241188	0.386458899324819	0.626162044127933
Tannerellaceae	0.119590274735466	0.372732653561884	0.0262113097353463	0.124460683777418	0.107734734845786	0.309896426696043	0.258809653601759	0.296140823129425	0.600008661831326	0.144210984580178	0.391162149014743
Synergistaceae	0.121711201791259	0.357452274715097	0.0419747261363431	0.0670614444364662	0.206099438562345	0.521528359080647	0.573314528388614	0.296140823129425	0.58979625327991	0.145806943420981	0.290265700535267
Muribaculaceae	0.129193307781956	0.207080547007507	0.0338210985274278	0.91601285399124	0.369860846325524	0.720113564825245	-0.0430749028582432	0.296140823129425	0.391820038452025	0.145577472844944	0.941379744940186
Bifidobacteriaceae	0.130122482890202	0.0659817929963918	0.0556985787182477	0.115646870511362	-0.648211797836622	-0.752010414650923	-0.746619169909435	0.296140823129425	0.167492243760071	0.175052675971636	0.381634672687496
Defluviitaleaceae	0.140389281954008	0.0331155895558407	0.180842967835332	0.11503234502706	-0.264651788007622	-0.1866981969697	-0.274418508888548	0.308856420298817	0.109281445534274	0.384259020312782	0.381634672687496
Eubacteriaceae	0.158360767508732	0.141404355864617	0.039698775864256	0.163396486644898	-0.173298716904919	-0.274529234230617	-0.224158219167966	0.323102396887935	0.333310267395169	0.145577472844944	0.449340338273471
Aeromonadaceae	0.158538603263325	0.048877909649956	0.0672865002255663	0.387857378695359	0.345296023437964	0.36059281541305	0.20654008545234	0.323102396887935	0.140258349430309	0.193083000647277	0.646348799211964
Rikenellaceae	0.161551198443967	0.043716321756014	0.39523091879773	0.789152113968194	0.3439893147605	0.160603232814427	-0.0622514289922229	0.323102396887935	0.13739415409033	0.636225381479272	0.930072134319657
Methanobacteriaceae	0.190820905057858	0.542820138112146	0.0332959212003827	0.452417485295901	0.175309907686671	0.718918124498565	0.307091157368684	0.370417050994665	0.735052674335326	0.145577472844944	0.678626227943851
Barnesiellaceae	0.197038147182862	0.175031742265083	0.309237839185389	0.881735013003033	-0.423485223008012	0.353786071411074	-0.0630779921868712	0.371557648973398	0.361002968421733	0.510242434655891	0.938621142874196
