Acidobacteria	Actinobacteria	Armatimonadetes	Atribacteria	Bacteroidetes	Basidiomycota	BRC1	Caldiserica	Chlamydiae	Chloroflexi	Cloacimonetes	Crenarchaeota	Cyanobacteria	Deferribacteres	Deinococcus-Thermus	Dependentiae	Elusimicrobia	Epsilonbacteraeota	Euglenozoa	Euryarchaeota	FBP	Fibrobacteres	Firmicutes	Fusobacteria	Gemmatimonadetes	Incertae_Sedis	Kiritimatiellaeota	Lentisphaerae	Nanoarchaeaeota	Nitrospirae	Patescibacteria	Phragmoplastophyta	Planctomycetes	Proteobacteria	Rokubacteria	Spirochaetes	Synergistetes	Tenericutes	Thaumarchaeota	Thermotogae	Verrucomicrobia	Vertebrata	WPS-2	Zixibacteria	others	Assay.Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center.Name	Collection_Date	Consent	DATASTORE.filetype	DATASTORE.provider	DATASTORE.region	env_biome	env_feature	env_material	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Host_Age	Host	Instrument	lat_lon	Library.Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample.Name	SRA.Study	env_material.1	Group	ID	prepost
SRR11292142	0	2.97063767929614	0	0	2.70871510333523	0	0	0	0	0	0	0	1.01604841659341	0	0	0	0	0	0	0	0	0	4.67831368398389	0	0	0	0	0	0	0	0	0	0	2.39586074085096	0	0	0	0	0	0	2.13445968069686	0	0	0	1.0687768590296	AMPLICON	302	12592192	PRJNA612042	SAMN08684096	Metagenome or environmental	7076754	UNIVERSITY OF ARIZONA COLLEGE OF MEDICINE - PHOENIX	12/27/13	public	fastq,sra	ncbi,gs,s3	ncbi.public,gs.US,s3.us-east-1	gut	intestine	fecal	SRX7897753	uncalculated	uncalculated	missing	not collected	Homo sapiens	Illumina MiSeq	not collected	P18	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2020-03-12T00:00:00Z	P18	SRP252447	fecal	Baseline	P18	0
SRR11292143	0	1.47624534218227	0	0	4.55032740629293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.08070475668378	0	0	0	0	0	0	0	0	0	0	3.2874016852328	0	0	0	0	0	0	0	0	0	0	1.01117519645689	AMPLICON	302	33475492	PRJNA612042	SAMN08684095	Metagenome or environmental	18151396	UNIVERSITY OF ARIZONA COLLEGE OF MEDICINE - PHOENIX	10/16/14	public	sra,fastq	gs,s3,ncbi	gs.US,ncbi.public,s3.us-east-1	gut	intestine	fecal	SRX7897752	uncalculated	uncalculated	missing	not collected	Homo sapiens	Illumina MiSeq	not collected	P16-12M	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2020-03-12T00:00:00Z	P16-12M	SRP252447	fecal	12M	P16	1
SRR11292144	0	2.2222408093866	0	0	4.33368649067123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.43567289978392	0	0	0	0	0	0	0	0	0	0	2.72407893439538	0	0	0	0	0	0	0	0	0	0	0	AMPLICON	302	14673274	PRJNA612042	SAMN08684094	Metagenome or environmental	8122330	UNIVERSITY OF ARIZONA COLLEGE OF MEDICINE - PHOENIX	10/18/13	public	sra,fastq	gs,ncbi	gs.US,ncbi.public	gut	intestine	fecal	SRX7897751	uncalculated	uncalculated	missing	not collected	Homo sapiens	Illumina MiSeq	not collected	P16	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2020-03-12T00:00:00Z	P16	SRP252447	fecal	Baseline	P16	0
SRR11292145	0	2.16023301093986	0	0	4.46129408879931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.27357561496701	0	0	0	0	0	0	0	0	0	0	3.22579174701354	0	0	0	0	0	0	0	0	0	0	0	AMPLICON	302	17426910	PRJNA612042	SAMN08684093	Metagenome or environmental	9848854	UNIVERSITY OF ARIZONA COLLEGE OF MEDICINE - PHOENIX	9/19/13	public	fastq,sra	ncbi,s3,gs	gs.US,ncbi.public,s3.us-east-1	gut	intestine	fecal	SRX7897750	uncalculated	uncalculated	missing	not collected	Homo sapiens	Illumina MiSeq	not collected	P15-BASE	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2020-03-12T00:00:00Z	P15-BASE	SRP252447	fecal	Baseline	P15	0
SRR11292146	0	1.83958037635441	0	0	4.56149174103176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.84834969864832	1.0183461539624	0	0	0	0	0	0	0	0	0	3.69122830108174	0	0	0	0	0	0	3.02118547869636	0	0	0	0.617401769040957	AMPLICON	302	16062172	PRJNA612042	SAMN08684092	Metagenome or environmental	8919825	UNIVERSITY OF ARIZONA COLLEGE OF MEDICINE - PHOENIX	11/24/14	public	fastq,sra	ncbi,s3,gs	s3.us-east-1,ncbi.public,gs.US	gut	intestine	fecal	SRX7897749	uncalculated	uncalculated	missing	not collected	Homo sapiens	Illumina MiSeq	not collected	P15-12M	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2020-03-12T00:00:00Z	P15-12M	SRP252447	fecal	12M	P15	1
SRR11292147	0	3.18590900757319	0	0	3.93610673189704	0	0	0	0	0	0	0	1.07078660286208	0	0	0	0	0	0	0	0	0	4.55467127120536	0	0	0	0	0	0	0	0	0	0	3.46839251652524	0	0	0	0	0	0	2.73748489918443	0	0	0	0	AMPLICON	302	18052956	PRJNA612042	SAMN08684091	Metagenome or environmental	9708278	UNIVERSITY OF ARIZONA COLLEGE OF MEDICINE - PHOENIX	5/28/13	public	fastq,sra	ncbi,s3,gs	ncbi.public,s3.us-east-1,gs.US	gut	intestine	fecal	SRX7897748	uncalculated	uncalculated	missing	not collected	Homo sapiens	Illumina MiSeq	not collected	P13-BASE	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2020-03-12T00:00:00Z	P13-BASE	SRP252447	fecal	Baseline	P13	0
SRR11292148	0	1.54771409543636	0	0	4.3676404447796	0	0	0	0	0	0	0	1.47293415031947	0	0	0	0	1.11271885047816	0	0	0	0	4.33158423894676	3.0522906491523	0	0	0	0	0	0	0	0	0	3.38936171806503	0	0	0	0	0	0	3.04203678082728	0	0	0	0	AMPLICON	302	21168086	PRJNA612042	SAMN08684090	Metagenome or environmental	11716504	UNIVERSITY OF ARIZONA COLLEGE OF MEDICINE - PHOENIX	8/27/14	public	sra,fastq	s3,ncbi,gs	s3.us-east-1,ncbi.public,gs.US	gut	intestine	fecal	SRX7897747	uncalculated	uncalculated	missing	not collected	Homo sapiens	Illumina MiSeq	not collected	P13-12M	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2020-03-12T00:00:00Z	P13-12M	SRP252447	fecal	12M	P13	1
SRR11292129	1.64366174708345	2.15108113422859	0	0	4.47668643081993	0	0	0	0	0	0	0	1.60014485599046	0	0	0	0	0.715768507110971	0	0	0	0	4.05415951631799	3.77171175147592	0	0	0	0	0	0.92143053964243	0	0	0	3.23254039776956	0	0	0	0	1.467327247025	0	2.53538388198665	0	0	0	0.795635784717525	AMPLICON	302	16868210	PRJNA612042	SAMN08684108	Metagenome or environmental	9250630	UNIVERSITY OF ARIZONA COLLEGE OF MEDICINE - PHOENIX	6/24/13	public	sra,fastq	s3,ncbi,gs	gs.US,ncbi.public,s3.us-east-1	gut	intestine	fecal	SRX7897766	uncalculated	uncalculated	missing	not collected	Homo sapiens	Illumina MiSeq	not collected	P13-6M	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2020-03-12T00:00:00Z	P7-6M	SRP252447	fecal	6M	P7	1
SRR11292130	0	2.17391764278493	0	0	4.48987532701735	0	0	0	0	0	0	0	1.08445837289035	0	0	0	0	0	0	0	0	0	4.15894293948659	1.24846501239358	0	0	0	1.19007139244593	0	0	0	0	0	3.1096896870563	0	0	0	0	0	0	3.43717968385304	0	0	0	0	AMPLICON	302	14839676	PRJNA612042	SAMN08684107	Metagenome or environmental	8368802	UNIVERSITY OF ARIZONA COLLEGE OF MEDICINE - PHOENIX	6/25/13	public	fastq,sra	ncbi,gs,s3	ncbi.public,gs.US,s3.us-east-1	gut	intestine	fecal	SRX7897765	uncalculated	uncalculated	missing	not collected	Homo sapiens	Illumina MiSeq	not collected	P9-6M	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2020-03-12T00:00:00Z	P6-6M	SRP252447	fecal	6M	P6	1
SRR11292133	0	2.45955264716623	0	0	4.19257974503236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.47469559407341	1.9234853186402	0	0	0	0	0	0	0	0	0	3.26735104536461	0	0	2.34152067650457	0	0	0	3.22106066543547	0	0	0	1.0943702672826	AMPLICON	302	12307708	PRJNA612042	SAMN08684104	Metagenome or environmental	6821779	UNIVERSITY OF ARIZONA COLLEGE OF MEDICINE - PHOENIX	1/7/13	public	fastq,sra	s3,ncbi,gs	s3.us-east-1,gs.US,ncbi.public	gut	intestine	fecal	SRX7897762	uncalculated	uncalculated	missing	not collected	Homo sapiens	Illumina MiSeq	not collected	P10-12M	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2020-03-12T00:00:00Z	P8-BASE	SRP252447	fecal	Baseline	P8	0
SRR11292134	0	1.98186288518379	0	0	4.4829902932586	0	0	0	0	0	0	0	0.663151235664933	0	0	0	0	0	0	0	0	0	4.23364598026524	0	0	0	0	0	0	0	0	0	0	3.2463603264736	0	0	0	0	0	0	2.12041421859826	0	0	0	0	AMPLICON	302	15759870	PRJNA612042	SAMN08684103	Metagenome or environmental	8425561	UNIVERSITY OF ARIZONA COLLEGE OF MEDICINE - PHOENIX	12/7/12	public	fastq,sra	gs,ncbi,s3	s3.us-east-1,ncbi.public,gs.US	gut	intestine	fecal	SRX7897761	uncalculated	uncalculated	missing	not collected	Homo sapiens	Illumina MiSeq	not collected	P10-BASE	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2020-03-12T00:00:00Z	P7-BASE	SRP252447	fecal	Baseline	P7	0
SRR11292135	0	2.98464628672284	0	0	3.8204803852708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.39510795769817	0	0	0	0	0	0	0	0	0	0	2.52174708884659	0	0	0	0	0	0	4.22473659741769	0	0	0	0.369077771269758	AMPLICON	302	25643424	PRJNA612042	SAMN08684102	Metagenome or environmental	14353782	UNIVERSITY OF ARIZONA COLLEGE OF MEDICINE - PHOENIX	11/27/12	public	fastq,sra	s3,gs,ncbi	gs.US,ncbi.public,s3.us-east-1	gut	intestine	fecal	SRX7897760	uncalculated	uncalculated	missing	not collected	Homo sapiens	Illumina MiSeq	not collected	P9-BASE	PAIRED	PCR	METAGENOMIC	human gut metagenome	ILLUMINA	2020-03-12T00:00:00Z	P6-BASE	SRP252447	fecal	Baseline	P6	0
