SAMPLE_ID	Acholeplasmatales	Acidaminococcales	Acidiferrobacterales	Acidimicrobiales	Acidithiobacillales	Acidobacteriales	Acidothermales	Actinomycetales	Actinopolysporales	Aeromonadales	Alteromonadales	Anaerolineales	Aquificales	Ardenticatenales	Bacillales	Bacteriovoracales	Bacteroidales	Bacteroidetes Order II. Incertae sedis	Bdellovibrionales	Bifidobacteriales	Bradymonadales	Bryobacterales	Burkholderiales	Caldilineales	Caldisericales	Calditrichales	Campylobacterales	Candidatus Babeliales	Candidatus Brocadiales	Candidatus Nanopelagicales	Candidatus Nanosynbacterales	Cardiobacteriales	Caulobacterales	Cellvibrionales	Chitinophagales	Chlamydiales	Chlorobiales	Chloroflexales	Chromatiales	Chroococcales	Chthonomonadales	Clostridiales	Coprothermobacterales	Coriobacteriales	Corynebacteriales	Cytophagales	Deferribacterales	Dehalococcoidales	Deinococcales	Desulfarculales	Desulfobacterales	Desulfovibrionales	Desulfurellales	Desulfuromonadales	Dictyoglomales	Eggerthellales	Egibacterales	Egicoccales	Elusimicrobiales	Emcibacterales	Endomicrobiales	Enterobacterales	Entomoplasmatales	Erysipelotrichales	Euzebyales	Fibrobacterales	Fimbriimonadales	Flavobacteriales	Frankiales	Fusobacteriales	Gemmatales	Gemmatimonadales	Geodermatophilales	Gloeobacterales	Gloeoemargaritales	Glycomycetales	Halanaerobiales	Haloferacales	Holosporales	Hydrogenophilales	Ignavibacteriales	Immundisolibacterales	Isosphaerales	Jiangellales	Kiritimatiellales	Kordiimonadales	Kosmotogales	Ktedonobacterales	Lactobacillales	Legionellales	Leptospirales	Limnochordales	Magnetococcales	Marinilabiliales	Mariprofundales	Mesoaciditogales	Methanobacteriales	Methanomassiliicoccales	Methanomicrobiales	Methanosarcinales	Methylacidiphilales	Methylococcales	Micrococcales	Micromonosporales	Mycoplasmatales	Myxococcales	Nakamurellales	Natranaerobiales	Nautiliales	Neisseriales	Nevskiales	Nitrosomonadales	Nitrosopumilales	Nitrososphaerales	Nitrospirales	Nostocales	Oceanospirillales	Opitutales	Orbales	Oscillatoriales	Parachlamydiales	Parvularculales	Pasteurellales	Pelagibacterales	Petrotogales	Phycisphaerales	Pirellulales	Planctomycetales	Pleurocapsales	Propionibacteriales	Pseudomonadales	Pseudonocardiales	Puniceicoccales	Rhizobiales	Rhodobacterales	Rhodocyclales	Rhodospirillales	Rickettsiales	Rubrobacterales	Saprospirales	Sedimentisphaerales	Selenomonadales	Silvanigrellales	Solirubrobacterales	Sphaerobacterales	Sphingobacteriales	Sphingomonadales	Spirochaetales	Streptomycetales	Streptosporangiales	Synechococcales	Synergistales	Syntrophobacterales	Tepidiformales	Thermales	Thermoanaerobacterales	Thermodesulfobacteriales	Thermomicrobiales	Thermosediminibacterales	Thermotogales	Thiotrichales	Tissierellales	Trueperales	Veillonellales	Verrucomicrobiales	Vibrionales	Xanthomonadales
SRR11292124	0.0	2.972898225112443	0.0	0.0	0.0	0.0	0.0	0.0	0.28704662305378126	0.28704662305378126	0.5809123878637107	0.28704662305378126	0.0	0.0	0.9744964351411085	0.0	4.5665355538671895	0.0	0.0	0.5809123878637107	0.0	0.0	3.0815066732055874	0.28704662305378126	0.0	0.0	0.45837488361485557	0.0	0.0	0.0	0.0	0.0	0.45837488361485557	0.28704662305378126	1.015623713175402	0.0	0.28704662305378126	0.0	0.45837488361485557	0.0	0.0	3.912834270804432	0.0	0.9290631109531439	0.0	0.8783154565051317	0.0	0.0	0.0	0.0	0.28704662305378126	2.8779394936556972	0.0	0.7545890641968592	0.0	0.6763752627800006	0.0	0.0	0.0	0.6763752627800006	0.0	1.6534209566856255	0.6763752627800006	1.015623713175402	0.0	0.0	0.0	2.3748046429279235	0.0	4.12321567245703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3530018222711822	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.120995452716929	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7545890641968592	0.0	0.8783154565051317	0.6763752627800006	0.0	0.0	0.0	1.1775205664587316	0.0	0.5809123878637107	0.0	0.0	0.0	0.0	0.28704662305378126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28704662305378126	0.0	0.0	0.0	0.82084350011391	0.0	0.0	0.0	1.119789787384259	0.28704662305378126	0.28704662305378126	0.0	0.0	0.0	0.0	0.28704662305378126	0.0	0.0	0.0	0.7545890641968592	0.8783154565051317	0.0	0.0	0.0	0.28704662305378126	0.0	0.28704662305378126	0.0	0.28704662305378126	0.0	0.0	0.0	0.0	0.0	0.28704662305378126	0.0	0.0	0.6763752627800006	1.3345714943635032	0.0	0.7545890641968592
SRR11292125	0.6601689569147872	0.3406199445351542	0.3406199445351542	1.0223085270274468	0.0	0.0	0.0	1.2169974931188354	0.0	0.9701705096022677	1.1108881697304236	1.3509447136577637	0.0	0.0	1.3509447136577637	0.9701705096022677	4.412727107999163	0.0	0.0	2.3283344499266794	0.0	0.3406199445351542	2.5365273929234013	0.6601689569147872	0.0	0.0	0.3406199445351542	0.0	0.0	0.0	0.0	0.0	0.9109082028001798	0.0	1.3509447136577637	0.0	0.3406199445351542	0.0	0.5291445369492822	0.0	0.0	4.196406246834018	0.0	1.6538182955133274	0.9109082028001798	1.1108881697304236	0.0	0.0	0.9701705096022677	0.0	0.3406199445351542	0.8422617989656762	0.0	1.4531714666357285	0.0	1.1108881697304236	0.0	0.0	0.0	0.7606898628985785	0.0	2.8674486662921144	2.0244776260441046	1.6052971292026783	0.0	1.6651464746100966	0.0	3.089061632347312	0.3406199445351542	1.2472959164208228	0.0	0.0	0.0	0.3406199445351542	0.0	0.0	0.0	0.0	0.0	0.3406199445351542	2.0482571507196705	0.3406199445351542	0.0	0.0	0.0	0.0	1.9500025901211253	0.6601689569147872	4.077294365905177	0.0	0.0	0.3406199445351542	0.0	0.5291445369492822	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0688528066147678	0.0	1.0688528066147678	0.6601689569147872	0.0	0.0	0.0	0.5291445369492822	0.0	0.0	0.0	0.0	0.3406199445351542	0.0	0.7606898628985785	0.0	0.0	0.0	0.0	0.0	0.8422617989656762	1.1108881697304236	0.0	0.0	0.0	0.0	0.0	0.0	2.844389986175004	0.0	0.0	0.9701705096022677	0.8422617989656762	0.0	1.0223085270274468	0.0	0.0	0.6601689569147872	0.3406199445351542	0.8422617989656762	0.0	0.0	0.0	1.1844257188483116	1.2756177278770024	0.0	0.3406199445351542	0.0	0.5291445369492822	1.488158133293862	0.0	0.0	0.0	0.5291445369492822	0.3406199445351542	0.0	0.0	0.0	1.1108881697304236	0.6601689569147872	0.7606898628985785	2.8285639148726025	3.5483109335978464	0.9701705096022677	0.9109082028001798
SRR11292126	0.0	2.5942975309047767	0.0	0.0	0.0	0.0	1.0408028561835665	0.7776106044313275	0.0	1.4542187873476844	1.717449866227782	0.9288464560894165	0.0	0.3518221622691727	1.8872580377683952	0.0	4.131122185509795	0.0	0.0	2.1207517346749527	0.0	0.0	1.54032463863874	0.7776106044313275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3518221622691727	0.6761814355083223	1.1297330092033817	0.0	0.6761814355083223	0.3518221622691727	0.0	0.0	0.0	4.580330277712217	0.0	0.6761814355083223	0.0	0.8597787056451771	0.0	0.0	0.0	0.0	0.3518221622691727	0.0	0.0	0.3518221622691727	0.0	1.625193226074653	0.0	0.0	0.0	1.2949511207839575	0.0	2.6051962923715917	0.0	3.649998730877403	0.0	0.3518221622691727	0.0	2.8466161688299163	1.0408028561835665	0.7776106044313275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3518221622691727	0.0	2.3312873402442946	0.3518221622691727	0.0	0.0	0.0	0.0	0.3518221622691727	0.3518221622691727	3.4735311904102635	0.3518221622691727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0875402369322056	0.0	0.8597787056451771	0.0	0.0	0.0	0.0	0.3518221622691727	0.0	0.3518221622691727	0.0	0.0	0.0	0.0	1.0408028561835665	0.0	0.0	0.0	0.0	0.0	1.392952582518715	0.3518221622691727	0.0	0.0	0.3518221622691727	0.3518221622691727	0.0	0.0	1.7069340521312832	0.0	0.0	0.7776106044313275	0.0	0.8597787056451771	0.3518221622691727	0.0	0.0	0.0	0.0	1.0408028561835665	0.0	0.0	0.0	0.6761814355083223	0.3518221622691727	1.0875402369322056	0.0	0.0	0.3518221622691727	0.6761814355083223	0.8597787056451771	0.0	0.0	0.8597787056451771	0.0	0.0	0.0	0.8597787056451771	1.2665579705385248	0.3518221622691727	0.0	2.2194631437599868	2.4441786751140233	0.8597787056451771	0.0
SRR11292127	0.0	0.0	0.0	0.9187928654178495	0.0	0.0	0.0	1.3595253358334272	0.0	1.513347065057287	1.1928210812263909	0.7681223972337833	0.0	0.0	1.7165196366750128	2.4842138433201812	4.079200639768615	0.0	0.0	2.4876630721213546	0.0	0.0	2.4004451462293446	0.5354861415601255	0.0	1.736343680132903	0.9187928654178495	0.0	0.0	0.0	0.0	0.0	0.5354861415601255	0.0	1.2557696871202613	0.0	0.0	0.0	0.9187928654178495	0.5354861415601255	0.0	4.5136754761091415	0.0	2.4772320988303296	0.0	1.4796933719639365	0.0	0.0	0.0	0.0	1.4033808302750073	1.11917616709353	0.0	0.9187928654178495	0.0	1.1928210812263909	0.0	0.0	0.0	1.030440529038062	0.0	3.0988729998280475	0.0	3.2160881240025536	0.0	1.030440529038062	0.0	3.109670470542986	0.7681223972337833	1.6010193739333296	0.0	0.0	0.0	0.7681223972337833	0.0	0.5354861415601255	0.0	0.0	0.0	0.0	1.6010193739333296	0.0	0.0	0.0	0.0	0.0	0.0	0.5354861415601255	3.1970575441581364	0.5354861415601255	0.0	0.7681223972337833	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5354861415601255	0.0	1.030440529038062	0.9187928654178495	0.0	0.0	0.0	0.5354861415601255	0.0	0.0	0.0	0.0	0.0	0.5354861415601255	3.1555582709375907	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5354861415601255	0.0	0.0	0.0	0.0	1.8829627309306782	0.0	0.0	0.7681223972337833	0.0	0.7681223972337833	0.5354861415601255	0.7681223972337833	0.0	0.7681223972337833	0.0	1.11917616709353	0.0	0.0	0.0	1.3107386542618142	0.9187928654178495	0.7681223972337833	0.0	0.0	0.0	0.9187928654178495	0.0	0.0	0.5354861415601255	0.9187928654178495	0.0	0.0	0.0	0.0	1.4432111171221322	0.7681223972337833	0.0	3.3325315577847214	3.7809259386145815	0.5354861415601255	0.7681223972337833
SRR11292128	0.0	3.264629318911359	0.0	0.3325018515542889	0.0	0.3325018515542889	0.5185965392773969	1.438656539430906	0.0	0.5185965392773969	0.0	0.0	0.0	0.3325018515542889	1.2613748833625802	0.0	4.193903780766173	0.3325018515542889	0.0	0.8294047255194191	0.0	0.0	2.3827653194855216	0.0	0.0	0.0	0.3325018515542889	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.097019040897853	0.0	0.5185965392773969	0.0	0.0	0.0	0.0	4.573232152221674	0.0	1.9051029136921427	0.0	2.277956215330925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3325018515542889	0.0	1.2331076883143572	0.0	0.0	0.0	0.9567539933493983	0.0	1.5776071724227916	0.7482853746454903	3.1092073878064928	0.0	0.0	0.0	2.2365291075230447	0.7482853746454903	0.3325018515542889	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3325018515542889	0.0	2.1056277627093665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.4998124240980406	0.3325018515542889	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9567539933493983	0.0	0.7482853746454903	0.3325018515542889	0.0	0.0	0.5185965392773969	0.3325018515542889	0.0	0.3325018515542889	0.0	0.0	0.0	0.0	0.5185965392773969	0.0	0.0	0.5185965392773969	0.3325018515542889	0.0	2.6404505760903425	0.0	0.0	0.0	0.0	0.3325018515542889	0.0	0.0	1.6504233795983667	0.0	0.0	0.3325018515542889	0.0	0.0	1.2613748833625802	0.0	0.0	0.6484518902301869	0.0	0.8294047255194191	0.0	0.0	0.0	0.5185965392773969	0.9567539933493983	0.0	0.0	0.0	0.3325018515542889	0.3325018515542889	0.3325018515542889	0.0	0.0	0.3325018515542889	0.0	0.0	0.0	0.5185965392773969	0.6484518902301869	0.5185965392773969	0.0	2.7318681710561226	2.6370071408672064	0.0	0.0
SRR11292129	0.0	2.0305579797749993	0.0	0.0	0.0	1.5230832752276935	0.0	0.33351230068570736	0.0	1.2046406867717199	0.0	0.0	0.0	0.0	2.7835780304139983	0.0	4.580385569395988	0.0	0.0	1.8398803447138896	0.0	0.0	2.734676914862488	0.0	0.0	0.0	0.7498360492613718	0.0	0.0	0.0	0.0	0.0	0.6499156133288272	0.33351230068570736	1.0568250023251586	0.33351230068570736	0.0	0.0	0.33351230068570736	0.0	0.0	3.9839144234274575	0.0	1.0568250023251586	0.33351230068570736	1.010409428723084	0.0	0.0	0.0	0.0	0.33351230068570736	0.7498360492613718	0.0	0.0	0.0	0.7498360492613718	0.0	0.0	0.0	0.33351230068570736	0.0	2.651384519930945	0.33351230068570736	1.6173809069278493	0.0	0.0	0.0	1.2348845484476538	0.0	3.853330808734504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7167503637410033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9547230434388707	0.0	0.0	0.33351230068570736	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5378739508411279	0.0	0.33351230068570736	0.0	0.0	0.0	0.0	0.7498360492613718	0.0	0.8310127130106739	0.0	1.5077710626343142	1.172131964476303	0.0	0.6499156133288272	0.0	0.0	1.5660248443337288	0.0	0.0	1.2897040435981013	0.33351230068570736	0.0	0.0	0.0	0.0	0.0	0.0	2.4353678323613397	0.0	0.0	1.8813616845901986	0.7498360492613718	0.0	1.2348845484476538	0.0	1.010409428723084	0.33351230068570736	0.0	0.6499156133288272	0.0	0.0	0.0	0.7498360492613718	2.066446202206205	0.33351230068570736	0.0	0.0	0.0	0.6499156133288272	0.0	0.0	0.0	0.33351230068570736	0.0	0.0	0.0	0.0	0.519912663424071	0.33351230068570736	0.0	3.415631309510736	2.5836654860161588	0.6499156133288272	0.33351230068570736
SRR11292130	0.0	2.649107946613812	0.0	0.556420323364865	0.0	0.36182004772599097	0.36182004772599097	1.3637680497069953	0.0	0.0	0.0	0.0	0.0	0.0	1.7650833127094105	1.4901163315521364	4.5830851335397895	0.556420323364865	0.0	1.3386121423675106	0.0	0.0	2.5450984312831255	0.0	0.0	0.0	0.36182004772599097	0.690325923543051	0.36182004772599097	0.0	0.0	0.36182004772599097	0.0	0.690325923543051	1.431520853853525	0.0	0.0	0.0	0.0	0.0	0.0	4.174682285925236	0.0	0.690325923543051	0.0	1.1462795160048604	0.0	0.0	0.556420323364865	0.0	0.8752026466734952	1.431520853853525	0.0	0.36182004772599097	0.0	1.4519438027121796	0.0	0.0	0.0	0.7925285127473726	0.0	3.0203170064056715	0.36182004772599097	2.6843795881388046	0.0	0.556420323364865	0.0	2.821479854948161	0.0	1.3386121423675106	0.0	0.0	0.0	0.556420323364865	0.0	0.0	0.0	0.0	0.0	0.36182004772599097	1.8364848686228616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0500009856767116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0044683554549216	0.0	0.690325923543051	0.0	0.0	0.0	0.0	0.36182004772599097	0.0	0.556420323364865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36182004772599097	0.0	1.62956890092243	0.0	0.0	0.0	0.36182004772599097	0.556420323364865	0.0	0.556420323364865	2.7287600691659373	0.0	0.0	1.2202613931087694	0.0	0.36182004772599097	0.36182004772599097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.253007049632815	0.36182004772599097	0.0	0.36182004772599097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36182004772599097	0.0	0.36182004772599097	0.0	0.0	2.3203086361996244	3.513913230583776	0.36182004772599097	0.556420323364865
SRR11292131	0.0	3.559393282148742	0.0	0.0	0.28786048308526224	0.0	0.28786048308526224	1.1511759395548125	0.0	0.6777027310919831	0.9759995688979778	0.0	0.0	0.28786048308526224	1.5971548467229995	0.28786048308526224	4.453659427726197	0.0	0.0	1.296780315234599	0.0	0.0	2.693460957718461	0.28786048308526224	0.0	0.0	0.7559748343662522	0.0	0.0	0.0	0.0	0.0	0.7559748343662522	0.6777027310919831	1.017142930115652	0.0	0.6777027310919831	0.0	0.6777027310919831	0.0	0.0	4.249896154289372	0.0	1.2756565082053533	0.28786048308526224	1.0893097422598985	0.0	0.0	0.0	0.0	0.5821528737110828	3.150515282969969	0.0	0.8797744596070536	0.0	1.389282383924945	0.0	0.0	0.28786048308526224	1.1511759395548125	0.0	3.213064804376674	0.28786048308526224	2.2038602980638498	0.5821528737110828	0.4594716394563973	0.0	2.37819143416884	0.5821528737110828	2.056262444547288	0.0	0.0	0.0	0.0	0.0	0.5821528737110828	0.0	0.0	0.0	0.0	1.964756636419972	0.28786048308526224	0.0	0.0	0.0	0.0	0.0	0.0	3.368236933145314	0.28786048308526224	0.28786048308526224	0.28786048308526224	0.0	0.28786048308526224	0.0	0.0	1.6073587567749446	0.0	0.0	0.0	0.0	0.0	1.82489589542558	0.0	2.4402108820287927	0.9305466133461225	0.0	0.0	0.0	0.6777027310919831	0.0	0.5821528737110828	0.0	0.0	0.0	0.0	0.4594716394563973	0.28786048308526224	0.0	0.0	0.0	0.0	1.8926594997935933	0.0	0.0	0.0	0.0	0.28786048308526224	0.0	0.0	2.6748719377607904	0.0	0.0	0.9759995688979778	1.7932108957714867	0.0	1.0893097422598985	0.28786048308526224	0.0	0.5821528737110828	0.0	0.9759995688979778	0.0	0.0	0.0	1.0547236116600818	1.5759983443675778	0.28786048308526224	0.0	0.0	0.0	2.2976623045621833	0.0	0.28786048308526224	0.0	0.28786048308526224	0.0	0.0	0.0	0.0	1.017142930115652	0.4594716394563973	0.0	2.0703797939610165	3.590151194070154	0.8222710691111783	0.5821528737110828
SRR11292132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0621652416337095	0.0	0.0	0.0	0.0	0.0	0.0	1.3079527096277177	0.0	3.8545134292922203	0.0	0.0	0.4403559514038162	0.0	0.0	1.7705874647546997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1775912130053094	0.0	0.0	0.0	0.4403559514038162	0.0	0.0	4.676837408736681	0.0	0.0	0.0	0.7972302088065664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4403559514038162	0.0	2.1229904480943116	0.0	0.0	0.0	1.1775912130053094	0.0	1.3079527096277177	0.0	2.8262183902449722	0.0	0.654462834880809	0.0	1.757453611245138	0.7972302088065664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4403559514038162	1.2686919165661323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5784813613137352	0.4403559514038162	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4403559514038162	0.0	0.0	0.0	0.0	0.4403559514038162	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.654462834880809	0.0	0.0	0.0	0.0	0.0	0.654462834880809	0.0	0.0	0.0	0.0	0.9044963454393428	0.0	0.0	0.0	0.0	0.4403559514038162	0.0	0.4403559514038162	0.0	0.0	0.0	0.0	0.0	0.0	0.9044963454393428	0.0	0.0	0.0	0.654462834880809	0.0	0.7972302088065664	0.0	3.7793777043509467	1.5134409021364685	0.0	0.0
SRR11292133	0.7617334165348653	1.1379794020854817	0.0	0.6216894454347469	0.6216894454347469	0.0	0.4137139086155676	1.3365022231416488	0.9524221447615443	0.6216894454347469	0.6216894454347469	0.4137139086155676	0.0	0.0	2.159333714904043	2.4024512601626844	4.250032472132956	0.6216894454347469	0.0	1.3365022231416488	0.0	0.0	2.5193573612500852	0.0	0.0	1.3672551481287427	0.6216894454347469	0.4137139086155676	0.0	0.0	0.0	0.0	0.0	0.4137139086155676	1.3365022231416488	0.0	0.4137139086155676	0.0	0.4137139086155676	0.4137139086155676	0.0	4.50771580292427	0.0	2.1031370968519596	0.0	1.4949465867384981	0.0	0.0	0.0	0.0	0.0	0.7617334165348653	0.0	0.8674606545544968	0.0	0.0	0.0	0.0	0.0	0.6216894454347469	0.0	3.040056183912587	0.7617334165348653	3.057365280500595	0.0	1.2285212384369926	0.0	3.384665333986019	0.6216894454347469	2.0448551744057086	0.0	0.0	0.0	0.8674606545544968	0.0	0.8674606545544968	0.0	0.0	0.0	0.0	1.395973684663038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9561353106944623	0.4137139086155676	0.0	0.6216894454347469	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4137139086155676	0.0	0.8674606545544968	0.4137139086155676	0.0	0.0	0.0	0.0	0.4137139086155676	0.4137139086155676	0.0	0.0	0.0	0.0	2.62960301039395	0.0	0.0	0.0	0.0	0.0	1.3672551481287427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7156613885121614	0.0	0.0	0.0	1.2675748742307187	0.0	1.2285212384369926	0.0	0.0	0.0	0.0	0.4137139086155676	0.0	0.0	0.0	1.1379794020854817	1.0844796525312321	0.4137139086155676	0.0	0.0	0.0	0.0	0.4137139086155676	0.4137139086155676	0.0	0.8674606545544968	0.0	0.0	0.0	0.0	0.7617334165348653	0.0	0.0	3.3959271243938334	3.3009325110958647	0.7617334165348653	0.0
