SAMPLE_ID	Acidobacteria	Actinobacteria	Aquificae	Armatimonadetes	Bacteroidetes	Balneolaeota	Calditrichaeota	Candidatus Cloacimonetes	Candidatus Saccharibacteria	Chlamydiae	Chlorobi	Chloroflexi	Chrysiogenetes	Coprothermobacterota	Cyanobacteria	Deferribacteres	Deinococcus-Thermus	Elusimicrobia	Euryarchaeota	Fibrobacteres	Firmicutes	Fusobacteria	Gemmatimonadetes	Ignavibacteriae	Kiritimatiellaeota	Nitrospirae	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Thermodesulfobacteria	Thermotogae	Verrucomicrobia
SRR13357647	0.0	3.6727660913375217	0.5124102161894233	0.0	2.6505805688567587	0.0	0.0	0.0	0.0	0.0	0.0	0.7409852679308125	0.0	0.0	1.2794743997140217	0.0	0.5124102161894233	0.0	0.0	0.0	4.508869471451825	1.7752649981250568	0.0	0.0	0.0	0.0	0.0	2.7211254219564402	0.0	0.0	1.1620763835611148	0.0	0.0	0.0
SRR13357655	0.0	3.1299679064713306	0.0	0.0	2.062783085439665	0.0	0.0	0.0	0.3957993550856515	0.0	0.0	0.3957993550856515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.560577453209448	1.1580417660934177	0.0	0.0	0.0	0.0	0.0	2.2853644141358327	0.0	0.0	1.3676468922114742	0.0	0.0	0.5993825216221043
SRR13357656	0.0	2.8926056097706696	0.5089790047488356	0.5089790047488356	2.091872953189186	0.0	0.0	0.0	0.0	0.0	0.0	0.7369281753694508	0.0	0.0	0.7369281753694508	0.0	0.0	0.0	0.0	0.0	4.556783713085975	0.5089790047488356	0.0	0.0	0.0	0.0	0.0	3.024170396438585	0.0	0.7369281753694508	1.4766634790978326	0.0	0.0	0.7369281753694508
SRR13357660	0.0	1.8965658614294558	0.0	0.0	4.306450072888636	0.0	0.0	0.0	0.4299880472051979	0.0	0.0	1.136275122196591	0.0	0.2661682567889845	0.5486585225594756	0.0	0.0	0.0	0.0	0.0	4.2258270176902135	0.2661682567889845	0.0	0.0	0.0	0.0	0.0	2.9418290698587	0.0	0.8901886012810576	0.7835021130215063	0.0	0.0	0.0
SRR13357661	0.0	1.7064052065152386	0.27655772407622436	0.0	4.36133326933181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.172469352842247	0.5648142476647926	0.0	0.27655772407622436	0.0	0.0	0.0	2.134634300554717	0.0	0.4441752142030336	0.5648142476647926	0.27655772407622436	0.0	0.6591238562151353
SRR13357662	0.0	1.9681023159845303	0.0	0.0	4.462156259388994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7600005426437654	0.0	0.0	0.0	0.0	0.0	3.9468139844299266	0.41242731260068666	0.0	0.41242731260068666	0.0	0.0	0.25343520029054395	2.081536559823166	0.0	0.0	0.0	0.0	0.0	0.41242731260068666
SRR13357663	0.0	1.1915167168581104	0.0	0.0	4.530109859127977	0.0	0.0	0.0	0.30936170921706174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5915746084834272	1.6595910020335665	0.0	0.0	0.0	0.0	0.0	2.28593244731664	0.0	0.0	0.48819506083736525	0.0	0.0	0.30936170921706174
SRR13357664	0.0	2.0492360862314323	0.0	0.2577392715001835	3.5730025401025904	0.0	0.0	0.0	0.2577392715001835	0.0	0.0	1.061953165739855	0.0	0.5353902043805158	0.8242411229690105	0.0	0.0	0.0	0.0	0.0	4.509476336465498	0.8740190884726746	0.0	0.0	0.0	0.0	0.2577392715001835	3.262966179867407	0.0	1.1926943689642107	0.7680100948773712	0.0	0.0	0.5353902043805158
SRR13357668	0.0	1.5058710680354954	0.0	0.0	4.350131542032285	0.0	0.0	0.0	1.9478235087004405	0.0	0.0	1.0777291630892014	0.0	0.6677624359107651	0.8115731449067477	0.0	0.0	0.0	0.0	0.0	4.100099872376477	0.9194248476259357	0.0	0.0	0.45127317548049173	0.0	0.6677624359107651	3.460464641098321	0.0	1.3935145968580667	0.0	0.0	0.0	0.8115731449067477
SRR13357669	0.0	1.7780422154581592	0.0	0.0	1.9415137819749826	0.0	0.0	0.0	0.0	0.0	0.0	0.26263468317754857	0.0	0.0	0.26263468317754857	0.0	0.0	0.0	0.0	0.0	4.214504276464345	0.6357947900637384	0.0	0.0	0.0	0.0	0.0	4.332047540224612	0.0	0.0	1.5015881729838294	0.42513423010278456	0.0	0.5431141965788004
