SAMPLE_ID	Acholeplasmatales	Acidaminococcales	Acidiferrobacterales	Acidimicrobiales	Acidithiobacillales	Acidobacteriales	Acidothermales	Actinomycetales	Actinopolysporales	Aeromonadales	Alteromonadales	Anaerolineales	Aquificales	Ardenticatenales	Bacillales	Bacteriovoracales	Bacteroidales	Bacteroidetes Order II. Incertae sedis	Bdellovibrionales	Bifidobacteriales	Brachyspirales	Bradymonadales	Bryobacterales	Burkholderiales	Caldilineales	Calditrichales	Campylobacterales	Candidatus Brocadiales	Candidatus Nanopelagicales	Candidatus Nanosynbacterales	Cardiobacteriales	Caulobacterales	Cellvibrionales	Chitinophagales	Chlamydiales	Chlorobiales	Chloroflexales	Chromatiales	Chroococcales	Chrysiogenales	Chthonomonadales	Clostridiales	Coprothermobacterales	Coriobacteriales	Corynebacteriales	Cytophagales	Deferribacterales	Deinococcales	Desulfobacterales	Desulfovibrionales	Desulfurellales	Desulfuromonadales	Eggerthellales	Egicoccales	Elusimicrobiales	Emcibacterales	Endomicrobiales	Enterobacterales	Entomoplasmatales	Erysipelotrichales	Euzebyales	Fibrobacterales	Fimbriimonadales	Flavobacteriales	Frankiales	Fusobacteriales	Gemmatimonadales	Geodermatophilales	Gloeobacterales	Glycomycetales	Halanaerobiales	Holosporales	Hydrogenophilales	Ignavibacteriales	Immundisolibacterales	Kiritimatiellales	Kosmotogales	Ktedonobacterales	Lactobacillales	Legionellales	Leptospirales	Limnochordales	Magnetococcales	Marinilabiliales	Mariprofundales	Methanobacteriales	Methylococcales	Micrococcales	Micromonosporales	Mycoplasmatales	Myxococcales	Natranaerobiales	Nautiliales	Neisseriales	Nevskiales	Nitrosomonadales	Nitrospirales	Nostocales	Oceanospirillales	Opitutales	Orbales	Oscillatoriales	Parachlamydiales	Pasteurellales	Pelagibacterales	Petrotogales	Pirellulales	Planctomycetales	Pleurocapsales	Propionibacteriales	Pseudomonadales	Pseudonocardiales	Puniceicoccales	Rhizobiales	Rhodobacterales	Rhodocyclales	Rhodospirillales	Rickettsiales	Rubrobacterales	Saprospirales	Sedimentisphaerales	Selenomonadales	Silvanigrellales	Sphaerobacterales	Sphingobacteriales	Sphingomonadales	Spirochaetales	Streptomycetales	Streptosporangiales	Synechococcales	Synergistales	Syntrophobacterales	Tepidiformales	Thermales	Thermoanaerobacterales	Thermodesulfobacteriales	Thermomicrobiales	Thermosediminibacterales	Thermotogales	Thiotrichales	Tissierellales	Veillonellales	Verrucomicrobiales	Vibrionales	Xanthomonadales
SRR13357647	0.0	1.1590371859601767	0.0	0.0	0.0	0.0	0.0	3.4597451136028368	0.0	0.0	0.0	0.738315063549604	0.5101513834751039	0.0	3.1938120153334477	0.0	2.6084283765176552	0.5101513834751039	0.0	2.9276836334563954	0.0	0.0	0.0	2.5495626101897666	0.0	0.0	1.1590371859601767	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5101513834751039	0.0	0.0	0.0	2.4782297124166437	0.0	0.5101513834751039	0.738315063549604	0.0	0.0	0.0	0.738315063549604	0.5101513834751039	0.0	0.5101513834751039	0.0	0.0	0.0	0.0	0.0	1.5385230996905692	0.0	1.1590371859601767	0.0	0.0	0.0	1.368670740733926	0.0	1.7720552007440475	0.0	0.0	0.0	0.5101513834751039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.476700598254704	0.0	0.0	0.0	0.0	1.1590371859601767	0.0	0.0	0.0	2.967147565467443	0.0	1.0858370682973226	0.0	0.0	0.0	0.738315063549604	0.0	0.5101513834751039	0.0	0.0	1.615604635366709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1590371859601767	0.0	0.0	0.5101513834751039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2763817813018998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5101513834751039	0.0	0.0	0.0	0.0	0.0	0.0	1.324973124462497	1.7720552007440475	0.0	0.738315063549604	0.0
SRR13357655	0.0	0.7337134825334912	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3930739011921145	0.0	0.0	0.0	1.4834859579641548	0.0	2.046927520421412	0.0	0.0	3.123002613462105	0.0	0.0	0.0	1.5423190345585192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3930739011921145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3343192954787195	0.0	0.7337134825334912	0.0	0.0	0.0	0.0	0.0	0.3930739011921145	0.0	0.0	0.3930739011921145	0.0	0.0	0.0	0.0	2.134933178960154	0.0	0.5959687897873385	0.0	0.0	0.0	0.3930739011921145	0.0	1.1537936217540425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3930739011921145	4.442447342630265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3930739011921145	0.0	1.363276666906481	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5959687897873385	0.0	0.0	0.3930739011921145	0.0	0.0	0.3930739011921145	0.3930739011921145	0.0	0.0	0.0	3.3733387681986406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3930739011921145	0.0	0.0	0.0	0.0	0.3930739011921145	0.5959687897873385	3.750659081902122	0.5959687897873385	0.3930739011921145	0.3930739011921145
SRR13357656	0.0	0.506943294628135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.081570692652735	1.3205444213369129	0.0	0.506943294628135	0.0	1.2172914099201457	0.0	2.0729912460514046	0.506943294628135	0.0	2.8884160136160233	0.0	0.0	0.0	1.4738099431828655	0.0	0.0	0.506943294628135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7152053642385776	0.0	0.0	0.0	1.9929183058971156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.734518360645646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8285472826364284	0.0	0.0	0.0	0.0	0.506943294628135	0.0	0.0	0.506943294628135	0.0	0.0	0.0	0.0	0.734518360645646	0.0	0.0	0.0	0.0	0.0	0.0	0.734518360645646	4.552055540502597	0.506943294628135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.506943294628135	0.0	1.4738099431828655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8830776057532594	0.0	0.0	0.734518360645646	0.0	0.734518360645646	0.0	0.0	0.0	0.0	0.0	0.0	1.2172914099201457	0.0	0.0	0.506943294628135	0.0	0.0	0.8830776057532594	0.506943294628135	0.0	0.506943294628135	0.0	0.734518360645646	0.0	0.0	0.0	0.734518360645646	0.0	0.0	0.0	0.0	0.734518360645646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2172914099201457	0.0	0.9935668892606075	0.734518360645646	1.5612428092382384	0.0
SRR13357660	0.0	0.8376816322400993	0.0	0.26486760614604793	0.0	0.0	0.0	1.2295284606916974	0.0	1.1336399328929665	1.482979038493713	0.0	0.0	0.0	1.1059511711501337	0.0	4.303207420106282	0.8376816322400993	0.0	1.6335749613810426	0.0	0.0	0.0	1.3744861351539268	0.546620729945526	0.0	0.42820315150066734	0.0	0.0	0.0	0.0	0.26486760614604793	0.42820315150066734	0.7160914176088666	0.0	0.0	0.0	0.9732252960944265	0.0	0.0	0.0	3.8584922084216267	0.26486760614604793	1.0763761500287001	0.42820315150066734	0.26486760614604793	0.0	0.0	0.26486760614604793	0.0	0.0	0.0	0.42820315150066734	0.0	0.0	0.0	0.0	2.748637971195964	0.0	3.799344778675846	0.0	0.0	0.0	0.7160914176088666	0.0	0.26486760614604793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26486760614604793	0.0	0.0	0.7160914176088666	3.400667708688574	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.546620729945526	0.0	0.7811279286464712	0.0	0.0	0.0	0.0	0.0	0.26486760614604793	0.0	0.0	0.546620729945526	0.0	0.0	0.42820315150066734	0.0	0.42820315150066734	0.0	0.0	0.0	0.0	0.0	0.0	1.2705491001913882	0.0	0.0	0.26486760614604793	0.0	0.26486760614604793	0.7160914176088666	0.26486760614604793	0.26486760614604793	0.0	0.0	0.0	0.0	0.0	0.26486760614604793	0.0	0.0	0.0	0.0	0.0	0.887712218689347	0.26486760614604793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0446389615760685	0.7811279286464712	2.8081577137917364	0.0	1.4453979001396187	0.0
SRR13357661	0.0	0.9060820178431468	0.0	0.0	0.0	0.0	0.0	0.8557245850157066	0.0	0.0	0.27459958666574863	0.0	0.27459958666574863	0.0	1.6868445410657247	0.0	4.3565593664866045	1.0638194930687366	0.0	1.0638194930687366	0.0	0.0	0.0	1.9545957483206455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27459958666574863	0.0	0.9512023869961305	0.0	0.0	0.0	0.6558731128790863	0.0	0.0	0.0	3.5730102115286506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5033406587565943	0.0	0.0	0.0	0.0	1.3789380343563202	0.0	1.125376654515341	0.0	0.0	0.0	0.7331624206817233	0.0	0.5617856427870727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27459958666574863	0.0	0.0	0.0	0.0	2.9683216185259464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5617856427870727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.125376654515341	0.27459958666574863	0.0	0.27459958666574863	0.0	0.0	0.27459958666574863	0.0	0.0	0.0	0.0	2.765715264486048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4415107584276587	0.0	0.0	0.0	0.0	0.27459958666574863	0.0	0.0	0.0	0.0	0.27459958666574863	3.971064831953947	0.6558731128790863	0.0	0.0
SRR13357662	0.0	0.5255385021261614	0.0	0.0	0.0	0.0	0.0	0.2515417291583615	0.0	0.0	0.0	0.0	0.0	0.0	0.9064121456338343	0.0	4.457612145674914	0.8619420877150095	0.0	1.2798010308767194	0.0	0.0	0.0	1.799227982635446	0.0	0.0	0.0	0.2515417291583615	0.0	0.0	0.0	0.0	0.0	0.2515417291583615	0.0	0.0	0.0	0.6168339152079171	0.0	0.0	0.0	3.3506021852996333	0.0	0.0	0.2515417291583615	0.2515417291583615	0.0	0.0	0.0	1.1564964123883361	0.0	0.0	1.8453777840469263	0.0	0.0	0.0	0.0	0.9836550583821846	0.0	0.8619420877150095	0.0	0.0	0.0	0.2515417291583615	0.0	0.40979908099790674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40979908099790674	0.0	0.0	0.0	0.0	1.4296217133272715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5255385021261614	0.2515417291583615	0.0	0.0	0.0	0.0	0.40979908099790674	0.0	0.0	0.0	0.0	0.2515417291583615	0.0	1.4660623821298826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4770255776531327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5255385021261614	3.787316515044069	0.40979908099790674	0.2515417291583615	0.0
SRR13357663	0.0	0.30693370731792124	0.0	0.0	0.0	0.0	0.0	0.4849751697523497	0.0	0.30693370731792124	0.30693370731792124	0.0	0.0	0.0	1.1247805836262035	0.0	4.524905522076754	1.0899441436808217	0.0	1.0899441436808217	0.0	0.0	0.0	2.1322145055852992	0.0	0.0	0.4849751697523497	0.0	0.0	0.0	0.0	0.0	0.0	1.0105695704847872	0.0	0.0	0.0	0.7879466505237025	0.0	0.0	0.0	3.3553285072753534	0.0	0.30693370731792124	0.0	0.7083778011764338	0.0	0.0	0.0	1.391457081038173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1870473978155716	0.0	0.6108857338237231	0.0	0.0	0.0	0.30693370731792124	0.0	1.6549178573565733	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5298913974237793	0.0	0.0	0.0	0.0	0.30693370731792124	0.0	0.0	0.0	0.0	0.0	0.4849751697523497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30693370731792124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30693370731792124	0.0	0.0	0.30693370731792124	0.0	0.0	0.0	0.0	0.0	0.0	0.30693370731792124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1869423151944214	0.30693370731792124	0.0	0.4849751697523497
SRR13357664	0.6294304809271455	0.705457957045031	0.0	0.0	0.0	0.0	0.0	1.775855644346179	0.0	1.391578746079726	1.683704020625659	0.0	0.0	0.0	1.6763086898316273	0.0	3.5731136536953954	1.0326435167436583	0.0	1.0326435167436583	0.0	0.0	0.0	1.4935541668587387	0.0	0.0	0.826421999724154	0.25888888246521385	0.25888888246521385	0.0	0.0	0.25888888246521385	0.705457957045031	0.537208592729984	0.0	0.0	0.0	1.536774268121102	0.0	0.0	0.0	3.1480311211657046	0.537208592729984	0.705457957045031	1.546939155754376	0.705457957045031	0.0	0.0	0.0	0.4199726604628821	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.960103041976839	0.0	1.2954830432298756	0.0	0.0	0.25888888246521385	0.6294304809271455	0.0	0.8762414991787894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25888888246521385	0.0	0.0	1.0326435167436583	4.490467930179649	0.25888888246521385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.705457957045031	0.0	0.25888888246521385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25888888246521385	0.705457957045031	0.0	0.0	0.705457957045031	0.0	0.7701379492159255	0.0	0.0	0.0	0.0	0.0	0.0	1.5157016428145713	0.0	0.0	0.826421999724154	0.0	0.0	0.6294304809271455	0.25888888246521385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25888888246521385	0.0	0.0	0.0	0.25888888246521385	1.19509454225192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3618483385898759	1.4702162692015115	1.8314487018818255	0.537208592729984	1.7698839719059516	0.25888888246521385
SRR13357668	0.0	3.123411828443842	0.0	0.0	0.0	0.0	0.0	1.0088994080826053	0.0	1.4566861873553973	1.8035104206136874	0.0	0.0	0.0	1.750062164353265	0.0	4.334060251773424	2.088252362052294	0.0	1.0809306922050124	0.0	0.0	0.0	1.4566861873553973	0.0	0.0	1.2448373756156765	0.6705067372841498	0.0	0.0	0.0	0.922498357402779	0.4535333053035193	2.390770906636526	0.0	0.0	0.0	1.672422551659614	0.0	0.0	0.0	4.001748676846295	0.6705067372841498	0.6705067372841498	0.0	1.9040685511118778	0.0	0.0	0.8145284799314289	0.0	0.0	0.0	0.6705067372841498	0.0	0.0	0.0	0.0	3.3353881157107166	0.0	2.708479949922589	0.0	0.0	0.0	2.3569679381207096	0.0	0.922498357402779	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4535333053035193	0.4535333053035193	0.0	1.0088994080826053	1.8510958004775668	0.0	0.0	0.0	0.0	1.0809306922050124	0.0	0.0	0.0	0.4535333053035193	0.0	0.0	0.0	0.0	0.4535333053035193	0.0	0.0	0.0	0.0	0.0	0.8145284799314289	0.0	0.0	0.8145284799314289	0.0	0.922498357402779	0.0	0.0	0.0	0.0	0.0	0.4535333053035193	1.720650152737913	0.0	0.0	0.922498357402779	0.0	0.4535333053035193	1.0088994080826053	0.922498357402779	0.0	0.0	0.0	2.684350120739561	0.0	0.0	1.196763195173808	0.0	0.0	0.0	0.0	0.0	1.396866479870628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5092550021919688	0.0	2.2844447940159673	0.8145284799314289	1.8939783301848294	1.0088994080826053
SRR13357669	0.26738113058482976	2.713903287239391	0.0	0.0	0.0	0.0	0.0	0.26738113058482976	0.0	0.26738113058482976	0.5505556838476835	0.26738113058482976	0.0	0.0	3.565677393930807	0.0	1.939220207842361	0.26738113058482976	0.0	1.7020145599850836	0.0	0.0	0.0	1.1387252061558983	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26738113058482976	0.0	0.0	0.0	3.9259997090640684	0.0	0.4316506970890587	0.4316506970890587	0.26738113058482976	0.0	0.0	1.1387252061558983	0.6438047950159042	0.0	0.5505556838476835	0.26738113058482976	0.0	0.0	0.0	0.0	4.339962698693502	1.111010035841338	1.4882859389360883	0.0	0.0	0.0	0.0	0.0	0.6438047950159042	0.0	0.0	0.0	0.26738113058482976	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.42148167690778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4316506970890587	0.0	1.2557028334398372	0.0	0.26738113058482976	0.0	0.6438047950159042	0.0	0.0	0.0	0.26738113058482976	0.0	0.0	0.0	0.0	0.0	0.4316506970890587	0.0	0.0	0.0	0.0	0.0	0.0	0.7205281823657076	0.0	0.0	0.0	0.4316506970890587	0.0	0.26738113058482976	0.0	0.0	0.0	0.0	0.6438047950159042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4316506970890587	0.0	0.0	0.0	0.4316506970890587	0.26738113058482976	3.411485598543847	0.5505556838476835	0.7857108030594979	0.26738113058482976
