SAMPLE_ID	Acidimicrobiia	Acidithiobacillia	Acidobacteriia	Actinobacteria	Alphaproteobacteria	Anaerolineae	Aquificae	Ardenticatenia	Bacilli	Bacteroidia	Betaproteobacteria	Blastocatellia	Caldilineae	Calditrichae	Candidatus Brocadiae	Candidatus Saccharimonia	Chitinophagia	Chlamydiia	Chlorobia	Chloroflexia	Chrysiogenetes	Chthonomonadetes	Clostridia	Coprothermobacteria	Coriobacteriia	Cytophagia	Deferribacteres	Deinococci	Deltaproteobacteria	Elusimicrobia	Endomicrobia	Epsilonproteobacteria	Erysipelotrichia	Fibrobacteria	Fimbriimonadia	Flavobacteriia	Fusobacteriia	Gammaproteobacteria	Gemmatimonadetes	Gloeobacteria	Hydrogenophilalia	Ignavibacteria	Kiritimatiellae	Ktedonobacteria	Limnochordia	Methanobacteria	Mollicutes	Negativicutes	Nitriliruptoria	Nitrospira	Oligoflexia	Opitutae	Phycisphaerae	Planctomycetia	Rubrobacteria	Saprospiria	Spartobacteria	Sphingobacteriia	Spirochaetia	Synergistia	Tepidiformia	Thermodesulfobacteria	Thermomicrobia	Thermotogae	Tissierellia	Verrucomicrobiae	Vicinamibacteria	Zetaproteobacteria
SRR13357647	0.0	0.0	0.0	3.6714983007447923	1.5406642150561096	0.7401178990810273	0.5116762396111039	0.0	4.502039142414797	2.6247565939212674	2.5625889931736108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4804271614168685	0.0	0.5116762396111039	0.0	0.0	0.5116762396111039	0.9997307229550539	0.0	0.0	1.1610894367961313	1.1610894367961313	0.0	0.0	1.3707813916603295	1.7742227890961448	2.009367036882407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0878613144668843	1.8630277532142805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3270738123145402	0.0	0.0	0.0
SRR13357655	0.0	0.0	0.0	3.1267034128345355	0.840885255888427	0.0	0.0	0.0	4.4461996368755745	2.050120539051465	1.5454487740430374	0.0	0.0	0.0	0.0	0.0	0.39499535617548653	0.0	0.0	0.0	0.0	0.0	2.352084239898238	0.0	0.840885255888427	0.0	0.0	0.0	0.39499535617548653	0.0	0.0	0.0	0.5983760454615215	0.0	0.0	0.39499535617548653	1.1567901265066074	2.178383375922077	0.0	0.0	0.0	0.0	0.0	0.39499535617548653	0.0	0.0	1.3663594112193276	3.9063458728068405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5983760454615215	0.5983760454615215	0.0	0.0
SRR13357656	0.0	0.0	0.0	2.8917957630648554	1.2740065267224912	0.0	0.5084194581458582	0.0	4.5544126163090946	2.0751146788825214	1.6578550845628506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.023402778857117	0.0	0.0	0.0	0.0	0.0	0.736266007067298	0.0	0.0	0.5084194581458582	0.0	0.0	0.5084194581458582	0.0	0.5084194581458582	2.97191583966854	0.0	0.0	0.0	0.0	0.0	0.736266007067298	0.0	0.0	1.475879675521012	1.2193033559285953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5084194581458582	0.0	0.0	0.0	0.736266007067298	0.0	0.0	0.0	0.0	0.0	0.736266007067298	0.0	0.0
SRR13357660	0.2659146328307748	0.0	0.0	1.8085415267397866	0.889706237964939	0.0	0.0	0.0	3.404982605658212	4.3054971995288405	1.541405885443043	0.0	0.548261428864896	0.0	0.0	0.0	0.7179419724322511	0.0	0.0	0.0	0.0	0.0	3.8610344380846366	0.2659146328307748	1.1357619011603477	0.2659146328307748	0.0	0.0	0.548261428864896	0.0	0.0	0.4296401526664619	3.801634309205509	0.0	0.0	0.7179419724322511	0.2659146328307748	2.8858073783530926	0.0	0.0	0.0	0.0	0.0	0.7179419724322511	0.0	0.0	0.7830396126412509	2.8143989731668886	0.0	0.0	0.0	0.0	0.0	0.0	0.2659146328307748	0.0	0.0	0.2659146328307748	0.0	0.889706237964939	0.0	0.0	0.0	0.0	0.7830396126412509	0.0	0.0	0.0
SRR13357661	0.0	0.0	0.0	1.273731647476207	0.6586134433795189	0.0	0.27624988307839443	0.0	2.9939202493672226	4.360073221933636	1.9623028025040072	0.0	0.0	0.0	0.0	0.0	0.9543246179390167	0.0	0.0	0.0	0.0	0.0	3.576523285477869	0.0	1.5067448279797044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1286283619560615	0.0	0.0	0.736028976936073	0.5643386112747288	1.6221890068235623	0.0	0.0	0.0	0.27624988307839443	0.0	0.0	0.0	0.0	0.5643386112747288	4.001138233657038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44375661891722445	0.0	0.27624988307839443	0.0	0.0	0.27624988307839443	0.6586134433795189	0.0	0.0
SRR13357662	0.0	0.0	0.0	1.3337072134943875	0.0	0.0	0.0	0.0	1.5633581182040013	4.461108511340546	1.802634096041047	0.0	0.0	0.0	0.2530666936458103	0.0	0.2530666936458103	0.0	0.0	0.0	0.0	0.0	3.354213464493209	0.0	1.8487894155838904	0.2530666936458103	0.0	0.0	1.1597167803306543	0.0	0.0	0.0	0.8649289676682247	0.0	0.0	0.2530666936458103	0.41191615535671616	1.648344854325389	0.0	0.0	0.0	0.41191615535671616	0.0	0.0	0.0	0.0	0.0	3.8117270227426445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5279703166206094	0.41191615535671616	0.0	0.0
SRR13357663	0.0	0.0	0.0	1.1603100661570362	0.0	0.0	0.0	0.0	1.6681333037754713	4.5284445074565225	2.135714373425653	0.0	0.0	0.0	0.0	0.0	1.0137524959468553	0.0	0.0	0.0	0.0	0.0	3.3590495532909292	0.0	0.3087239702430905	0.7112157750606947	0.0	0.0	1.4125940369781307	0.0	0.0	0.48734989236506077	0.6135504346304933	0.0	0.0	0.3087239702430905	1.658365890290041	1.4618763832617987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48734989236506077	3.1910456451051536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3087239702430905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3087239702430905	0.0	0.0
SRR13357664	0.0	0.0	0.0	2.032683046368077	1.1444929092317078	0.0	0.0	0.0	4.488019897207933	3.5699918042322656	1.6950673949571091	0.0	0.0	0.0	0.2574894124413304	0.0	0.5349946207837657	0.0	0.0	0.0	0.0	0.0	3.1449106629536114	0.5349946207837657	0.7029523255663499	0.7029523255663499	0.0	0.0	0.6270428030351328	0.0	0.0	0.8237664399622059	1.2925190385289593	0.0	0.2574894124413304	0.6270428030351328	0.8735353371121164	3.2295023364453113	0.0	0.0	0.0	0.0	0.0	1.0298114340051583	0.0	0.0	0.7029523255663499	1.8537068908549612	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1921717937042078	0.0	0.0	0.0	0.0	1.467199708155933	0.5349946207837657	0.0	0.0
SRR13357668	0.0	0.0	0.0	1.3987045813089007	2.003784792807488	0.0	0.0	0.0	2.1030126625951473	4.3362342043195525	1.6569507812668676	0.0	0.0	0.0	0.6720132810270949	0.0	2.392677854803865	0.0	0.0	0.0	0.0	0.0	4.003663204009086	0.6720132810270949	0.9241846393764417	1.9059594403675124	0.0	0.0	1.0826868121671371	0.0	0.0	1.2899326833083877	2.7103909291071084	0.0	0.0	2.3588742574099086	0.9241846393764417	3.4261923575315416	0.0	0.0	0.0	0.0	0.45477512234542683	1.0106269099928924	0.0	0.0	0.0	3.303509798689858	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1985564492783276	0.0	1.3987045813089007	0.0	0.0	0.0	0.0	0.0	0.8161502661538904	0.0	0.0
SRR13357669	0.0	0.0	0.0	1.7468565199022055	0.5431000805894758	0.26262570750480246	0.0	0.0	3.697411803823943	1.928929839016441	1.4900497398140202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9156332204735422	0.0	0.5431000805894758	0.26262570750480246	0.0	0.0	1.2850212137991308	0.0	0.0	0.0	1.4782165803509408	0.0	0.0	0.0	0.6357795856384613	4.330766190965899	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4782165803509408	3.4808272372158084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4251218820310239	0.0	0.0	0.26262570750480246	0.5431000805894758	0.0	0.0
SRR13357670	0.0	0.0	0.0	0.9245913091678364	0.5401641206491757	0.2607611833263505	0.0	0.0	2.672143155807722	4.117428691907781	3.1709089906771917	0.0	0.0	0.0	0.0	0.0	1.002244844774001	0.2607611833263505	0.0	0.2607611833263505	0.0	0.0	4.160787327250856	0.0	0.7088002218016854	0.2607611833263505	0.0	0.2607611833263505	1.8801460107271417	0.0	0.0	0.42255472248996495	2.8174633885508675	0.0	0.0	0.42255472248996495	0.8299628325864277	3.511854184105553	0.0	0.0	0.0	0.0	0.5401641206491757	0.0	0.0	0.0	1.1512560792973172	3.637748188202431	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42255472248996495	0.0	0.0	0.0	0.42255472248996495	0.0	0.0	0.42255472248996495	0.7088002218016854	0.0	0.0
SRR13357671	0.0	0.0	0.0	1.8122972758619533	1.005596324908965	0.7454532270722151	0.0	0.0	4.453511093848923	2.5357541572791567	1.6688374026008495	0.0	0.0	0.0	0.0	0.0	0.7454532270722151	0.0	0.0	0.0	0.0	0.0	3.870872248366109	0.0	0.7454532270722151	0.0	0.0	0.0	0.7454532270722151	0.0	0.0	0.7454532270722151	0.7454532270722151	0.0	0.0	0.0	1.2846424810983739	2.79999417636457	0.0	0.0	0.0	0.0	0.0	0.7454532270722151	0.0	0.7454532270722151	0.0	2.9673906740325413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7454532270722151	0.0	0.0	0.0
SRR13357672	0.0	0.0	0.0	0.8000507493368556	0.9191658495890802	0.36690418724265206	0.0	0.0	1.6513755644430446	4.454269602412258	1.5817469122870138	0.0	0.22109820922151058	0.0	0.22109820922151058	0.0	0.9525728769377493	0.0	0.0	0.0	0.0	0.0	3.7122556625625247	0.22109820922151058	0.5629058453075269	0.22109820922151058	0.0	0.0	1.9878868550059803	0.0	0.0	0.7517810201271347	2.3182765062954194	0.0	0.22109820922151058	0.9525728769377493	0.36690418724265206	3.0999842885770854	0.0	0.0	0.0	0.22109820922151058	0.36690418724265206	0.6353775975364616	0.0	0.0	0.22109820922151058	3.4143740089590406	0.0	0.0	0.0	0.22109820922151058	0.0	0.0	0.0	0.0	0.0	0.5629058453075269	0.0	0.9525728769377493	0.0	0.0	0.0	0.0	0.4758696324964905	0.36690418724265206	0.0	0.0
SRR13357676	0.0	0.0	0.0	1.3987582803487657	2.5819574172027164	0.0	0.0	0.0	2.103827845965566	4.370264841075612	1.3987582803487657	0.0	0.29267374954038067	0.0	0.0	0.0	1.2850131417374921	0.0	0.0	0.0	0.0	0.0	3.9945688040637966	0.29267374954038067	1.4888109811828825	1.06373650181684	0.0	0.29267374954038067	2.5686289908761504	0.0	0.0	1.026077860818114	2.6733547641905426	0.29267374954038067	0.0	3.0917019918181343	0.8306730494626322	2.898544310275513	0.0	0.0	0.0	1.5633597852204182	0.0	0.7641334918001579	0.0	0.0	1.7468481586646467	2.7980630995910984	1.6169920378705835	0.0	0.589464545016674	0.0	0.0	0.29267374954038067	0.0	0.0	0.0	1.2850131417374921	0.0	0.7641334918001579	0.0	0.0	0.29267374954038067	0.0	0.29267374954038067	2.473137733139264	0.0	0.0
SRR13357677	0.0	0.0	0.0	0.9165279035015449	0.21990361688446167	0.21990361688446167	0.0	0.0	1.7611216371119442	4.460052369624865	0.8803668596634571	0.0	0.0	0.0	0.0	0.0	0.9809047794989257	0.0	0.0	0.0	0.0	0.0	3.898699641435297	0.0	1.009835764200437	0.5607283199138914	0.0	0.0	0.6330736922317378	0.0	0.0	0.21990361688446167	1.9849173378800806	0.0	0.0	1.2891009175287345	0.36519534991772007	1.8505064015688657	0.21990361688446167	0.0	0.0	1.2425530033110972	0.0	0.21990361688446167	0.0	0.0	0.4738745099518888	2.9230099385319037	0.0	0.36519534991772007	0.21990361688446167	0.21990361688446167	0.0	0.21990361688446167	0.0	0.0	0.0	0.4738745099518888	0.0	0.0	0.0	0.0	0.0	0.0	0.9809047794989257	0.5607283199138914	0.0	0.0
SRR13357678	0.0	0.0	0.0	1.0816001221203706	0.34824042794657034	0.0	0.0	0.0	2.084603364964095	4.371521714762875	0.6710809270503205	0.0	0.0	0.0	0.0	0.0	1.0816001221203706	0.0	0.0	0.0	0.0	0.0	3.785953542487524	0.0	0.9826187176864789	0.0	0.0	0.0	0.5389930390485231	0.0	0.0	0.5389930390485231	1.9274602067627533	0.0	0.0	1.197446798647892	0.8542055549196044	1.5493801817489392	0.0	0.0	0.0	0.5389930390485231	0.0	0.0	0.0	0.0	0.5389930390485231	3.097456373423362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8542055549196044	3.8276019542643076	0.0	0.0
SRR13357679	0.0	0.0	0.0	1.1740866563654322	1.2441031475938928	0.27200012731527334	0.0	0.0	1.922802531588772	4.459519250680998	1.509801473096695	0.0	0.0	0.0	0.0	0.0	1.0587369145149912	0.0	0.0	0.0	0.0	0.0	3.879685981547729	0.0	0.6515426547470144	0.6515426547470144	0.0	0.0	0.7940762918108627	0.0	0.0	0.4379669234888749	1.4732318471950117	0.0	0.27200012731527334	1.304383215188537	0.27200012731527334	2.955700863384832	0.0	0.0	0.0	0.4379669234888749	0.0	0.728630785217266	0.0	0.0	0.4379669234888749	2.5873881329760096	0.0	0.0	0.0	0.27200012731527334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8509388609401565	0.0	0.0	0.0	0.0	0.7940762918108627	0.4379669234888749	0.0	0.0
SRR13357681	0.0	0.0	0.7993714323850665	1.246955061449177	3.529164437671419	0.0	0.0	0.0	1.525820592517085	4.338098856236532	2.856627463997503	0.0	0.40043673739461993	0.0	0.0	0.0	0.67997580625861	0.2448228897863486	0.0	0.0	0.0	0.0	3.862719975706861	0.0	1.6298821442771931	0.6051786659227311	0.0	0.0	2.6045712288604026	0.0	0.0	0.5147629310168982	1.9373391980445314	1.1177785517386485	0.0	0.9330856373897997	2.6903339961477526	2.710649573230002	0.0	0.0	0.0	0.5147629310168982	0.0	0.7993714323850665	0.0	0.0	0.5147629310168982	3.2792896060863725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40043673739461993	0.0	0.5147629310168982	0.0	0.2448228897863486	0.0	0.0	0.5147629310168982	3.084234923475492	0.0	0.0
SRR13357682	0.0	0.0	0.0	1.6351727214741387	1.1777199216451177	1.087961843060422	0.0	0.0	4.302196674623202	2.2437790286422095	1.464082712476307	0.0	0.0	0.0	0.0	0.0	0.5810698900696694	0.0	0.0	0.0	0.0	0.0	4.111505357160144	0.0	0.8210247900223542	0.0	0.0	0.0	0.974687335677208	0.0	0.0	0.974687335677208	1.087961843060422	0.0	0.0	0.5810698900696694	0.8210247900223542	2.905808642469544	0.0	0.0	0.0	0.0	0.0	1.087961843060422	0.0	0.0	1.087961843060422	3.5767704084007663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5810698900696694	0.0	0.0	0.0	0.0	0.0	0.0	0.974687335677208	1.087961843060422	0.0	0.0
SRR13357683	0.0	0.0	0.23627510780008337	1.355811328103149	2.489931510940849	0.0	0.0	0.0	1.617898847665207	4.363481376826698	2.9544170652842743	0.0	0.0	0.0	0.0	0.0	0.9153785441700284	0.38844212531900385	0.0	0.0	0.0	0.0	3.9042563674771316	0.0	2.398670885231736	0.5009056512134421	0.0	0.0	2.194337606580423	0.0	0.0	0.23627510780008337	1.964226226378658	0.7825240468304138	0.0	0.9153785441700284	0.38844212531900385	1.932404147697766	0.23627510780008337	0.0	0.0	0.23627510780008337	0.0	0.0	0.0	0.0	0.0	3.0458961931502624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5901548228999641	3.581285741022548	0.0	0.0
SRR13357684	0.0	0.0	0.0	1.238519691901655	2.396580602327134	0.0	0.0	0.0	1.853873544942892	4.285001367395633	2.6189293897224775	0.0	0.0	0.0	0.0	0.0	1.1931551980976125	0.26925326771190333	0.26925326771190333	0.0	0.0	0.0	4.171534759458254	0.0	2.9309577282904544	0.789110145051354	0.0	0.0	2.52518415435382	0.0	0.0	0.26925326771190333	2.7034352873771454	0.6469477485706818	0.0	2.077464456594846	0.434213719175823	1.6343313509084876	0.0	0.0	0.0	0.434213719175823	0.0	0.0	0.0	0.0	0.6469477485706818	2.8050214664726476	0.26925326771190333	0.0	0.0	0.0	0.0	0.0	0.26925326771190333	0.0	0.0	0.26925326771190333	0.0	0.0	0.0	0.0	0.0	0.26925326771190333	0.434213719175823	2.7193834210159014	0.0	0.0
SRR13357685	0.0	0.0	0.0	1.3880765567279727	1.857623714461646	0.3918016519739982	0.0	0.0	2.125724063130871	3.999321288136893	1.5754514953042553	0.0	0.0	0.0	0.0	0.0	1.1044634352400684	0.0	0.0	0.0	0.0	0.0	4.322745010277273	0.0	2.571811261645607	0.5943733927371717	0.0	0.0	2.58853737671038	0.0	0.0	0.5943733927371717	2.0120415934745566	0.23866237909921653	0.0	1.2515531341649215	0.5943733927371717	3.4398964575562	0.0	0.0	0.0	1.2858141310828988	0.0	0.0	0.0	0.0	0.8803624888311437	3.4631746392886718	0.0	0.0	0.23866237909921653	0.23866237909921653	0.0	0.0	0.0	0.0	0.0	0.0	0.23866237909921653	0.0	0.0	0.0	0.0	0.0	0.3918016519739982	1.7752209946235462	0.0	0.0
SRR13357689	0.0	0.0	0.0	3.2147734399655747	1.1188520910043436	0.3453300005557871	0.0	0.0	3.869243843127255	2.1368949523267986	3.9612813317460462	0.0	0.3453300005557871	0.0	0.0	0.0	0.9778807845101152	0.0	0.0	0.0	0.0	0.0	4.160438330902615	0.0	1.1572314556759569	0.5352376399383149	0.0	0.3453300005557871	1.4965065506739967	0.0	0.0	0.9778807845101152	3.504753263245428	0.0	0.0	0.0	2.0078607703141094	3.124633179491844	0.0	0.0	0.0	0.3453300005557871	0.0	0.666923158120509	0.0	0.0	1.2554384148358004	2.5671174812735056	0.0	0.0	0.3453300005557871	0.0	0.0	0.0	0.0	0.0	0.0	0.5352376399383149	0.3453300005557871	0.9184844232652603	0.3453300005557871	0.0	0.0	0.0	1.0767493787648794	0.849657988567631	0.0	0.0
SRR13357690	0.24873560582150311	0.0	0.0	1.589752788183629	1.369590253038745	0.0	0.0	0.0	3.110253173831927	4.463605577199018	3.2328875075427566	0.0	0.0	0.0	0.4058958229800502	0.0	1.7351561515090856	0.0	0.0	0.0	0.0	0.0	3.5121406932184467	0.0	0.24873560582150311	1.3973559368078599	0.0	0.0	0.6871318062584417	0.0	0.0	0.0	2.217218697580177	0.0	0.0	2.044467545046218	0.4058958229800502	2.6973248574200444	0.0	0.0	0.0	0.0	0.611982193779769	0.0	0.0	0.0	0.24873560582150311	3.2199302283980304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6871318062584417	0.0	0.24873560582150311	0.0	0.0	0.0	0.0	0.521050313583394	0.521050313583394	0.0	0.0
SRR13357691	0.0	0.0	0.0	1.2007588395578312	1.3315364572494937	0.0	0.0	0.0	1.6765978501261882	4.321192752268122	3.0954063595045778	0.0	0.0	0.20947758021529414	0.20947758021529414	0.0	1.6592499601826847	0.0	0.3501938712117171	0.0	0.0	0.0	4.137542358406658	0.20947758021529414	0.3501938712117171	1.248861311047337	0.0	0.20947758021529414	0.8181429420798884	0.0	0.0	0.3501938712117171	2.8083293862688836	0.20947758021529414	0.0	1.894773083911998	1.1064406896170003	2.1219220916795387	0.0	0.0	0.0	0.45630241903312263	0.3501938712117171	0.0	0.0	0.0	0.8181429420798884	2.9774429898942714	0.0	0.0	0.0	0.0	0.0	0.20947758021529414	0.0	0.0	0.0	0.7274617578093804	0.0	0.0	0.0	0.0	0.0	0.0	0.5415095360574155	1.165449939979605	0.0	0.0
