SAMPLE_ID	Acidimicrobiia	Acidithiobacillia	Acidobacteriia	Actinobacteria	Alphaproteobacteria	Anaerolineae	Aquificae	Ardenticatenia	Bacilli	Bacteroidia	Betaproteobacteria	Blastocatellia	Caldilineae	Caldisericia	Calditrichae	Candidatus Babeliae	Candidatus Brocadiae	Candidatus Saccharimonia	Chitinophagia	Chlamydiia	Chlorobia	Chloroflexia	Chthonomonadetes	Clostridia	Coprothermobacteria	Coriobacteriia	Cytophagia	Deferribacteres	Dehalococcoidia	Deinococci	Deltaproteobacteria	Dictyoglomia	Elusimicrobia	Endomicrobia	Epsilonproteobacteria	Erysipelotrichia	Fibrobacteria	Fimbriimonadia	Flavobacteriia	Fusobacteriia	Gammaproteobacteria	Gemmatimonadetes	Gloeobacteria	Halobacteria	Hydrogenophilalia	Ignavibacteria	Kiritimatiellae	Ktedonobacteria	Limnochordia	Methanobacteria	Methanomicrobia	Methylacidiphilae	Mollicutes	Negativicutes	Nitriliruptoria	Nitrososphaeria	Nitrospira	Oligoflexia	Opitutae	Phycisphaerae	Planctomycetia	Rubrobacteria	Saprospiria	Spartobacteria	Sphingobacteriia	Spirochaetia	Synergistia	Tepidiformia	Thermodesulfobacteria	Thermoleophilia	Thermomicrobia	Thermoplasmata	Thermotogae	Tissierellia	Verrucomicrobiae	Vicinamibacteria	Zetaproteobacteria
SRR11292124	0.0	0.0	0.0	1.2545309621164469	1.4666030064700077	0.2884143324255654	0.0	0.0	2.1564083121813535	4.569358693538805	3.1089064226018555	0.0	0.2884143324255654	0.0	0.0	0.0	0.0	0.0	1.0181753820008632	0.0	0.2884143324255654	0.0	0.0	3.9157068585670403	0.0	1.3903779505818108	0.8807661057863079	0.0	0.0	0.2884143324255654	2.8940239798154304	0.0	0.0	0.0	0.46021759750423025	1.0181753820008632	0.0	0.0	2.3776159866558286	4.1260386765831285	1.8439792584853218	0.0	0.0	0.0	0.0	1.3557001867609457	0.0	0.0	0.0	0.0	0.0	0.0	1.0557651548359048	2.9778779144989285	0.0	0.0	0.0	0.0	0.0	0.0	0.2884143324255654	0.0	0.0	0.0	0.7569168392672664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3372644456354135	0.0	0.0
SRR11292125	1.024176737972986	0.0	0.341742989911962	2.466809127902954	1.854894921615739	1.3529167743675645	0.0	0.0	4.080179714914191	4.414850850355362	2.582861310199698	0.0	0.6617822908675974	0.0	0.0	0.0	0.0	0.0	1.3529167743675645	0.0	0.341742989911962	0.0	0.0	4.199521609712626	0.0	1.8325557700154596	1.1127924822327073	0.0	0.0	1.1511293587661209	1.632250580551272	0.0	0.0	0.0	0.341742989911962	1.6073098750609627	1.6671657983985433	0.0	3.091123795371484	1.2492432349163223	3.1977956103617693	0.0	0.341742989911962	0.0	0.341742989911962	2.050302566401002	0.0	0.6617822908675974	0.341742989911962	0.0	0.0	0.0	2.085834510606001	2.8352056197369087	0.0	0.0	0.341742989911962	0.9720137605740194	0.0	0.341742989911962	0.0	0.0	0.6617822908675974	0.0	1.1863548843185938	0.0	1.4901550590682893	0.0	0.341742989911962	0.0	0.0	0.0	1.952043328131424	0.6617822908675974	3.5503741912668656	0.0	0.0
SRR11292126	0.0	0.0	0.0	2.2434081630128073	1.4923262542165592	0.9302984639477239	0.0	0.35273650909759713	3.4863273035684297	4.132767595553977	2.3354458177080106	0.0	0.7789819720842057	0.0	0.0	0.0	0.0	0.0	1.131256694596053	0.0	0.6774806487232939	0.35273650909759713	0.0	4.582289081072766	0.0	1.6867178871981128	0.8611973455252937	0.0	0.0	0.0	0.9898991732997562	0.0	0.0	0.0	0.0	3.651643894668717	0.35273650909759713	0.0	2.8482593621838506	0.7789819720842057	2.819550943005728	0.0	0.0	0.0	0.0	2.3329252122326705	0.0	0.35273650909759713	0.0	0.0	0.0	0.0	0.8611973455252937	2.755725393392694	0.0	0.0	0.0	0.0	0.0	0.0	0.5447801887642512	0.0	0.0	0.0	0.6774806487232939	1.089051488645505	0.6774806487232939	0.0	0.0	0.0	0.0	0.0	0.9302984639477239	0.35273650909759713	2.445818300400615	0.0	0.0
SRR11292127	0.9198039863901334	0.0	0.0	2.5436068196536024	1.545696210559907	0.7690760956242693	0.0	0.0	3.2120698973707196	4.080526050564077	2.5023383327209388	0.0	0.5363010085949869	0.0	1.7374721631424732	0.0	0.0	0.0	1.2568555267991648	0.0	0.0	0.0	0.0	4.515665494649735	0.0	2.5405678740881603	1.4808048794435882	0.0	0.0	0.5363010085949869	1.7176471356982193	0.0	0.0	0.0	0.9198039863901334	3.2172369768542906	1.031483034869194	0.0	3.11081912957839	1.602140154225716	3.4823392534258457	0.0	0.7690760956242693	0.0	0.0	1.602140154225716	0.0	0.5363010085949869	0.7690760956242693	0.0	0.0	0.0	1.031483034869194	3.3361289379061754	0.0	0.0	0.0	2.4853596293913713	0.0	0.5363010085949869	0.0	0.0	0.7690760956242693	0.0	1.3118320689369152	0.7690760956242693	0.9198039863901334	0.0	0.0	0.0	0.0	0.0	0.0	0.7690760956242693	3.782075299362995	0.0	0.0
SRR11292128	0.33288791040796095	0.0	0.33288791040796095	1.7134733392112855	1.5648909830355227	0.0	0.0	0.33288791040796095	3.502897857945713	4.194625126638787	2.3896478850913487	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0976827800852658	0.33288791040796095	0.519099495708846	0.0	0.0	4.578414966155267	0.0	1.9953685064022688	2.278673806688713	0.0	0.0	0.0	0.6490113102914887	0.0	0.0	0.0	0.6490113102914887	3.109928219264907	0.0	0.0	2.2372463184839515	0.33288791040796095	2.7288672841330124	0.0	0.0	0.0	0.0	2.1063435029175093	0.0	0.0	0.0	0.0	0.0	0.0	1.0093577997523484	3.3778997983403087	0.0	0.0	0.0	0.0	0.0	0.0	0.33288791040796095	0.0	0.6490113102914887	0.0	0.519099495708846	0.0	0.33288791040796095	0.0	0.0	0.0	0.0	0.0	0.6490113102914887	0.519099495708846	2.6377268701981915	0.0	0.0
SRR11292129	0.0	0.0	1.5261327924160428	2.0864537716746785	2.3555679236089704	0.0	0.0	0.0	3.181743140196334	4.583528933106529	2.760328499430214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.059693565483225	0.3352001182322079	0.0	0.0	0.0	3.9884611183826904	0.0	1.2075885672549667	1.0132469752593687	0.0	0.0	0.0	1.101649247315076	0.0	0.0	0.0	0.7524219528507277	1.6204487581131117	0.0	0.0	1.2378455873066934	3.856473815713937	2.8918303504138065	0.0	0.0	0.0	0.0	2.719887796807089	0.0	0.0	0.3352001182322079	0.0	0.0	0.0	0.5221090090164834	3.4367037540944563	0.0	1.510817208659205	1.1750646405678078	0.0	0.0	0.0	0.0	1.0132469752593687	0.3352001182322079	0.0	0.7524219528507277	0.3352001182322079	0.6523571669850494	0.0	0.0	0.0	0.0	0.0	0.0	0.3352001182322079	2.586800762943335	0.0	0.0
SRR11292130	0.5582778216012668	0.0	0.3632745028957821	1.8047789626767567	1.3900108424817144	0.0	0.0	0.0	3.0741704899767965	4.585669360083978	2.563468484750915	0.0	0.0	0.0	0.0	0.6923724599694098	0.3632745028957821	0.0	1.433995533761291	0.3632745028957821	0.0	0.0	0.0	4.177780191192662	0.0	1.9074142936978928	1.1486660876126835	0.0	0.0	0.5582778216012668	1.5601644093794853	0.0	0.0	0.0	0.3632745028957821	2.6869438323658743	0.5582778216012668	0.0	2.8240455336816623	1.3410641908738108	3.230206403771414	0.0	0.5582778216012668	0.0	0.3632745028957821	1.8390170777695942	0.0	0.0	0.0	0.0	0.0	0.0	0.7946847707361548	2.8180405493829563	0.0	0.0	0.0	1.4926029857898335	0.0	0.0	0.6923724599694098	0.0	0.0	0.0	1.2554334939731173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.516481989202999	0.0	0.0
SRR11292131	0.0	0.28909182696602853	0.0	2.0587773196081307	2.1462161366547146	0.0	0.0	0.28909182696602853	3.3790881838990883	4.4562395372263985	2.727878719331803	0.0	0.28909182696602853	0.0	0.0	0.0	0.0	0.0	1.0194367816013579	0.0	0.6797081717292739	0.0	0.0	4.252915186988432	0.0	1.6295517291837422	1.091640843250433	0.0	0.0	0.0	3.168648287893286	0.0	0.28909182696602853	0.0	0.7580680010963793	2.2063815765289085	0.46112964030696757	0.0	2.380717943327933	2.0587773196081307	3.3563695701806466	0.0	0.0	0.0	0.0	1.9672662989078975	0.0	0.0	0.28909182696602853	1.6098333754935763	0.0	0.0	2.4442182214857198	3.576656479053033	0.5840273780442806	0.0	0.0	0.28909182696602853	0.28909182696602853	0.0	0.28909182696602853	0.0	0.5840273780442806	0.0	1.0570376321835522	0.46112964030696757	2.3001866562503923	0.28909182696602853	0.0	0.0	0.0	0.0	0.0	0.46112964030696757	3.592687642913137	0.0	0.0
SRR11292132	0.0	0.0	0.0	1.310261749616306	1.3462751869990655	0.0	0.0	0.0	1.7729746101185593	3.8569413044261993	1.8101523220409086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1798585242159312	0.0	0.0	0.0	0.0	4.679474227430364	0.0	2.125400418907187	0.7992720231435403	0.0	0.0	0.0	0.4419048246990767	0.0	0.0	0.0	0.0	2.8286429909731736	0.6563541664080906	0.0	1.759839495597869	0.0	2.2040390347946075	0.0	0.0	0.0	0.4419048246990767	1.27098967942743	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7823123411093142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6563541664080906	0.7992720231435403	1.5157948703679633	0.0	0.0
SRR11292133	0.621479750328952	0.621479750328952	0.0	1.831494537715411	1.6879196299609942	0.41354466448683824	0.0	0.0	3.0256797608424355	4.249756932099065	2.55132284562169	0.0	0.0	0.0	1.3669914253500417	0.41354466448683824	0.0	0.0	1.336239368620997	0.0	0.41354466448683824	0.0	0.0	4.51077908474051	0.0	2.134413572590965	1.494679849729713	0.0	0.0	0.0	1.228261969020318	0.0	0.0	0.0	0.621479750328952	3.0570899665031255	1.228261969020318	0.0	3.3843898921320803	2.0445821048116413	3.2687285066455534	0.0	0.8672224986737088	0.0	0.0	1.3957092047408877	0.0	0.0	0.621479750328952	0.0	0.0	0.0	1.228261969020318	3.398145834669264	0.0	0.0	0.0	2.4021767958061893	0.0	0.0	0.0	0.0	0.0	0.9521773437798539	1.1377239077790422	0.41354466448683824	0.0	0.41354466448683824	0.0	0.0	0.0	0.0	0.0	0.0	3.3006570934149932	0.0	0.0
