bugName	pval	p6M	p1Y	s6M	s1Y	Adjustedpval	Adjustedp6M	Adjustedp1Y
Rhizobiales	0.00273286460331845	0.000950437059268228	0.456734003400021	0.707985661251508	0.122229151668842	0.270553595728527	0.0940932688675546	0.807440470296465
Clostridiales	0.0116953017258996	0.099408172653208	0.00370489253153723	-0.126443016988005	-0.267163689749749	0.427100029905511	0.517968899614084	0.324603922944625
Enterobacterales	0.0193056309563036	0.0129567787081573	0.0183503527772197	1.03881297723382	1.01322148777563	0.427100029905511	0.390765350740753	0.324603922944625
Erysipelotrichales	0.0238851043980831	0.0197356237747855	0.0185160644446068	-0.689167457985792	-0.726152434897879	0.427100029905511	0.390765350740753	0.324603922944625
Actinopolysporales	0.0267053454697112	0.0185850494073265	0.0229517925314381	-0.324003969120951	-0.324004551931993	0.427100029905511	0.390765350740753	0.324603922944625
Eggerthellales	0.0271279970301893	0.381976643637575	0.00892051932212377	-0.154443815405312	-0.554523571233757	0.427100029905511	0.701927649460425	0.324603922944625
Nitrosomonadales	0.0303818550410885	0.168162608764946	0.0100655448339685	0.158859383820469	0.346476394157154	0.427100029905511	0.586444362211337	0.324603922944625
Immundisolibacterales	0.0346264277542004	0.0183695234456866	0.999987422683623	0.140043467528998	-8.41371417234147e-07	0.427100029905511	0.390765350740753	0.999998210239086
Desulfuromonadales	0.0388272754459555	0.141340108183313	0.110589288992403	0.226920380348938	-0.256189346448137	0.427100029905511	0.586444362211337	0.573483134005456
Verrucomicrobiales	0.0582383224965645	0.0325280070096201	0.0631564855050804	1.26319290593094	1.09523584989781	0.50501653346412	0.445366469688162	0.44660657607164
Acidaminococcales	0.0584989948952406	0.24923310966724	0.0202081696919019	0.516714732192773	1.19008971566474	0.50501653346412	0.685391051584909	0.324603922944625
Sphingomonadales	0.0612141252683782	0.0239424957090285	0.700701852264819	0.426091719602494	0.0643764070877406	0.50501653346412	0.395051179198971	0.922932830710851
Chlorobiales	0.0782020852398339	0.0769896648724122	0.487046820874876	-0.210580774910974	0.0802487881593198	0.505774120290393	0.517968899614084	0.838524551990303
Spirochaetales	0.0858176257896341	0.279572236888019	0.0308078147739612	-0.157502293870484	-0.357340887682307	0.505774120290393	0.701927649460425	0.38124670782777
Mycoplasmatales	0.0865752251168516	0.856982151072042	0.0491740288790407	0.0422709300039182	-0.527163206652412	0.505774120290393	0.942680366179246	0.407481043749892
Pelagibacterales	0.0977066867265957	0.0515196293208348	0.999998210239086	0.256603413329939	-2.79210120058919e-07	0.505774120290393	0.463676663887513	0.999998210239086
Synergistales	0.0985630516325346	0.0417070317795289	0.144813605189768	0.69598732331981	0.493078926922146	0.505774120290393	0.445366469688162	0.637172580473066
Hydrogenophilales	0.102269959952794	0.0378295827039185	0.450591968535725	0.163256563381114	0.0560398895443467	0.505774120290393	0.445366469688162	0.807440470296465
Pasteurellales	0.102669493855501	0.477590400706774	0.0383422092539051	0.283790281578468	0.959053947047099	0.505774120290393	0.7751057322946	0.407481043749892
Acidothermales	0.109869008910897	0.108643319745208	0.0592235576146462	-0.263000536449827	-0.327867626504663	0.505774120290393	0.53778443273878	0.44660657607164
Veillonellales	0.110852541209479	0.0449865120897133	0.717765022655043	0.690926711088972	0.114361038665925	0.505774120290393	0.445366469688162	0.922932830710851
Saprospirales	0.112394248953421	0.171786732364937	0.0489192653897423	0.149193791447846	0.231524449390702	0.505774120290393	0.586444362211337	0.407481043749892
Bacteroidales	0.126651234753838	0.242379370671935	0.0493916416666536	0.26544116630384	0.498859695211228	0.528823376392288	0.685391051584909	0.407481043749892
Fusobacteriales	0.12819960639813	0.0814864692020051	0.0938071888209592	0.99009163927278	0.988615983159817	0.528823376392288	0.517968899614084	0.573483134005456
Ktedonobacterales	0.153326176364345	0.0624206857130649	0.614108188785996	0.193228226227511	0.0501568260085639	0.601473329496652	0.514970657132785	0.916539034192315
Nautiliales	0.15796269259508	0.742615799699335	0.110116321373765	-0.0278400339296782	0.151181336664715	0.601473329496652	0.850839838739846	0.573483134005456
Acidimicrobiales	0.170089652009364	0.117173361876056	0.753420950702331	0.260751211111577	-0.0513538934651844	0.623662057367669	0.538298462151075	0.922932830710851
Caulobacterales	0.197898638795589	0.0851330925734334	0.272006538935509	0.257985875532722	0.163611269088794	0.691583004907489	0.517968899614084	0.74641943719865
Caldilineales	0.202584920629467	0.0847407033680262	0.301583610989353	0.262325164784859	0.156190158033792	0.691583004907489	0.517968899614084	0.74641943719865
Campylobacterales	0.21233611678965	0.971749852498339	0.114765894134034	-0.00632470357427257	0.313290282308489	0.695805835788028	0.991785931931295	0.573483134005456
Petrotogales	0.231300377176499	0.21810134173788	0.533606533084738	-0.185699271164737	0.0949619728849606	0.695805835788028	0.674751026001567	0.838524551990303
Pirellulales	0.231791598684217	0.0955003941826618	0.507415967675333	0.101948887142124	0.0398226909490179	0.695805835788028	0.517968899614084	0.838524551990303
Deinococcales	0.231935278596009	0.095434696636516	0.423385491936318	0.218084404726222	0.103405244979435	0.695805835788028	0.517968899614084	0.807440470296465
Burkholderiales	0.242491102108143	0.406597287532797	0.101686162797918	0.21467852765768	0.462690095926644	0.706077032609004	0.718805919031195	0.573483134005456
Thiotrichales	0.272095389573531	0.553514137387497	0.115855178586961	0.114991272611176	0.33646334866628	0.719292651802917	0.810187169367495	0.573483134005456
Bdellovibrionales	0.275383813191697	0.119621880478017	0.385687174313745	-0.310845343218115	-0.173281398424436	0.719292651802917	0.538298462151075	0.807440470296465
Thermotogales	0.298452838650046	0.29556570257247	0.525885667527362	0.133306184645188	-0.0830140354617214	0.719292651802917	0.701927649460425	0.838524551990303
Micrococcales	0.307545431079129	0.215739263502218	0.754119608273026	0.362544884967863	-0.0922607117991046	0.719292651802917	0.674751026001567	0.922932830710851
Cardiobacteriales	0.313743083886576	0.339106584019429	0.14763837967295	0.0516885782229787	0.0845064029042135	0.719292651802917	0.701927649460425	0.637172580473066
Nevskiales	0.317933051278591	0.382869626978414	0.421278764384066	-0.074016320452108	0.0707708638731496	0.719292651802917	0.701927649460425	0.807440470296465
Thermoanaerobacterales	0.323048191960405	0.796179963788854	0.215793359628824	0.0429887523145331	-0.223517199680456	0.719292651802917	0.885638386686478	0.701974380216542
Planctomycetales	0.326520752605315	0.160492735456495	0.888352394458217	0.100566161416045	0.00973232096086147	0.719292651802917	0.586444362211337	0.988167270240039
Bacteroidetes Order II. Incertae sedis	0.328986477287066	0.156879020451468	0.808115473447554	-0.188369993783265	-0.0317589204859412	0.719292651802917	0.586444362211337	0.954301533887382
Thermodesulfobacteriales	0.329778809776177	0.724033667180486	0.153390962277981	0.0208200382010332	0.0926275920704828	0.719292651802917	0.850839838739846	0.637172580473066
Gloeobacterales	0.337778205331238	0.705162558367513	0.154466080114683	-0.0555992972585129	-0.226764087428838	0.719292651802917	0.850839838739846	0.637172580473066
Aeromonadales	0.339849688566881	0.292075923973504	0.18202208926748	0.248192782484001	0.331573661534176	0.719292651802917	0.701927649460425	0.658575726359583
Sphingobacteriales	0.348483395351996	0.185815014475479	0.295167038941387	0.254163865523861	0.206099519013642	0.719292651802917	0.613189547769082	0.74641943719865
Pseudomonadales	0.351534915745626	0.161405801550402	0.455978659205769	0.433470725421872	0.229992874315904	0.719292651802917	0.586444362211337	0.807440470296465
Rhodobacterales	0.357215250811479	0.63359242409037	0.161908801636873	0.0750171587542708	0.232938689299596	0.719292651802917	0.850839838739846	0.641158854482016
Calditrichales	0.363279117072181	0.171032786793438	0.448951766392185	-0.194852578050798	-0.104913078158162	0.719292651802917	0.586444362211337	0.807440470296465
Ignavibacteriales	0.374049719595811	0.693147620200941	0.174342531136908	-0.101421014972447	-0.378183634400881	0.723856730126799	0.850839838739846	0.658575726359583
Frankiales	0.380207575420137	0.22941394410505	0.267348990079685	-0.265992744640286	-0.255269590022973	0.723856730126799	0.685391051584909	0.74641943719865
Bifidobacteriales	0.399540203932331	0.564163783400299	0.18626384179867	-0.22270569175445	-0.554219572518086	0.733662464804973	0.810187169367495	0.658575726359583
Acholeplasmatales	0.400179526257258	0.353855428949129	0.208637527384288	-0.122241699215865	-0.176728859269619	0.733662464804973	0.701927649460425	0.701974380216542
Nitrospirales	0.41378523751801	0.354910498138008	0.62954196287957	0.140653096545488	-0.0754543190846981	0.736478745069189	0.701927649460425	0.916539034192315
Cytophagales	0.428012432231828	0.686085924291551	0.335090425062127	-0.0794002860919167	0.201362327369467	0.736478745069189	0.850839838739846	0.766124729110819
Rhodospirillales	0.428730734553854	0.373085203281226	0.226900809766963	0.28945235649548	0.418013686244513	0.736478745069189	0.701927649460425	0.701974380216542
Acidithiobacillales	0.43403868169758	0.41389122221203	0.221165176920701	-0.0684479255948458	-0.109570851759104	0.736478745069189	0.718863701736684	0.701974380216542
