bugName	pval	p6M	p1Y	s6M	s1Y	Adjustedpval	Adjustedp6M	Adjustedp1Y
Lachnospiraceae	0.00524490235465758	0.209673523021473	0.00156324934047372	-0.103467204901031	-0.339033246198969	0.209796094186303	0.513990857722461	0.062529973618949
Clostridiaceae_1	0.0212942868696628	0.0965980931045013	0.00728596488319582	0.663770971825815	1.25316059376194	0.240660508715699	0.412326516006538	0.119596168372593
Rikenellaceae	0.023676739147128	0.0703606182020604	0.00909788060498274	0.551662427446095	0.900196729489194	0.240660508715699	0.351803091010302	0.119596168372593
Erysipelotrichaceae	0.0248054314691486	0.0274516923126763	0.0149495210465741	-0.607382661137411	-0.718079846182371	0.240660508715699	0.293801235369089	0.119596168372593
Enterobacteriaceae	0.0300825635894624	0.0254470714086983	0.0208307021924845	1.27299627985111	1.39051211871524	0.240660508715699	0.293801235369089	0.138871347949897
Acidaminococcaceae	0.0403168790377919	0.231295885975108	0.0134058742313086	0.553458530905664	1.33012573550318	0.253993214147611	0.513990857722461	0.119596168372593
others	0.0444488124758319	0.03782424405586	0.0287637041603345	0.931572249586418	1.03940836149739	0.253993214147611	0.293801235369089	0.16436402377334
Fusobacteriaceae	0.0637174680814688	0.0344349595124612	0.0665529287490865	1.25408414151666	1.09892266602493	0.318587340407344	0.293801235369089	0.221843095830288
Akkermansiaceae	0.0763700854442377	0.0392492255451189	0.0875913041029183	1.31290027153255	1.08225265248381	0.337033164379292	0.293801235369089	0.269511704932056
Prevotellaceae	0.084258291094823	0.0489155402379309	0.831627123197536	0.965994526724256	-0.096809590461703	0.337033164379292	0.293801235369089	0.900386891391597
Tannerellaceae	0.118436267523596	0.167218136064258	0.0504286217027212	0.616680997350452	0.962622949982022	0.378023433414088	0.485546236607924	0.221843095830288
Pasteurellaceae	0.122139062508932	0.400835331795218	0.0454174828591112	0.353531484429112	0.962735381542332	0.378023433414088	0.700868916894845	0.221843095830288
Veillonellaceae	0.122857615859578	0.0514152161895905	0.762829781386715	0.666980608285379	0.0953630537268858	0.378023433414088	0.293801235369089	0.889522924020054
Eubacteriaceae	0.133580049193414	0.801772095877591	0.0575384264163591	-0.0594872689570077	-0.50531958287973	0.381657283409753	0.916310966717247	0.221843095830288
Eggerthellaceae	0.164144438408847	0.487956547514644	0.0636982311909506	-0.147410607641641	-0.438454382503389	0.437718502423592	0.716179754059125	0.221843095830288
Leuconostocaceae	0.213881990242589	0.931550673893357	0.117924248116992	0.0172430831629633	-0.346585467810248	0.532298861117562	0.985764589372861	0.302685471023297
Staphylococcaceae	0.233542508205101	0.937890174602995	0.115574785816922	-0.00910849534745991	-0.202392033332775	0.532298861117562	0.985764589372861	0.302685471023297
Enterococcaceae	0.247671066460839	0.103081629001634	0.494978166006447	0.4578466966367	0.183258945239986	0.532298861117562	0.412326516006538	0.761504870779149
Coriobacteriales_Incertae_Sedis	0.252841959030842	0.902510060336807	0.143775598736066	0.0453563529959171	-0.590601295796467	0.532298861117562	0.985764589372861	0.302685471023297
Bacteroidaceae	0.27283771625656	0.693989820763132	0.121482540823889	0.0875860645124353	0.381983977916501	0.54567543251312	0.869790866195261	0.302685471023297
Desulfovibrionaceae	0.308489568117616	0.455564795981649	0.136781257752987	0.276682457493694	0.585558093345204	0.563273150149916	0.700868916894845	0.302685471023297
Burkholderiaceae	0.309800232582454	0.535371914914698	0.13528554378272	0.207945516399139	0.550055546959739	0.563273150149916	0.738444020571997	0.302685471023297
Corynebacteriaceae	0.32904222133932	0.145716642636246	0.549924262416477	-0.0919429468160932	-0.036852131798229	0.564603580540168	0.485546236607924	0.785606089166396
Peptococcaceae	0.354474618869487	0.182079838727972	0.328103616195026	0.357881999145143	0.266206896757041	0.564603580540168	0.485546236607924	0.546839360325044
Peptostreptococcaceae	0.358496709210421	0.162497156771176	0.594508093942223	0.532151372678036	0.201551435414762	0.564603580540168	0.485546236607924	0.792677458589631
Streptococcaceae	0.366992327351109	0.180278086376092	0.37334566344737	0.504384601981504	0.339742428873403	0.564603580540168	0.485546236607924	0.597353061515791
Christensenellaceae	0.404695266705071	0.71757746461109	0.288923517718002	-0.107896174384251	0.330364898123809	0.599548543266772	0.869790866195261	0.546839360325044
Barnesiellaceae	0.458148785345602	0.224195224478638	0.675211404064212	0.70761927689764	0.245507666635193	0.635831608549116	0.513990857722461	0.829432670181906
Atopobiaceae	0.460977916198109	0.310453566332045	0.832857874537227	-0.23103895655752	0.0489908831655908	0.635831608549116	0.620907132664091	0.900386891391597
Bifidobacteriaceae	0.490375593232892	0.769417497554085	0.251786534075376	-0.142178067545267	-0.600430961044725	0.653834124310523	0.905197055945983	0.503573068150753
Ruminococcaceae	0.537140334787748	0.281789676029889	0.549774206969856	-0.137766863045728	-0.0780849190174086	0.693084302951933	0.593241423220818	0.785606089166396
Coriobacteriaceae	0.589286185942871	0.441341440328864	0.778332558517547	-0.406505708350375	0.153355256899648	0.703461018795946	0.700868916894845	0.889522924020054
Lactobacillaceae	0.597710562694063	0.699567218484118	0.322665352695025	-0.192097420505179	-0.526216491062588	0.703461018795946	0.869790866195261	0.546839360325044
Marinifilaceae	0.598699748921386	0.621684342408694	0.325406184260373	0.272706440989942	0.575211958395906	0.703461018795946	0.828912456544926	0.546839360325044
Family_XIII	0.615528391446453	0.391854249646657	0.925701087168369	-0.190947634211751	0.0208113599866779	0.703461018795946	0.700868916894845	0.93085543269207
Family_XI	0.683910547160801	0.416514450706224	0.93085543269207	0.187082609009118	0.0203312805255178	0.759900607956445	0.700868916894845	0.93085543269207
Micrococcaceae	0.718659202516982	0.501325827841387	0.914033248141082	0.221883934147786	-0.0368285387021086	0.770509344567536	0.716179754059125	0.93085543269207
Synergistaceae	0.731983877339159	0.444944754692654	0.684281952900073	0.294397337217513	0.161236895074133	0.770509344567536	0.700868916894845	0.829432670181906
Actinomycetaceae	0.826086442134021	0.96112047463854	0.590515743639881	0.0100940953109523	-0.11510479352109	0.847268145778483	0.985764589372861	0.792677458589631
Carnobacteriaceae	0.889319222460882	0.998778673113126	0.667067364286538	0.000625067328037555	0.184602320773823	0.889319222460882	0.998778673113126	0.829432670181906
