bugName	pval	p6M	p1Y	s6M	s1Y	Adjustedpval	Adjustedp6M	Adjustedp1Y
Clostridia	0.0110850805876852	0.0809921750293828	0.00359881741666272	-0.122223410412495	-0.242613363652797	0.166276208815278	0.242976525088148	0.0539822612499408
Erysipelotrichia	0.0248054314691486	0.0274516923126763	0.0149495210465741	-0.607382661137411	-0.718079846182371	0.186040736018614	0.195997451085327	0.112121407849306
Gammaproteobacteria	0.0579486906695931	0.0715174252838781	0.029052118860123	0.424366143385409	0.556205310385969	0.228829830707926	0.242976525088148	0.145260594300615
Fusobacteriia	0.0638101425386524	0.0345645216409785	0.0664015056548122	1.25412200320237	1.10067360757259	0.228829830707926	0.195997451085327	0.188435498602287
Verrucomicrobiae	0.0762766102359752	0.0391994902170653	0.0875165751808321	1.31315321995077	1.08240864763239	0.228829830707926	0.195997451085327	0.188435498602287
Bacteroidia	0.18451687686794	0.38866990313884	0.0729359033015818	0.176923585320629	0.410724171401361	0.400560267075343	0.569455994977061	0.188435498602287
Actinobacteria	0.214526659387474	0.540166813192878	0.0879365660144007	-0.180215118469719	-0.561905907185768	0.400560267075343	0.578750156992369	0.188435498602287
Negativicutes	0.216990400695731	0.121028096494529	0.901478713857817	0.262730119020952	-0.0201924452074479	0.400560267075343	0.302570241236323	0.901478713857817
others	0.240336160245206	0.797297705510119	0.110826801919968	0.0749650818003674	0.517837421102759	0.400560267075343	0.797297705510119	0.207800253599941
Deltaproteobacteria	0.308489568117616	0.455564795981649	0.136781257752987	0.276682457493694	0.585558093345204	0.438306533343746	0.569455994977061	0.212247901447269
Coriobacteriia	0.321424791118747	0.535805902001127	0.141498600964846	-0.177282208388869	-0.458828022340659	0.438306533343746	0.578750156992369	0.212247901447269
Alphaproteobacteria	0.430572218447087	0.235703522651022	0.35824013916132	0.531049727336965	0.422084675388094	0.538215273058859	0.505078977109332	0.488509280674527
Oxyphotobacteria	0.570520298555433	0.339521571789295	0.453910149566589	0.227851331435722	0.181912600003513	0.65768671793827	0.566488895710726	0.567387686958236
Bacilli	0.613840936742386	0.339893337426435	0.603726784735398	0.379128820047082	0.210841260459497	0.65768671793827	0.566488895710726	0.696607828540844
Synergistia	0.731983877339159	0.444944754692654	0.684281952900073	0.294397337217513	0.161236895074133	0.731983877339159	0.569455994977061	0.733159235250078
