bugName	pval	p6M	p1Y	s6M	s1Y	Adjustedpval	Adjustedp6M	Adjustedp1Y
Clostridiales	0.011056201118204	0.0809753667886298	0.00358824758815513	-0.122271360474992	-0.242811963732564	0.220605466322724	0.356291613869971	0.0789414469394128
Erysipelotrichales	0.0248054314691486	0.0274516923126763	0.0149495210465741	-0.607382661137411	-0.718079846182371	0.220605466322724	0.215597196193859	0.152758482744886
Enterobacteriales	0.0300825635894624	0.0254470714086983	0.0208307021924845	1.27299627985111	1.39051211871524	0.220605466322724	0.215597196193859	0.152758482744886
Fusobacteriales	0.0638101425386524	0.0345645216409785	0.0664015056548122	1.25412200320237	1.10067360757259	0.335617085038291	0.215597196193859	0.22956955220872
Verrucomicrobiales	0.0762766102359752	0.0391994902170653	0.0875165751808321	1.31315321995077	1.08240864763239	0.335617085038291	0.215597196193859	0.240670581747288
Pasteurellales	0.122139062508932	0.400835331795218	0.0454174828591112	0.353531484429112	0.962735381542332	0.447843229199417	0.620406833896042	0.22956955220872
others	0.183665622153752	0.490797023785452	0.0725027427029122	0.162089355105347	0.469396908980288	0.508043913448585	0.620406833896042	0.22956955220872
Bacteroidales	0.184743241254031	0.38848097978578	0.0730448575209565	0.176958690953092	0.410445695036012	0.508043913448585	0.620406833896042	0.22956955220872
Selenomonadales	0.216990400695731	0.121028096494529	0.901478713857817	0.262730119020952	-0.0201924452074479	0.530420979478454	0.443769687146607	0.918932881054053
Betaproteobacteriales	0.308130518588554	0.533921282340954	0.134383046803686	0.208672008086058	0.551397425967109	0.589278783717703	0.620406833896042	0.282997201929692
Desulfovibrionales	0.308489568117616	0.455564795981649	0.136781257752987	0.276682457493694	0.585558093345204	0.589278783717703	0.620406833896042	0.282997201929692
Coriobacteriales	0.321424791118747	0.535805902001127	0.141498600964846	-0.177282208388869	-0.458828022340659	0.589278783717703	0.620406833896042	0.282997201929692
Bifidobacteriales	0.490375593232892	0.769417497554085	0.251786534075376	-0.142178067545267	-0.600430961044725	0.797780247798591	0.846359247309494	0.461608645804857
Nostocales	0.536868504850202	0.487541628120582	0.294760693093273	0.118760047947106	0.187331139618874	0.797780247798591	0.620406833896042	0.498825788311692
Bacillales	0.5449945667461	0.28554224429943	0.572186270121319	0.319485294160268	0.172481504243609	0.797780247798591	0.620406833896042	0.787290053318279
Chloroplast	0.616353412061276	0.358185377243523	0.918932881054053	0.211449527075579	0.0236969683236465	0.797780247798591	0.620406833896042	0.918932881054053
Lactobacillales	0.616466555117093	0.341666116131041	0.608360495745942	0.378492731894968	0.2085744906508	0.797780247798591	0.620406833896042	0.787290053318279
Rhodospirillales	0.666459829620278	0.474359648977884	0.443474474346034	0.278072608257152	0.311226784911911	0.805182265073075	0.620406833896042	0.696888459686625
Micrococcales	0.718659202516982	0.501325827841387	0.914033248141082	0.221883934147786	-0.0368285387021086	0.805182265073075	0.620406833896042	0.918932881054053
Synergistales	0.731983877339159	0.444944754692654	0.684281952900073	0.294397337217513	0.161236895074133	0.805182265073075	0.620406833896042	0.836344609100089
Actinomycetales	0.826086442134021	0.96112047463854	0.590515743639881	0.0100940953109523	-0.11510479352109	0.865423891759451	0.96112047463854	0.787290053318279
Corynebacteriales	0.901586248291804	0.896132133487082	0.738320968431891	0.0162736412899038	-0.0435763572514552	0.901586248291804	0.938805092224562	0.854897963447453
