"CV_rep1"	"CV_rep2"	"CV_rep3"	"CV_rep4"	"CV_rep5"	"CV_rep6"	"CV_rep7"	"CV_rep8"	"CV_rep9"	"CV_rep10"
"SRR13357893"	0.940069995596755	0.146643112659622	0.115141435732385	0.419921615232685	0.877336475238484	0.735036099736999	0.511793196067281	0.189851786286833	0.685269505095906	0.678196522792689
"SRR13358121"	0.987357429802162	0.936414333492836	0.994046190061395	0.980194282262738	0.977573946296395	0.978428652896502	0.890065407964039	0.990021179801196	0.991799071310148	0.990767731479085
"SRR13358010"	0.523029095722757	0.560328432401108	0.509348547001345	0.773463107727524	0.799726330608905	0.472599365982415	0.327031832547309	0.628882044748817	0.564670338072606	0.486154398260886
"SRR13357899"	0.430442919579357	0.699699015403401	0.422242631324521	0.335200463172631	0.719565941834074	0.88696643484861	0.39389499214629	0.275081634969816	0.520345460379871	0.363303887718312
"SRR13357647"	0.00656205300742723	0.0376673140509346	0.00355613508915958	0.0016498288429258	0.101917178767129	0.0211069611250915	0.0366810596485182	0.00361936607143831	0.00225973324867177	0.154758310640996
"SRR13358145"	0.592648865586509	0.984158262727905	0.896083015411776	0.0127651959060276	0.00289257672844555	0.751041508665209	0.437384924313879	0.666297612471865	0.334425682920341	0.746559546584514
"SRR13357892"	0.0434601842275979	0.996173948688117	0.353731253662267	0.56764976017591	0.467129909104151	0.992805495389201	0.984402336211949	0.395108929101045	0.503954576655493	0.146799019194151
"SRR13357761"	0.979458267260506	0.899440275926531	0.333759005323962	0.467355749333153	0.845383573164803	0.997726157314592	0.912240018824547	0.987045337132283	0.537266251892345	0.934644226184915
"SRR13357693"	0.274429102939462	0.439225550271116	0.970816198674068	0.671678522211798	0.606765276491611	0.376193361216632	0.726485658224123	0.848441198991028	0.389688942626671	0.489302620030702
"SRR13357682"	0.492196394808958	0.56536505294471	0.850690931233382	0.946924253141282	0.971296712230379	0.932756938028977	0.897441837994193	0.981582445942745	0.979777669754389	0.921810852220556
"SRR13357671"	0.989140710115601	0.952969485332488	0.969887970183777	0.985261638106848	0.997279354974895	0.997499930401335	0.997144720880241	0.970426688402284	0.985497519708201	0.982173358805462
"SRR13357660"	0.937011322139923	0.798626819559758	0.871654234188786	0.590410366847582	0.796420481417621	0.713240499960774	0.528790696901623	0.939072843397691	0.969246076817424	0.84546514206452
"SRR13358098"	0.480354834601091	0.68350330741341	0.902614131533546	0.847811229489742	0.703054482650053	0.901711310821947	0.784043906210008	0.718279272497568	0.751959555975228	0.759718221433199
"SRR13358087"	0.97956814074971	0.998432204068419	0.997592818458341	0.971692500540926	0.97777434794036	0.995897414050266	0.99141254200752	0.993880801690648	0.99905170542407	0.987016208520536
"SRR13358076"	0.996058400813609	0.998327460070318	0.999787073599859	0.998636362314435	0.999678173643264	0.999667818541611	0.996120039766978	0.996194328101257	0.99957202554882	0.997035218199628
"SRR13358065"	0.999897291631372	0.998090527652878	0.998481639824228	0.997197808895431	0.990262742623633	0.995795594317394	0.998392686196207	0.995938266700857	0.997190484795785	0.999803662708585
"SRR13358021"	0.970872541776305	0.948739168493238	0.897258981886226	0.746065043183372	0.996931377768781	0.98580949101376	0.46841057823053	0.802144393793633	0.845028008312447	0.876628318351899
"SRR13358009"	0.572088758837272	0.638603826362467	0.86916912864844	0.600569049300533	0.56313410278938	0.254630968467011	0.627045564868091	0.680160388636511	0.465823519083584	0.655550481790642
"SRR13357998"	0.878833470503122	0.93568116064924	0.912964898972866	0.875177566989919	0.89737431816404	0.535811789251077	0.695792748108421	0.891595887747599	0.809725269228889	0.842100802629911
"SRR13357987"	0.794779983696931	0.813953169479918	0.927669642968406	0.971554222343238	0.982035420508116	0.977630831646474	0.93905125967964	0.940371461114564	0.961903714357227	0.940463457713703
"SRR13357943"	0.983517932727795	0.967943243780271	0.983273541438854	0.998598322758887	0.955941871980431	0.924180518898499	0.999473318488701	0.965791390289355	0.968266434239682	0.990113150171011
"SRR13357932"	0.987861714195455	0.998023390467316	0.830152585442453	0.704321815870597	0.884903948320458	0.917092405758131	0.650980750625977	0.673959390001918	0.818010861960097	0.820069282348171
"SRR13357921"	0.999782187481363	0.998597376662316	0.996242536579066	0.966101142318177	0.997901718818429	0.98538801003544	0.993714711084964	0.983504490926312	0.986772204234056	0.999732317963798
"SRR13357910"	0.991172014930301	0.993235985843865	0.932023058209997	0.959306450842225	0.764733286914149	0.998377247304752	0.985144238977661	0.991660464968673	0.975840976287127	0.997536921611272
"SRR13357862"	0.993429271119098	0.995772633359383	0.977838693935012	0.989853603308719	0.949923114637308	0.723503845089107	0.997053071697006	0.883046364599027	0.959789608867443	0.944725116641256
"SRR13357851"	0.913349287244973	0.895034188675138	0.998422400927372	0.964738214052098	0.986779435650159	0.935540920776854	0.98227972335247	0.969057794413154	0.935097044216736	0.89079119152022
"SRR13357840"	0.629096152652265	0.856337337608741	0.85900592866387	0.866837257563301	0.631195384470938	0.829697841089852	0.764609285905081	0.682936161327333	0.655987018075756	0.943631754287729
"SRR13357829"	0.241672560908812	0.51641648244286	0.348346593070057	0.421237443341706	0.431408861286938	0.444714272464454	0.386103185929681	0.467237227492825	0.513199451857999	0.428757132198192
"SRR13357784"	0.981022223039631	0.999984104497222	0.967122357976529	0.984698840703024	0.797959925386157	0.980512807627719	0.991627751486768	0.967326751456516	0.964336933446939	0.980362736391445
"SRR13357774"	0.642299234677202	0.436772722746335	0.785289551435381	0.236784563657239	0.494063440642595	0.26297443828512	0.279216761133812	0.404290034759623	0.278208302265789	0.120601451322031
"SRR13357773"	0.97438518763794	0.986031991441715	0.986534739753208	0.95244657951927	0.891799078506338	0.772992128561633	0.846891760296328	0.966431170254214	0.880669273106731	0.738430680729378
"SRR13357772"	0.435956559703225	0.105296181871147	0.80393120418897	0.918174892619137	0.926984766388799	0.645164777634774	0.977988794908522	0.60826109823493	0.618000637615145	0.897608709447108
"SRR13357744"	0.980296090526038	0.987349725378366	0.996130543664765	0.992901531994267	0.990846296447092	0.993718565144733	0.997782093811343	0.994171295899093	0.992873573242118	0.985487224013709
"SRR13357743"	0.99389780835804	0.865732586079861	0.974756985714803	0.985803409588736	0.952523258763114	0.993976938566617	0.998840742747478	0.980981536257402	0.991003129305753	0.950728547627696
"SRR13357742"	0.812183039255364	0.88315443138089	0.834595751400419	0.835332894975414	0.759513016663698	0.724604140289495	0.793551975050249	0.929840793667409	0.783234329185306	0.901888198972914
"SRR13357740"	0.746437153838157	0.947948965779549	0.819108250888959	0.855726464310414	0.56424991108273	0.778623290631942	0.920397827920004	0.802940575324152	0.784472930521448	0.927992714740745
"SRR13358144"	0.945902939686413	0.981923572203834	0.965286743135794	0.936136384678269	0.91883033628329	0.90736354398847	0.968017124657775	0.92333469240166	0.988671512764255	0.956562675378501
"SRR13358143"	0.530839666314148	0.674182000851211	0.71847830616602	0.950963738241353	0.797990218866192	0.674641727336404	0.405909787381324	0.562753420747674	0.885240705149497	0.957304863184614
"SRR13358142"	0.923855650100041	0.686826133179029	0.822638244340949	0.808823641436495	0.613831444794008	0.897273259009098	0.81168752689515	0.819706381682556	0.919597180850244	0.883058435893465
"SRR13358141"	0.256482521055862	0.999994263120911	0.543442043629241	0.313701928681979	0.117912246081452	0.180921371842029	0.954401062409942	0.968734628773939	0.0296381204369282	0.067976082674168
"SRR13357755"	0.0511892804804143	0.54989247201493	0.162561937126646	0.81430979810719	0.222593239048266	0.0409507938133881	0.047199815872065	0.0154262495861077	0.412554880060527	0.0653899095561178
"SRR13357754"	0.0876466594622491	0.615164511440061	0.157646115945555	0.035619451566232	0.10689323868957	0.105093097415677	0.140119677579348	0.340006905294367	0.169891438157047	0.034628054073427
"SRR13357721"	0.99762106227525	0.999785565381565	0.984807512921372	0.993491442837179	0.999552507301751	0.99889659742379	0.999535190629343	0.964650086801411	0.996858055919938	0.995693373785499
"SRR13357720"	0.780799844465523	0.396261131899288	0.458338473755275	0.774312605754424	0.79837645209887	0.59721129297633	0.793831596725877	0.607444302026792	0.746472258252735	0.798950762065152
"SRR13357719"	0.998173132827018	0.999708481651061	0.996965950769018	0.997771273878023	0.989405879398344	0.996078925806834	0.998977858335262	0.999785361000021	0.997725487568677	0.998116143239746
"SRR13357718"	0.979473581688277	0.994963063297446	0.999116704100929	0.999880295698899	0.996749454007103	0.997210941640292	0.997361225959277	0.998738979838804	0.995388899546509	0.996783544807199
"SRR13357713"	0.978377147948994	0.943481760535041	0.90847693417207	0.894876427047055	0.90480028118351	0.99180318139461	0.943758042485255	0.934334200187517	0.964886235602967	0.368874962682119
"SRR13357712"	0.999053953836231	0.998175339082989	0.995040616372568	0.99838147296888	0.999689444182398	0.972645792780883	0.998826891104247	0.998001062919337	0.999001417684897	0.998285182648406
"SRR13357711"	0.998529331759404	0.999629978964238	0.999690561990347	0.99585498424808	0.999313022675684	0.999548880642873	0.998965556666804	0.999256277340112	0.999411101011379	0.998847908294971
"SRR13357710"	0.959079782516198	0.922779251698216	0.986262911976046	0.912871558654654	0.927615605201144	0.84740183168478	0.96048758516213	0.950092292556267	0.960256765805556	0.996373311400507
"SRR13357706"	0.0140258378654819	1.49194865923505e-08	0.377122103665467	0.00111735073120067	1.75342276716155e-06	0.000321869359231208	0.0330887685890029	3.76699771451029e-07	0.0134527472994946	0.000416402801531275
"SRR13357705"	0.906474560563143	0.996300010576133	0.979771436540987	0.33112254154682	0.587432600355485	0.920025629574882	0.0651029970658091	0.935611081371325	0.949871540300135	0.966469605551507
"SRR13357700"	0.912802438981772	0.8516166037516	0.884838357121056	0.0865378974944246	0.563735344159282	0.108431020176204	0.699092132015371	0.738577638454267	0.943457770620592	0.576433611537092
"SRR13357699"	0.321587282389564	0.434925758604821	0.246207230372966	0.190192425366904	0.54041831709517	0.487556546503577	0.6372887545107	0.970855166993219	0.432974339741953	0.878239078942886
"SRR13357698"	0.901154267987071	0.9751049249443	0.977123459855597	0.926324516794982	0.942504229426623	0.971079726585518	0.961486656844085	0.948283682612445	0.902305295124363	0.928317288922369
"SRR13357697"	0.647713137081313	0.0102996877245123	0.000325255024410447	0.00327083123585092	0.00755888594269301	0.676052879881318	0.0151959439501223	0.957844281342746	0.0343904225206375	0.000232298381636998
"SRR13357692"	0.00335008647206357	0.953031563244257	0.759159892774056	0.978013938166223	0.152731683902864	0.0637877243757955	0.967859400288069	0.0340888010567387	0.26783154068009	0.807727225325782
"SRR13357691"	0.697414754502648	0.482264354710007	0.492057411126135	0.664865134390854	0.454165150264564	0.743311506313017	0.622482247216124	0.579344750279741	0.654767910577461	0.640499128609468
"SRR13357690"	0.999341664692111	0.995689460388356	0.997472625419671	0.998545368683189	0.996426794200953	0.993308449311708	0.990053249968407	0.997739590702502	0.995126055791414	0.999704411871102
"SRR13357689"	0.9979493414818	0.971380397568606	0.999679393924268	0.98976199005448	0.993607221677815	0.989965759746589	0.995973282792713	0.990529137156427	0.980086944959412	0.987584077396039
"SRR13357685"	0.982260549953734	0.998555299074399	0.989298367299359	0.998158358046543	0.999639350041374	0.996788874434737	0.999293159414439	0.99984238173136	0.891040096814844	0.999282696940012
"SRR13357684"	0.976312662148543	0.751472116892706	0.895263307299491	0.915342682291499	0.352847164384212	0.611011424440103	0.339940928692247	0.619165704748921	0.912619212951241	0.963323236758436
"SRR13357683"	0.806493910429713	0.580193175145767	0.376863397181883	0.702639525219112	0.799935802036305	0.879572772222251	0.522592010951526	0.862191429685345	0.857845136107194	0.920466730127388
"SRR13357681"	0.99707524005389	0.406428108393195	0.997620445953834	0.982581634479665	0.902866410480962	0.995539954405134	0.995865497626521	0.997195215669812	0.958317287418544	0.973465275279906
"SRR13357679"	0.639177300715204	0.575275830332785	0.869277188722784	0.317589380933267	0.625757340421974	0.963538872963738	0.582658263076259	0.974304677095288	0.158855326268076	0.926152653831904
"SRR13357678"	0.541768860173102	0.920678750046476	0.454104357973689	0.710345441758031	0.864138182848931	0.111099761914977	0.692149961987805	0.960113113168714	0.758587069192541	0.402492917568515
"SRR13357677"	0.00138716352422193	0.000149747536034506	0.0459082293058447	0.363254512733219	0.00617723569894795	0.00859087099696327	0.0347655274489792	0.12862214862387	0.0144322926439851	0.427282476823723
