bugName	pval	p1	p3	p6	s1	s3	s6	Adjustedpval	Adjustedp1	Adjustedp3	Adjustedp6
Selenomonadales	0.000296606047258785	0.000297202420934532	0.00226050995620392	0.000185201583219512	0.63871023798297	0.535172669454685	0.636222698938657	0.0059321209451757	0.00594404841869065	0.0226050995620392	0.00370403166439024
Actinomycetales	0.013479031136974	0.0254925977517305	0.00203199505066628	0.024612459087848	-0.265522016508052	-0.370002235532978	-0.256789836732602	0.0966091325850393	0.169950651678204	0.0226050995620392	0.164083060585653
Bifidobacteriales	0.0144913698877559	0.00448905764019668	0.0346257498456923	0.614995755538085	-0.555038579621638	-0.409782033021365	-0.0929889432439444	0.0966091325850393	0.0448905764019668	0.173128749228461	0.800850076513749
Pseudomonadales	0.0366210088055399	0.740290897752783	0.273056296424619	0.070020276575592	-0.022290233733956	-0.0738616471679995	0.118406971796129	0.169707932095278	0.872892033646253	0.496465993499307	0.23340092191864
Fusobacteriales	0.0424269830238194	0.263988729120726	0.595663786535404	0.00658194122680193	0.23280166921553	0.11038824525196	0.550826363289155	0.169707932095278	0.669001468934362	0.627014512142531	0.0658194122680193
Bacillales	0.0523524358976168	0.0367562412415235	0.00943495040376941	0.157321232203397	-0.268782960542059	-0.335633505783582	-0.173939301944505	0.174508119658723	0.183781206207618	0.0628996693584628	0.379363061225673
Erysipelotrichales	0.138926490217075	0.691297952485635	0.0843803070476063	0.560235107128587	-0.0703674661895307	-0.307497261004296	0.0991996308133115	0.396932829191643	0.872892033646253	0.241086591564589	0.800335867326553
Betaproteobacteriales	0.177588403038035	0.565547574445233	0.31325026796379	0.255720593240102	-0.0989005912095858	-0.173794883874405	0.188088694959445	0.40090300665482	0.870073191454204	0.522083779939649	0.464946533163821
Coriobacteriales	0.180406352994669	0.301050661020463	0.0762506457898861	0.858857922305398	-0.123818228418165	-0.21311084687635	0.0205028041214166	0.40090300665482	0.669001468934362	0.241086591564589	0.954286580339332
Desulfovibrionales	0.231942820282809	0.182359668228938	0.044390585206341	0.208167292775444	-0.20339033588	-0.307972309640849	-0.184144218477982	0.42360817021327	0.607865560763127	0.177562340825364	0.416334585550888
Enterobacteriales	0.232984493617298	0.0873408899517822	0.341206183049475	0.0699258700074506	0.310625187964563	0.172261538664687	0.316622787403407	0.42360817021327	0.349363559807129	0.524932589306884	0.23340092191864
others	0.289787724176529	0.343590820687102	0.160796274517455	0.0673801975426842	-0.082073089982809	-0.121780295669324	-0.153392776266266	0.482979540294215	0.687181641374203	0.401990686293636	0.23340092191864
Bacteroidales	0.376267747027186	0.84550800661972	0.403830821039226	0.170713377551553	-0.0313274686641885	0.134385518266964	0.212296107881254	0.578873456964901	0.890008428020758	0.54195949414713	0.379363061225673
Micrococcales	0.441523173813403	0.272203876464683	0.181657879892258	0.151467144077413	-0.0876096364791827	-0.106692277785153	-0.11026974363877	0.605245214294158	0.669001468934362	0.403684177538351	0.379363061225673
Rhodospirillales	0.453933910720618	0.946333046270577	0.251509879167636	0.680722565036687	0.0108058626599012	-0.184548046470504	0.0635100316400401	0.605245214294158	0.946333046270577	0.496465993499307	0.800850076513749
Campylobacterales	0.729619185683606	0.785602830281628	0.406469620610348	0.98179371144411	-0.0229952468202997	0.0702565872458737	-0.00185807868659635	0.877141498984116	0.872892033646253	0.54195949414713	0.98956401530668
Lactobacillales	0.806352899548257	0.521819248118235	0.445706079386156	0.367658187994523	-0.111126226832767	-0.132344024071246	-0.150246961770313	0.877141498984116	0.869698746863726	0.550740077090352	0.612763646657539
Verrucomicrobiales	0.84964977945391	0.614585318784049	0.98171600229391	0.473120492056648	-0.119119827475213	0.00541886035128227	-0.163263945075824	0.877141498984116	0.872892033646253	0.98171600229391	0.727877680087151
Pasteurellales	0.872140058175547	0.42802015945596	0.542156328624364	0.665858180088397	-0.102885215260351	-0.0790871018164916	-0.0537842067938582	0.877141498984116	0.778218471738108	0.602395920693737	0.800850076513749
Clostridiales	0.877141498984116	0.745862129783741	0.468129065526799	0.98956401530668	0.0441472064538371	0.0989077513618263	0.001715475501628	0.877141498984116	0.872892033646253	0.550740077090352	0.98956401530668
