bugName	pval	p1	p3	p6	s1	s3	s6	Adjustedpval	Adjustedp1	Adjustedp3	Adjustedp6
Veillonellaceae	1.07160735186573e-05	0.000627300083252338	0.000760324347710186	1.09046521007506e-06	0.687489870862445	0.676425286745974	0.965044081220953	0.000385778646671664	0.0225828029970842	0.0136858382587833	3.92567475627022e-05
Family_XIII	0.000458003876278257	0.131407672471559	0.000194509889539825	0.000743144532747609	-0.170477152657656	-0.430698790017474	-0.372580711089973	0.00824406977300862	0.540957094756227	0.00700235602343371	0.013376601589457
Staphylococcaceae	0.00302137397678759	0.00484665209502537	0.00187133681588867	0.00190760066924122	-0.280619560319043	-0.310845024023767	-0.298010393080964	0.0362564877214511	0.0581598251403045	0.0155425748136617	0.0228912080308947
Actinomycetaceae	0.013479031136974	0.0254925977517305	0.00203199505066628	0.024612459087848	-0.265522016508052	-0.370002235532978	-0.256789836732602	0.0869482193265354	0.160978323062893	0.0155425748136617	0.126578361023218
Ruminococcaceae	0.0144333497337548	0.0268297205104821	0.0021586909463419	0.0236707612078041	-0.4050561081369	-0.566153313951238	-0.397280011745909	0.0869482193265354	0.160978323062893	0.0155425748136617	0.126578361023218
Bifidobacteriaceae	0.0144913698877559	0.00448905764019668	0.0346257498456923	0.614995755538085	-0.555038579621638	-0.409782033021365	-0.0929889432439444	0.0869482193265354	0.0581598251403045	0.17446018225356	0.806419561493988
Fusobacteriaceae	0.0413559575343337	0.253562820642442	0.571329635344813	0.00621252696634122	0.23749651118262	0.117531678155455	0.553678677269833	0.212687781605145	0.580209409673942	0.82271467489653	0.055912742697071
Acidaminococcaceae	0.0501102610253343	0.583586037469334	0.0617617685686479	0.013328995558768	-0.094859589385254	-0.325262713428015	-0.415449026094456	0.224237451791628	0.79018112415092	0.202129424406484	0.0959687680231295
Pseudomonadaceae	0.0570835080844814	0.758409978547927	0.279891384840958	0.0956571182147705	-0.0204606237023458	-0.0720320371363894	0.107624375747259	0.224237451791628	0.908226651852152	0.525089878576836	0.382628472859082
Barnesiellaceae	0.0622881810532301	0.0119775085388172	0.03876892938968	0.10737053689463	-0.405318212599033	-0.332029370349143	-0.247482484238756	0.224237451791628	0.107797576849355	0.17446018225356	0.38653393282067
Erysipelotrichaceae	0.138926490217075	0.691297952485635	0.0843803070476063	0.560235107128587	-0.0703674661895307	-0.307497261004296	0.0991996308133115	0.4255271180168	0.858162975499409	0.250779502666755	0.806419561493988
Enterococcaceae	0.141842372672267	0.338967920668354	0.871305161003083	0.16191179336221	0.188546519095937	0.031888909104528	-0.265455128487007	0.4255271180168	0.642255007582144	0.92255840576797	0.404339629670895
Eggerthellaceae	0.163806113979909	0.149658037570464	0.119263455330464	0.822438032762554	-0.120647595423416	-0.130544929097093	0.0180453600873742	0.445372055971445	0.540957094756227	0.286232292793113	0.845936262270055
Burkholderiaceae	0.180374251218917	0.544680259769328	0.306302429169821	0.268585303278545	-0.104567541492701	-0.176828945008356	0.183588673383667	0.445372055971445	0.79018112415092	0.525089878576836	0.523598293695387
others	0.223357204208358	0.23255755061385	0.0383934095647322	0.273771858255788	-0.188404014176766	-0.328601329328987	-0.165846372526344	0.445372055971445	0.580209409673942	0.17446018225356	0.523598293695387
Carnobacteriaceae	0.230843035599382	0.202597437457305	0.0603970216092886	0.694416844619823	-0.152956955584224	-0.226258420938104	-0.0451752294507105	0.445372055971445	0.561039057574077	0.202129424406484	0.806419561493988
Desulfovibrionaceae	0.231942820282809	0.182359668228938	0.044390585206341	0.208167292775444	-0.20339033588	-0.307972309640849	-0.184144218477982	0.445372055971445	0.547079004686814	0.177562340825364	0.468376408744749
Enterobacteriaceae	0.232984493617298	0.0873408899517822	0.341206183049475	0.0699258700074506	0.310625187964563	0.172261538664687	0.316622787403407	0.445372055971445	0.449181719752023	0.558337390444595	0.314666415033527
Clostridiaceae_1	0.235057473984929	0.150265859654507	0.709011139487439	0.536750022425413	0.300325201161114	0.0776171705774945	-0.1235490201532	0.445372055971445	0.540957094756227	0.880151759363718	0.806419561493988
Atopobiaceae	0.29779439009722	0.938593630875201	0.750261467505699	0.137003957010147	0.0064478549106929	-0.0266453669467536	0.12048491571081	0.528094028044021	0.965410591757349	0.88978956823397	0.404339629670895
Christensenellaceae	0.315141127321846	0.174105470058018	0.0905592648518839	0.163064725538904	-0.128257751437835	-0.160027504415269	-0.126780058756339	0.528094028044021	0.547079004686814	0.250779502666755	0.404339629670895
Family_XI	0.329200908296451	0.556629067010561	0.297519767618725	0.454475363514975	-0.0652921293956677	-0.115872637446168	0.0797713076263812	0.528094028044021	0.79018112415092	0.525089878576836	0.799055983619367
Marinifilaceae	0.337393406805902	0.290104704836971	0.518305420446994	0.488311989989613	-0.141069601647932	-0.0860218814072011	0.0885748281668366	0.528094028044021	0.580209409673942	0.811260658090948	0.799055983619367
Bacteroidaceae	0.386462153304147	0.782084061317131	0.791760354772673	0.168474845696206	-0.0459174127017756	0.043828708869738	0.220422137440401	0.57969322995622	0.908226651852152	0.890730399119257	0.404339629670895
Campylobacteraceae	0.43758345130313	0.968472419144781	0.230388808983112	0.683870066937097	0.00316868660333342	0.0964205206695068	-0.0314405817668399	0.607186324588255	0.968472419144781	0.487882183728943	0.806419561493988
Micrococcaceae	0.441523173813403	0.272203876464683	0.181657879892258	0.151467144077413	-0.0876096364791827	-0.106692277785153	-0.11026974363877	0.607186324588255	0.580209409673942	0.40873022975758	0.404339629670895
Lactobacillaceae	0.455389743441192	0.525534500119216	0.111038406953921	0.573744663874129	-0.139812802998545	-0.352404656017042	-0.119042589099336	0.607186324588255	0.79018112415092	0.285527332167226	0.806419561493988
Rikenellaceae	0.64712426134224	0.287571232652218	0.287390150366784	0.682236972331356	-0.208876348241424	-0.208955174962457	-0.0770425530226053	0.832016907440022	0.580209409673942	0.525089878576836	0.806419561493988
