bugName	pval	p1	p3	p6	s1	s3	s6	Adjustedpval	Adjustedp1	Adjustedp3	Adjustedp6
Negativicutes	0.000296606047258785	0.000297202420934532	0.00226050995620392	0.000185201583219512	0.63871023798297	0.535172669454685	0.636222698938657	0.00415248466162299	0.00416083389308345	0.0316471393868549	0.00259282216507317
Actinobacteria	0.00801468041586939	0.0015841053631945	0.0171690351080193	0.302319694631839	-0.585612870503813	-0.43811104438112	-0.180579236058665	0.0561027629110857	0.0110887375423615	0.120183245756135	0.604639389263679
Fusobacteriia	0.0424269830238194	0.263988729120726	0.595663786535404	0.00658194122680193	0.23280166921553	0.11038824525196	0.550826363289155	0.197992587444491	0.70245154238108	0.675538956828641	0.0460735885876135
Erysipelotrichia	0.138926490217075	0.691297952485635	0.0843803070476063	0.560235107128587	-0.0703674661895307	-0.307497261004296	0.0991996308133115	0.486242715759763	0.91031060464796	0.236264859733297	0.784329149980022
Coriobacteriia	0.180406352994669	0.301050661020463	0.0762506457898861	0.858857922305398	-0.123818228418165	-0.21311084687635	0.0205028041214166	0.505137788385073	0.70245154238108	0.236264859733297	0.989808918525533
Deltaproteobacteria	0.231942820282809	0.182359668228938	0.044390585206341	0.208167292775444	-0.20339033588	-0.307972309640849	-0.184144218477982	0.541199913993221	0.70245154238108	0.207156064296258	0.485723683142703
Alphaproteobacteria	0.35902940635268	0.980797123802634	0.150909473831658	0.88225362890173	0.00390173624824468	-0.233761640726217	0.0230808392086559	0.625124150712275	0.980797123802634	0.352122105607203	0.989808918525533
Bacteroidia	0.377631276929068	0.845288418601677	0.405168711014167	0.171346593755191	-0.0313694923459087	0.13398926597338	0.211959474322598	0.625124150712275	0.91031060464796	0.569057468854487	0.479770462514535
Gammaproteobacteria	0.401865525457891	0.232865031058052	0.627286174198024	0.118906533135316	0.172637949453506	0.0701019044368983	0.21767801709863	0.625124150712275	0.70245154238108	0.675538956828641	0.479770462514535
others	0.540678392674783	0.409076422974185	0.29553806215665	0.163114946264466	-0.0668115637791518	-0.0847271463543276	-0.108971851800645	0.756949749744697	0.790396573988087	0.569057468854487	0.479770462514535
Campylobacteria	0.729619185683606	0.785602830281628	0.406469620610348	0.98179371144411	-0.0229952468202997	0.0702565872458737	-0.00185807868659635	0.877197156049291	0.91031060464796	0.569057468854487	0.989808918525533
Bacilli	0.755748203581422	0.45165518513605	0.363190257376255	0.354227196267941	-0.132250255212626	-0.159854725045813	-0.156465821757801	0.877197156049291	0.790396573988087	0.569057468854487	0.619897593468897
Verrucomicrobiae	0.84964977945391	0.614585318784049	0.98171600229391	0.473120492056648	-0.119119827475213	0.00541886035128227	-0.163263945075824	0.877197156049291	0.91031060464796	0.98171600229391	0.735965209865897
Clostridia	0.877197156049291	0.745989399794161	0.468294512416129	0.989808918525533	0.0441245487105883	0.0988714615967219	0.00167522544684462	0.877197156049291	0.91031060464796	0.596011197620527	0.989808918525533
