time	timepoint	ID	Study	Sample_ID
SRR5865101	1	3M	17	Assal	SRR5865101
SRR5865102	0	Pre	20	Assal	SRR5865102
SRR5865103	1	3M	15	Assal	SRR5865103
SRR5865104	1	3M	11	Assal	SRR5865104
SRR5865105	0	Pre	18	Assal	SRR5865105
SRR5865107	1	2Y	2	Assal	SRR5865107
SRR5865108	1	2Y	8	Assal	SRR5865108
SRR5865109	1	1Y	8	Assal	SRR5865109
SRR5865117	0	Pre	7	Assal	SRR5865117
SRR5865118	1	3M	13	Assal	SRR5865118
SRR5865119	0	Pre	19	Assal	SRR5865119
SRR5865131	1	2Y	3	Assal	SRR5865131
SRR5865132	1	3M	3	Assal	SRR5865132
SRR5865133	0	Pre	10	Assal	SRR5865133
SRR5865134	1	1Y	6	Assal	SRR5865134
SRR5865135	0	Pre	13	Assal	SRR5865135
SRR11292125	1	6M	5	Ilhan	SRR11292125
SRR11292126	1	6M	4	Ilhan	SRR11292126
SRR11292127	1	6M	1	Ilhan	SRR11292127
SRR11292131	1	6M	7	Ilhan	SRR11292131
SRR11292132	1	6M	6	Ilhan	SRR11292132
SRR11292136	0	Baseline	7	Ilhan	SRR11292136
SRR11292137	1	12M	7	Ilhan	SRR11292137
SRR11292138	0	Baseline	6	Ilhan	SRR11292138
SRR11292140	1	12M	6	Ilhan	SRR11292140
SRR11292141	1	12M	5	Ilhan	SRR11292141
SRR11292142	0	Baseline	5	Ilhan	SRR11292142
SRR11292143	1	12M	4	Ilhan	SRR11292143
SRR11292144	0	Baseline	4	Ilhan	SRR11292144
SRR11292145	0	Baseline	3	Ilhan	SRR11292145
SRR11292146	1	12M	3	Ilhan	SRR11292146
SRR11292147	0	Baseline	2	Ilhan	SRR11292147
SRR11292148	1	12M	2	Ilhan	SRR11292148
SRR11292129	1	6M	9	Ilhan	SRR11292129
SRR11292130	1	6M	8	Ilhan	SRR11292130
SRR11292133	0	Baseline	10	Ilhan	SRR11292133
SRR11292134	0	Baseline	9	Ilhan	SRR11292134
SRR11292135	0	Baseline	8	Ilhan	SRR11292135
ERR1624539	0	Pre	1	Afshar	ERR1624539
ERR1624542	0	Pre	4	Afshar	ERR1624542
ERR1624545	0	Pre	8	Afshar	ERR1624545
ERR1624547	0	Pre	10	Afshar	ERR1624547
ERR1624549	0	Pre	13	Afshar	ERR1624549
ERR1624550	0	Pre	14	Afshar	ERR1624550
ERR1624552	0	Pre	16	Afshar	ERR1624552
ERR1624553	0	Pre	17	Afshar	ERR1624553
ERR1624554	0	Pre	18	Afshar	ERR1624554
ERR1624555	1	Post	6	Afshar	ERR1624555
ERR1624556	1	Post	12	Afshar	ERR1624556
ERR1624559	1	Post	2	Afshar	ERR1624559
ERR1624560	1	Post	3	Afshar	ERR1624560
ERR1624562	1	Post	5	Afshar	ERR1624562
ERR1624564	1	Post	8	Afshar	ERR1624564
ERR1624565	1	Post	9	Afshar	ERR1624565
ERR1624567	1	Post	11	Afshar	ERR1624567
ERR1624570	1	Post	15	Afshar	ERR1624570
ERR1624536	0	Pre	6	Afshar	ERR1624536
ERR1624537	0	Pre	12	Afshar	ERR1624537
ERR1624538	0	Pre	19	Afshar	ERR1624538
ERR1624540	0	Pre	2	Afshar	ERR1624540
ERR1624541	0	Pre	3	Afshar	ERR1624541
ERR1624543	0	Pre	5	Afshar	ERR1624543
ERR1624544	0	Pre	7	Afshar	ERR1624544
ERR1624546	0	Pre	9	Afshar	ERR1624546
ERR1624548	0	Pre	11	Afshar	ERR1624548
ERR1624551	0	Pre	15	Afshar	ERR1624551
ERR1624557	1	Post	19	Afshar	ERR1624557
ERR1624558	1	Post	1	Afshar	ERR1624558
ERR1624561	1	Post	4	Afshar	ERR1624561
ERR1624563	1	Post	7	Afshar	ERR1624563
ERR1624566	1	Post	10	Afshar	ERR1624566
ERR1624568	1	Post	13	Afshar	ERR1624568
ERR1624569	1	Post	14	Afshar	ERR1624569
ERR1624571	1	Post	16	Afshar	ERR1624571
ERR1624572	1	Post	17	Afshar	ERR1624572
ERR1624573	1	Post	18	Afshar	ERR1624573
SRR31418698	0	Baseline	1	Cholecystectomy	SRR31418698
SRR31418709	1	6M	1	Cholecystectomy	SRR31418709
SRR31418710	1	12M	1	Cholecystectomy	SRR31418710
SRR31418685	0	Baseline	2	Cholecystectomy	SRR31418685
SRR31418686	1	6M	2	Cholecystectomy	SRR31418686
SRR31418687	1	12M	2	Cholecystectomy	SRR31418687
SRR31418682	0	Baseline	4	Cholecystectomy	SRR31418682
SRR31418683	1	6M	4	Cholecystectomy	SRR31418683
SRR31418684	1	12M	4	Cholecystectomy	SRR31418684
SRR31418707	0	Baseline	5	Cholecystectomy	SRR31418707
SRR31418708	1	6M	5	Cholecystectomy	SRR31418708
SRR31418681	1	12M	5	Cholecystectomy	SRR31418681
SRR31418704	0	Baseline	6	Cholecystectomy	SRR31418704
SRR31418705	1	6M	6	Cholecystectomy	SRR31418705
SRR31418706	1	12M	6	Cholecystectomy	SRR31418706
SRR31418701	0	Baseline	7	Cholecystectomy	SRR31418701
SRR31418702	1	6M	7	Cholecystectomy	SRR31418702
SRR31418703	1	12M	7	Cholecystectomy	SRR31418703
SRR31418697	0	Baseline	10	Cholecystectomy	SRR31418697
SRR31418699	1	6M	10	Cholecystectomy	SRR31418699
SRR31418700	1	12M	10	Cholecystectomy	SRR31418700
SRR31418694	0	Baseline	17	Cholecystectomy	SRR31418694
SRR31418695	1	6M	17	Cholecystectomy	SRR31418695
SRR31418696	1	12M	17	Cholecystectomy	SRR31418696
SRR31418691	0	Baseline	19	Cholecystectomy	SRR31418691
SRR31418692	1	6M	19	Cholecystectomy	SRR31418692
SRR31418693	1	12M	19	Cholecystectomy	SRR31418693
SRR31418688	0	Baseline	22	Cholecystectomy	SRR31418688
SRR31418689	1	6M	22	Cholecystectomy	SRR31418689
SRR31418690	1	12M	22	Cholecystectomy	SRR31418690
SRR13357893	0	0	1	IleocecalResection	SRR13357893
SRR13358121	1	1	1	IleocecalResection	SRR13358121
SRR13358010	1	3	1	IleocecalResection	SRR13358010
SRR13357899	1	6	1	IleocecalResection	SRR13357899
SRR13357647	0	0	2	IleocecalResection	SRR13357647
SRR13358145	1	1	2	IleocecalResection	SRR13358145
SRR13357892	1	3	2	IleocecalResection	SRR13357892
SRR13357761	1	6	2	IleocecalResection	SRR13357761
SRR13357693	0	0	3	IleocecalResection	SRR13357693
SRR13357682	1	1	3	IleocecalResection	SRR13357682
SRR13357671	1	3	3	IleocecalResection	SRR13357671
SRR13357660	1	6	3	IleocecalResection	SRR13357660
SRR13358098	0	0	4	IleocecalResection	SRR13358098
SRR13358087	1	1	4	IleocecalResection	SRR13358087
SRR13358076	1	3	4	IleocecalResection	SRR13358076
SRR13358065	1	6	4	IleocecalResection	SRR13358065
SRR13358021	0	0	5	IleocecalResection	SRR13358021
SRR13358009	1	1	5	IleocecalResection	SRR13358009
SRR13357998	1	3	5	IleocecalResection	SRR13357998
SRR13357987	1	6	5	IleocecalResection	SRR13357987
SRR13357943	0	0	6	IleocecalResection	SRR13357943
SRR13357932	1	1	6	IleocecalResection	SRR13357932
SRR13357921	1	3	6	IleocecalResection	SRR13357921
SRR13357910	1	6	6	IleocecalResection	SRR13357910
SRR13357862	0	0	7	IleocecalResection	SRR13357862
SRR13357851	1	1	7	IleocecalResection	SRR13357851
SRR13357840	1	3	7	IleocecalResection	SRR13357840
SRR13357829	1	6	7	IleocecalResection	SRR13357829
SRR13357784	0	0	8	IleocecalResection	SRR13357784
SRR13357774	1	1	8	IleocecalResection	SRR13357774
SRR13357773	1	3	8	IleocecalResection	SRR13357773
SRR13357772	1	6	8	IleocecalResection	SRR13357772
SRR13357744	0	0	9	IleocecalResection	SRR13357744
SRR13357743	1	1	9	IleocecalResection	SRR13357743
SRR13357742	1	3	9	IleocecalResection	SRR13357742
SRR13357740	1	6	9	IleocecalResection	SRR13357740
SRR13358144	0	0	10	IleocecalResection	SRR13358144
SRR13358143	1	1	10	IleocecalResection	SRR13358143
SRR13358142	1	3	10	IleocecalResection	SRR13358142
SRR13358141	1	6	10	IleocecalResection	SRR13358141
SRR13357755	0	0	11	IleocecalResection	SRR13357755
SRR13357754	1	6	11	IleocecalResection	SRR13357754
SRR13357721	0	0	12	IleocecalResection	SRR13357721
SRR13357720	1	1	12	IleocecalResection	SRR13357720
SRR13357719	1	3	12	IleocecalResection	SRR13357719
SRR13357718	1	6	12	IleocecalResection	SRR13357718
SRR13357713	0	0	13	IleocecalResection	SRR13357713
SRR13357712	1	1	13	IleocecalResection	SRR13357712
SRR13357711	1	3	13	IleocecalResection	SRR13357711
SRR13357710	1	6	13	IleocecalResection	SRR13357710
SRR13357706	0	0	14	IleocecalResection	SRR13357706
SRR13357705	1	6	14	IleocecalResection	SRR13357705
SRR13357700	0	0	15	IleocecalResection	SRR13357700
SRR13357699	1	1	15	IleocecalResection	SRR13357699
SRR13357698	1	3	15	IleocecalResection	SRR13357698
SRR13357697	1	6	15	IleocecalResection	SRR13357697
SRR13357692	0	0	16	IleocecalResection	SRR13357692
SRR13357691	1	1	16	IleocecalResection	SRR13357691
SRR13357690	1	3	16	IleocecalResection	SRR13357690
SRR13357689	1	6	16	IleocecalResection	SRR13357689
SRR13357685	0	0	17	IleocecalResection	SRR13357685
SRR13357684	1	1	17	IleocecalResection	SRR13357684
SRR13357683	1	3	17	IleocecalResection	SRR13357683
SRR13357681	1	6	17	IleocecalResection	SRR13357681
SRR13357679	0	0	18	IleocecalResection	SRR13357679
SRR13357678	1	1	18	IleocecalResection	SRR13357678
SRR13357677	1	3	18	IleocecalResection	SRR13357677
SRR13357676	1	6	18	IleocecalResection	SRR13357676
SRR13357672	0	0	19	IleocecalResection	SRR13357672
SRR13357670	1	1	19	IleocecalResection	SRR13357670
SRR13357669	1	3	19	IleocecalResection	SRR13357669
SRR13357668	1	6	19	IleocecalResection	SRR13357668
SRR13357664	0	0	20	IleocecalResection	SRR13357664
SRR13357663	1	1	20	IleocecalResection	SRR13357663
SRR13357662	1	3	20	IleocecalResection	SRR13357662
SRR13357661	1	6	20	IleocecalResection	SRR13357661
SRR13357656	0	0	21	IleocecalResection	SRR13357656
SRR13357655	1	6	21	IleocecalResection	SRR13357655
SRR13358134	0	0	22	IleocecalResection	SRR13358134
SRR13358133	1	1	22	IleocecalResection	SRR13358133
SRR13358131	1	3	22	IleocecalResection	SRR13358131
SRR13358130	1	6	22	IleocecalResection	SRR13358130
SRR13358125	1	1	23	IleocecalResection	SRR13358125
SRR13358124	1	3	23	IleocecalResection	SRR13358124
SRR13358123	1	6	23	IleocecalResection	SRR13358123
SRR13358117	0	0	24	IleocecalResection	SRR13358117
SRR13358116	1	1	24	IleocecalResection	SRR13358116
SRR13358115	1	3	24	IleocecalResection	SRR13358115
SRR13358114	1	6	24	IleocecalResection	SRR13358114
SRR13358110	0	0	25	IleocecalResection	SRR13358110
SRR13358108	1	1	25	IleocecalResection	SRR13358108
SRR13358107	1	3	25	IleocecalResection	SRR13358107
SRR13358106	1	6	25	IleocecalResection	SRR13358106
SRR13358102	0	0	26	IleocecalResection	SRR13358102
SRR13358101	1	1	26	IleocecalResection	SRR13358101
SRR13358100	1	3	26	IleocecalResection	SRR13358100
SRR13358099	1	6	26	IleocecalResection	SRR13358099
SRR13358094	0	0	27	IleocecalResection	SRR13358094
SRR13358093	1	1	27	IleocecalResection	SRR13358093
SRR13358092	1	3	27	IleocecalResection	SRR13358092
SRR13358091	1	6	27	IleocecalResection	SRR13358091
SRR13358086	0	0	28	IleocecalResection	SRR13358086
SRR13358085	1	1	28	IleocecalResection	SRR13358085
SRR13358084	1	3	28	IleocecalResection	SRR13358084
SRR13358083	1	6	28	IleocecalResection	SRR13358083
SRR13358081	0	0	29	IleocecalResection	SRR13358081
SRR13358080	1	1	29	IleocecalResection	SRR13358080
SRR13358079	1	3	29	IleocecalResection	SRR13358079
SRR13358078	1	6	29	IleocecalResection	SRR13358078
SRR13358073	0	0	30	IleocecalResection	SRR13358073
SRR13358069	0	0	31	IleocecalResection	SRR13358069
SRR13358068	1	1	31	IleocecalResection	SRR13358068
SRR13358067	1	3	31	IleocecalResection	SRR13358067
SRR13358066	1	6	31	IleocecalResection	SRR13358066
SRR13358061	0	0	32	IleocecalResection	SRR13358061
SRR13358060	1	1	32	IleocecalResection	SRR13358060
SRR13358059	1	3	32	IleocecalResection	SRR13358059
SRR13358058	1	6	32	IleocecalResection	SRR13358058
SRR13358053	0	0	33	IleocecalResection	SRR13358053
SRR13358052	1	1	33	IleocecalResection	SRR13358052
SRR13358051	1	3	33	IleocecalResection	SRR13358051
SRR13358050	1	6	33	IleocecalResection	SRR13358050
SRR13358046	0	0	34	IleocecalResection	SRR13358046
SRR13358045	1	1	34	IleocecalResection	SRR13358045
SRR13358044	1	3	34	IleocecalResection	SRR13358044
SRR13358042	1	6	34	IleocecalResection	SRR13358042
SRR13358039	0	0	35	IleocecalResection	SRR13358039
SRR13358038	1	1	35	IleocecalResection	SRR13358038
SRR13358037	1	3	35	IleocecalResection	SRR13358037
SRR13358036	1	6	35	IleocecalResection	SRR13358036
SRR13358031	0	0	36	IleocecalResection	SRR13358031
SRR13358030	1	1	36	IleocecalResection	SRR13358030
SRR13358029	1	3	36	IleocecalResection	SRR13358029
SRR13358028	1	6	36	IleocecalResection	SRR13358028
SRR13358024	0	0	37	IleocecalResection	SRR13358024
SRR13358023	1	1	37	IleocecalResection	SRR13358023
SRR13358022	1	3	37	IleocecalResection	SRR13358022
SRR13358020	1	6	37	IleocecalResection	SRR13358020
SRR13358016	0	0	38	IleocecalResection	SRR13358016
SRR13358015	1	1	38	IleocecalResection	SRR13358015
SRR13358014	1	3	38	IleocecalResection	SRR13358014
SRR13358013	1	6	38	IleocecalResection	SRR13358013
SRR13358007	0	0	39	IleocecalResection	SRR13358007
SRR13358006	1	1	39	IleocecalResection	SRR13358006
SRR13358005	1	3	39	IleocecalResection	SRR13358005
SRR13358004	1	6	39	IleocecalResection	SRR13358004
SRR13358000	0	0	40	IleocecalResection	SRR13358000
SRR13357999	1	1	40	IleocecalResection	SRR13357999
SRR13357997	1	3	40	IleocecalResection	SRR13357997
SRR13357996	1	6	40	IleocecalResection	SRR13357996
SRR13357991	1	6	41	IleocecalResection	SRR13357991
SRR13357986	0	0	42	IleocecalResection	SRR13357986
SRR13357984	0	0	43	IleocecalResection	SRR13357984
SRR13357983	1	6	43	IleocecalResection	SRR13357983
SRR13357979	0	0	44	IleocecalResection	SRR13357979
SRR13357978	1	1	44	IleocecalResection	SRR13357978
SRR13357977	1	3	44	IleocecalResection	SRR13357977
SRR13357975	1	6	44	IleocecalResection	SRR13357975
SRR13357972	0	0	45	IleocecalResection	SRR13357972
SRR13357971	1	1	45	IleocecalResection	SRR13357971
SRR13357970	1	3	45	IleocecalResection	SRR13357970
SRR13357969	1	6	45	IleocecalResection	SRR13357969
SRR13357967	0	0	46	IleocecalResection	SRR13357967
SRR13357966	1	6	46	IleocecalResection	SRR13357966
SRR13357962	0	0	47	IleocecalResection	SRR13357962
SRR13357961	1	1	47	IleocecalResection	SRR13357961
SRR13357960	1	3	47	IleocecalResection	SRR13357960
SRR13357959	1	6	47	IleocecalResection	SRR13357959
SRR13357958	0	0	48	IleocecalResection	SRR13357958
SRR13357957	1	1	48	IleocecalResection	SRR13357957
SRR13357956	1	3	48	IleocecalResection	SRR13357956
SRR13357955	1	6	48	IleocecalResection	SRR13357955
SRR13357950	0	0	49	IleocecalResection	SRR13357950
SRR13357947	0	0	50	IleocecalResection	SRR13357947
SRR13357946	1	1	50	IleocecalResection	SRR13357946
SRR13357945	1	3	50	IleocecalResection	SRR13357945
SRR13357944	1	6	50	IleocecalResection	SRR13357944
SRR13357941	0	0	51	IleocecalResection	SRR13357941
SRR13357940	1	1	51	IleocecalResection	SRR13357940
SRR13357939	1	3	51	IleocecalResection	SRR13357939
SRR13357938	1	6	51	IleocecalResection	SRR13357938
SRR13357936	0	0	52	IleocecalResection	SRR13357936
SRR13357933	0	0	53	IleocecalResection	SRR13357933
SRR13357931	1	1	53	IleocecalResection	SRR13357931
SRR13357930	1	3	53	IleocecalResection	SRR13357930
SRR13357929	1	6	53	IleocecalResection	SRR13357929
SRR13357925	0	0	54	IleocecalResection	SRR13357925
SRR39238554	0	Pre	1	Ileostomy	SRR39238554
SRR39238457	1	Post	1	Ileostomy	SRR39238457
SRR39238553	0	Pre	2	Ileostomy	SRR39238553
SRR39238456	1	Post	2	Ileostomy	SRR39238456
SRR39238532	0	Pre	3	Ileostomy	SRR39238532
SRR39238521	0	Pre	4	Ileostomy	SRR39238521
SRR39238498	0	Pre	6	Ileostomy	SRR39238498
SRR39238471	0	Pre	7	Ileostomy	SRR39238471
SRR39238492	0	Pre	8	Ileostomy	SRR39238492
SRR39238481	0	Pre	9	Ileostomy	SRR39238481
SRR39238454	0	Pre	10	Ileostomy	SRR39238454
SRR39238455	1	Post	10	Ileostomy	SRR39238455
SRR39238519	0	Pre	11	Ileostomy	SRR39238519
SRR39238552	0	Pre	12	Ileostomy	SRR39238552
SRR39238541	0	Pre	13	Ileostomy	SRR39238541
SRR39238540	0	Pre	14	Ileostomy	SRR39238540
SRR39238539	0	Pre	15	Ileostomy	SRR39238539
SRR39238538	0	Pre	16	Ileostomy	SRR39238538
SRR39238537	0	Pre	17	Ileostomy	SRR39238537
SRR39238453	1	Post	17	Ileostomy	SRR39238453
SRR39238536	0	Pre	18	Ileostomy	SRR39238536
SRR39238535	0	Pre	19	Ileostomy	SRR39238535
SRR39238534	0	Pre	20	Ileostomy	SRR39238534
SRR39238533	0	Pre	21	Ileostomy	SRR39238533
SRR39238531	0	Pre	22	Ileostomy	SRR39238531
SRR39238530	0	Pre	23	Ileostomy	SRR39238530
SRR39238529	0	Pre	24	Ileostomy	SRR39238529
SRR39238528	0	Pre	25	Ileostomy	SRR39238528
SRR39238527	0	Pre	26	Ileostomy	SRR39238527
SRR39238526	0	Pre	27	Ileostomy	SRR39238526
SRR39238452	1	Post	27	Ileostomy	SRR39238452
SRR39238525	0	Pre	28	Ileostomy	SRR39238525
SRR39238451	1	Post	28	Ileostomy	SRR39238451
SRR39238450	1	Post	29	Ileostomy	SRR39238450
SRR39238524	0	Pre	30	Ileostomy	SRR39238524
SRR39238449	1	Post	30	Ileostomy	SRR39238449
SRR39238523	0	Pre	31	Ileostomy	SRR39238523
SRR39238448	1	Post	31	Ileostomy	SRR39238448
SRR39238522	0	Pre	32	Ileostomy	SRR39238522
SRR39238447	1	Post	32	Ileostomy	SRR39238447
SRR39238508	0	Pre	33	Ileostomy	SRR39238508
SRR39238446	1	Post	33	Ileostomy	SRR39238446
SRR39238507	0	Pre	34	Ileostomy	SRR39238507
SRR39238445	1	Post	34	Ileostomy	SRR39238445
SRR39238506	0	Pre	35	Ileostomy	SRR39238506
SRR39238520	1	Post	35	Ileostomy	SRR39238520
SRR39238505	0	Pre	36	Ileostomy	SRR39238505
SRR39238518	1	Post	36	Ileostomy	SRR39238518
SRR39238504	0	Pre	37	Ileostomy	SRR39238504
SRR39238517	1	Post	37	Ileostomy	SRR39238517
SRR39238503	0	Pre	38	Ileostomy	SRR39238503
SRR39238516	1	Post	38	Ileostomy	SRR39238516
SRR39238502	0	Pre	39	Ileostomy	SRR39238502
SRR39238515	1	Post	39	Ileostomy	SRR39238515
SRR39238501	0	Pre	40	Ileostomy	SRR39238501
SRR39238514	1	Post	40	Ileostomy	SRR39238514
SRR39238500	0	Pre	41	Ileostomy	SRR39238500
SRR39238513	1	Post	41	Ileostomy	SRR39238513
SRR39238499	0	Pre	42	Ileostomy	SRR39238499
SRR39238512	1	Post	42	Ileostomy	SRR39238512
SRR39238497	0	Pre	43	Ileostomy	SRR39238497
SRR39238511	1	Post	43	Ileostomy	SRR39238511
SRR39238496	0	Pre	44	Ileostomy	SRR39238496
SRR39238495	0	Pre	45	Ileostomy	SRR39238495
SRR39238510	1	Post	45	Ileostomy	SRR39238510
SRR39238494	0	Pre	1	SDT	SRR39238494
SRR39238509	1	Post	1	SDT	SRR39238509
SRR39238493	0	Pre	2	SDT	SRR39238493
SRR39238551	1	Post	2	SDT	SRR39238551
SRR39238476	0	Pre	3	SDT	SRR39238476
SRR39238475	0	Pre	4	SDT	SRR39238475
SRR39238550	1	Post	4	SDT	SRR39238550
SRR39238474	0	Pre	5	SDT	SRR39238474
SRR39238473	0	Pre	6	SDT	SRR39238473
SRR39238472	0	Pre	8	SDT	SRR39238472
SRR39238470	0	Pre	9	SDT	SRR39238470
SRR39238469	0	Pre	10	SDT	SRR39238469
SRR39238468	0	Pre	11	SDT	SRR39238468
SRR39238467	0	Pre	12	SDT	SRR39238467
SRR39238466	0	Pre	13	SDT	SRR39238466
SRR39238465	0	Pre	14	SDT	SRR39238465
SRR39238464	0	Pre	15	SDT	SRR39238464
SRR39238463	0	Pre	16	SDT	SRR39238463
SRR39238549	1	Post	16	SDT	SRR39238549
SRR39238462	0	Pre	17	SDT	SRR39238462
SRR39238461	0	Pre	18	SDT	SRR39238461
SRR39238491	0	Pre	19	SDT	SRR39238491
SRR39238490	0	Pre	20	SDT	SRR39238490
SRR39238489	0	Pre	21	SDT	SRR39238489
SRR39238488	0	Pre	22	SDT	SRR39238488
SRR39238487	0	Pre	23	SDT	SRR39238487
SRR39238486	0	Pre	24	SDT	SRR39238486
SRR39238548	1	Post	24	SDT	SRR39238548
SRR39238485	0	Pre	25	SDT	SRR39238485
SRR39238547	1	Post	25	SDT	SRR39238547
SRR39238484	0	Pre	26	SDT	SRR39238484
SRR39238546	1	Post	26	SDT	SRR39238546
SRR39238483	0	Pre	27	SDT	SRR39238483
SRR39238482	0	Pre	28	SDT	SRR39238482
SRR39238545	1	Post	28	SDT	SRR39238545
SRR39238480	0	Pre	29	SDT	SRR39238480
