Actinobacteria	Alphaproteobacteria	Bacilli	Bacteroidia	Campylobacteria	Clostridia	Coriobacteriia	Deltaproteobacteria	Elusimicrobia	Erysipelotrichia	Fusobacteriia	Gammaproteobacteria	Lentisphaeria	Methanobacteria	Mollicutes	Negativicutes	Oxyphotobacteria	Saccharimonadia	Synergistia	Verrucomicrobiae	others	BioProject	sample_alias	env_material	Group	ID	prepost
SRR31418708	0	0	1.29805917010022	4.45825013344307	0	4.0228669264164	1.63361492930666	1.9295671223677	0.89539552705636	1.29805917010022	1.70527731716648	3.39487668044947	0	0	0	3.56990828699315	0	0	0	0	4.58641728934738	PRJNA1188648	005-6M	fecal	6M	5	1
SRR31418681	1.45302892769314	0	1.40378498694973	4.74526334187676	0	4.25150042996096	0	2.92776605682803	0	1.34823467022404	0	3.48960081321129	0	0	0	3.83108986817993	0	0.850320520055549	0	0	0.934794061418143	PRJNA1188648	005-12M	fecal	12M	5	1
SRR31418704	1.84646954463951	0	2.60899610745631	4.39997440955413	0	4.05930535703933	1.95423746928582	2.34605798441951	0	1.64198295767117	1.83962042556651	3.18513466307495	0	0.50481124239942	0	3.45918628392831	0	0	0	1.5961167841531	4.62675424137727	PRJNA1188648	006-BL	fecal	Baseline	6	0
SRR31418705	1.23077034648965	0	2.11092857028059	4.37733065061404	0	4.01838420874882	0	1.42521030919015	0	1.55904064654805	3.74798626457701	3.37225850098594	0	0	0	3.2785917687059	0	0	0	0	4.60136881287422	PRJNA1188648	006-6M	fecal	6M	6	1
SRR31418706	0.829597632200417	0	2.44282346932387	4.6256599606737	0	4.49311695988394	2.50696163413009	2.27199112787156	0	2.08581108283383	2.72618789520042	3.50936804825082	0	0	0	3.76626788407588	0	0	0	2.53942004729222	1.72256087232983	PRJNA1188648	006-12M	fecal	12M	6	1
SRR31418701	2.19525463502719	0	2.56225764989603	4.32303683900906	0.611138364567435	4.16285677302681	1.96737818011378	2.03417186614932	0	3.00943722591169	0	2.78874409949302	0	0	0	3.73974414185327	0	0.899826719320261	0	0	4.61088583441602	PRJNA1188648	007-BL	fecal	Baseline	7	0
SRR31418702	2.27745663115053	0	0	4.31811173826922	0	3.93562670867903	1.903390664613	2.11711907404184	1.41343166991956	3.53620515512442	1.76638600545755	3.44940219341195	0	0	0	3.41894839830688	0	0	0	0	4.65789857134608	PRJNA1188648	007-6M	fecal	6M	7	1
SRR31418703	2.68274156192392	0	2.78681128993769	4.6786052638269	0	4.43261261893691	3.13755747805697	2.82367325853815	0	3.0864445029309	0	3.26276477222264	1.15194784959492	0	0	3.50931115489257	0	0	0	1.46004303113765	1.46004303113765	PRJNA1188648	007-12M	fecal	12M	7	1
SRR31418697	3.16335704954437	1.44648428341452	2.88768593021813	4.30665924141201	0	4.2041239968149	2.3241480267728	1.97369476719908	0	1.61306404565481	1.12231413157393	3.56721498903889	2.51553821181686	0	0	3.27674415408752	0	0	0	0	4.59645976287078	PRJNA1188648	010-BL	fecal	Baseline	10	0
SRR31418699	1.74107847925148	0	2.54037007294016	4.30923289194308	0	4.12100850314817	1.88829065763421	2.06941686172082	1.32234663109687	1.6981348541698	0.50824770127898	3.0525995121418	2.41430154042143	0	0.884722846415672	2.64237802183009	0	0	0	0	4.68282919532414	PRJNA1188648	010-6M	fecal	6M	10	1
SRR31418700	0	0	2.99756292373915	4.48027962581693	0	4.56321126054166	0	0	0	1.59664147313741	0	3.38087156800645	0	0	0	4.01691179656278	0	0	2.47904451068218	3.52348847791828	0	PRJNA1188648	010-12M	fecal	12M	10	1
SRR31418694	1.35021637177284	0	2.41124991608601	4.34099590587361	0	4.16648489745335	1.51552062399664	1.85144806263559	0	2.87352353405133	1.71789005435176	3.47768608977767	0	0	0	3.1175495141193	0.874154313763619	0	0	0	4.62499076113656	PRJNA1188648	017-BL	fecal	Baseline	17	0
SRR31418695	1.44129781854689	0	0.425541513571787	4.41910961356554	0	3.80494179751788	0.884012075596344	2.37983182786168	1.32156812697457	1.95436985203803	1.73439519201172	3.38331132029908	0.969426335464418	0	0	2.35978641553932	0	0	0	0	4.68615503593606	PRJNA1188648	017-6M	fecal	6M	17	1
SRR31418696	2.46968395084652	0	2.66014247137927	4.63446994676752	0	4.51069239269837	2.11111723397464	2.83645806999976	0	3.00469766434327	2.33506335168855	3.29322152045893	0	0	0	3.60107606710689	1.11264856809424	0	0	0	0	PRJNA1188648	017-12M	fecal	12M	17	1
SRR31418691	0.983995540054956	0	2.06676881998094	4.41166368546553	0	4.07417862521358	2.34165742452596	2.22646589796188	0	2.14367374070999	0.697826958675089	2.03066528653593	0	0	0	3.76471105553146	0	0	0	0	4.60233201849325	PRJNA1188648	019-BL	fecal	Baseline	19	0
SRR31418692	1.89658061509065	0	1.91464209757673	4.4136919655222	0	3.94482316546647	1.59644977028815	2.60667437557152	1.042968417182	1.9445477559874	0	3.6285176261511	0	0	0	2.55011751673183	0	0	1.94865671869164	0	4.64488283276377	PRJNA1188648	019-6M	fecal	6M	19	1
SRR31418693	0	1.31533670817668	2.74687663950302	4.70108661446766	0	4.37552596224699	1.63966519782007	1.31533670817668	0	3.05510795642922	0	3.45731212934774	0	0	0	3.74745122404745	1.7004835000492	0	0	0	0	PRJNA1188648	019-12M	fecal	12M	19	1
SRR31418688	2.00802364268458	0	1.46008678000899	4.41389629695826	0	3.96420162300085	1.18276947861511	2.82482085112799	0	2.66870165389881	0	3.21604376234734	0	0	0	3.62867360878924	1.51266957565027	0	1.03745948261735	0	4.62230449229363	PRJNA1188648	022-BL	fecal	Baseline	22	0
SRR31418689	1.80160256073712	0	0	4.50618525462713	0	4.11344572423628	1.37954684317966	2.67320634310201	1.51469701342407	2.81033988135721	0	3.22771968273891	1.18228290741096	0	0	2.69194522492252	0	0	0	0	4.55361411967405	PRJNA1188648	022-6M	fecal	6M	22	1
SRR31418690	0	0	1.98210414295685	4.66452952816208	0	4.41569723143667	1.6625926537483	3.39094283305851	0	2.1333713008809	0	3.33599065509681	1.93433156571677	0	0	3.75711330570934	0	0	2.22643205820618	3.06466351593351	0.778010547219804	PRJNA1188648	022-12M	fecal	12M	22	1
