Actinobacteria	Alphaproteobacteria	Bacilli	Bacteroidia	Campylobacteria	Clostridia	Coriobacteriia	Deltaproteobacteria	Elusimicrobia	Erysipelotrichia	Fusobacteriia	Gammaproteobacteria	Lentisphaeria	Methanobacteria	Mollicutes	Negativicutes	Oxyphotobacteria	Saccharimonadia	Synergistia	Verrucomicrobiae	others	BioProject	sample_alias	env_material	Group	ID	prepost
SRR31418698	1.92432406699437	0.94141679163695	2.61619127182207	4.41295255968778	0	4.02634550303786	1.48494661165505	1.87833277316723	0	1.6629621579027	0.581363943335507	3.27268131295308	0.86517323843024	0	0	3.33415642806328	0	0	0	0	4.63416609601133	PRJNA1188648	001-BL	fecal	Baseline	1	0
SRR31418709	0	0	2.35389619806692	4.45001801300073	0	4.00553394540977	1.60899640515529	1.39421341707872	0	1.36819012075177	0.950793060952512	3.27318667828009	0	0	0.950793060952512	3.49942638925335	0	0.589189730414382	0	0	4.60842639117713	PRJNA1188648	001-6M	fecal	6M	1	1
SRR31418710	0	0	1.88154475739894	4.72468657963231	0	4.38317386654943	0	2.43704880026591	0	2.28598027706921	0	3.40922906241508	0	0	0	3.59481962140788	0	0	0	1.12156474031764	0	PRJNA1188648	001-12M	fecal	12M	1	1
SRR31418685	3.43314614118318	0	2.63616496648346	4.15443118250475	0	4.29846122428321	2.43990935190967	2.42190325146128	0	2.64211082425648	0	2.86606818167059	1.7437115226585	1.96709682891308	0	3.18578784497037	1.08576749857796	0	0	0	4.63920911143498	PRJNA1188648	002-BL	fecal	Baseline	2	0
SRR31418686	1.59111644772254	0	1.93600746505964	4.49213190245281	0	4.2287859701711	1.64416219797197	1.86205126437905	0	1.61844871150594	1.55177271992335	3.08984056208342	0.641294764411804	0	0	3.45812671544548	1.25263359742216	0	0	0	4.50300231596993	PRJNA1188648	002-6M	fecal	6M	2	1
SRR31418687	3.19464447949849	0	3.06310027318545	4.5345937205391	0	4.47736577918123	3.29358362059386	3.22446255598851	0	2.75532241829375	0	3.31172684005053	2.42258594334965	0	0	4.03190458938866	0	0	0	0	0	PRJNA1188648	002-12M	fecal	12M	2	1
SRR31418682	2.26611811269373	0	2.5615950190648	4.42066488064717	0	4.12381295404201	1.45744457610513	1.96958851733377	0	1.75083402546805	1.64690745888525	3.0604527741726	0.923190318481706	0	0	3.41501343954687	0	1.00960830348558	0	0	4.60307589700058	PRJNA1188648	004-BL	fecal	Baseline	4	0
SRR31418683	2.29145171533789	0	2.23811623354358	4.39304741650022	0	4.10449579251108	1.57254193916582	2.10656200128028	0	1.5490718076975	1.7002782079371	3.3693234829876	0	0	0	3.61643198859826	0	0	0	1.10708107017046	4.59908221285498	PRJNA1188648	004-6M	fecal	6M	4	1
SRR31418684	2.35741228581989	1.17595867337867	2.63554303365425	4.60965078339063	0	4.55018171139299	2.79210974350829	2.91589072494338	0	2.61978599354478	0	3.15870281456118	0	1.0862294188598	0	3.47123772516217	1.80604013636021	1.67380295117997	1.9954945721239	2.96270077834185	0	PRJNA1188648	004-12M	fecal	12M	4	1
SRR31418707	1.50773556387244	0	2.36831540187585	4.47574003430055	0	4.1023638111256	1.3744628035557	2.3988573978025	0	1.85666136087387	0	3.3319359023817	0	0	0	3.40447016023787	0	0	0	0	4.56124851772855	PRJNA1188648	005-BL	fecal	Baseline	5	0
