bugName	pval	p6M	s6M	Adjustedpval	Adjustedp6M
Streptococcaceae	0.000302151970964171	0.000302151970964145	0.75789902533415	0.0117839268676027	0.0117839268676017
Actinomycetaceae	0.00154699990543872	0.00154699990543876	0.59389666687449	0.020882012222933	0.0208820122229329
Micrococcaceae	0.0016063086325333	0.0016063086325333	0.55737308974372	0.020882012222933	0.0208820122229329
Carnobacteriaceae	0.00277029723953315	0.00277029723953321	0.475571243689785	0.0270103980854482	0.0270103980854488
Enterococcaceae	0.00492334159053898	0.004923341590539	0.975333883580049	0.038402064406204	0.0384020644062042
Enterobacteriaceae	0.0103233226009825	0.0103233226009825	0.681718711588938	0.067101596906386	0.0671015969063862
Coriobacteriales_Incertae_Sedis	0.0227038482387938	0.0227038482387938	-0.370953977153397	0.126492868758994	0.126492868758994
Family_XI	0.0274849510980765	0.0274849510980765	0.387197433857867	0.133989136603123	0.133989136603123
Akkermansiaceae	0.0412653030743799	0.04126530307438	0.454842454098087	0.178816313322313	0.178816313322313
Acidaminococcaceae	0.0876233777586251	0.087623377758625	0.367622332106834	0.333817394556174	0.333817394556174
Family_XIII	0.0941536241055876	0.0941536241055875	0.261248249097179	0.333817394556174	0.333817394556174
Muribaculaceae	0.163119853499261	0.163119853499261	0.124146269312574	0.460420441118031	0.460420441118031
Marinifilaceae	0.164259995858973	0.164259995858973	-0.28914334416227	0.460420441118031	0.460420441118031
Fusobacteriaceae	0.168069600487591	0.168069600487591	0.314475649785437	0.460420441118031	0.460420441118031
Coriobacteriaceae	0.181107608775379	0.181107608775379	0.247189018312031	0.460420441118031	0.460420441118031
Veillonellaceae	0.190896367656088	0.190896367656088	0.302067655978141	0.460420441118031	0.460420441118031
Barnesiellaceae	0.200696089718116	0.200696089718116	-0.272629025567451	0.460420441118031	0.460420441118031
Lactobacillaceae	0.216316296834509	0.216316296834509	-0.438499355596432	0.4641573792311	0.4641573792311
Eubacteriaceae	0.230850476673105	0.230850476673105	0.140958800273954	0.4641573792311	0.4641573792311
Prevotellaceae	0.238029425246718	0.238029425246718	0.308174289010983	0.4641573792311	0.4641573792311
Leuconostocaceae	0.340049340405502	0.340049340405502	-0.112353099403548	0.6158222926828	0.6158222926828
Pasteurellaceae	0.353698716499923	0.353698716499923	-0.138770235806644	0.6158222926828	0.6158222926828
Rikenellaceae	0.363177249530882	0.363177249530882	0.185671460416898	0.6158222926828	0.6158222926828
Atopobiaceae	0.392407040377051	0.392407040377051	0.143209807402125	0.637661440612707	0.637661440612707
Erysipelotrichaceae	0.436075481226981	0.436075481226981	-0.130963998755981	0.640562974946916	0.640562974946916
Peptostreptococcaceae	0.442523219930425	0.442523219930425	-0.16600759414992	0.640562974946916	0.640562974946916
others	0.443466674963249	0.443466674963249	0.170956478900516	0.640562974946916	0.640562974946916
Burkholderiaceae	0.475797610514735	0.475797610514735	0.0969831320065377	0.662286257670282	0.662286257670282
Bifidobacteriaceae	0.492469268524056	0.492469268524056	-0.149699765806116	0.662286257670282	0.662286257670282
Clostridiales_vadinBB60_group	0.561369874480066	0.561369874480066	0.0597200374020141	0.729780836824085	0.729780836824085
Bacteroidaceae	0.660791618507966	0.660791618507966	-0.0614388479019026	0.831217820870372	0.831217820870372
Tannerellaceae	0.690418045774922	0.690418045774922	-0.0684222225180338	0.831217820870372	0.831217820870372
Desulfovibrionaceae	0.711412662011934	0.711412662011934	0.0764487231179908	0.831217820870372	0.831217820870372
Ruminococcaceae	0.724651433579299	0.724651433579299	-0.0450686692087523	0.831217820870372	0.831217820870372
Lachnospiraceae	0.756159286590842	0.756159286590842	-0.0496402043019417	0.842577490772653	0.842577490772653
Staphylococcaceae	0.782980295417103	0.782980295417103	0.0318408323240907	0.848228653368528	0.848228653368528
Eggerthellaceae	0.824901070746496	0.824901070746496	0.0246020301231816	0.869490317813874	0.869490317813874
Christensenellaceae	0.856551451916034	0.856551451916034	-0.0361703998413669	0.879092279598035	0.879092279598035
Clostridiaceae_1	0.953197025927946	0.953197025927946	0.0157017158194294	0.953197025927946	0.953197025927946
