bugName	pval	pPost	sPost	Adjustedpval	AdjustedpPost
Acidaminococcaceae	7.7061946727186e-05	7.70619467271099e-05	-0.987292958084505	0.0101392093884094	0.0101392093884033
Coriobacteriaceae	0.000128344422638094	0.000128344422638016	-1.02663820506377	0.0101392093884094	0.0101392093884033
Synergistaceae	0.000286233467093111	0.000286233467093136	0.830993088488819	0.0150749626002372	0.0150749626002385
Ruminococcaceae	0.000451061647896656	0.000451061647896659	-0.712539945638191	0.0178169350919179	0.017816935091918
Lachnospiraceae	0.000593559882101857	0.00059355988210185	-0.75111731005093	0.0187564922744187	0.0187564922744185
Actinomycetaceae	0.000796545468028098	0.000796545468028127	0.752878822189727	0.0209756973247399	0.0209756973247407
Clostridiaceae_1	0.00250358002500273	0.00250358002500275	-0.704898890776136	0.0554378670426532	0.0554378670426535
Atopobiaceae	0.00280698060975459	0.00280698060975461	0.848945220233727	0.0554378670426532	0.0554378670426535
Lactobacillaceae	0.00491475276408115	0.00491475276408121	-0.545790222684169	0.0862812151916469	0.0862812151916479
Erysipelotrichaceae	0.00608182923200884	0.00608182923200892	-0.554503415365829	0.0960929018657397	0.0960929018657409
Burkholderiaceae	0.00718969134743164	0.00718969134743161	-0.622131423277209	0.103270112081291	0.10327011208129
Bacteroidaceae	0.00910929450149078	0.00910929450149085	-0.569258387880464	0.119939044269629	0.119939044269629
Bifidobacteriaceae	0.0121486181470598	0.0121486181470598	-0.627516188169236	0.144363464780782	0.144363464780781
Pasteurellaceae	0.0127916994109554	0.0127916994109553	-0.817927349991681	0.144363464780782	0.144363464780781
Paludibacteraceae	0.015155174930398	0.015155174930398	0.728357378003359	0.159634509266859	0.159634509266859
Tannerellaceae	0.0180762391182328	0.0180762391182327	-0.549032879175771	0.17209164721916	0.172091647219161
Methanobacteriaceae	0.0185161898906692	0.0185161898906692	0.233723764983278	0.17209164721916	0.172091647219161
Eubacteriaceae	0.0198251103119784	0.0198251103119784	0.262807399580768	0.174020412738477	0.174020412738477
Eggerthellaceae	0.0401784846465945	0.0401784846465944	-0.432521121279181	0.334115819692733	0.334115819692733
Akkermansiaceae	0.0458596416738254	0.0458596416738254	-0.515598945056187	0.362291169223221	0.362291169223221
Pseudohongiellaceae	0.0541374225228486	0.0541374225228487	0.294629160339376	0.401092142751372	0.401092142751372
Enterobacteriaceae	0.0558482730413303	0.0558482730413303	-0.607068943121	0.401092142751372	0.401092142751372
Acidobacteriaceae_(Subgroup_1)	0.0673675609216979	0.067367560921698	0.20600119276558	0.462785853288186	0.462785853288186
Syntrophomonadaceae	0.0854392240345004	0.0854392240345004	0.190190452522384	0.562474891560461	0.562474891560461
Crocinitomicaceae	0.0985424540547816	0.0985424540547815	0.256170150199083	0.619622609844072	0.619622609844072
others	0.103056829047924	0.103056829047924	0.263113461643352	0.619622609844072	0.619622609844072
Nitrosomonadaceae	0.105884876365759	0.105884876365759	0.372947588383504	0.619622609844072	0.619622609844072
Caldilineaceae	0.11904875184592	0.11904875184592	0.141833811822068	0.671775099701978	0.671775099701978
Methylophilaceae	0.126295968259114	0.126295968259114	0.328362014296087	0.68809527534276	0.688095275342761
Moraxellaceae	0.13905826488721	0.13905826488721	-0.244480980928733	0.728552589226595	0.728552589226595
Veillonellaceae	0.149176447426649	0.149176447426649	-0.272822974790773	0.728552589226595	0.728552589226595
Rubrobacteriaceae	0.153151007618659	0.153151007618659	-0.0836944282438099	0.728552589226595	0.728552589226595
mle1-27	0.158470849598116	0.158470849598116	0.118129210071624	0.728552589226595	0.728552589226595
Rikenellaceae	0.158952181125409	0.158952181125409	-0.335171691335277	0.728552589226595	0.728552589226595
Aeromonadaceae	0.16226117960914	0.16226117960914	-0.255948887181395	0.728552589226595	0.728552589226595
Weeksellaceae	0.169138017675946	0.169138017675946	-0.163564092490206	0.728552589226595	0.728552589226595
Marinifilaceae	0.171606676099752	0.171606676099752	-0.390122196522251	0.728552589226595	0.728552589226595
Streptococcaceae	0.175221508801333	0.175221508801333	-0.256780626323917	0.728552589226595	0.728552589226595
Propionibacteriaceae	0.193714822897263	0.193714822897263	0.170380084933866	0.784793385070964	0.784793385070964
env.OPS_17	0.199597147679094	0.199597147679094	0.21047274763975	0.787985005077401	0.787985005077401
Desulfobacteraceae	0.210615431950112	0.210615431950112	0.120592429072997	0.787985005077401	0.787985005077401
Carnobacteriaceae	0.213659822119527	0.213659822119527	-0.315651887130547	0.787985005077401	0.787985005077401
A4b	0.214451615305875	0.214451615305875	0.119153183576078	0.787985005077401	0.787985005077401
Fimbriimonadaceae	0.222468529086726	0.222468529086726	0.162905718076496	0.791416583816221	0.791416583816221
Desulfobulbaceae	0.225403457416012	0.225403457416012	0.112919996625013	0.791416583816221	0.791416583816221
Prolixibacteraceae	0.250823784687799	0.250823784687799	0.106832948133487	0.839706405391393	0.839706405391393
Gemmatimonadaceae	0.254973863141853	0.254973863141853	0.270123140408236	0.839706405391393	0.839706405391393
Porphyromonadaceae	0.255100680118904	0.255100680118904	0.410891208832286	0.839706405391393	0.839706405391393
Hyphomicrobiaceae	0.27616591855933	0.27616591855933	0.183155330266092	0.885069806132293	0.885069806132293
Flavobacteriaceae	0.290932420478086	0.290932420478086	0.217884158022473	0.885069806132293	0.885069806132293
Leptotrichiaceae	0.291967987898734	0.291967987898734	0.31174887906943	0.885069806132293	0.885069806132293
Unknown_Family	0.306283874596635	0.306283874596635	0.158952240986771	0.885069806132293	0.885069806132293
Pyrinomonadaceae	0.307074628893172	0.307074628893172	-0.123245743499907	0.885069806132293	0.885069806132293
Saprospiraceae	0.308829877601554	0.308829877601554	-0.145108448786987	0.885069806132293	0.885069806132293
Desulfarculaceae	0.311190974001666	0.311190974001666	0.133769550601437	0.885069806132293	0.885069806132293
Pseudomonadaceae	0.313695627489927	0.313695627489927	0.297209857041634	0.885069806132293	0.885069806132293
Reyranellaceae	0.328512786582253	0.328512786582253	0.164083920966251	0.90517517811173	0.90517517811173
TRA3-20	0.341274291689816	0.341274291689816	0.181308373121807	0.90517517811173	0.90517517811173
Solimonadaceae	0.346419018753824	0.346419018753824	0.161128032867126	0.90517517811173	0.90517517811173
Anaerolineaceae	0.350147298166473	0.350147298166473	0.159416473878502	0.90517517811173	0.90517517811173
Listeriaceae	0.363042953999673	0.363042953999673	0.1062467101046	0.90517517811173	0.90517517811173
Barnesiellaceae	0.373190388788835	0.373190388788835	-0.215722876259267	0.90517517811173	0.90517517811173
Deferribacteraceae	0.374221849277353	0.374221849277353	0.112120788097584	0.90517517811173	0.90517517811173
Rhodanobacteraceae	0.399852609640754	0.399852609640754	0.163526587419197	0.90517517811173	0.90517517811173
Bacteriovoracaceae	0.402636433240551	0.402636433240551	0.102141527214583	0.90517517811173	0.90517517811173
0319-6G20	0.402776793692107	0.402776793692107	0.0817092450077548	0.90517517811173	0.90517517811173
Rhodobacteraceae	0.408402422062853	0.408402422062853	-0.129067999993218	0.90517517811173	0.90517517811173
Halomonadaceae	0.409168928419611	0.409168928419611	-0.105622820211546	0.90517517811173	0.90517517811173
Opitutaceae	0.413807652377564	0.413807652377564	0.154310931599665	0.90517517811173	0.90517517811173
Solibacteraceae_(Subgroup_3)	0.417697263775351	0.417697263775351	0.167057164024498	0.90517517811173	0.90517517811173
Alteromonadaceae	0.426461092755126	0.426461092755126	0.0775910289448503	0.90517517811173	0.90517517811173
Sphingobacteriaceae	0.431835076060774	0.431835076060774	0.163177571422028	0.90517517811173	0.90517517811173
Thermoanaerobaculaceae	0.432898187534326	0.432898187534326	0.117828386746469	0.90517517811173	0.90517517811173
Microscillaceae	0.436065921346164	0.436065921346164	0.174463266208366	0.90517517811173	0.90517517811173
Family_XI	0.436827251896981	0.436827251896981	-0.127757466026502	0.90517517811173	0.90517517811173
Family_XIII	0.442416659448656	0.442416659448656	-0.1952412956995	0.90517517811173	0.90517517811173
Pseudonocardiaceae	0.44834579385905	0.44834579385905	-0.141923654740645	0.90517517811173	0.90517517811173
Xanthobacteraceae	0.454314937219805	0.454314937219805	0.1547137273085	0.90517517811173	0.90517517811173
Vibrionaceae	0.454982503312466	0.454982503312466	-0.120507753410923	0.90517517811173	0.90517517811173
Paenibacillaceae	0.458316545879357	0.458316545879357	0.115216317205652	0.90517517811173	0.90517517811173
Clostridiales_vadinBB60_group	0.46797111979382	0.46797111979382	0.0995122208955194	0.91283255465955	0.91283255465955
Sandaracinaceae	0.480599638772905	0.480599638772905	0.0983084663923229	0.926033450318524	0.926033450318524
Iamiaceae	0.500642909652849	0.500642909652849	0.0698929494306468	0.927124153909041	0.927124153909041
Blastocatellaceae	0.506344863874758	0.506344863874758	0.102036414751544	0.927124153909041	0.927124153909041
Sphingomonadaceae	0.507517419437583	0.507517419437583	0.179833301048262	0.927124153909041	0.927124153909041
Rhizobiaceae	0.508513584449822	0.508513584449822	0.138919698913813	0.927124153909041	0.927124153909041
Xanthomonadaceae	0.511836793061991	0.511836793061991	0.150353171833524	0.927124153909041	0.927124153909041
Dongiaceae	0.516372946480985	0.516372946480985	-0.111353262998435	0.927124153909041	0.927124153909041
Verrucomicrobiaceae	0.531325416274219	0.531325416274219	0.0705267036900324	0.943251862599175	0.943251862599175
