Actinomycetales	Aeromonadales	Anaeroplasmatales	Bacillales	Bacteroidales	Betaproteobacteriales	Bifidobacteriales	Campylobacterales	Cardiobacteriales	Chitinophagales	Chloroplast	Clostridiales	Coriobacteriales	Corynebacteriales	Deferribacterales	Desulfovibrionales	Diplorickettsiales	Elusimicrobiales	Enterobacteriales	Erysipelotrichales	Flavobacteriales	Fusobacteriales	Gastranaerophilales	Incertae_Sedis_or	Izimaplasmatales	Lactobacillales	Methanobacteriales	Methanomassiliicoccales	Micrococcales	Mollicutes_RF39	Mycoplasmatales	Oligosphaerales	Opitutales	Pasteurellales	Propionibacteriales	Pseudomonadales	Reyranellales	Rhizobiales	Rhodospirillales	Rickettsiales	Saccharimonadales	Selenomonadales	Sphingomonadales	Spirochaetales	Synergistales	Tritrichomonadea_or	Verrucomicrobiales	Victivallales	Xanthomonadales	others	Assay.Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center.Name	Collection_Date	Consent	DATASTORE.filetype	DATASTORE.provider	DATASTORE.region	env_biome	env_feature	env_material	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Host	Instrument	lat_lon	Library.Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	replicate	Sample.Name	SRA.Study	time	ID	prepost
SRR5865065	1.28202487905192	0	0	1.56137962662627	4.94321176581964	2.90178127480868	1.38609850889961	1.28202487905192	0	0	0	4.71368688907003	2.62949108577044	0	0	2.82813072173937	0	0	4.5208724383089	2.32595056449929	0	3.78322338211201	0	0	0	3.57351037898004	2.24219521210892	0	0.943289316322803	0.791262576063456	0	0	0	2.84453853166683	0	0.648938793843217	0	0	0	0	1.46999068450885	4.05368255348191	0	0	2.80991762488215	0	2.99537070064064	2.97717010971531	2.18486487549885	1.50655116648178	AMPLICON	497	135761774	PRJNA395660	SAMN07412064	MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut	90867804	AC CAMARGO CANCER CENTER	28-Apr-2014	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	human	digestive system	stool	SRX3033188	Brazil	South America	Brazil: Sao Paulo	Homo sapiens	Illumina MiSeq	23.555420 S 46.670139 W	P05.2Y	PAIRED	PCR	METAGENOMIC	human metagenome	ILLUMINA	2019-08-06T00:00:00Z	biological replicate 5	P05.2Y	SRP113514	2Y	P05	1
SRR5865066	1.11240720686415	2.57885025362306	0	0.80845954361538	4.73337024567286	2.99417182992554	0.728105719925484	1.49732524654504	0	0	0	4.99150360916423	2.98056743879839	0.501534741830119	0.80845954361538	3.46001201555459	0	0	4.25625631931018	2.95984480243399	1.63731671894249	2.73762322563113	0.629430882913397	0	0.9348595641877	2.50435357221158	3.68183326013234	0	0	2.80985224428051	0	0	0	1.88072673555951	0.80845954361538	0.501534741830119	0	0	2.82564859582831	0	1.82795641324692	4.12828035060011	0	0	1.65854736351864	0	3.2493549960773	2.30545070401032	2.60657390864138	2.33261424917605	AMPLICON	488	109730919	PRJNA395660	SAMN07412082	MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut	73767166	AC CAMARGO CANCER CENTER	14-Apr-2014	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	human	digestive system	stool	SRX3033187	Brazil	South America	Brazil: Sao Paulo	Homo sapiens	Illumina MiSeq	23.555420 S 46.670139 W	P10.1Y	PAIRED	PCR	METAGENOMIC	human metagenome	ILLUMINA	2019-08-06T00:00:00Z	biological replicate 10	P10.1Y	SRP113514	1Y	P10	1
SRR5865067	0.925755080590555	1.27968675588245	0	0	5.00972758757377	0	2.2586580774811	0	0	0	0	4.94391198129859	1.63798081069658	0.867312209336408	0	0.977257998518148	0	0	2.63105138826548	2.20461949944567	0	1.42274510676563	0	0	0	1.56916007159367	1.10289667911221	0	0	0	0	0	0.494496206067732	0	0	0	0	0	0	0	0	3.92606322770723	0	0	0	0	1.74961136721551	0	1.85794879820134	1.32558387515226	AMPLICON	491	115562976	PRJNA395660	SAMN07412081	MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut	80092871	AC CAMARGO CANCER CENTER	28-Jan-2013	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	human	digestive system	stool	SRX3033186	Brazil	South America	Brazil: Sao Paulo	Homo sapiens	Illumina MiSeq	23.555420 S 46.670139 W	P09.Pre	PAIRED	PCR	METAGENOMIC	human metagenome	ILLUMINA	2019-08-06T00:00:00Z	biological replicate 9	P09.Pre	SRP113514	Pre	P09	0
SRR5865068	1.25988297455692	1.54880952499709	0	1.25988297455692	4.60345315582088	2.71425372325456	1.98800477911699	0.95535012639343	0	0	0	5.07943277879994	2.99568746350839	0	0.517496866846468	3.18920871616124	0	0	4.06693749181097	2.62375296906731	0	2.86123972385908	2.40729428955726	0.746989082880488	2.94846806215818	3.66742917578664	2.92663016279115	0	1.16890049763273	3.52727076069843	0	0	0	1.4185513298071	0	1.4371356007514	0	0	0	0.746989082880488	1.48854578357044	3.77689771220131	0	0	0	0	3.82213178701685	2.59182977510612	2.26571961091269	2.08810375976266	AMPLICON	484	102348602	PRJNA395660	SAMN07412068	MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut	67291254	AC CAMARGO CANCER CENTER	21-Jul-2014	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	human	digestive system	stool	SRX3033185	Brazil	South America	Brazil: Sao Paulo	Homo sapiens	Illumina MiSeq	23.555420 S 46.670139 W	P06.2Y	PAIRED	PCR	METAGENOMIC	human metagenome	ILLUMINA	2019-08-06T00:00:00Z	biological replicate 6	P06.2Y	SRP113514	2Y	P06	1
SRR5865069	1.56120437544265	1.86454572964902	1.22964599377735	2.10739486956922	4.42359598669818	1.87672980407982	3.66764233051117	2.05489820848933	0	0	0	5.12388335307661	3.7934319075987	0.767898244244854	1.73607838058624	1.9399761631894	0.378138673448744	0.650446885616697	3.3495890777152	2.85624442951325	0	3.12153433911914	0.713130992642316	0	0	2.93476460908477	1.24706167098234	0	1.29547356774782	0.378138673448744	0	0	1.29547356774782	1.29547356774782	0.488953912113357	1.54431687760861	0	0	0	0	2.1280860037469	4.07659855483309	0	0	0	0	3.9227580876889	0	3.4643165350801	1.90764240204257	AMPLICON	383	195240522	PRJNA395660	SAMN07412078	MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut	134331978	AC CAMARGO CANCER CENTER	26-Mar-2012	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	human	digestive system	stool	SRX3033184	Brazil	South America	Brazil: Sao Paulo	Homo sapiens	Illumina MiSeq	23.555420 S 46.670139 W	P08.Pre	PAIRED	PCR	METAGENOMIC	human metagenome	ILLUMINA	2019-08-06T00:00:00Z	biological replicate 8	P08.Pre	SRP113514	Pre	P08	0
SRR5865070	0	4.3192331160166	0	1.38108494887755	4.96513255670926	3.14338279697908	2.88653946952505	0.917947480151484	0	0	0	4.82348057600172	2.89332732184175	0	1.07618992289543	1.95792886965391	0	0	3.00652020093871	3.37698853135355	0	1.57277988295925	2.10018513010934	0	0.849133703923602	2.84793070823487	2.76133255693733	0	0.977334418824602	2.85016809761566	0	0	0	1.66165741698525	0	1.02956884540353	0	0	0.666444053197985	0	0	4.03140902752575	0	0	0	0	1.99676847854579	1.73539993560023	2.44338813592275	1.6840346368624	AMPLICON	490	98438635	PRJNA395660	SAMN07412102	MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut	67412350	AC CAMARGO CANCER CENTER	31-Mar-2014	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	human	digestive system	stool	SRX3033183	Brazil	South America	Brazil: Sao Paulo	Homo sapiens	Illumina MiSeq	23.555420 S 46.670139 W	P17.Pre	PAIRED	PCR	METAGENOMIC	human metagenome	ILLUMINA	2019-08-06T00:00:00Z	biological replicate 17	P17.Pre	SRP113514	Pre	P17	0
SRR5865071	1.96722089335638	1.08438975187002	0.723164533101383	2.58456761279978	3.44087169120468	1.38286060237875	4.18583972946489	1.84782285972615	0	0	0	5.1652451522031	2.50735226756719	0.552896003036921	1.51481019447061	1.6826053481047	0	0	3.68618758391992	3.21054639976132	0	1.95500553271211	0	0	0	4.39579822404425	1.05259744809346	0	1.45382744274214	0.788433245602491	0.552896003036921	0	0.788433245602491	1.42681580348314	0	1.65876604233945	0	0.981043968606637	0.552896003036921	0	1.39801205301702	2.98357238434507	0	0	0	0	2.00562250023248	0	3.20174517841496	1.29798802719165	AMPLICON	440	144039589	PRJNA395660	SAMN07412045	MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut	92233311	AC CAMARGO CANCER CENTER	15-Jul-2011	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	human	digestive system	stool	SRX3033182	Brazil	South America	Brazil: Sao Paulo	Homo sapiens	Illumina MiSeq	23.555420 S 46.670139 W	P01.3M	PAIRED	PCR	METAGENOMIC	human metagenome	ILLUMINA	2019-08-06T00:00:00Z	biological replicate 1	P01.3M	SRP113514	3M	P01	1
SRR5865072	1.19353738532471	1.99117890420243	0	1.46091358626888	4.31161942505636	2.25293856289204	3.64148758158582	1.63864779200944	0	0	0	5.07845246178398	3.48451544433657	0	1.49911346688189	3.13444386814709	0	0	2.81337801970685	3.21813523886883	0	1.87738743737549	0	0	0	2.79248801789106	1.26178791973628	0	0.697740423876851	0	0	0	1.19353738532471	1.22900199429949	0.563153773983705	1.49911346688189	0	0.800337954480047	0	0	1.89242874952731	4.66175815920832	0	0	0	0	1.62518132817197	0	3.00692221251698	1.83733389227332	AMPLICON	437	95714645	PRJNA395660	SAMN07412090	MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut	63504419	AC CAMARGO CANCER CENTER	15-Jul-2013	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	human	digestive system	stool	SRX3033181	Brazil	South America	Brazil: Sao Paulo	Homo sapiens	Illumina MiSeq	23.555420 S 46.670139 W	P12.Pre	PAIRED	PCR	METAGENOMIC	human metagenome	ILLUMINA	2019-08-06T00:00:00Z	biological replicate 12	P12.Pre	SRP113514	Pre	P12	0
SRR5865073	0.64606632227768	0	0	1.6064397988787	4.96531701279261	3.50858259109526	2.10060978143502	0.980748497923352	0	0	0	4.89862614189915	1.45350910191937	0	0	0	0	0	3.1256910391435	3.16252297556149	0	2.45284582188832	0	0	0	2.77613534778803	0	0	0	0	0	0	0	3.06925484155469	0	0.64606632227768	0	0	0	0	0.895042196580903	4.29579257332917	0	0	0	0	0	0	2.05062405678348	0	AMPLICON	495	81377719	PRJNA395660	SAMN07412044	MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut	58284815	AC CAMARGO CANCER CENTER	08-Apr-2013	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	human	digestive system	stool	SRX3033180	Brazil	South America	Brazil: Sao Paulo	Homo sapiens	Illumina MiSeq	23.555420 S 46.670139 W	P01.2Y	PAIRED	PCR	METAGENOMIC	human metagenome	ILLUMINA	2019-08-06T00:00:00Z	biological replicate 1	P01.2Y	SRP113514	2Y	P01	1
SRR5865074	1.32809201623492	0	0	1.51450417029697	4.76342541614898	2.56962864499815	2.10648624834635	0.681567400141828	0.46266794317854	0	0	4.82158253459387	1.96214486223115	0	0	2.24542848290588	0	0	4.66998635055836	2.7255874804998	0	4.19288366612807	2.61534330674646	0	2.84837455405084	3.3425711593522	2.82264481458885	0	1.25806777953035	3.02517080447018	0	0	0	1.83778393981728	0	0	0	0	0	0	1.20990155094926	3.77842076069555	0	0	0	0	2.62131010016667	0.901636912291662	1.43122395181405	1.6187988279245	AMPLICON	497	196345369	PRJNA395660	SAMN07412069	MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut	142285980	AC CAMARGO CANCER CENTER	25-Oct-2012	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	human	digestive system	stool	SRX3033179	Brazil	South America	Brazil: Sao Paulo	Homo sapiens	Illumina MiSeq	23.555420 S 46.670139 W	P06.3M	PAIRED	PCR	METAGENOMIC	human metagenome	ILLUMINA	2019-08-06T00:00:00Z	biological replicate 6	P06.3M	SRP113514	3M	P06	1
