Absconditabacteriales_(SR1)	Actinomycetales	Aeromonadales	Aphagea	Bacillales	Bacteroidales	Betaproteobacteriales	Bifidobacteriales	Blastocatellales	Campylobacterales	Caulobacterales	Chloroplast	Clostridiales	Coriobacteriales	Corynebacteriales	Desulfovibrionales	Enterobacteriales	Erysipelotrichales	Flavobacteriales	Frankiales	Fusobacteriales	Gastranaerophilales	Holosporales	Lactobacillales	Methanobacteriales	Micrococcales	Mollicutes_RF39	Mycoplasmatales	Oceanospirillales	Pasteurellales	Pseudomonadales	Rhizobiales	Rhodospirillales	Rickettsiales	Salinisphaerales	Selenomonadales	Sphingobacteriales	Sphingomonadales	Synergistales	Verrucomicrobiales	Victivallales	Xanthomonadales	others	BioProject	sample_alias	env_material	Timepoint	prepost	PatientID
SRR13358076	0	0	0	0	0.806424625199586	4.38593820118914	0	1.48741887604174	0	1.6039682723744	0	0	3.8695421629101	0	0	0	2.84389599831139	0	0	0	3.32534342535819	0	0	2.28211689369595	0	0	0	0	0	0	0	0	0	0	0	3.59447793145289	0	0	0	0.889554243402568	0	0	0	PRJNA514452	P04.Fc.3	fecal	3	1	P04
SRR13358065	0	0	0	0	0	4.20816306593225	0.783945560829103	2.35293970344501	0	0	0	0	3.59876707434469	0	0	1.95380937802883	2.5223551921118	1.53178307759354	0	0	3.81285133114712	0	0	1.7614258554036	0	0	0	0	0	0	0	0	0	0	0	4.02744959553863	0	0	0	2.86235253522384	0	0	0	PRJNA514452	P04.Fc.6	fecal	6	1	P04
SRR13358021	0	1.28570661053226	0	0.536670134207237	0	2.94734584633835	1.1943841413456	2.37166796009673	0	0	0	0	4.47036530462699	0	0	2.10695885512036	3.76273697370136	3.273987069175	0.668509590700593	0	0	0	0	2.3190544178032	0	0	0	0	0	0	0	0	1.28570661053226	0	0	1.31232714294081	0	0	0	0	0	0	0	PRJNA514452	P05.Fc.0	fecal	0	0	P05
SRR13358009	0	0.585082958824442	0	0	0	4.29554901386197	2.2397921190192	0	0	0	0	0	4.02320291567839	0	0	0	3.50459223465672	2.89422157543435	0	0	1.72581880289319	0	0	3.28193070262929	0	0	0	0	0	0	0	0	0	0	0	3.36532397953357	0	0	0	0.462063665850878	0	0	0	PRJNA514452	P05.Fc.1	fecal	1	1	P05
SRR13357998	0	0	0	0	0.458505546824198	4.4583839908375	2.08593607106717	0	0	0.458505546824198	0	0	3.66760604552058	0.458505546824198	0	0	2.88455735818736	2.92216595083069	0	0	3.19761172976182	0	0	2.79593796052132	0	0	0	0	0	0	0	0	0	0	0	3.15420221374383	0	0	0	0	0	0	0	PRJNA514452	P05.Fc.3	fecal	3	1	P05
SRR13357987	0	0.799647026024328	0	0	0	4.28627077609793	1.15415358902931	1.31997331876772	0	0	0	0	1.50736503736364	0	0	0	4.20802251787202	0.366630594015505	0	0	0	0	0	3.50111506273477	0	0	0	0	0	0	0	0	0	0	0	1.31997331876772	0	0	0	0	0	0	0	PRJNA514452	P05.Fc.6	fecal	6	1	P05
SRR13357943	0	0	0	0	0	3.47721653941727	1.69811636085914	2.15698381812732	0	0	0	0	3.7258146809967	0	0	0	1.50804365488538	0.792554237734521	0	0	0	0	0	4.42482130960381	0	0	0	0	0	0	0	0	0	0	0	3.55567030297066	0	0	0	0	0	0	0	PRJNA514452	P06.Fc.0	fecal	0	0	P06
SRR13357932	0	0	0	0	0	4.2594970202537	3.13014991605107	1.76849725366315	0	0	0	0	3.89257364783417	0.935418623260042	0	1.62691662341641	2.52660106018352	1.77647806775553	0	0	1.65916598632715	0	0	3.76817770030291	0	0	0	0	0	0	0	0	0	0	0	3.69657009876259	0	0	0	0	0	0	1.39694942568199	PRJNA514452	P06.Fc.1	fecal	1	1	P06
SRR13357921	0	0	0	0	0	3.86923611803813	2.64631529368688	3.99011422201893	0	0	0	0	3.32621533696685	1.16957347774528	0	0.494081019695109	1.60433647534884	1.25420407867067	0	0	0	0	0	4.16105960511202	0	0	0	0	0	0	0	0	0	0	0	3.6473020980614	0	0	0	0.494081019695109	0	0	0	PRJNA514452	P06.Fc.3	fecal	3	1	P06
SRR13357910	0	0	0	0	0.547938218819445	1.96439096006082	0.462172852346054	2.07447564468432	0	0	0	0	3.7912978992224	0	0	0	4.21479931533388	3.5468771264279	0	0	4.08769078395303	0	0	2.19500456100099	0	0	0	0	0	0	0	0	0	0	0	1.36453470092236	0	0	0	0	0	0	0.73478593584854	PRJNA514452	P06.Fc.6	fecal	6	1	P06
