SAMPLE_ID	Acidobacteria	Actinobacteria	Aquificae	Armatimonadetes	Bacteroidetes	Balneolaeota	Caldiserica	Calditrichaeota	Candidatus Bipolaricaulota	Candidatus Cloacimonetes	Candidatus Geothermarchaeota	Candidatus Lokiarchaeota	Candidatus Omnitrophica	Candidatus Saccharibacteria	Chlamydiae	Chlorobi	Chloroflexi	Chrysiogenetes	Coprothermobacterota	Crenarchaeota	Cyanobacteria	Deferribacteres	Deinococcus-Thermus	Dictyoglomi	Elusimicrobia	Euryarchaeota	Fibrobacteres	Firmicutes	Fusobacteria	Gemmatimonadetes	Ignavibacteriae	Kiritimatiellaeota	Nitrospirae	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Thaumarchaeota	Thermodesulfobacteria	Thermotogae	Verrucomicrobia
SRR39238458	1.952099064108626	2.9701677645064306	0.0	0.5760421025865392	4.35842256659315	0.0	0.0	0.0	0.0	0.45407241971545687	0.0	0.0	0.5760421025865392	1.7579312157233002	0.28385905951200996	0.0	2.679351405457136	0.28385905951200996	0.0	0.0	0.9232306409437522	0.0	0.0	0.0	0.28385905951200996	0.28385905951200996	0.0	4.6580630398333325	1.4286060484412697	0.0	0.28385905951200996	0.0	0.0	0.45407241971545687	4.321609542030561	1.0816933382309948	0.9232306409437522	2.926886505505942	0.0	0.0	1.4134109027561141	2.266163651299386
SRR39238459	1.343759170358544	3.12545680499921	0.0	1.4904987217649202	4.6234006653417055	0.0	0.0	0.0	0.0	0.636136285282312	0.0	0.0	0.32404196853752426	1.6119138615852313	0.0	0.0	2.4320808175389033	0.0	0.5075406724983402	0.0	0.636136285282312	0.0	0.8838312353184588	0.0	0.5075406724983402	0.636136285282312	0.0	4.536995884183759	1.7844527015625147	0.0	0.0	0.0	0.0	0.32404196853752426	4.130580819253996	0.636136285282312	0.5075406724983402	2.148333676339989	0.0	0.0	1.2181059087505448	1.901605787505464
SRR39238460	1.8277129146993938	4.012108329132776	0.2922984389876626	1.0976839170520656	4.469411804619707	0.0	0.46543972759228086	0.0	0.0	0.9385962572418004	0.0	0.0	0.0	1.715084796524897	0.0	0.0	2.4793447159086974	0.0	0.0	0.0	0.684913988129255	0.684913988129255	0.5888959305962973	0.0	0.2922984389876626	1.3980230453410392	0.0	4.422322318940595	4.134586169233982	1.3980230453410392	0.0	0.0	0.46543972759228086	0.887692593323461	4.055820978853037	0.9385962572418004	1.0976839170520656	1.738548356251551	0.0	0.0	0.9385962572418004	2.2680083210234177
SRR39238461	1.3261557282924394	4.3149262965595705	0.0	0.0	4.178657024495708	0.0	0.0	0.0	0.0	0.5470237094377401	0.0	0.0	0.0	0.354483104901565	0.0	0.0	1.6298616815337779	0.0	0.0	0.0	0.863902685183265	0.0	1.0451509618402073	0.0	0.6799592304177694	0.0	0.0	4.57564888656178	2.8883557222554175	0.354483104901565	0.0	0.0	0.0	0.0	4.248495811052944	0.354483104901565	0.0	0.9330671278040407	0.354483104901565	0.354483104901565	0.354483104901565	0.5470237094377401
SRR39238462	0.0	2.4455546166119433	0.0	0.0	4.827212197011105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5806694593926183	0.0	0.0	0.6761152690884993	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.362563116198684	2.531227113930093	0.0	0.0	0.0	0.0	0.0	3.0086923586126204	0.2868873357688976	0.45816014479180256	0.8205638624579432	0.0	0.0	0.2868873357688976	2.0089377935478336
SRR39238463	0.0	2.906711629836965	0.0	0.0	4.5756954295277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.197153129837743	4.505231836171612	0.0	0.0	0.0	0.0	0.0	3.760878524909081	0.0	0.0	0.9455829241832759	0.0	0.0	0.0	0.0
SRR39238464	1.0819571070912957	3.2424085050622256	0.0	0.0	4.554854245271797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.96884280332321	0.0	0.0	0.0	0.7493802309715492	0.0	0.0	0.0	0.0	0.0	0.0	4.618683653135852	3.569689837824296	0.4542589424686788	0.0	0.0	0.0	0.0	3.724005624566803	0.0	0.28399707868957824	0.67138717503876	0.0	0.0	0.28399707868957824	3.573773720924077
SRR39238465	1.925931568944947	3.351932951329808	0.0	0.29421029214696137	4.483223376760158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3847501675903473	0.0	0.0	1.7993799905846761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.7274430529718146	3.3693545041852806	1.449131183462993	0.4680043096252021	0.0	0.29421029214696137	0.6880064766109227	3.5219296649528498	0.29421029214696137	1.1912439073473422	1.0665954926201797	0.5917898525136192	0.0	0.0	1.217521592644019
SRR39238466	1.0449026220121111	3.3033251242207315	0.45246285060822033	0.0	4.578060014069197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45246285060822033	0.0	0.0	2.0081427051425087	0.0	0.0	0.0	0.28266868530600875	0.0	0.0	0.0	0.0	0.0	0.0	4.682063861951348	1.8263262451973121	0.0	0.0	0.0	0.5742184665438148	0.0	3.582195365944172	0.0	0.0	0.28266868530600875	0.0	0.0	0.28266868530600875	1.2432787180610771
SRR39238467	0.9550094285713195	3.3537091620271937	0.0	0.0	4.551402184525546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2744609852072564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.491814773094176	4.247888859619136	0.0	0.0	0.0	0.0	0.0	3.7287380067173963	0.0	0.0	0.0	0.0	0.0	0.0	1.129341441763244
SRR39238468	0.0	3.84235135056305	0.0	0.0	4.262294852704407	0.0	0.0	0.0	0.0	0.9809294577750721	0.0	0.0	0.0	0.3162426401848914	0.0	0.0	1.6920394354898494	0.0	0.3162426401848914	0.0	0.0	0.0	1.0270103721973252	0.0	0.0	0.4972886250366101	0.0	4.3141816770440595	4.488381045877526	0.3162426401848914	0.0	0.0	0.0	0.3162426401848914	4.182013163782618	1.6202332536882884	0.0	0.3162426401848914	0.0	0.3162426401848914	0.4972886250366101	0.0
SRR39238469	1.0027413233902562	3.066900779037953	0.0	0.0	4.5890871779963165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8087504706711772	0.0	0.0	2.324835870764413	0.0	0.4491178835571539	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.656596877894926	1.76416807366803	0.4491178835571539	0.0	0.0	0.0	0.0	3.8012114262892163	0.0	0.0	0.4491178835571539	0.2801985594520461	0.0	0.2801985594520461	1.260555756609076
SRR39238470	1.0615153714219527	4.233177116751514	0.0	0.31221266553847976	4.245527342632642	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31221266553847976	0.6187278388273069	0.0	0.6187278388273069	0.0	0.0	0.0	1.552929756387212	0.7966322025304301	1.0199260055400445	0.0	0.49196839642744566	0.0	0.6187278388273069	4.70784381337036	3.079731858469146	1.2248567227143725	0.0	0.49196839642744566	0.7966322025304301	0.31221266553847976	3.671803972353918	1.0199260055400445	0.0	1.1343684504794722	0.0	0.31221266553847976	0.7167266226983887	2.3294745636235246
SRR39238472	1.1348798198860854	3.8900420183618807	0.0	0.0	4.593948642773783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6191469811196829	0.0	0.0	0.492342551954003	0.0	0.0	0.0	0.7171725746101101	0.8645720603391154	0.9229605732988843	0.0	0.0	0.0	0.31249568967307784	4.542962083022527	3.024348198504086	0.7171725746101101	0.0	0.0	0.6191469811196829	0.492342551954003	3.9491820675351206	0.31249568967307784	0.6191469811196829	1.2253757051688805	0.0	0.492342551954003	0.0	1.322562216076672
SRR39238473	1.3263699217104201	3.686333581733175	0.0	0.3879191843935307	4.526161701220951	0.0	0.0	0.3879191843935307	0.0	0.0	0.0	0.0	0.0	1.495578942408384	0.0	0.3879191843935307	1.1883591455234213	0.0	0.0	0.0	1.1883591455234213	0.3879191843935307	0.914601199926998	0.0	0.0	0.0	0.0	4.630061832751157	2.88164042392378	0.8307107696580657	0.3879191843935307	0.0	0.5894974116235244	0.3879191843935307	3.995310442947481	0.7266398303767325	0.914601199926998	1.495578942408384	0.0	0.0	0.0	1.8467257224978817
SRR39238474	1.0847848859356881	3.2518654054793656	0.0	0.0	3.8748001238589067	0.0	0.0	0.6381647878232312	0.0	0.0	0.0	0.0	0.0	0.6381647878232312	0.0	0.0	0.8180885049565767	0.0	0.0	0.0	0.5093594720507973	0.0	0.7373783316498959	0.0	0.5093594720507973	0.0	0.7373783316498959	4.40024209747303	4.091881064258163	1.275296148379026	0.0	0.3254302225972961	1.1229174345589115	0.3254302225972961	4.65319389251641	0.0	0.8180885049565767	1.1904042264651138	0.7373783316498959	0.0	0.6381647878232312	2.04705198127967
SRR39238475	1.0881855731423644	3.1967637462160656	0.0	0.0	4.638038891834667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.483688312546686	0.0	0.0	0.483688312546686	0.0	0.0	0.0	1.7171935864307453	0.0	0.3059645750995563	0.0	0.0	0.0	0.0	4.546826137432339	3.9180830209933175	1.3103582609888733	0.0	0.0	0.483688312546686	0.0	3.5250220614399996	0.0	0.483688312546686	0.0	0.0	0.0	0.483688312546686	0.3059645750995563
SRR39238476	1.7821578437173444	4.081366207793352	0.6535308371445399	0.3360125044886882	4.072444528221816	0.0	0.0	0.6535308371445399	0.0	0.0	0.0	0.0	0.0	0.6535308371445399	0.0	0.5231652468099807	1.2675588477797346	0.0	0.0	0.0	1.6219219232677264	0.9625760446299588	1.527597199334613	0.0	0.3360125044886882	0.9625760446299588	0.9034480843819568	4.758515839941225	2.72713567166621	1.556700368535824	0.8349819731555207	0.0	1.4263626231668498	0.6535308371445399	3.9909552234371417	1.3865940253875455	1.6096377476087995	1.6891172237637788	0.0	0.5231652468099807	0.8349819731555207	1.678615431523046
SRR39238477	1.3290887753168332	2.84352381076236	0.0	0.0	4.656059291401307	0.0	0.0	0.0	0.0	0.26653360785836916	0.0	0.0	0.0	1.2739951562964387	0.0	0.0	1.8973527075563914	0.0	0.0	0.0	0.7190343656767871	0.0	0.43048906453000657	0.0	0.43048906453000657	0.0	0.0	4.477904511855008	3.8277498284008145	0.5492303146357644	0.0	0.0	0.6423789355542899	0.26653360785836916	3.9498455941332757	0.6423789355542899	0.8407950334790726	1.4865003421780574	0.0	0.43048906453000657	0.5492303146357644	2.0778027952560407
SRR39238478	1.1755646426252315	3.510396962787671	0.0	0.23952104697823398	4.739312343504836	0.0	0.0	0.0	0.0	0.788959685702134	0.0	0.0	0.23952104697823398	2.2292151881311835	0.0	0.0	2.0201948241370142	0.0	0.0	0.0	0.8821241237342239	0.23952104697823398	0.7336235086955634	0.0	0.39300819255785824	0.39300819255785824	0.0	4.4165165618056434	1.957980692068653	0.0	0.0	0.0	0.39300819255785824	0.23952104697823398	3.822467094492643	0.506187808319067	1.5137910176456164	2.4330813543608	0.0	0.39300819255785824	0.23952104697823398	2.6305068327094503
SRR39238479	1.8575311960794492	3.3607725501047527	0.48984664301042824	0.81764545880494	4.248111001326458	0.0	0.0	1.392303795593866	0.0	0.7141963299725322	2.0943420400545802	0.81764545880494	0.9375387581248369	2.3162531383574585	0.81764545880494	0.7689938430408404	2.890693488459283	0.22952863821888078	0.7141963299725322	2.1448353005844716	2.1821837968916378	1.392303795593866	1.131465522124358	0.48984664301042824	1.9236158292590528	2.239818726764568	0.0	4.58388858129982	4.201697143114925	1.5369025881228675	1.1532545767717328	0.5781353941068448	1.4705936376670452	1.392303795593866	4.147618019816154	2.251838589456212	0.6514725607943774	2.9343282367439962	0.48984664301042824	1.4705936376670452	0.9711281612236932	2.8138737324749883
