SAMPLE_ID	Acidimicrobiia	Acidithiobacillia	Acidobacteriia	Actinobacteria	Alphaproteobacteria	Anaerolineae	Aquificae	Ardenticatenia	Bacilli	Bacteroidia	Betaproteobacteria	Blastocatellia	Caldilineae	Caldisericia	Calditrichae	Candidatus Babeliae	Candidatus Brocadiae	Candidatus Saccharimonia	Chitinophagia	Chlamydiia	Chlorobia	Chloroflexia	Chrysiogenetes	Chthonomonadetes	Clostridia	Coprothermobacteria	Coriobacteriia	Cytophagia	Deferribacteres	Dehalococcoidia	Deinococci	Deltaproteobacteria	Dictyoglomia	Elusimicrobia	Endomicrobia	Epsilonproteobacteria	Erysipelotrichia	Fibrobacteria	Fimbriimonadia	Flavobacteriia	Fusobacteriia	Gammaproteobacteria	Gemmatimonadetes	Gloeobacteria	Halobacteria	Hydrogenophilalia	Ignavibacteria	Kiritimatiellae	Ktedonobacteria	Limnochordia	Methanobacteria	Methanomicrobia	Methylacidiphilae	Mollicutes	Negativicutes	Nitriliruptoria	Nitrososphaeria	Nitrospira	Oligoflexia	Opitutae	Phycisphaerae	Planctomycetia	Rubrobacteria	Saprospiria	Spartobacteria	Sphingobacteriia	Spirochaetia	Synergistia	Tepidiformia	Thermococci	Thermodesulfobacteria	Thermoleophilia	Thermomicrobia	Thermoplasmata	Thermoprotei	Thermotogae	Tissierellia	Verrucomicrobiae	Vicinamibacteria	Zetaproteobacteria
SRR39238458	0.0	0.2845232201704511	0.2845232201704511	2.9210978227143185	2.722270445846002	1.38265179592522	0.0	0.0	3.2675987641977238	4.3453509313885235	4.04275908516288	0.2845232201704511	1.310345094335052	0.0	0.0	0.0	0.0	0.9244488292836341	0.672249367790278	0.2845232201704511	0.0	0.2845232201704511	0.2845232201704511	0.0	4.260713994982339	0.0	1.9919701583079727	2.746709541899118	0.0	2.6234671317985714	0.0	2.483636465405095	0.0	0.0	0.2845232201704511	3.1809344927476433	3.2514593674694603	0.0	0.5770584336887032	1.880574715806508	1.4299375766682039	3.8810517291618005	0.0	0.0	0.0	0.0	0.2845232201704511	0.0	0.672249367790278	0.0	0.0	0.2845232201704511	0.0	2.922541333290689	3.6100908177926256	0.0	0.0	0.0	0.0	0.0	0.0	0.4549697930096429	0.672249367790278	0.0	0.0	0.672249367790278	1.0829619180326364	0.9244488292836341	0.4549697930096429	0.0	0.0	0.0	0.8737779055913726	0.0	0.0	1.414740598175918	4.283500453873084	2.267539167830226	1.9444261054968286	0.0
SRR39238459	0.0	0.5078686793141998	0.8162570405993743	3.108262143219683	2.401177701959797	1.405193392135032	0.0	0.0	3.4798946302074403	4.615638101849218	3.5032084502371608	0.3242922279695523	1.5062523572426172	0.0	0.0	0.0	0.0	0.8842449212144745	0.8162570405993743	0.0	0.0	0.5078686793141998	0.0	0.0	4.443001803397824	0.5078686793141998	1.5755523013555026	2.7164225869395247	0.0	2.3146229598826342	0.8842449212144745	3.039615083944346	0.0	0.0	0.5078686793141998	2.26780013613631	2.663285892984625	0.0	1.490959182233025	1.5062523572426172	1.7849207217497338	3.9411452327616727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6365021828871744	0.0	2.1384158846121135	3.127732242863744	0.0	0.0	0.0	0.0	0.0	0.0	0.3242922279695523	0.5078686793141998	0.0	0.0	1.5210252694051447	0.6365021828871744	0.5078686793141998	0.0	0.0	0.0	0.9430160518896789	0.7356140616170642	0.0	0.0	1.218552958794152	3.2291523958590407	1.8959930730121188	1.1883832988462693	0.0
SRR39238460	0.8296006086054731	0.4651158037848012	1.325128668468289	4.004789801545387	2.603085616156545	1.4596031469639175	0.2920571637001829	0.2920571637001829	3.693169592993024	4.458436450750205	2.8099076133200307	0.9381603417354724	1.09723058688218	0.4651158037848012	0.0	0.0	0.0	0.8296006086054731	2.115540088593489	0.0	0.0	1.09723058688218	0.0	0.0	4.165904323824266	0.0	2.1493083285604784	2.46479952984728	0.6845231183692838	2.3493004271143176	0.5885302526249583	2.560553102811599	0.0	0.0	0.2920571637001829	1.9990764023933776	2.8598365123053378	0.0	1.09723058688218	2.22748290923187	4.134093509159086	3.9882473164196575	1.3975500639205358	0.0	0.0	0.0	0.0	0.0	0.2920571637001829	0.0	1.3975500639205358	0.0	0.0	1.722564299779433	3.0463389865146713	1.0249380022084473	0.0	0.4651158037848012	1.5621356965466555	1.4449011455326333	0.4651158037848012	0.7630918551148449	0.4651158037848012	0.6845231183692838	0.0	1.8333841333641716	0.9381603417354724	1.09723058688218	0.2920571637001829	0.0	0.0	0.4651158037848012	1.3975500639205358	0.0	0.0	0.9381603417354724	3.6839544317183615	2.1994611986207273	1.5843877508799076	0.0
SRR39238461	0.6787028273852911	1.2979821183951046	0.8625315141629659	4.3092577785579325	1.6409743969399284	0.6787028273852911	0.0	0.0	3.2133284277461267	4.17455477523658	2.4531684084986924	0.0	1.3246419585473825	0.0	0.0	0.0	0.0	0.3535973805530279	0.6787028273852911	0.0	0.0	0.7802718192680086	0.0	0.0	4.480058918335259	0.0	2.2480417014005964	1.6532798083185167	0.0	0.3535973805530279	1.0437055205820338	2.2892113061353805	0.0	0.6787028273852911	0.0	2.2571982332592855	2.1360637038113133	0.0	0.0	0.7802718192680086	2.8867689018736975	4.227910734309328	0.3535973805530279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9316639120784467	2.8745505496625254	0.5458863080222456	0.3535973805530279	0.0	0.6787028273852911	0.0	0.0	0.0	0.5458863080222456	0.0	0.0	0.0	0.3535973805530279	0.0	0.0	0.0	0.3535973805530279	0.0	1.090472461117551	0.0	0.0	0.3535973805530279	3.6765769062258338	0.3535973805530279	1.1711634963849018	0.0
SRR39238462	0.0	0.0	0.0	2.3860798211886243	0.8763634741021322	0.0	0.0	0.0	1.8939751223802437	4.825091444112953	2.4227477916901505	0.0	0.4569089795572332	0.0	0.0	0.0	0.0	0.28595966087295693	0.0	0.0	0.0	0.0	0.0	0.0	4.329893388681568	0.0	1.5499369526899864	0.9270782200902347	0.0	0.0	0.0	1.775993966181984	0.0	0.0	0.0	2.749687553832228	1.6035247041765817	0.0	0.0	1.271934230085459	2.5293117196469783	2.076775797359163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28595966087295693	3.0648610784033767	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5792537345579354	0.28595966087295693	0.4569089795572332	0.0	0.0	0.0	0.0	0.4569089795572332	0.0	0.0	0.28595966087295693	2.4134766630051887	2.007035593887878	0.0	0.0
SRR39238463	0.0	0.0	0.0	2.74939773651424	0.6895567435038187	0.0	0.0	0.0	2.9700322738934517	4.57365095467184	3.7341365003975064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7280129714454238	0.0	2.384448573750721	0.0	0.0	0.0	0.0	1.1030636156788862	0.0	0.0	0.0	0.4692911078402967	2.189673536342115	0.0	0.0	0.0	4.5031873709055406	2.466807424803499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9652397912327513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4692911078402967	0.0	0.0	0.0
SRR39238464	0.669949142911826	0.0	0.871246303834543	2.6811540836108727	1.1699098509373707	0.45307388229432766	0.0	0.0	3.4051193963513806	4.552545273314755	3.638279665891917	0.28312044507614953	0.0	0.0	0.0	0.0	0.0	0.0	0.57491086912694	0.0	0.0	0.28312044507614953	0.0	0.0	4.227356167510827	0.0	3.098571071967972	0.7478780661265071	0.0	0.45307388229432766	0.0	1.8028124553833709	0.0	0.0	0.0	2.7030523289748047	2.756563523806017	0.0	0.0	1.0802804697178126	3.5678620121119367	2.5398530530076666	0.45307388229432766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.669949142911826	3.459660176445258	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57491086912694	0.0	0.0	0.28312044507614953	0.0	0.28312044507614953	0.0	0.0	0.0	0.0	0.669949142911826	0.0	0.0	0.28312044507614953	4.266543586431643	3.5719458905929637	0.669949142911826	0.0
SRR39238465	0.832173982085034	0.46710263008956543	1.871574486563364	2.8949935051384057	2.1055744864221264	0.5907726306662318	0.0	0.0	2.874765582883926	4.481219036327872	2.623408656449242	0.0	1.0276728512363484	0.0	0.0	0.0	0.0	1.347280148358071	0.5907726306662318	0.0	0.0	0.0	0.0	0.0	4.648453389047689	0.0	3.156328305899841	1.1000090216342133	0.0	0.46710263008956543	0.0	1.7333466603267564	0.0	0.0	0.0	2.573755408157271	2.237822995784796	0.0	0.2935377775935306	1.1619995634081748	3.3679873364495942	3.368885182793389	1.4478121312941357	0.0	0.0	0.0	0.46710263008956543	0.0	0.46710263008956543	0.0	0.0	0.0	0.0	0.2935377775935306	3.3081434473050852	0.2935377775935306	0.46710263008956543	0.2935377775935306	0.0	0.0	0.0	0.686919619138934	1.1321094094317707	0.0	0.686919619138934	0.9864195321776585	0.2935377775935306	1.1899643411961809	0.0	0.0	0.0	0.46710263008956543	1.666445619410764	0.0	0.0	0.0	3.749660400567876	1.1000090216342133	1.0276728512363484	0.0
SRR39238466	0.8688350799900226	0.28178776328198235	0.7455902765853578	3.206159372476467	1.1096854609143996	0.6677594360402227	0.45127070625067334	0.6677594360402227	2.2992688078858037	4.575911348797856	1.9248588940256286	0.45127070625067334	1.2848008746736101	0.0	0.0	0.0	0.0	0.28178776328198235	0.5728671906860083	0.0	0.0	0.0	0.0	0.0	4.539217745886914	0.0	2.581898162422939	1.1673117228138472	0.0	1.8185278645944616	0.0	1.7321733304389917	0.0	0.0	0.0	1.1673117228138472	3.4459322078824015	0.0	0.0	0.6677594360402227	1.8245103966376484	3.56106195518326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28178776328198235	3.99481421699841	0.28178776328198235	0.0	0.5728671906860083	0.0	0.0	0.0	0.0	0.8115699135628598	0.0	0.0	0.45127070625067334	0.0	0.0	0.0	0.0	0.0	0.0	1.0057469015590188	0.0	0.0	0.28178776328198235	2.547317357920395	1.2415408043047538	0.6677594360402227	0.0
SRR39238467	0.44293786636673427	0.0	0.9531871045918963	2.461048160708336	0.994080219293752	0.0	0.0	0.0	3.4590256180797927	4.548688675646374	3.5647786295197696	0.0	0.5634081082503284	0.0	0.0	0.0	0.0	0.0	0.5634081082503284	0.0	0.0	0.0	0.0	0.0	4.325423736076792	0.0	3.2912906890862397	1.5055048526812496	0.0	0.5634081082503284	0.0	2.1355417359206212	0.0	0.0	0.0	1.0658611926397898	2.2962141956373614	0.0	0.0	0.9080394207745026	4.245838775902947	3.1763497790789517	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7621824450111894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44293786636673427	0.0	0.0	0.5634081082503284	0.0	0.0	0.0	0.0	0.0	0.0	1.1274437890291917	0.0	0.0	0.0	2.9384994724268485	1.1274437890291917	0.0	0.0
