SAMPLE_ID	Acholeplasmatales	Acidaminococcales	Acidiferrobacterales	Acidimicrobiales	Acidithiobacillales	Acidobacteriales	Acidothermales	Actinomycetales	Actinopolysporales	Aeromonadales	Alteromonadales	Anaerolineales	Aquificales	Ardenticatenales	Bacillales	Bacteriovoracales	Bacteroidales	Bacteroidetes Order II. Incertae sedis	Bdellovibrionales	Bifidobacteriales	Brachyspirales	Bradymonadales	Bryobacterales	Burkholderiales	Caldilineales	Caldisericales	Calditrichales	Campylobacterales	Candidatus Babeliales	Candidatus Brocadiales	Candidatus Nanopelagicales	Candidatus Nanosynbacterales	Cardiobacteriales	Catenulisporales	Caulobacterales	Cellvibrionales	Chitinophagales	Chlamydiales	Chlorobiales	Chloroflexales	Chromatiales	Chroococcales	Chroococcidiopsidales	Chrysiogenales	Chthonomonadales	Clostridiales	Coprothermobacterales	Coriobacteriales	Corynebacteriales	Cytophagales	Deferribacterales	Dehalococcoidales	Deinococcales	Desulfarculales	Desulfobacterales	Desulfovibrionales	Desulfurellales	Desulfurobacteriales	Desulfuromonadales	Dictyoglomales	Eggerthellales	Egibacterales	Egicoccales	Elusimicrobiales	Emcibacterales	Endomicrobiales	Enterobacterales	Entomoplasmatales	Erysipelotrichales	Euzebyales	Fibrobacterales	Fimbriimonadales	Flavobacteriales	Frankiales	Fusobacteriales	Gemmatales	Gemmatimonadales	Geodermatophilales	Gloeobacterales	Glycomycetales	Halanaerobiales	Halobacteriales	Holosporales	Hydrogenophilales	Ignavibacteriales	Immundisolibacterales	Isosphaerales	Jiangellales	Kineosporiales	Kiritimatiellales	Kordiimonadales	Kosmotogales	Ktedonobacterales	Lactobacillales	Legionellales	Leptospirales	Limnochordales	Magnetococcales	Marinilabiliales	Mariprofundales	Methanobacteriales	Methanocellales	Methanomassiliicoccales	Methanomicrobiales	Methanosarcinales	Methylacidiphilales	Methylococcales	Micrococcales	Micromonosporales	Mycoplasmatales	Myxococcales	Nakamurellales	Natranaerobiales	Nautiliales	Neisseriales	Nevskiales	Nitrosomonadales	Nitrosopumilales	Nitrososphaerales	Nitrospirales	Nostocales	Oceanospirillales	Opitutales	Orbales	Oscillatoriales	Parachlamydiales	Parvularculales	Pasteurellales	Pelagibacterales	Petrotogales	Phycisphaerales	Pirellulales	Planctomycetales	Pleurocapsales	Propionibacteriales	Pseudomonadales	Pseudonocardiales	Puniceicoccales	Rhizobiales	Rhodobacterales	Rhodocyclales	Rhodospirillales	Rickettsiales	Rubrobacterales	Saprospirales	Sedimentisphaerales	Selenomonadales	Silvanigrellales	Solirubrobacterales	Sphaerobacterales	Sphingobacteriales	Sphingomonadales	Spirochaetales	Sporichthyales	Streptomycetales	Streptosporangiales	Sulfolobales	Synechococcales	Synergistales	Syntrophobacterales	Tepidiformales	Thermales	Thermoanaerobacterales	Thermococcales	Thermodesulfobacteriales	Thermomicrobiales	Thermoproteales	Thermosediminibacterales	Thermotogales	Thiotrichales	Tissierellales	Trueperales	Veillonellales	Verrucomicrobiales	Vibrionales	Xanthomonadales
SRR39238458	2.922910947054319	2.5060246228987886	0.0	0.0	0.28845177450142623	0.0	0.0	1.4225645659126571	0.0	0.4602680148712741	0.7569804915980425	1.390451965288541	0.0	0.0	2.78339506785627	0.0	4.353484753921529	0.0	0.0	1.9337986432169434	0.0	0.0	0.28845177450142623	3.997105404594515	1.3180847275282852	0.0	0.0	3.1890633663377113	0.0	0.0	1.7810590395317285	0.9316229863891826	0.0	0.0	1.8381513127700995	0.4602680148712741	0.6786661899598704	0.0	0.0	0.28845177450142623	1.65625711567837	0.0	0.0	0.28845177450142623	0.0	4.267500613396444	0.0	1.5662067357838827	1.6992401255120162	2.754829288802278	0.0	2.630624617499516	0.0	0.0	1.1802288141924786	2.4399412689775244	0.28845177450142623	0.0	0.7569804915980425	0.0	1.8073638303521375	0.0	0.0	0.0	0.0	0.28845177450142623	2.6896863920676957	0.5830533572912633	3.2595890373957177	0.0	0.0	0.5830533572912633	1.8886027981847504	2.3474917853253627	1.4377722156296127	0.28845177450142623	0.0	0.0	0.0	0.0	1.5878931433623273	0.0	0.4602680148712741	0.0	0.28845177450142623	0.0	0.0	0.0	0.0	0.0	0.0	1.355773940449382	0.6786661899598704	2.9170024930842717	1.5433802425374672	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28845177450142623	0.0	0.0	1.4524653078967327	0.0	0.9316229863891826	0.0	0.6786661899598704	0.0	0.0	2.0239211227513803	0.0	3.072786875015181	0.0	0.0	0.0	0.0	1.961511121722111	0.0	0.28845177450142623	0.4602680148712741	0.28845177450142623	0.0	2.470096714031549	0.0	0.6786661899598704	0.0	0.0	0.28845177450142623	0.28845177450142623	1.2546038236124815	3.3945992115438584	0.0	0.0	1.5433802425374672	2.04287893315773	0.0	0.9770901432403449	1.355773940449382	0.6786661899598704	0.0	0.0	2.69218924605608	0.0	0.0	0.0	0.6786661899598704	2.1564849288560115	1.0904298738728362	0.0	2.4339521558378747	0.0	0.0	0.7569804915980425	0.9316229863891826	0.8233069739520843	0.4602680148712741	0.0	0.5830533572912633	0.0	0.0	0.8808331083476423	0.0	0.0	0.0	0.4602680148712741	4.25322335350332	0.0	3.5238469430208084	2.2756298294785164	2.58198831783026	3.5849220384068277
SRR39238459	2.06386142497274	2.4049972666002812	0.0	0.0	0.5091914710521752	0.0	0.0	0.8178821846391531	0.0	0.32530193305300714	0.8859124142816432	1.407035434706437	0.0	0.0	2.5616696545064714	0.0	4.617555360298767	0.0	0.0	1.443404031317009	0.0	0.0	0.8178821846391531	3.4608765815411857	1.5081100257977065	0.0	0.0	2.2697071148035475	0.0	0.0	1.3876413771566813	0.8859124142816432	0.0	0.0	1.5228849325584608	0.32530193305300714	0.8178821846391531	0.0	0.0	0.5091914710521752	1.042757780996773	0.0	0.0	0.0	0.0	4.444501647285816	0.5091914710521752	0.9964972786992244	1.300036527193262	2.718336216280404	0.0	2.3165309939441117	0.5091914710521752	0.0	0.5091914710521752	3.0281240052072675	0.0	0.0	0.9447151711880644	0.0	1.4605065401678117	0.0	0.0	0.0	0.0	0.5091914710521752	3.348049253449678	0.5091914710521752	2.6651990439558633	0.0	0.0	1.4928147132021863	1.5081100257977065	2.223051494373986	1.7868066339144129	0.0	0.0	0.0	0.0	0.32530193305300714	1.2485711398505255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1226924539551706	0.0	3.366759852974142	0.9964972786992244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6379774577640178	0.0	0.0	1.6796847084438271	0.0	1.2485711398505255	0.32530193305300714	0.7371795673515805	0.0	0.0	1.407035434706437	0.32530193305300714	2.3651068613518778	0.0	0.0	0.0	0.32530193305300714	0.0	0.0	0.0	0.0	0.0	0.0	3.5572535354420567	0.0	0.6379774577640178	0.0	0.0	0.32530193305300714	0.0	0.5091914710521752	2.6974661965851277	0.32530193305300714	0.0	1.2203545890699994	1.407035434706437	0.6379774577640178	1.042757780996773	0.7371795673515805	0.5091914710521752	0.0	0.0	2.8158206714440244	0.0	0.9447151711880644	0.0	1.5228849325584608	2.0199100870317666	0.6379774577640178	0.0	2.9832177660529733	0.0	0.0	0.5091914710521752	0.5091914710521752	0.8178821846391531	0.0	0.0	0.8178821846391531	0.0	0.0	0.7371795673515805	0.0	0.0	0.0	0.0	3.184263652759434	0.0	2.6448409548492458	1.897886069664562	1.300036527193262	3.266816378210397
SRR39238460	1.4705830810396816	1.6561406386788315	0.0	0.8393056081827812	0.472622722974943	1.1398493957332785	0.0	1.2488857449500521	0.0	0.0	1.8194111643951323	1.4705830810396816	0.29766047285393094	0.29766047285393094	3.1449156462610954	1.3552587924529815	4.46980563425186	0.0	1.197780528405908	1.7415443734277636	0.0	0.0	0.9482340523110752	2.6007064653566547	1.1077021323173235	0.472622722974943	0.0	2.006138024363517	0.0	0.0	0.29766047285393094	0.8393056081827812	0.0	0.0	1.7492290666088695	1.7492290666088695	2.1268236475026803	0.0	0.0	1.1077021323173235	0.7725207670369012	0.29766047285393094	0.0	0.0	0.0	4.176191523487778	0.0	1.952350919928232	2.0901991634907913	2.4761306188593464	0.6935661474595634	2.360619790404727	0.29766047285393094	0.5969958525740651	0.6935661474595634	2.4689285986194647	0.0	0.0	0.9482340523110752	0.0	1.7492290666088695	0.0	0.6935661474595634	0.0	0.0	0.29766047285393094	3.7592766359123293	0.897176054153256	2.8711905894837852	0.8393056081827812	0.0	1.1077021323173235	2.238786013789227	2.4213948419406615	4.145462259076075	0.472622722974943	1.4084701205596526	0.0	0.0	0.0	1.4985976069149436	0.0	0.29766047285393094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9482340523110752	0.29766047285393094	3.563662618745375	1.6923409571947081	0.29766047285393094	0.0	0.0	0.0	0.0	1.4084701205596526	0.0	0.0	0.0	0.0	0.0	0.0	1.3552587924529815	0.472622722974943	1.2488857449500521	1.7337212490439189	0.6935661474595634	0.0	0.29766047285393094	2.1836102923853193	1.1398493957332785	2.0144888380100703	0.0	0.0	0.472622722974943	0.0	0.7725207670369012	1.455867657247873	0.9939159086245786	0.0	0.0	0.0	2.871765421410358	0.29766047285393094	0.0	0.0	0.5969958525740651	0.0	0.0	1.391447264593198	2.443507893242603	0.6935661474595634	0.0	2.2054640398414316	1.294605387077745	0.5969958525740651	1.6166462090430191	0.9482340523110752	0.472622722974943	0.6935661474595634	0.472622722974943	2.283304182923136	0.0	0.472622722974943	0.0	1.8445889783884792	1.9071316021967946	0.897176054153256	0.0	3.9905779836262596	0.0	0.0	0.5969958525740651	1.1077021323173235	0.29766047285393094	0.29766047285393094	0.0	0.7725207670369012	0.0	0.0	1.4084701205596526	0.0	0.0	0.0	1.0352467014180595	3.68334343824494	0.0	2.9575016403550327	2.2107598726641866	1.4248508297329945	1.7926833709582943
SRR39238461	0.0	0.3642763898191529	0.0	0.6937805771481368	1.3160343358599174	0.5595563400785861	0.0	1.224337241144212	0.0	0.3642763898191529	0.7961680660093364	0.6937805771481368	0.0	0.0	2.8656685272765765	0.5595563400785861	4.193542281726173	0.0	0.3642763898191529	1.4142577925084858	0.0	0.0	0.6937805771481368	2.178237677763856	1.3427499940526355	0.0	0.0	2.2760842072482323	0.0	0.0	0.0	0.3642763898191529	0.0	0.0	0.0	0.0	0.6937805771481368	0.0	0.0	0.7961680660093364	0.3642763898191529	0.0	0.0	0.0	0.0	4.498974729847461	0.0	2.2282275698778182	1.4561271103880138	1.6718555452740318	0.0	0.3642763898191529	0.0	0.0	0.5595563400785861	2.2214289017472946	0.0	0.0	1.2875669135009447	0.0	1.0610109277024025	0.0	0.3642763898191529	0.6937805771481368	0.0	0.0	4.077472205959001	0.0	2.1549166092270413	0.3642763898191529	0.0	0.0	0.7961680660093364	0.0	2.9057335368135666	0.0	0.3642763898191529	0.0	0.0	0.0	0.5595563400785861	0.0	0.3642763898191529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3642763898191529	0.0	2.9774370979366673	0.3642763898191529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.224337241144212	0.0	0.9484726328027195	0.7961680660093364	0.0	0.0	0.0	2.1217359823791497	0.3642763898191529	0.8789629553342353	0.0	0.3642763898191529	0.0	0.3642763898191529	1.3679170395670754	0.0	1.3679170395670754	0.3642763898191529	0.0	0.0	2.868766432361894	0.0	0.0	0.0	0.0	0.0	0.0	0.5595563400785861	1.9161341600573816	0.0	0.0	1.4756393341536338	0.0	0.0	0.6937805771481368	0.5595563400785861	0.5595563400785861	0.0	0.0	1.2571017768826271	0.0	0.0	0.0	0.0	0.5595563400785861	0.3642763898191529	0.0	4.3259354999487805	0.0	0.0	0.6937805771481368	0.0	0.0	0.0	0.0	0.3642763898191529	0.0	0.3642763898191529	1.1079500191478568	0.0	0.0	0.0	0.0	3.6923299937762946	0.0	2.883187035750875	0.3642763898191529	1.4943124660121823	0.8789629553342353
SRR39238462	0.0	2.7746030982781726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.638519203580752	0.0	4.821423620016069	0.0	0.0	1.5348281380879236	0.28420015880238747	0.0	0.0	2.419105889216472	0.4545333524218408	0.0	0.0	2.746038315163032	0.0	0.0	0.0	0.28420015880238747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.326143115812795	0.0	1.5107495173866543	0.5765641723335088	0.9238564715944789	0.0	0.0	0.0	0.0	0.0	1.7723996814730905	0.0	0.0	0.0	0.0	0.5765641723335088	0.0	0.0	0.0	0.0	0.0	1.8174230781172092	0.0	1.5999603938271307	0.0	0.0	0.0	1.2684746930819826	2.271189975372686	2.52566679943913	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5348281380879236	0.0	0.0	0.0	0.0	0.4545333524218408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5765641723335088	0.0	0.28420015880238747	0.0	0.28420015880238747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28420015880238747	0.0	0.0	0.0	0.0	0.0	1.3289403897099592	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4545333524218408	0.0	0.8731954563904034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28420015880238747	0.0	0.0	0.0	0.5765641723335088	0.0	0.0	0.0	1.0823450753173698	0.0	0.0	0.0	0.4545333524218408	0.0	0.0	0.0	0.4545333524218408	0.0	0.0	0.4545333524218408	0.0	0.0	0.28420015880238747	0.0	2.3423888162275848	0.0	2.745317592701599	2.0034159427162437	0.28420015880238747	0.4545333524218408
SRR39238463	0.0	2.4522055475115345	0.0	0.0	0.0	0.0	0.0	1.2648273846675349	0.0	0.0	0.0	0.0	0.0	0.0	2.594918031583075	0.0	4.570736692054046	0.0	0.0	2.2798290394135443	0.0	0.0	0.0	3.730598604417361	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7250991777793714	0.0	2.21326210148941	1.417204532234185	0.0	0.0	0.0	0.0	0.0	0.0	1.0280378868600282	0.0	0.0	0.0	0.0	1.8939565896469395	0.0	0.0	0.0	0.0	0.0	2.0959925585551304	0.0	2.1867780893050845	0.0	0.0	0.0	0.0	0.0	4.500273122035627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6356278554146884	0.4673680816386144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4673680816386144	0.0	0.0	0.4673680816386144	0.6872396346180483	0.0	0.4673680816386144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7259215534097676	0.0	0.0	0.0	0.0	0.0	0.0	0.6872396346180483	0.4673680816386144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5042540489008442	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.497216259695816	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4673680816386144	0.0	3.9472313710682236	0.0	0.0	0.0
SRR39238464	0.4508165938636191	1.4926324521046521	0.0	0.6672076719520066	0.0	0.6672076719520066	0.0	1.3595366281816277	0.0	0.7450137159350523	1.341877564835234	0.4508165938636191	0.0	0.0	3.0292541731664033	0.0	4.5490552848660775	0.0	0.0	2.517543862315553	0.0	0.0	0.5723523314701439	3.631194751207106	0.0	0.0	0.0	2.6995691850144823	0.0	0.0	0.0	0.0	0.0	0.0	0.281452368002162	0.0	0.5723523314701439	0.0	0.0	0.281452368002162	0.4508165938636191	0.0	0.0	0.0	0.0	4.223393022813781	0.0	3.0801969947850267	1.8297191127170453	0.7450137159350523	0.0	0.4508165938636191	0.0	0.0	0.0	1.7734792024981485	0.0	0.0	0.5723523314701439	0.0	1.6329106543320433	0.0	0.0	0.0	0.0	0.0	2.368324314878699	0.0	2.7530795750178805	0.0	0.0	0.0	1.0770815596071905	0.0	3.5643728732871245	0.0	0.4508165938636191	0.0	0.0	0.0	0.4508165938636191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.281452368002162	0.0	3.159976123888608	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.005113401247464	0.4508165938636191	0.4508165938636191	0.281452368002162	0.0	0.0	0.0	1.284134468050911	0.281452368002162	0.8109755454394564	0.0	0.0	0.0	0.6672076719520066	0.4508165938636191	0.0	0.0	0.281452368002162	0.0	0.0	1.6509724866411113	0.0	0.0	0.0	0.0	0.0	0.0	0.5723523314701439	0.6672076719520066	0.4508165938636191	0.0	0.7450137159350523	0.6672076719520066	0.0	0.281452368002162	0.0	0.5723523314701439	0.0	0.0	1.9426287481157867	0.0	0.0	0.0	0.281452368002162	0.6672076719520066	0.0	0.0	1.3928364385027499	0.0	0.0	0.0	0.281452368002162	0.0	0.0	0.0	1.1388017961331298	0.0	0.0	0.6672076719520066	0.0	0.0	0.0	0.0	4.261928522982852	0.0	3.4380677588031543	3.568456742897253	0.7450137159350523	1.1090371863066195
SRR39238465	0.0	2.594463087199281	0.0	0.8339581992792501	0.4684817451196271	1.620751250402931	0.0	1.163947241303517	0.0	0.8917150005045176	1.163947241303517	0.5923283576851526	0.0	0.0	2.496218873592732	0.0	4.483310346312107	0.0	0.0	2.270345505724282	0.0	0.5923283576851526	1.5314210660473138	2.598731052734157	1.029568430200482	0.0	0.0	2.575841219859098	0.0	0.0	0.0	1.3492777377402372	0.0	0.0	0.988295595418064	0.29456652940031236	0.5923283576851526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.650346781184606	0.0	3.14504540072271	2.139356864706788	1.1019346475477914	0.0	0.4684817451196271	0.0	0.0	0.0	1.5058898360590989	0.0	0.0	0.9426845437481568	0.0	1.6500205868633535	0.0	0.29456652940031236	0.0	0.0	0.0	3.1414086571651794	0.0	2.239902308461946	0.0	0.0	0.29456652940031236	1.163947241303517	2.008290621891532	3.370077821195998	0.6885817755724549	1.449829103388889	0.29456652940031236	0.0	0.0	0.0	0.0	0.8339581992792501	0.0	0.4684817451196271	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4684817451196271	2.6431028070064237	0.0	0.29456652940031236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4188286052161787	0.8917150005045176	0.29456652940031236	1.0672570905051968	0.0	0.0	0.0	0.9426845437481568	0.0	0.988295595418064	0.0	0.4684817451196271	0.29456652940031236	0.0	0.29456652940031236	0.0	0.0	0.0	0.0	0.0	1.4787634145980575	0.4684817451196271	0.0	0.0	0.0	0.0	0.0	1.309823869516774	2.0164827474927045	0.0	0.0	1.7865257881096026	1.1019346475477914	0.29456652940031236	1.28866600434014	0.29456652940031236	1.1340468470588159	0.0	0.0	3.0962266685054627	0.0	0.4684817451196271	0.0	0.988295595418064	0.8917150005045176	0.0	0.0	2.359943442819338	0.0	0.0	0.0	1.1919209819554293	0.0	0.0	0.0	1.2182014005301667	0.0	0.0	1.668492023997055	0.0	0.0	0.0	0.5923283576851526	3.7213775983816673	0.0	2.6061005314252204	1.1019346475477914	0.6885817755724549	1.24298185068387
SRR39238466	0.2804066092358924	2.6453449689531836	0.0	0.8663298103122833	0.2804066092358924	0.0	0.0	0.962142415980483	0.0	0.0	1.648826126492615	0.6654855090738031	0.449399878269209	0.6654855090738031	1.9124604200858306	0.0	4.573002452217744	0.0	0.0	2.760568487248027	0.0	0.0	0.7432139460944253	1.8667576801124384	1.2820533497006539	0.0	0.0	1.1646110706502952	0.0	0.0	0.0	0.2804066092358924	0.0	0.0	0.2804066092358924	0.0	0.5707456376255282	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.536113056433879	0.0	2.562061334179494	0.6654855090738031	1.1646110706502952	0.0	1.8156735861942417	0.0	0.0	0.0	1.6214468475714268	0.0	0.0	0.5707456376255282	0.0	1.1907777759953362	0.0	0.2804066092358924	0.0	0.0	0.0	3.5162056791520593	0.0	3.443034807413044	0.0	0.0	0.0	0.6654855090738031	0.9168730043941448	1.821655514072086	0.0	0.0	0.0	0.0	0.0	0.449399878269209	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2804066092358924	0.0	2.0515044559479927	0.0	0.0	0.0	0.0	0.2804066092358924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.809120031424442	0.2804066092358924	0.0	0.5707456376255282	0.0	0.0	0.0	0.8663298103122833	0.0	0.6654855090738031	0.0	0.0	0.5707456376255282	0.2804066092358924	0.0	0.0	0.0	0.0	0.0	0.0	1.944954081555349	0.0	0.0	0.0	0.0	0.0	0.0	0.449399878269209	0.7432139460944253	0.2804066092358924	0.0	0.449399878269209	0.5707456376255282	0.0	0.6654855090738031	0.2804066092358924	0.809120031424442	0.0	0.0	3.57630655869626	0.0	0.0	0.2804066092358924	0.449399878269209	0.0	0.0	0.0	2.9891746101949663	0.2804066092358924	0.0	0.0	0.0	0.0	0.0	0.0	1.1070128668938448	0.0	0.0	0.962142415980483	0.0	0.0	0.0	0.0	2.5421716814885125	0.0	3.7486502254800413	1.2388090833466419	0.9168730043941448	0.0
SRR39238467	0.0	2.5942609332270528	0.0	0.44048615075990943	0.0	0.44048615075990943	0.0	0.9497758621149786	0.0	0.0	1.3931140370896458	0.0	0.0	0.0	2.7191661350341696	0.0	4.544848073473201	0.0	0.0	2.355671365916554	0.0	0.0	0.8543423223938995	3.5566177402227197	0.5606203251978075	0.0	0.0	1.0623518463397614	0.0	0.0	0.0	0.0	0.0	0.0	0.44048615075990943	0.0	0.5606203251978075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.3215468099519665	0.0	3.2750720095535755	0.0	1.5017845807891956	0.0	0.5606203251978075	0.0	0.0	0.0	2.117407863737503	0.0	0.0	0.44048615075990943	0.0	1.7441107697737324	0.0	0.0	0.0	0.0	0.0	2.643776678162027	0.0	2.2923929877712674	0.0	0.0	0.0	0.9046752016823292	0.7318532744691881	4.241998283700426	0.0	0.0	0.0	0.0	0.0	0.27384743989764165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.3667598852385416	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6546218789670962	0.0	0.0	0.5606203251978075	0.0	0.0	0.0	1.3441517194330794	0.0	0.27384743989764165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0038133845508574	0.0	0.0	0.0	0.0	0.0	0.0	0.5606203251978075	0.27384743989764165	0.0	0.0	0.27384743989764165	0.0	0.6546218789670962	0.7318532744691881	0.0	0.44048615075990943	0.0	0.0	3.6496947738589127	0.0	0.0	0.0	0.5606203251978075	0.44048615075990943	0.0	0.0	1.6171913364995127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27384743989764165	0.0	0.0	1.1238906493015217	0.0	0.0	0.0	0.0	2.9324397853117343	0.0	2.943444775897669	1.1238906493015217	0.0	0.27384743989764165
