Run	BioProject	sample_alias	env_material	time	ID
SRR39238554	PRJNA1480144	ILPr01	fecal	Pre	01
SRR39238457	PRJNA1480144	ILPo01	fecal	Post	01
SRR39238553	PRJNA1480144	ILPr02	fecal	Pre	02
SRR39238456	PRJNA1480144	ILPo02	fecal	Post	02
SRR39238532	PRJNA1480144	ILPr03	fecal	Pre	03
SRR39238521	PRJNA1480144	ILPr04	fecal	Pre	04
SRR39238498	PRJNA1480144	ILPr06	fecal	Pre	06
SRR39238471	PRJNA1480144	ILPr07	fecal	Pre	07
SRR39238492	PRJNA1480144	ILPr08	fecal	Pre	08
SRR39238481	PRJNA1480144	ILPr09	fecal	Pre	09
SRR39238454	PRJNA1480144	ILPr10	fecal	Pre	10
SRR39238455	PRJNA1480144	ILPo10	fecal	Post	10
SRR39238519	PRJNA1480144	ILPr11	fecal	Pre	11
SRR39238552	PRJNA1480144	ILPr12	fecal	Pre	12
SRR39238541	PRJNA1480144	ILPr13	fecal	Pre	13
SRR39238540	PRJNA1480144	ILPr14	fecal	Pre	14
SRR39238539	PRJNA1480144	ILPr15	fecal	Pre	15
SRR39238538	PRJNA1480144	ILPr16	fecal	Pre	16
SRR39238537	PRJNA1480144	ILPr17	fecal	Pre	17
SRR39238453	PRJNA1480144	ILPo17	fecal	Post	17
SRR39238536	PRJNA1480144	ILPr18	fecal	Pre	18
SRR39238535	PRJNA1480144	ILPr19	fecal	Pre	19
SRR39238534	PRJNA1480144	ILPr20	fecal	Pre	20
SRR39238533	PRJNA1480144	ILPr21	fecal	Pre	21
SRR39238531	PRJNA1480144	ILPr22	fecal	Pre	22
SRR39238530	PRJNA1480144	ILPr23	fecal	Pre	23
SRR39238529	PRJNA1480144	ILPr24	fecal	Pre	24
SRR39238528	PRJNA1480144	ILPr25	fecal	Pre	25
SRR39238527	PRJNA1480144	ILPr26	fecal	Pre	26
SRR39238526	PRJNA1480144	ILPr27	fecal	Pre	27
SRR39238452	PRJNA1480144	ILPo27	fecal	Post	27
SRR39238525	PRJNA1480144	ILPr28	fecal	Pre	28
SRR39238451	PRJNA1480144	ILPo28	fecal	Post	28
SRR39238450	PRJNA1480144	ILPo29	fecal	Post	29
SRR39238524	PRJNA1480144	ILPr30	fecal	Pre	30
SRR39238449	PRJNA1480144	ILPo30	fecal	Post	30
SRR39238523	PRJNA1480144	ILPr31	fecal	Pre	31
SRR39238448	PRJNA1480144	ILPo31	fecal	Post	31
SRR39238522	PRJNA1480144	ILPr32	fecal	Pre	32
SRR39238447	PRJNA1480144	ILPo32	fecal	Post	32
SRR39238508	PRJNA1480144	ILPr33	fecal	Pre	33
SRR39238446	PRJNA1480144	ILPo33	fecal	Post	33
SRR39238507	PRJNA1480144	ILPr34	fecal	Pre	34
SRR39238445	PRJNA1480144	ILPo34	fecal	Post	34
SRR39238506	PRJNA1480144	ILPr35	fecal	Pre	35
SRR39238520	PRJNA1480144	ILPo35	fecal	Post	35
SRR39238505	PRJNA1480144	ILPr36	fecal	Pre	36
SRR39238518	PRJNA1480144	ILPo36	fecal	Post	36
SRR39238504	PRJNA1480144	ILPr37	fecal	Pre	37
SRR39238517	PRJNA1480144	ILPo37	fecal	Post	37
SRR39238503	PRJNA1480144	ILPr38	fecal	Pre	38
SRR39238516	PRJNA1480144	ILPo38	fecal	Post	38
SRR39238502	PRJNA1480144	ILPr39	fecal	Pre	39
SRR39238515	PRJNA1480144	ILPo39	fecal	Post	39
SRR39238501	PRJNA1480144	ILPr40	fecal	Pre	40
SRR39238514	PRJNA1480144	ILPo40	fecal	Post	40
SRR39238500	PRJNA1480144	ILPr41	fecal	Pre	41
SRR39238513	PRJNA1480144	ILPo41	fecal	Post	41
SRR39238499	PRJNA1480144	ILPr42	fecal	Pre	42
SRR39238512	PRJNA1480144	ILPo42	fecal	Post	42
SRR39238497	PRJNA1480144	ILPr43	fecal	Pre	43
SRR39238511	PRJNA1480144	ILPo43	fecal	Post	43
SRR39238496	PRJNA1480144	ILPr44	fecal	Pre	44
SRR39238495	PRJNA1480144	ILPr45	fecal	Pre	45
SRR39238510	PRJNA1480144	ILPo45	fecal	Post	45
