bugName	pval	p1	p3	p6	s1	s3	s6	Adjustedpval	Adjustedp1	Adjustedp3	Adjustedp6
Veillonellales	7.87896345104677e-05	0.000316137503050864	0.00192263109316107	2.21911900292168e-05	0.629542311241646	0.538697581772928	0.717057995097055	0.00653953966436882	0.0262394127532217	0.0250442529615599	0.00184186877242499
Acholeplasmatales	0.000439208153643067	0.00065114392795685	0.00126348546348898	0.000349790374999711	-0.219649297560046	-0.207225556892507	-0.222689241008839	0.014604278992328	0.026927701795757	0.0250442529615599	0.0058065202249952
Mycoplasmatales	0.000682157334682354	0.00221714633710895	0.00010879029882076	0.0469838483929616	-0.285271342243639	-0.364785552491023	-0.17594306850106	0.014604278992328	0.0460057864950108	0.00902959480212307	0.259977294441054
Glycomycetales	0.000703820674329059	0.00285130123531753	0.00197165937770144	0.000208462274003226	-0.174259088377024	-0.180985594909634	-0.210438530404877	0.014604278992328	0.047331600506271	0.0250442529615599	0.0048226030425913
Desulfuromonadales	0.00107100605601018	0.0153666408313793	0.0053004596285666	0.000125752154317647	-0.17610644425869	-0.203335459629668	-0.272781951506009	0.017778700529769	0.10628593241704	0.0417901247815285	0.0048226030425913
Thermoanaerobacterales	0.00221897314055619	0.0137760737487295	0.0163084987449567	0.000232414604462232	-0.111085831113183	-0.1082679686052	-0.162150572210695	0.0271588509212494	0.103946738285868	0.0966860997022435	0.0048226030425913
Actinomycetales	0.00229050549938248	0.00650986000748562	0.00035733515861354	0.0125895595286934	-0.313471998287595	-0.415508541819875	-0.275141433693817	0.0271588509212494	0.0754649271373931	0.0148294090824619	0.104493344088155
Entomoplasmatales	0.00354333104774462	0.00862640441986527	0.00553845027225076	0.000910520153043106	-0.201251099608936	-0.212870685490053	-0.246166853312322	0.0341417548202186	0.0795546185387574	0.0417901247815285	0.012595528783763
Oceanospirillales	0.00370211799255382	0.00727372791685717	0.000942174897893232	0.0066774346464616	-0.239181300654955	-0.296838545811025	-0.231754074459369	0.0341417548202186	0.0754649271373931	0.0250442529615599	0.0692783844570391
Selenomonadales	0.00506805186222303	0.221561985076377	0.771293829411334	0.0175448377998527	-0.165737076222808	-0.0393067145579097	0.311486393089506	0.0387507114359038	0.61298815871131	0.90757235007827	0.121187375609563
Bifidobacteriales	0.00513563645536075	0.000973290426352663	0.0150212757852152	0.298578597405376	-0.553919316986731	-0.404555790992024	-0.164158190131935	0.0387507114359038	0.026927701795757	0.0959050684748358	0.687476190569786
Desulfovibrionales	0.0102583782219559	0.0342972791303474	0.00211216591242071	0.00926154002816059	-0.306408917572057	-0.449272708847847	-0.361660848253374	0.0709537827018613	0.203333869129917	0.0250442529615599	0.0854119802597032
Leptospirales	0.0176409281190912	0.699224800335209	0.00469210418625494	0.0550134336941321	-0.0125092150951839	-0.0929245896633752	-0.060111933775374	0.105195880823429	0.883333731721	0.0417901247815285	0.268594999800762
Thermodesulfobacteriales	0.0177438835123855	0.0380541093426966	0.00978997848389645	0.00535530017762817	-0.098979552455964	-0.123822760442519	-0.129047329852869	0.105195880823429	0.210566071696255	0.0677140178469505	0.0634985592490197
Rhodobacterales	0.0273411697603156	0.0219105889507874	0.00536625675911956	0.066619629683254	-0.123135408236255	-0.1503008015009	-0.0943975682200824	0.15128780600708	0.139890683301181	0.0417901247815285	0.30719051465056
Pseudomonadales	0.0331164959149928	0.366606342843384	0.0186347699276204	0.633021597724849	-0.110965280074883	-0.291782990786424	0.056346037668385	0.171791822559025	0.76597134245771	0.0997657847746601	0.86056705492531
Immundisolibacterales	0.039952055211891	0.00582344093266324	0.0582283793620072	0.254755847155679	0.10024382685947	0.0683232878302023	0.0392943341553381	0.195060034269821	0.0754649271373931	0.213832191621839	0.640749554967313
Acidaminococcales	0.0611943861734026	0.739349095217252	0.0828399750746404	0.0189811552159557	-0.0528171289057064	-0.276857820456389	-0.359100031209202	0.282174114021801	0.889361955116404	0.264450689661352	0.121187375609563
Micrococcales	0.0776759790096639	0.0116893909791252	0.0815267169628232	0.170098393425785	-0.225828311946232	-0.155025467097945	-0.116924070053587	0.339321381989585	0.0970219451267389	0.264450689661352	0.536790721465051
Sphingomonadales	0.0825670272184824	0.826250294426426	0.0192319585107779	0.716713032257005	-0.0139492505528055	-0.150310811204165	-0.0221563257809154	0.342653162956702	0.95837474504964	0.0997657847746601	0.874514830668129
