bugName	pval	p1	p3	p6	s1	s3	s6	Adjustedpval	Adjustedp1	Adjustedp3	Adjustedp6
Oscillospiraceae	1.35934169790408e-05	0.00529342900137554	3.43151180612554e-05	6.24684586796035e-06	-0.291022310357569	-0.440245067779012	-0.461069819114004	0.00220213355060461	0.0952817220247597	0.00555904912592337	0.000745728312132705
Veillonellaceae	3.0589335819009e-05	0.000190076310816267	0.000928373322903953	9.20652237200871e-06	0.649911451162251	0.573398472411776	0.748295630829832	0.00247773620133973	0.0307923623522353	0.0300792956620881	0.000745728312132705
Selenomonadaceae	0.000327358135912448	0.190246417253319	0.709460129977646	0.00282747816347275	-0.184841781362217	-0.0524199683248371	0.410270378677658	0.0145160908877213	0.601635097561721	0.914578618058731	0.0416410420438714
Planococcaceae	0.000358421997227687	0.000677351570878143	0.00115942532671658	0.000244211622717444	-0.194818336701697	-0.185867976156212	-0.203731080346679	0.0145160908877213	0.0548654772411296	0.0313044838213476	0.00791245657604517
Geobacteraceae	0.000829705483494036	0.00309280821749723	0.0148631522896081	0.000115209048411902	-0.198474507627126	-0.162528323490993	-0.251839571849086	0.0225192463894197	0.0711191731531994	0.126880459050556	0.00622128861424272
Glycomycetaceae	0.0008340461625711	0.00285552166008137	0.00306159909787145	0.000213061154191009	-0.168836760509621	-0.167584921344618	-0.203561644790383	0.0225192463894197	0.0711191731531994	0.0554521725229829	0.00791245657604517
Mycoplasmataceae	0.0012719086331372	0.00325744130782075	0.000237121491243087	0.0952589238698385	-0.27292199508891	-0.344157337720388	-0.14699143239965	0.0277264375017394	0.0711191731531994	0.01920684079069	0.376388918705216
Ruminococcaceae	0.00136920679020935	0.0251163299885021	0.000390297747888386	0.00126294821080047	-0.291622555001282	-0.468560019261037	-0.404876760034293	0.0277264375017394	0.226046969896519	0.0206699060622162	0.0245743894168906
Acholeplasmataceae	0.00154320386073692	0.00202160360440492	0.00269979083073212	0.000895529475700701	-0.195019659299065	-0.189328150244639	-0.202974561275661	0.0277776694932645	0.0711191731531994	0.0554521725229829	0.0241792958439189
Actinomycetaceae	0.00314852888168971	0.00666461186215742	0.00051036805091892	0.0181941612906939	-0.30392754029541	-0.39284524701198	-0.252951920726622	0.0510061678833732	0.0981515565154093	0.0206699060622162	0.13355960172127
Desulfobacteraceae	0.00487362932750202	0.0130968117891227	0.00780353645366878	0.00104489017500762	-0.111339438542658	-0.119597788899794	-0.142946775114413	0.071775268277757	0.141243307178194	0.0902980646781673	0.0241817440501764
Paenibacillaceae	0.0054265365009557	0.0754395796619025	0.00418745457755249	0.00136524385649392	-0.191363775287747	-0.311239581103171	-0.335343505516353	0.073258242762902	0.394232642104136	0.0565306367969586	0.0245743894168906
Bifidobacteriaceae	0.0065423571619756	0.0012051438012818	0.0233320429719164	0.368030161752802	-0.53576006994508	-0.371470706074644	-0.140117371020268	0.0813393410330323	0.0650777652692171	0.164338737454368	0.722005394533429
Spiroplasmataceae	0.00702932576828674	0.013949956264513	0.00903498137885348	0.00168623532800643	-0.183176375044895	-0.194802166279454	-0.226573659203037	0.0813393410330323	0.141243307178194	0.0975777988916176	0.0273170123137041
Leuconostocaceae	0.00953613092242611	0.00351205793349133	0.0123844650769087	0.00778423689393368	-0.271503293598884	-0.231618845704264	-0.237361642277798	0.102990213962202	0.0711191731531994	0.118016667203483	0.0900747412012326
Leptospiraceae	0.0159470457362104	0.514636879486553	0.00308067625127683	0.0476604372000476	-0.0212510018394104	-0.0980665399199722	-0.0625109904132073	0.161463838079131	0.87332578235189	0.0554521725229829	0.241280963325241
Halomonadaceae	0.0180927344604607	0.0132825420931183	0.00376576634850298	0.102151624192619	-0.185208613999946	-0.217643911626053	-0.116439163558077	0.172413116623213	0.141243307178194	0.0565306367969586	0.394013407600103
Desulfovibrionaceae	0.0205421532096122	0.038687215788267	0.00401249475021461	0.0189202710718896	-0.299246104159027	-0.4196427168919	-0.32544976045974	0.18487937888651	0.261138706570802	0.0565306367969586	0.13355960172127
Vallitaleaceae	0.0224007387547829	0.00889049758600654	0.0262128802935415	0.0113402269350912	-0.13738478723078	-0.116312895124816	-0.128122924340487	0.186420376848159	0.120021717411088	0.173738088863027	0.114819797717799
Thermodesulfobacteriaceae	0.0230148613392789	0.0320186443806372	0.0148810414935838	0.00665101870545097	-0.100225661863772	-0.114122402158336	-0.123031553369264	0.186420376848159	0.261138706570802	0.126880459050556	0.0897887525235881
Sphingomonadaceae	0.025162635073313	0.364309709878614	0.00767568000252599	0.0179068815875182	-0.0347443361332053	-0.103338613181626	-0.0882756049424772	0.194111756279843	0.775332548011593	0.0902980646781673	0.13355960172127
Granulosicoccaceae	0.0345117495654521	0.046491598403524	0.0194620484116241	0.00969117433121144	-0.0744317383868691	-0.0876045717171116	-0.0938385821998143	0.254131974072875	0.290451535331412	0.150135802032529	0.104664682777084
Listeriaceae	0.0386697698093574	0.437700809046355	0.0573644364375336	0.00734929420122295	-0.0693764748325937	-0.170870897209478	-0.232661456641992	0.260874981283221	0.837524639215672	0.281607233420619	0.0900747412012326
Clostridiales Family XVII. Incertae Sedis	0.0399274870098665	0.0356471863269337	0.0213104104317136	0.0136010976829711	-0.131764380321737	-0.144647674191119	-0.149441342731345	0.260874981283221	0.261138706570802	0.156922113178982	0.12240987914674
Peptococcaceae	0.0402584847659292	0.0352312046199795	0.018011717735227	0.0165460034862688	-0.13232817666329	-0.148978018286002	-0.145717847185791	0.260874981283221	0.261138706570802	0.145894913655339	0.13355960172127
