bugName	pval	p1	p3	p6	s1	s3	s6	Adjustedpval	Adjustedp1	Adjustedp3	Adjustedp6
Mollicutes	0.000744071805489854	0.00332896337274708	9.27153155010261e-05	0.0286452957858655	-0.280822796770356	-0.37876462621395	-0.199513026830732	0.0290188004141043	0.0432765238457121	0.00361589730454002	0.16366160294009
Actinobacteria	0.00196236466420485	0.00030209676419158	0.00485100915583657	0.0813134494355365	-0.538760212914931	-0.415848580990978	-0.244309926131647	0.0363550043782319	0.0117817738034716	0.0472973392694065	0.293277128816798
Negativicutes	0.00279653879832553	0.000759403415897329	0.010697546936785	0.00343148163099554	0.508173503527117	0.381657752803868	0.421714487972805	0.0363550043782319	0.0148083666099979	0.0719885145039267	0.119088443235463
Spirochaetia	0.00527014265997627	0.376746995241845	0.000837504388773854	0.0270501979294392	-0.0301069915857062	-0.116049961014848	-0.0729184063998004	0.0513838909347687	0.787399751186413	0.0163313355810902	0.16366160294009
Deltaproteobacteria	0.019023894909857	0.0387993220000706	0.00426571196925661	0.0142632890493241	-0.267348605315657	-0.37252695554312	-0.30428397222964	0.13489662209202	0.285248531767555	0.0472973392694065	0.149737765008319
Thermodesulfobacteria	0.0207533264756954	0.0438843895027008	0.0110751560775272	0.00610709965310069	-0.0915414212424471	-0.115924725864678	-0.120941651643685	0.13489662209202	0.285248531767555	0.0719885145039267	0.119088443235463
Fusobacteriia	0.0841262998377503	0.422542113914814	0.709796079562939	0.0153577194880327	0.147687993425451	0.0684602740148104	0.431951308087332	0.468703670524609	0.787399751186413	0.794820415855451	0.149737765008319
Opitutae	0.114410408905523	0.030360851393881	0.134197171985816	0.050092925011629	-0.0589199642311381	-0.0405646838818487	-0.0513537735320991	0.557750743414424	0.285248531767555	0.436140808953901	0.244203009431691
Anaerolineae	0.150198067906449	0.598704564867682	0.580913151226079	0.0812895608281714	0.0301347675084113	-0.0316130476226093	-0.0962781934250046	0.570773734833072	0.918487053892195	0.772858538349287	0.293277128816798
Deinococci	0.154250415403555	0.0760087344968605	0.0510458989728379	0.082719190179097	-0.0755186219301531	-0.0831464610074391	-0.0710815207430748	0.570773734833072	0.356484451612107	0.283314629791479	0.293277128816798
Erysipelotrichia	0.174041524521399	0.612324702594797	0.0653802991826489	0.796627699778166	-0.0761055247518722	-0.278390179694801	0.0370880424695073	0.570773734833072	0.918487053892195	0.283314629791479	0.8876708654671
Caldilineae	0.183307305345162	0.42552979849846	0.383977273818409	0.0293751595020675	0.0335000456177556	0.0366080757371592	0.088624384095734	0.570773734833072	0.787399751186413	0.772858538349287	0.16366160294009
Alphaproteobacteria	0.190257911611024	0.86692413716976	0.0807266659674035	0.754894216895524	-0.0221313625960345	-0.231997732703417	0.0395222063592857	0.570773734833072	0.96632084687422	0.314833997272874	0.8876708654671
Coriobacteriia	0.220390704108322	0.0560080431264509	0.119914459836494	0.438354769222109	-0.277045004879061	-0.224927018882583	-0.107212804667229	0.613945532873183	0.312044811704512	0.425151266693025	0.879491648067828
Ignavibacteria	0.298036442721427	0.300720393216249	0.0617590075571822	0.220529317815676	-0.130408205330262	-0.236479843590596	-0.148109283965622	0.766259901629909	0.787399751186413	0.283314629791479	0.573376226320758
Bacteroidia	0.314363036566117	0.677193051233066	0.470214837689482	0.170018749885578	-0.0601280233813523	0.104370240615107	0.190138063108723	0.766259901629909	0.96632084687422	0.772858538349287	0.510056249656735
Fimbriimonadia	0.372292130109538	0.0914062696441299	0.348889058518874	0.660766780068611	0.0847873233452612	0.0468751757570861	0.0210887928827615	0.798260786796755	0.356484451612107	0.772858538349287	0.8876708654671
Chlamydiia	0.386845006109594	0.18759349640414	0.806278266925397	0.831951885279151	0.0365660787945842	-0.00678329163670012	-0.00566586527510129	0.798260786796755	0.609678863313455	0.849860875948392	0.901281209052414
