SAMPLE_ID	Acidobacteria	Actinobacteria	Aquificae	Bacteroidetes	Candidatus Omnitrophica	Candidatus Saccharibacteria	Chlamydiae	Chloroflexi	Chrysiogenetes	Cyanobacteria	Deferribacteres	Deinococcus-Thermus	Elusimicrobia	Firmicutes	Fusobacteria	Gemmatimonadetes	Kiritimatiellaeota	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Thermodesulfobacteria	Thermotogae	Verrucomicrobia
ERR1624536	0.0	3.3040938285052124	0.25896620339938253	3.528276248824943	0.0	0.0	0.0	0.25896620339938253	0.0	1.3620130249821365	0.0	0.0	0.0	4.0551593300417625	0.25896620339938253	0.0	0.0	2.18139838326558	0.0	0.25896620339938253	0.0	0.0	0.25896620339938253	0.7702808933911074
ERR1624537	0.0	3.3442953927229735	0.0	3.612886491954758	0.0	0.0	0.9141087289031915	0.0	0.0	0.3426058852451005	0.0	0.3426058852451005	0.0	4.003270361984905	0.0	0.0	0.0	2.718836862781155	0.0	0.3426058852451005	0.0	0.0	0.3426058852451005	0.7637059285775676
ERR1624538	0.0	2.5622798570043708	0.0	3.7493494587902645	0.0	0.3160869982280087	0.0	0.0	0.0	1.14134543590128	0.0	0.0	0.0	4.021452560545679	0.0	0.0	0.0	2.609317690825632	0.0	0.3160869982280087	1.2583713892759485	0.0	0.0	0.3160869982280087
ERR1624539	0.0	3.4575058501580096	0.0	2.9155772181844846	0.0	0.481149579934255	0.8502704855225611	1.1517287504138418	0.0	0.6065892400884516	0.0	0.481149579934255	0.0	4.100009783771835	0.30405473712323106	0.0	0.0	2.5869378237604974	2.342460705563063	0.0	1.1517287504138418	0.0	0.0	0.0
ERR1624540	0.0	3.74789725878245	0.0	2.7077131525534965	0.0	0.3261412841804706	0.3261412841804706	0.0	0.0	0.7384794246815999	0.0	0.0	0.0	4.028393174633219	0.0	0.0	0.0	2.1166404319130083	0.3261412841804706	0.0	0.8192313910502619	0.0	0.0	0.0
ERR1624541	0.0	3.5522472145662483	0.0	2.9390128129903648	0.0	0.0	0.0	0.0	0.0	1.3555476971690272	0.0	0.0	0.0	4.090690515756668	0.0	0.0	0.0	2.157934298000095	0.0	0.2978104412491012	0.47282318967378667	0.0	0.0	0.0
ERR1624542	0.0	3.1009310880864933	0.0	2.989564207157643	0.0	0.0	0.0	1.7407714777046364	0.0	0.7048721347592306	0.0	0.0	0.0	4.149856950068628	0.0	0.0	0.0	2.7001973200985705	0.19898737921803197	0.4383217858312623	0.6519766396400843	0.0	0.0	0.5217666169407654
ERR1624543	0.0	2.9136918067324125	0.0	3.616525289495457	0.0	0.0	1.0475277001914742	0.0	0.0	1.104454007760534	0.0	0.2507294361860275	0.0	4.059150006307885	0.2507294361860275	0.0	0.0	2.6839856011578767	0.2507294361860275	0.6907579496432856	0.2507294361860275	0.0	0.0	0.0
ERR1624544	0.0	2.787415231372162	0.23089872786975707	3.512372857674756	0.0	0.23089872786975707	0.0	1.8303792014014768	0.0	1.2843360233709367	0.49210145102027064	1.0344143785558744	0.0	4.0875225114314935	0.23089872786975707	0.0	0.0	2.8190517267896595	1.5401361688279445	0.3808483301644037	1.0344143785558744	0.0	0.0	1.395499298664611
ERR1624545	0.0	1.5256867355018344	0.0	1.7074578684978003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.3220711277026207	0.0	0.0	0.0	4.168535710328828	0.0	0.0	0.33495290853190784	0.0	0.0	0.0
ERR1624546	0.0	3.1414055400845218	0.0	3.4857483929170217	0.0	0.0	0.42970278695451825	1.3102997160741923	0.0	0.42970278695451825	0.0	0.0	0.0	4.060035208199554	0.42970278695451825	0.0	0.0	2.9434702311622525	1.7409165804918803	0.5483329241985928	1.108154015772612	0.0	0.0	1.4605963180050066
ERR1624547	0.0	3.209598388901783	0.0	2.815897053507927	0.0	0.3151382095989355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.1616286492235615	0.0	0.0	0.0	2.1481425725539722	0.0	0.0	0.3151382095989355	0.0	0.0	0.0
ERR1624548	0.0	2.6661923598348634	0.0	3.4340830033800693	0.0	0.0	0.7778793305233647	0.844818348512868	0.0	0.9539524555334498	0.0	0.30086686417915665	0.0	4.091235150315545	0.0	0.0	0.0	3.137976611313346	0.9028044666684546	0.30086686417915665	0.6987089645396571	0.0	0.0	0.47690373245347173
ERR1624549	0.0	3.2327641581613897	0.0	3.3715378219002323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.065823489886852	0.0	0.0	0.0	3.08693585460387	0.0	0.5562817422686024	0.6901732032598872	0.0	0.0	0.0
ERR1624550	0.0	2.7083490657869884	0.0	3.4458698280584206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7443947304497205	2.3746456146794426	0.0	0.0	3.8941173275627565	0.0	0.0	0.0	0.0	0.0	0.0
ERR1624551	0.0	3.590173905647692	0.0	3.4710384455374386	0.0	0.0	0.0	0.0	0.0	0.9964327577253955	0.0	0.0	0.0	3.982941024636507	0.0	0.0	0.0	2.653672776821352	0.0	0.0	0.2768797580012325	0.0	0.0	0.2768797580012325
ERR1624552	0.0	3.118870209185485	0.0	2.6924110256090903	0.0	0.3118015850523406	0.0	0.0	0.3118015850523406	0.3118015850523406	0.0	0.0	0.0	4.095072360023772	0.0	0.0	0.0	3.4247379681144188	0.0	0.0	0.4914248115498191	0.0	0.9217684889345409	0.0
ERR1624553	0.0	3.0275031827176986	0.3025428012997203	3.716510320817808	0.0	0.4791371601286698	0.6043272282400459	0.0	0.0	1.1167321211321515	0.0	0.0	0.0	4.001584516182498	0.0	0.0	0.0	2.7173443090307483	0.8476882038570336	0.4791371601286698	1.7883008497948791	0.0	0.0	1.0441393332426798
ERR1624554	0.0	3.153990409841675	0.0	3.3326803130100915	0.0	0.0	0.0	0.3808483301644037	0.0	0.0	0.0	0.0	0.0	4.108532122322876	0.3808483301644037	0.0	0.0	2.6783311337802442	0.0	0.5805881847100731	0.0	0.0	0.0	1.4634519829643464
ERR1624555	0.0	3.678307141406609	0.0	3.1059795123960696	0.0	0.0	0.0	0.0	0.0	0.9306616547496168	0.0	0.0	0.0	4.031845819439627	0.0	0.0	0.0	2.0563916326516267	0.0	0.0	0.0	0.0	0.0	0.0
ERR1624556	0.0	2.875365756028015	0.0	2.9624984384967865	0.0	0.5442168195696744	1.3224176503695904	0.0	0.0	0.6369823149434972	0.263336115810858	1.2263660246917818	0.0	4.137250990143985	0.0	0.0	0.0	3.170274173462695	0.0	0.263336115810858	0.83481040492509	0.0	0.0	1.1305266154750464
ERR1624557	0.0	3.0906613472165443	0.0	3.573951476222596	0.2820935688393379	0.0	0.0	0.2820935688393379	0.0	0.7461156922806648	0.0	0.0	0.0	4.065992901161605	0.0	0.0	0.0	2.4597028317141287	0.0	0.5733364419658692	0.6682622822216532	0.0	0.2820935688393379	0.4516846471616145
ERR1624558	0.0	3.200660897642595	0.0	2.9830938265515394	0.0	0.4782754334349009	1.0015574176963578	0.0	0.0	0.4782754334349009	0.0	0.0	0.0	4.115105043954423	0.4782754334349009	0.0	0.0	3.121314583745384	0.0	0.4782754334349009	0.4782754334349009	0.0	0.0	0.3018959171360718
ERR1624559	0.0	2.6565308062229382	0.0	3.587003974865131	0.0	0.29933688539018904	0.0	0.0	0.29933688539018904	1.1108124366263177	0.0	0.29933688539018904	0.0	3.946972389198048	0.0	0.0	0.0	3.571564835100974	0.0	0.29933688539018904	1.17292542832117	0.0	0.0	0.0
ERR1624560	0.0	3.373254166820697	0.0	3.0399210137486663	0.0	0.0	1.3453477685653368	0.0	0.0	0.32491762611004765	0.0	0.0	0.0	4.013370242429172	0.9958415736258928	0.0	0.0	3.482039246157484	0.0	0.0	1.219669252203894	0.0	0.0	1.8783891305636413
ERR1624561	0.0	2.954003659373614	0.0	3.0878203132177218	0.0	0.0	0.0	0.9440139327025837	0.0	0.5559206030990238	0.5559206030990238	0.0	0.0	4.150552821789842	0.0	0.0	0.0	2.7980535653324456	0.0	0.6897751943216169	0.36142898815341906	0.0	0.0	1.1456369626803755
