"studyPairs"	"compariosn"	"compariosnTime"	"pval"	"r"
"BS-p1M_BS-p6M"	"Same study"	"Different timepoint"	0	0.559756716036678
"BS-p1M_Assal-p3M"	"Different study"	"Different timepoint"	0	0.657671141214546
"BS-p1M_Assal-p1Y"	"Different study"	"Different timepoint"	9.24916399474375e-06	0.410037007196602
"BS-p1M_Assal-p2Y"	"Different study"	"Different timepoint"	1.63747615757435e-08	0.504840978300946
"BS-p1M_Ilhan-p6M"	"Different study"	"Different timepoint"	2.20784483978245e-05	0.41517702687118
"BS-p1M_Ilhan-p1Y"	"Different study"	"Different timepoint"	0.0537746477322856	0.208903240687349
"BS-p1M_Afshar-p6M"	"Different study"	"Different timepoint"	1.82100994033203e-06	0.474858678528403
"BS-p1M_Cholecystectomy-p6M"	"Different study"	"Different timepoint"	0.408098276359977	-0.128820546542066
"BS-p1M_Cholecystectomy-p12M"	"Different study"	"Different timepoint"	0.639849498188343	-0.0720165910039328
"BS-p1M_IleocecalResection-p1"	"Different study"	"Different timepoint"	0.000887915153200094	0.381717907560604
"BS-p1M_IleocecalResection-p3"	"Different study"	"Different timepoint"	0.0194889493631217	0.279565378441783
"BS-p1M_IleocecalResection-p6"	"Different study"	"Different timepoint"	0.0273967077907811	0.2659834547475
"BS-p1M_Ileostomy-pPost"	"Different study"	"Different timepoint"	0.0103734860553567	0.272098161445593
"BS-p1M_SDT-pPost"	"Different study"	"Different timepoint"	0.40712368600505	-0.107483410574138
"BS-p6M_Assal-p3M"	"Different study"	"Different timepoint"	4.50166108756454e-06	0.422168812901992
"BS-p6M_Assal-p1Y"	"Different study"	"Different timepoint"	1.32047859599824e-06	0.443247893594068
"BS-p6M_Assal-p2Y"	"Different study"	"Different timepoint"	1.29928706583942e-06	0.444542462685548
"BS-p6M_Ilhan-p6M"	"Different study"	"Same timepoint"	0.00239008872495367	0.312205435743667
"BS-p6M_Ilhan-p1Y"	"Different study"	"Different timepoint"	0.00976184852178856	0.273447891438896
"BS-p6M_Afshar-p6M"	"Different study"	"Same timepoint"	2.48692438906086e-05	0.424566768603466
"BS-p6M_Cholecystectomy-p6M"	"Different study"	"Same timepoint"	0.242779111685382	-0.172068437891223
"BS-p6M_Cholecystectomy-p12M"	"Different study"	"Different timepoint"	0.754231833496822	0.0520112798593811
"BS-p6M_IleocecalResection-p1"	"Different study"	"Different timepoint"	0.0475266977232127	0.242918878873935
"BS-p6M_IleocecalResection-p3"	"Different study"	"Different timepoint"	0.842760969262382	0.0302177223525538
"BS-p6M_IleocecalResection-p6"	"Different study"	"Different timepoint"	0.638398526820603	0.0729061200971313
"BS-p6M_Ileostomy-pPost"	"Different study"	"Different timepoint"	0.293652529754535	0.129424761303559
"BS-p6M_SDT-pPost"	"Different study"	"Different timepoint"	0.599409889923132	0.0735412809191473
"Assal-p3M_Assal-p1Y"	"Same study"	"Different timepoint"	0	0.62249487709274
"Assal-p3M_Assal-p2Y"	"Same study"	"Different timepoint"	0	0.650063886576398
"Assal-p3M_Ilhan-p6M"	"Different study"	"Different timepoint"	2.19214847476076e-06	0.452179176755448
"Assal-p3M_Ilhan-p1Y"	"Different study"	"Different timepoint"	0.000408240920881443	0.351680672268908
"Assal-p3M_Afshar-p6M"	"Different study"	"Different timepoint"	2.54532674098054e-08	0.516695603861379
"Assal-p3M_Cholecystectomy-p6M"	"Different study"	"Different timepoint"	0.40712368600505	-0.120825997433678
"Assal-p3M_Cholecystectomy-p12M"	"Different study"	"Different timepoint"	0.638398526820603	-0.0669780072215093
"Assal-p3M_IleocecalResection-p1"	"Different study"	"Different timepoint"	0.0141313505966632	0.289152187262941
"Assal-p3M_IleocecalResection-p3"	"Different study"	"Different timepoint"	0.0194889493631217	0.274067117003215
"Assal-p3M_IleocecalResection-p6"	"Different study"	"Different timepoint"	0.0195168701444952	0.272752230610844
"Assal-p3M_Ileostomy-pPost"	"Different study"	"Different timepoint"	0.0549333544553791	0.188103086604735
"Assal-p3M_SDT-pPost"	"Different study"	"Different timepoint"	0.638398526820603	-0.0573838604879836
"Assal-p1Y_Assal-p2Y"	"Same study"	"Different timepoint"	0	0.717637564843136
"Assal-p1Y_Ilhan-p6M"	"Different study"	"Different timepoint"	1.05826268720377e-06	0.46734083463894
"Assal-p1Y_Ilhan-p1Y"	"Different study"	"Same timepoint"	2.20784483978245e-05	0.410838911835921
"Assal-p1Y_Afshar-p6M"	"Different study"	"Different timepoint"	0.000353970771353489	0.354031529967359
"Assal-p1Y_Cholecystectomy-p6M"	"Different study"	"Different timepoint"	0.634624423211215	0.0764077467100355
"Assal-p1Y_Cholecystectomy-p12M"	"Different study"	"Different timepoint"	0.960590058787839	-0.00660976992629286
"Assal-p1Y_IleocecalResection-p1"	"Different study"	"Different timepoint"	0.0145683304645338	0.287302676733013
"Assal-p1Y_IleocecalResection-p3"	"Different study"	"Different timepoint"	0.173809472871901	0.176187551927176
"Assal-p1Y_IleocecalResection-p6"	"Different study"	"Different timepoint"	0.152136932735202	0.184351407000686
"Assal-p1Y_Ileostomy-pPost"	"Different study"	"Different timepoint"	0.908311956459533	-0.0144227064514748
"Assal-p1Y_SDT-pPost"	"Different study"	"Different timepoint"	0.25140286348238	-0.123040883807467
"Assal-p2Y_Ilhan-p6M"	"Different study"	"Different timepoint"	6.52704498689456e-05	0.389175331149409
"Assal-p2Y_Ilhan-p1Y"	"Different study"	"Different timepoint"	0.00119735477557568	0.325174476570289
"Assal-p2Y_Afshar-p6M"	"Different study"	"Different timepoint"	0.000786375255340479	0.335551079936107
"Assal-p2Y_Cholecystectomy-p6M"	"Different study"	"Different timepoint"	0.842760969262382	-0.030407925755722
"Assal-p2Y_Cholecystectomy-p12M"	"Different study"	"Different timepoint"	0.615771785760595	-0.0799140580704843
"Assal-p2Y_IleocecalResection-p1"	"Different study"	"Different timepoint"	0.00530365310354609	0.3231658418524
"Assal-p2Y_IleocecalResection-p3"	"Different study"	"Different timepoint"	0.0366420634091319	0.248231766788282
"Assal-p2Y_IleocecalResection-p6"	"Different study"	"Different timepoint"	0.0163904844800285	0.28210092836759
"Assal-p2Y_Ileostomy-pPost"	"Different study"	"Different timepoint"	0.960590058787839	0.00419538507641594
"Assal-p2Y_SDT-pPost"	"Different study"	"Different timepoint"	0.634624423211215	-0.0600021208294371
"Ilhan-p6M_Ilhan-p1Y"	"Same study"	"Different timepoint"	7.69739728109325e-10	0.536809898762655
"Ilhan-p6M_Afshar-p6M"	"Different study"	"Same timepoint"	0.0141313505966632	0.273833713456355
"Ilhan-p6M_Cholecystectomy-p6M"	"Different study"	"Same timepoint"	0.842760969262382	0.0327272727272727
"Ilhan-p6M_Cholecystectomy-p12M"	"Different study"	"Different timepoint"	0.638398526820603	-0.0765276828434723
"Ilhan-p6M_IleocecalResection-p1"	"Different study"	"Different timepoint"	0.170784662849789	0.186131421293457
"Ilhan-p6M_IleocecalResection-p3"	"Different study"	"Different timepoint"	0.233848421629628	0.166772017547998
"Ilhan-p6M_IleocecalResection-p6"	"Different study"	"Different timepoint"	0.408098276359977	0.123637907448465
"Ilhan-p6M_Ileostomy-pPost"	"Different study"	"Different timepoint"	0.908128273936092	0.0181339093361078
"Ilhan-p6M_SDT-pPost"	"Different study"	"Different timepoint"	0.467600462988218	-0.100149365197909
"Ilhan-p1Y_Afshar-p6M"	"Different study"	"Different timepoint"	0.0168221385800869	0.265135807588638
"Ilhan-p1Y_Cholecystectomy-p6M"	"Different study"	"Different timepoint"	0.677761322107889	0.0652904989747095
"Ilhan-p1Y_Cholecystectomy-p12M"	"Different study"	"Different timepoint"	0.515414126550437	0.107751196172249
"Ilhan-p1Y_IleocecalResection-p1"	"Different study"	"Different timepoint"	0.408098276359977	0.12337374404453
"Ilhan-p1Y_IleocecalResection-p3"	"Different study"	"Different timepoint"	0.525119396226305	0.0987310722203878
"Ilhan-p1Y_IleocecalResection-p6"	"Different study"	"Different timepoint"	0.885735475598439	-0.0239162224633237
"Ilhan-p1Y_Ileostomy-pPost"	"Different study"	"Different timepoint"	0.638398526820603	-0.0643309904948233
"Ilhan-p1Y_SDT-pPost"	"Different study"	"Different timepoint"	0.544271625598216	-0.0862157260215513
"Afshar-p6M_Cholecystectomy-p6M"	"Different study"	"Same timepoint"	0.960590058787839	-0.00738209159261791
"Afshar-p6M_Cholecystectomy-p12M"	"Different study"	"Different timepoint"	0.834816461903373	0.0374846206425154
