SAMPLE_ID	Acholeplasmatales	Acidaminococcales	Acidimicrobiales	Acidobacteriales	Actinomycetales	Aeromonadales	Alteromonadales	Anaerolineales	Aquificales	Ardenticatenales	Bacillales	Bacteriovoracales	Bacteroidales	Bacteroidetes Order II. Incertae sedis	Bifidobacteriales	Brachyspirales	Bryobacterales	Burkholderiales	Caldilineales	Campylobacterales	Candidatus Babeliales	Candidatus Brocadiales	Candidatus Nanosynbacterales	Cardiobacteriales	Caulobacterales	Cellvibrionales	Chitinophagales	Chlamydiales	Chlorobiales	Chloroflexales	Chromatiales	Chroococcales	Chthonomonadales	Clostridiales	Coprothermobacterales	Coriobacteriales	Corynebacteriales	Cytophagales	Deferribacterales	Deinococcales	Desulfobacterales	Desulfovibrionales	Desulfuromonadales	Eggerthellales	Emcibacterales	Endomicrobiales	Enterobacterales	Entomoplasmatales	Erysipelotrichales	Euzebyales	Fibrobacterales	Fimbriimonadales	Flavobacteriales	Frankiales	Fusobacteriales	Gemmatales	Gemmatimonadales	Glycomycetales	Halanaerobiales	Ignavibacteriales	Jiangellales	Kiritimatiellales	Ktedonobacterales	Lactobacillales	Legionellales	Leptospirales	Limnochordales	Marinilabiliales	Methanobacteriales	Methylococcales	Micrococcales	Micromonosporales	Mycoplasmatales	Myxococcales	Nakamurellales	Nautiliales	Neisseriales	Nevskiales	Nitrosomonadales	Nitrososphaerales	Nitrospirales	Nostocales	Oceanospirillales	Opitutales	Oscillatoriales	Pasteurellales	Pelagibacterales	Petrotogales	Pirellulales	Planctomycetales	Pleurocapsales	Propionibacteriales	Pseudomonadales	Pseudonocardiales	Puniceicoccales	Rhizobiales	Rhodobacterales	Rhodocyclales	Rhodospirillales	Rickettsiales	Rubrobacterales	Selenomonadales	Solirubrobacterales	Sphaerobacterales	Sphingobacteriales	Sphingomonadales	Spirochaetales	Streptomycetales	Streptosporangiales	Synechococcales	Synergistales	Syntrophobacterales	Tepidiformales	Thermales	Thermoanaerobacterales	Thermomicrobiales	Thermotogales	Thiotrichales	Tissierellales	Veillonellales	Verrucomicrobiales	Vibrionales	Xanthomonadales
SAMPLE-1	0.0	0.0	0.0	0.0	1.6771607013180017	0.30845112228832355	0.48698817512748355	0.0	0.0	0.0	1.2179321732509403	0.0	4.1487979450210455	0.0	1.189843023842911	0.0	0.0	2.9650662012694773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30845112228832355	0.30845112228832355	0.0	0.0	0.0	0.7107836907504025	0.0	0.0	4.113325536414794	0.0	3.056097099791934	0.0	0.0	0.0	0.0	0.0	2.187806707116281	0.0	2.3264008354186365	0.0	0.0	1.6054109677867383	0.0	2.3368679500852085	0.0	0.0	0.0	0.0	0.0	2.0901429097169806	0.0	0.0	0.0	0.0	2.288798439387907	0.0	0.0	0.0	3.104610916525521	0.0	0.0	0.0	0.0	0.0	0.0	0.6131446627512099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0132680554204607	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.234738474951596	0.0	0.0	0.0	0.0	0.0	0.30845112228832355	0.0	0.0	2.822230057282232	0.0	0.0	0.30845112228832355	0.0	0.0	0.0	0.0	0.967349208608565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48698817512748355	0.9159949065062811	2.804274789943647	2.98783002893571	0.0	0.0
SAMPLE-10	0.0	1.163638652865703	0.0	0.0	1.8745620090086628	0.0	0.0	0.0	0.0	0.0	1.6204278770072595	0.0	1.587835943599748	0.0	2.338886904086654	0.0	0.0	0.6038900553420847	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7423587412013816	0.0	0.0	4.139031945447329	0.0	3.816985238436551	0.9315711432010927	0.0	0.0	0.0	0.0	1.163638652865703	0.0	3.222544998903536	0.0	0.0	3.5461954035911134	0.0	1.5525982291287796	0.0	0.0	0.0	0.39940467629677234	0.0	1.3734027556702846	0.0	0.0	0.0	0.0	2.0215313971184674	0.0	0.0	0.0	3.7019721104748875	0.0	0.0	0.0	0.0	0.0	0.0	1.5525982291287796	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39940467629677234	0.0	0.0	0.39940467629677234	0.0	0.0	0.39940467629677234	0.0	0.0	0.0	0.0	0.0	0.0	0.39940467629677234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39940467629677234	2.3734958908070314	3.395924851156871	0.0	0.0
SAMPLE-11	0.0	1.9205755759294625	0.0	0.0	2.048327338850493	0.0	0.0	0.0	0.0	0.0	2.168424858122548	0.0	3.583434358019048	0.0	2.1138382877666047	0.0	0.0	1.8538101956094701	0.0	0.0	0.0	0.0	0.25314847487442066	0.0	0.25314847487442066	0.0	0.0	0.0	0.0	0.0	0.6196017103576023	0.0	0.0	4.135670634348045	0.0	3.3958152127078147	1.0209666138262115	0.25314847487442066	0.0	0.0	0.0	1.3176550126994349	0.0	3.1035720306431944	0.0	0.0	2.3520178971583547	0.0	2.5678584320992295	0.0	0.0	0.0	0.0	0.0	1.7690738272890245	0.0	0.0	0.0	0.0	0.7594645279135355	0.0	0.0	0.0	3.6193037572939994	0.0	0.25314847487442066	0.0	0.0	0.0	0.0	1.1830398553499823	0.0	0.25314847487442066	0.0	0.0	0.0	0.25314847487442066	0.0	0.25314847487442066	0.0	0.0	0.0	0.0	0.0	0.0	0.8154799126326556	0.0	0.0	0.0	0.0	0.0	0.0	0.6951392386283547	0.0	0.0	0.0	0.0	0.0	0.25314847487442066	0.0	0.0	2.19553981463274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25314847487442066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6196017103576023	2.350487417167124	3.8349739987705136	0.0	0.0
SAMPLE-12	0.0	0.9685932842457441	0.0	0.0	1.750886882890856	0.0	0.0	0.0	0.0	0.0	1.8287816898169456	0.0	2.6045293914224907	0.0	3.7952965972287127	0.0	0.0	0.8152395236351472	0.0	0.5760479980560411	0.0	0.0	0.0	0.0	0.0	0.0	0.8152395236351472	0.0	0.5760479980560411	0.5760479980560411	0.0	0.0	0.0	4.25508476952668	0.0	3.788895138992517	0.8152395236351472	0.0	0.0	0.0	0.0	0.0	0.0	3.034658390499435	0.5760479980560411	0.0	1.2456292717378372	0.0	3.108000263762618	0.0	0.0	0.0	0.5760479980560411	0.0	0.0	0.5760479980560411	0.0	0.0	0.0	1.8105782691361454	0.0	0.0	0.0	2.30158708296873	0.0	0.0	0.5760479980560411	0.0	0.0	0.0	0.5760479980560411	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2456292717378372	0.0	0.0	0.0	0.0	0.5760479980560411	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5760479980560411	2.1175044730109804	0.0	0.0	1.081700699054763	0.5760479980560411	0.0	0.0	0.0	0.0	1.4134186187379403	0.0	0.0	0.0	0.0	0.0	0.8152395236351472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1713540502024014	1.628509648834678	1.628509648834678	0.5760479980560411	0.0
SAMPLE-13	0.0	2.232257647244279	0.0	0.0	3.2261711943437996	1.8287118192799805	1.9337642851170849	0.9231752504249542	0.0	0.0	2.9583616435181095	0.0	2.250635037667034	0.0	2.1610208081380264	0.0	0.0	1.721404250529338	0.0	1.6189127108497523	0.0	0.0	0.6711114063935159	0.0	0.6711114063935159	0.0	0.0	0.0	0.0	0.0	1.8947372368120112	0.0	0.0	4.182190163884176	0.6711114063935159	3.2493380184862124	0.9231752504249542	0.0	0.0	0.0	0.0	1.9695715907236642	0.0	3.432804685462226	0.0	0.0	3.414688116325639	0.0	3.441587232612568	0.0	0.0	0.6711114063935159	1.4285454961403445	0.0	2.70767954425182	0.0	0.0	0.0	0.0	3.072465964496319	0.0	0.0	0.0	3.387327789878631	0.9231752504249542	0.6711114063935159	0.0	0.0	0.0	0.0	2.347057046824993	0.0	0.0	0.0	0.0	0.0	0.6711114063935159	0.0	0.0	0.0	0.0	0.9231752504249542	1.4285454961403445	0.0	0.9231752504249542	1.2888455335435427	0.0	0.0	0.0	0.0	0.0	0.9231752504249542	2.1143666852493954	0.0	0.0	1.1974830811160015	0.0	0.9231752504249542	1.1974830811160015	0.6711114063935159	0.0	0.6711114063935159	0.0	0.0	0.0	1.0816356529328006	0.0	0.0	0.0	0.0	1.48450900083649	0.0	0.0	0.0	0.0	0.0	0.0	1.5785631832693603	2.3397909104239876	2.268266247716026	1.2888455335435427	2.268266247716026	0.0
SAMPLE-14	0.0	2.090790152861064	0.0	0.0	1.4991745437432433	0.0	0.0	0.0	0.0	0.0	1.7932696006982558	0.0	2.383243388546651	0.0	3.7086432081494674	0.0	0.0	0.9365480323337515	0.0	0.6830777711806763	0.0	0.0	0.0	0.0	0.9365480323337515	0.0	0.0	0.0	0.0	0.0	0.6830777711806763	0.0	0.6830777711806763	4.209187434126779	0.0	3.8400833582205625	0.6830777711806763	0.0	0.0	0.0	0.0	0.6830777711806763	0.0	3.0024899157609695	0.0	0.0	1.378798332093308	0.0	3.295812511203233	0.0	0.0	0.0	1.6337082825547982	0.0	0.0	0.0	2.23783354686017	0.0	0.0	2.1648670469006346	0.0	0.0	0.0	2.383243388546651	0.0	0.6830777711806763	1.0955537081188955	0.0	3.056699712247859	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6830777711806763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9365480323337515	0.0	0.0	0.6830777711806763	0.0	0.0	0.0	0.0	0.0	2.4919883475168914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0955537081188955	1.9670243845859396	0.0	0.0
SAMPLE-15	0.0	0.4475055243585201	0.0	0.0	1.0004864124088757	0.0	0.0	0.0	0.0	0.2790096753919406	2.4097949718648826	0.0	3.9112447854930563	0.0	0.9142884075546767	0.0	0.0	1.7617068773874025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2790096753919406	0.0	0.0	0.863789293708777	0.0	0.0	4.190339400371371	0.0	3.0136300386909647	0.0	0.4475055243585201	0.0	0.0	0.0	1.8187581101230077	0.0	2.7789802086412094	0.0	0.0	1.299366360054091	0.2790096753919406	2.9366512306113544	0.0	0.0	0.0	0.4475055243585201	0.0	1.768428824011498	0.0	0.0	0.0	0.0	1.9846118559074877	0.0	0.0	0.0	1.8530128326765176	0.0	0.4475055243585201	0.0	0.0	0.0	0.0	0.0	0.2790096753919406	1.299366360054091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2790096753919406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3369752688824883	0.0	0.0	0.2790096753919406	0.0	0.0	0.2790096753919406	0.0	0.0	0.7408049050981151	0.0	0.0	0.2790096753919406	0.0	0.0	0.0	0.0	3.1009450075767484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.579165383996457	1.7943221261276805	3.754888665243734	0.0	0.0
SAMPLE-16	0.0	0.4438982714019588	0.0	0.0	1.8892998856383678	1.032813797092401	0.5644995734409779	0.0	0.0	0.5644995734409779	1.847470408202326	0.0	3.9006504048718162	0.276354047566024	2.1616795055381184	0.0	0.0	2.3660082454060056	0.0	0.6587861789686861	0.0	0.276354047566024	0.0	0.4438982714019588	0.276354047566024	0.276354047566024	0.0	0.0	0.0	0.0	0.80189650086182	0.0	0.0	4.087688801035089	0.0	1.1288332039039803	0.4438982714019588	0.5644995734409779	0.0	0.0	0.276354047566024	1.2528795041990908	0.0	2.5313656719070736	0.0	0.0	3.172948814430392	0.0	2.172200452882073	0.0	0.0	0.0	0.5644995734409779	0.0	2.1590089566097843	0.0	0.0	0.276354047566024	0.0	0.5644995734409779	0.0	0.0	0.0	3.458917835741986	0.4438982714019588	0.276354047566024	0.276354047566024	0.0	0.0	0.0	0.9954294542318634	0.0	0.276354047566024	0.0	0.0	0.0	0.0	0.0	0.5644995734409779	0.0	0.0	0.0	0.4438982714019588	0.0	0.276354047566024	2.0499595257268624	0.0	0.0	0.0	0.0	0.0	0.0	1.728210365747799	0.0	0.0	1.6492084915255663	0.0	0.0	0.0	0.0	0.0	0.5644995734409779	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.308640735353704	0.0	0.0	0.0	0.276354047566024	0.0	0.0	0.0	0.7362096412351427	0.7362096412351427	2.9708151731904824	3.690480136926136	0.6587861789686861	0.0
SAMPLE-17	0.0	0.0	0.0	0.0	1.9923150665041374	0.20419712131541096	0.0	0.0	0.0	0.0	2.1927718061927672	0.0	3.37524702762286	0.0	1.6685871767888447	0.0	0.0	1.3875870716980983	0.0	0.34253487797990806	0.0	0.0	0.7635982123616517	0.34253487797990806	0.0	0.20419712131541096	0.20419712131541096	0.0	0.0	0.20419712131541096	0.5316241078484873	0.0	0.0	4.09580734264847	0.0	1.3543050132993952	1.0720702538498406	0.0	0.20419712131541096	0.0	0.0	0.0	0.0	3.2423492776120235	0.0	0.0	3.730891030627891	0.4472902606568875	2.7568414207862593	0.0	0.0	0.0	0.20419712131541096	0.0	2.231164020268092	0.0	0.0	0.0	0.0	0.20419712131541096	0.0	0.0	0.0	3.0948862206779584	0.0	0.5316241078484873	0.0	0.0	0.0	0.0	1.4184991156586881	0.0	0.0	0.20419712131541096	0.0	0.0	0.0	0.0	0.20419712131541096	0.0	0.0	0.0	0.20419712131541096	0.20419712131541096	0.0	1.2506141229000107	0.0	0.0	0.20419712131541096	0.0	0.0	0.0	2.87375849104708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6022142549481282	0.0	0.0	0.0	0.0	0.0	0.20419712131541096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.822370655263177	3.2262380538059534	3.846270462762455	1.0001851097698617	0.0
SAMPLE-18	0.0	2.690322238327018	0.0	0.0	1.8703867870754698	0.0	0.0	0.0	0.0	0.0	1.5254598914039676	0.0	2.9757032518905864	0.0	3.4108915819879457	0.0	0.0	1.9620137528923765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5216239964335426	0.0	0.5216239964335426	4.266054561770654	0.0	3.593794913954148	0.33482723243075607	0.0	0.0	0.0	0.33482723243075607	0.0	0.0	3.237715449230994	0.33482723243075607	0.0	0.6518181243499439	0.0	3.2965872629397324	0.0	0.33482723243075607	0.0	1.237192157926776	0.0	0.0	0.0	0.0	0.0	0.0	3.4321101661205424	0.0	0.0	0.0	2.2661696244289367	0.0	0.7518511147377993	0.0	0.0	2.588718466320841	0.0	0.90152098368004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33482723243075607	0.0	0.0	0.0	0.0	0.0	0.0	2.0601768173945234	0.0	0.0	0.0	0.0	0.0	0.33482723243075607	1.594848984899131	0.0	0.0	0.33482723243075607	0.0	0.0	0.0	0.0	0.0	1.38448185145354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33482723243075607	1.5101450494902346	1.8903240345405072	0.0	0.33482723243075607
SAMPLE-19	0.0	2.6396518639727407	0.0	0.0	1.7814946094193456	1.671628296848742	1.6185022603678745	0.0	0.0	0.0	2.1027238456423136	0.0	3.5095130973432322	0.9594556485374348	0.9594556485374348	0.0	0.0	2.026994260505657	0.0	0.9594556485374348	0.0	0.0	0.0	0.3713352643328979	0.0	0.3713352643328979	0.3713352643328979	0.0	0.0	0.0	1.557959689006892	0.0	0.7036646364882718	4.3387763905878085	0.3713352643328979	3.122353005369842	0.8897070541430226	0.3713352643328979	0.0	0.0	0.3713352643328979	0.3713352643328979	0.0	2.845748833738822	0.0	0.0	2.9688544131748236	0.0	3.150637938809833	0.0	0.0	0.8897070541430226	1.8004873595550672	0.0	1.5414067954720565	0.0	0.0	0.0	0.0	2.5230386079116798	0.0	0.0	0.0	3.164520344665199	0.3713352643328979	0.0	0.0	0.0	2.452480294855497	0.0	1.2687842108148502	0.3713352643328979	0.0	0.0	0.0	0.3713352643328979	0.8065726641070727	0.0	0.0	0.0	0.0	0.3713352643328979	0.8065726641070727	0.0	0.3713352643328979	2.032475085014777	0.0	0.0	0.0	0.0	0.0	0.0	2.1296682749948137	0.0	0.0	0.8897070541430226	0.0	0.7036646364882718	0.3713352643328979	0.7036646364882718	0.0	1.6041393364116483	0.0	0.0	0.0	0.7036646364882718	0.0	0.0	0.0	0.0	1.1193557524338675	0.3713352643328979	0.0	0.0	0.3713352643328979	0.0	0.0	0.8897070541430226	1.1618012952160552	2.817202961530722	2.490141157003106	1.8610963772347275	0.3713352643328979
SAMPLE-2	0.0	0.0	0.0	0.0	0.6371533064456035	0.0	0.0	0.0	0.0	0.0	1.7550260794047554	0.0	2.929081861793155	0.2634371796288354	2.8687804392484217	0.0	0.0	1.156747700547447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2634371796288354	0.0	0.0	4.257052044518341	0.0	3.45249805983006	0.0	0.0	0.0	0.0	0.0	1.6305091517254056	0.0	2.808415627559296	1.0417840866805177	0.0	0.8350001520078997	0.0	3.561750470768934	0.0	0.0	0.0	0.4262378587071035	0.0	0.0	0.0	0.0	0.0	0.0	2.292684398177597	0.0	0.0	0.0	1.8567505516363714	0.0	0.0	0.4262378587071035	0.0	0.0	0.0	0.0	0.0	0.0	0.4262378587071035	0.0	0.0	0.0	0.0	0.4262378587071035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2634371796288354	0.2634371796288354	2.243879531349445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7772647588355928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2634371796288354	0.0	0.0	0.2634371796288354	0.2634371796288354	0.0	0.0	0.0	0.0	2.72552423298657	1.0417840866805177	0.0	0.0
SAMPLE-20	0.2560348728655232	1.087933087437153	0.0	0.0	2.3117608125302374	1.5095162099331374	1.5095162099331374	0.5326891120795377	0.0	0.0	2.534462813448695	0.0	1.9738980562974173	0.0	0.992764992673248	0.0	0.0	1.2894270222178028	0.2560348728655232	1.1155252376131606	0.0	0.0	0.4160285781267422	0.0	0.4160285781267422	0.2560348728655232	0.0	0.0	0.0	0.0	1.1659491610143908	0.0	0.7648465025032101	4.129057888249467	0.5326891120795377	3.539406147913933	0.624555388373435	0.0	0.0	0.0	0.5326891120795377	0.4160285781267422	0.0	3.1550392094526556	0.0	0.0	2.804757968512727	0.2560348728655232	3.6132451649596327	0.0	0.0	0.5326891120795377	1.2894270222178028	0.0	0.4160285781267422	0.0	0.0	0.2560348728655232	0.0	3.1933310127233345	0.0	0.0	0.2560348728655232	3.3257892182570474	0.7003413042149433	0.0	0.624555388373435	0.0	3.040014055845974	0.0	1.4873789874878123	0.0	0.0	0.2560348728655232	0.2560348728655232	0.2560348728655232	0.2560348728655232	0.0	0.2560348728655232	0.0	0.0	0.4160285781267422	1.087933087437153	0.0	0.5326891120795377	1.0584682683220348	0.0	0.0	0.0	0.0	0.0	0.0	1.9144458469855858	0.0	0.0	0.5326891120795377	0.0	0.7003413042149433	0.9557659090354681	0.0	0.0	2.0516910647180673	0.0	0.0	0.0	0.7003413042149433	0.0	0.0	0.0	0.2560348728655232	0.8707140165481015	0.0	0.0	0.0	0.0	0.0	0.2560348728655232	0.7648465025032101	1.2320617665193054	1.4873789874878123	3.685282414089454	1.5698689527630836	0.0
SAMPLE-21	0.41753142263862697	0.6264142160437836	0.0	0.0	0.8728225744723594	0.41753142263862697	0.7668646808349812	0.0	0.0	0.0	1.9456134353315766	0.0	2.2968272086557935	1.3092961443475568	1.090170468965787	0.0	0.0	0.41753142263862697	0.0	0.41753142263862697	0.41753142263862697	0.0	0.0	0.0	0.0	0.0	1.234355195420998	0.0	0.0	0.41753142263862697	0.0	0.0	0.0	4.478263351503526	0.0	0.41753142263862697	0.41753142263862697	1.3092961443475568	0.0	0.0	0.0	0.6264142160437836	0.0	2.694868380053254	0.0	0.0	2.1037970674899054	0.0	2.9623262041395786	0.0	0.0	0.0	1.1914017424629053	0.0	0.41753142263862697	0.0	0.0	0.0	0.0	1.9294122983404638	0.0	0.0	0.0	2.6760534759510906	0.0	0.0	0.9579326875591673	0.41753142263862697	0.0	0.0	0.0	0.0	0.41753142263862697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6264142160437836	0.0	0.41753142263862697	0.0	0.41753142263862697	0.41753142263862697	1.5225380391193226	0.0	0.0	0.41753142263862697	0.41753142263862697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6264142160437836	0.6264142160437836	3.0865721387177456	1.5995406531462866	0.41753142263862697	0.0
SAMPLE-22	0.0	0.0	0.0	0.0	1.5072190376942074	0.6036627046197515	0.6036627046197515	0.0	0.0	0.0	1.0019225474152629	0.0	3.0270295877799254	0.95614137351386	2.643604885940216	0.0	0.0	0.4785461805578395	0.0	0.6036627046197515	0.0	0.0	0.0	0.0	0.0	0.0	1.3242534747913355	0.0	0.3020991281029048	0.0	0.8469292302835832	0.0	0.0	4.264087955678648	0.0	2.7028351126890002	0.4785461805578395	1.5583789584244545	0.0	0.0	0.0	0.0	0.0	1.9933399757870653	0.0	0.0	2.7810065666179655	0.0	2.1604833368031544	0.0	0.0	0.0	1.4492175784533585	0.0	1.1159150840726273	0.0	0.0	0.0	0.0	1.808282324638635	0.0	0.0	0.0	3.902229272783621	0.0	0.0	0.6036627046197515	0.3020991281029048	0.0	0.0	0.3020991281029048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3020991281029048	0.3020991281029048	0.0	0.0	0.4785461805578395	0.0	0.0	0.0	0.0	0.0	0.0	0.4785461805578395	0.0	0.0	0.6036627046197515	0.0	0.0	0.3020991281029048	0.0	0.0	1.3444614731814177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3020991281029048	0.0	0.0	0.0	1.0433346088916753	0.7006793551755882	3.0427360392408875	3.519198865131627	0.7799316783778444	0.0
